"ple0081_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2002","1-pers.-HH","no migration background","852","0.307364797525298","0.289925377679954","0.324804217370642"
"Yes","2002","1-pers.-HH","direct migration background","80","0.283494328797224","0.226593109387809","0.340395548206639"
"Yes","2002","1-pers.-HH","indirect migration background","48","0.432193789705278","0.3320501217106","0.532337457699956"
"Yes","2002","(Married) couple without C. ","no migration background","1541","0.221481040889049","0.211462328681968","0.231499753096131"
"Yes","2002","(Married) couple without C. ","direct migration background","185","0.230543887690506","0.201061762035971","0.26002601334504"
"Yes","2002","(Married) couple without C. ","indirect migration background","46","0.424912536264659","0.328506522336678","0.52131855019264"
"Yes","2002","Single parent ","no migration background","423","0.469993630406444","0.438087752805335","0.501899508007554"
"Yes","2002","Single parent ","direct migration background","59","0.428099342895513","0.346715817801639","0.509482867989386"
"Yes","2002","Single parent ","indirect migration background","29","","",""
"Yes","2002","Couple + C. LE 16 ","no migration background","1293","0.35626543267177","0.34112448156127","0.37140638378227"
"Yes","2002","Couple + C. LE 16 ","direct migration background","278","0.355409711549429","0.32115471061544","0.389664712483419"
"Yes","2002","Couple + C. LE 16 ","indirect migration background","83","0.512151664216664","0.436790699949658","0.587512628483671"
"Yes","2002","Couple + C. GT 16 ","no migration background","1003","0.308358360514618","0.292743184567688","0.323973536461548"
"Yes","2002","Couple + C. GT 16 ","direct migration background","140","0.329174926053182","0.285612471095865","0.372737381010499"
"Yes","2002","Couple + C. GT 16 ","indirect migration background","64","0.338301568602212","0.273216385591205","0.403386751613218"
"Yes","2002","Couple + C. LE and GT 16","no migration background","537","0.365610632082562","0.341431374393403","0.38978988977172"
"Yes","2002","Couple + C. LE and GT 16","direct migration background","121","0.399007388169603","0.343778073424861","0.454236702914346"
"Yes","2002","Couple + C. LE and GT 16","indirect migration background","55","0.476676832014918","0.390488150129422","0.562865513900413"
"No","2002","1-pers.-HH","no migration background","1837","0.692635202474702","0.675195782629358","0.710074622320046"
"No","2002","1-pers.-HH","direct migration background","161","0.716505671202776","0.659604451793361","0.773406890612191"
"No","2002","1-pers.-HH","indirect migration background","46","0.567806210294722","0.467662542300044","0.6679498782894"
"No","2002","(Married) couple without C. ","no migration background","5058","0.778518959110951","0.76850024690387","0.788537671318032"
"No","2002","(Married) couple without C. ","direct migration background","599","0.769456112309495","0.73997398665496","0.798938237964029"
"No","2002","(Married) couple without C. ","indirect migration background","55","0.575087463735341","0.47868144980736","0.671493477663322"
"No","2002","Single parent ","no migration background","517","0.530006369593556","0.498100491992446","0.561912247194665"
"No","2002","Single parent ","direct migration background","83","0.571900657104487","0.490517132010614","0.653284182198361"
"No","2002","Single parent ","indirect migration background","26","","",""
"No","2002","Couple + C. LE 16 ","no migration background","2550","0.64373456732823","0.62859361621773","0.65887551843873"
"No","2002","Couple + C. LE 16 ","direct migration background","472","0.64459028845057","0.610335287516581","0.67884528938456"
"No","2002","Couple + C. LE 16 ","indirect migration background","86","0.487848335783335","0.412487371516329","0.563209300050342"
"No","2002","Couple + C. GT 16 ","no migration background","2357","0.691641639485382","0.676026463538452","0.707256815432312"
"No","2002","Couple + C. GT 16 ","direct migration background","307","0.670825073946818","0.627262618989501","0.714387528904134"
"No","2002","Couple + C. GT 16 ","indirect migration background","139","0.661698431397788","0.596613248386782","0.726783614408794"
"No","2002","Couple + C. LE and GT 16","no migration background","987","0.634389367917438","0.61021011022828","0.658568625606597"
"No","2002","Couple + C. LE and GT 16","direct migration background","181","0.600992611830397","0.545763297085654","0.656221926575139"
"No","2002","Couple + C. LE and GT 16","indirect migration background","74","0.523323167985083","0.437134486099587","0.609511849870578"
"Yes","2003","1-pers.-HH","no migration background","","","",""
"Yes","2003","1-pers.-HH","direct migration background","","","",""
"Yes","2003","1-pers.-HH","indirect migration background","","","",""
"Yes","2003","(Married) couple without C. ","no migration background","","","",""
"Yes","2003","(Married) couple without C. ","direct migration background","","","",""
"Yes","2003","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2003","Single parent ","no migration background","","","",""
"Yes","2003","Single parent ","direct migration background","","","",""
"Yes","2003","Single parent ","indirect migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2003","1-pers.-HH","no migration background","","","",""
"No","2003","1-pers.-HH","direct migration background","","","",""
"No","2003","1-pers.-HH","indirect migration background","","","",""
"No","2003","(Married) couple without C. ","no migration background","","","",""
"No","2003","(Married) couple without C. ","direct migration background","","","",""
"No","2003","(Married) couple without C. ","indirect migration background","","","",""
"No","2003","Single parent ","no migration background","","","",""
"No","2003","Single parent ","direct migration background","","","",""
"No","2003","Single parent ","indirect migration background","","","",""
"No","2003","Couple + C. LE 16 ","no migration background","","","",""
"No","2003","Couple + C. LE 16 ","direct migration background","","","",""
"No","2003","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2003","Couple + C. GT 16 ","no migration background","","","",""
"No","2003","Couple + C. GT 16 ","direct migration background","","","",""
"No","2003","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2003","Couple + C. LE and GT 16","no migration background","","","",""
"No","2003","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2003","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2004","1-pers.-HH","no migration background","814","0.302296961963012","0.284718375653475","0.319875548272548"
"Yes","2004","1-pers.-HH","direct migration background","69","0.299487989853316","0.238825039031313","0.360150940675319"
"Yes","2004","1-pers.-HH","indirect migration background","44","0.544903428171584","0.439038969705392","0.650767886637777"
"Yes","2004","(Married) couple without C. ","no migration background","1474","0.223450472136301","0.213266454109909","0.233634490162693"
"Yes","2004","(Married) couple without C. ","direct migration background","168","0.230104479520879","0.199758280282944","0.260450678758815"
"Yes","2004","(Married) couple without C. ","indirect migration background","44","0.303062316418338","0.218325564617539","0.387799068219136"
"Yes","2004","Single parent ","no migration background","406","0.476303102659934","0.443398385551291","0.509207819768577"
"Yes","2004","Single parent ","direct migration background","55","0.417472661172037","0.333976238657646","0.500969083686428"
"Yes","2004","Single parent ","indirect migration background","31","0.413058977157189","0.301624206333133","0.524493747981244"
"Yes","2004","Couple + C. LE 16 ","no migration background","1045","0.332628570570329","0.316511866576524","0.348745274564134"
