"ple0081_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2017","in school","East Germany","","","",""
"Yes","2017","inadequately","West Germany","","","",""
"Yes","2017","inadequately","East Germany","","","",""
"Yes","2017","general elemantary","West Germany","","","",""
"Yes","2017","general elemantary","East Germany","","","",""
"Yes","2017","middle vocational","West Germany","","","",""
"Yes","2017","middle vocational","East Germany","","","",""
"Yes","2017","vocational + Abi","West Germany","","","",""
"Yes","2017","vocational + Abi","East Germany","","","",""
"Yes","2017","higher vocational","West Germany","","","",""
"Yes","2017","higher vocational","East Germany","","","",""
"Yes","2017","higher education","West Germany","","","",""
"Yes","2017","higher education","East Germany","","","",""
"No","2017","in school","West Germany","","","",""
"No","2017","in school","East Germany","","","",""
"No","2017","inadequately","West Germany","","","",""
"No","2017","inadequately","East Germany","","","",""
"No","2017","general elemantary","West Germany","","","",""
"No","2017","general elemantary","East Germany","","","",""
"No","2017","middle vocational","West Germany","","","",""
"No","2017","middle vocational","East Germany","","","",""
"No","2017","vocational + Abi","West Germany","","","",""
"No","2017","vocational + Abi","East Germany","","","",""
"No","2017","higher vocational","West Germany","","","",""
"No","2017","higher vocational","East Germany","","","",""
"No","2017","higher education","West Germany","","","",""
"No","2017","higher education","East Germany","","","",""
"Yes","2018","in school","West Germany","27","","",""
"Yes","2018","in school","East Germany","6","","",""
"Yes","2018","inadequately","West Germany","198","0.457505377099513","0.409689086320783","0.505321667878243"
"Yes","2018","inadequately","East Germany","31","0.419083326995871","0.29210160668988","0.546065047301861"
"Yes","2018","general elemantary","West Germany","823","0.326068269532426","0.306775757156365","0.345360781908487"
"Yes","2018","general elemantary","East Germany","179","0.397916093949556","0.349707467292052","0.44612472060706"
"Yes","2018","middle vocational","West Germany","2412","0.266960820363386","0.257674855916458","0.276246784810314"
"Yes","2018","middle vocational","East Germany","902","0.309744168823996","0.29252178654683","0.326966551101162"
"Yes","2018","vocational + Abi","West Germany","444","0.25275383429473","0.232637971249143","0.272869697340317"
"Yes","2018","vocational + Abi","East Germany","104","0.323983441927424","0.272707555599995","0.375259328254854"
"Yes","2018","higher vocational","West Germany","204","0.204214633243162","0.179946489301523","0.228482777184801"
"Yes","2018","higher vocational","East Germany","75","0.214822685385753","0.173957246215262","0.255688124556244"
"Yes","2018","higher education","West Germany","667","0.15302606824991","0.142968452991985","0.163083683507834"
"Yes","2018","higher education","East Germany","217","0.14841003694408","0.129741106549509","0.167078967338651"
"No","2018","in school","West Germany","252","0.924854883462695","0.893921090993504","0.955788675931886"
"No","2018","in school","East Germany","50","0.883281025830737","0.799185234978261","0.967376816683212"
"No","2018","inadequately","West Germany","219","0.542494622900487","0.494678332121757","0.590310913679217"
"No","2018","inadequately","East Germany","27","","",""
"No","2018","general elemantary","West Germany","1445","0.673931730467574","0.654639218091512","0.693224242843635"
"No","2018","general elemantary","East Germany","217","0.602083906050444","0.553875279392941","0.650292532707948"
"No","2018","middle vocational","West Germany","6306","0.733039179636614","0.723753215189686","0.742325144083542"
"No","2018","middle vocational","East Germany","1867","0.690255831176004","0.673033448898838","0.70747821345317"
"No","2018","vocational + Abi","West Germany","1349","0.74724616570527","0.727130302659683","0.767362028750857"
"No","2018","vocational + Abi","East Germany","216","0.676016558072576","0.624740671745147","0.727292444400005"
"No","2018","higher vocational","West Germany","856","0.795785366756838","0.771517222815199","0.820053510698477"
"No","2018","higher vocational","East Germany","313","0.785177314614247","0.744311875443756","0.826042753784738"
"No","2018","higher education","West Germany","4255","0.846973931750091","0.836916316492166","0.857031547008015"
"No","2018","higher education","East Germany","1176","0.85158996305592","0.832921032661349","0.870258893450491"
