"ple0081_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2002","16-34 y.","Not Employed","1154","0.686087971456535","0.663749692539119","0.70842625037395","2"
"No","2002","16-34 y.","Employed","2659","0.575800900786483","0.561404169961994","0.590197631610971","2"
"No","2002","66 and older","Not Employed","3072","0.901203227455974","0.891223223957612","0.911183230954335","2"
"No","2002","35-65 y.","Not Employed","2334","0.716011017608798","0.700416536772777","0.731605498444819","2"
"No","2002","35-65 y.","Employed","6695","0.639550252130314","0.630192118103882","0.648908386156746","2"
"No","2002","66 and older","Employed","175","0.871497165043751","0.825575000420085","0.917419329667417","2"
"Yes","2002","16-34 y.","Not Employed","504","0.313912028543465","0.29157374962605","0.336250307460881","1"
"Yes","2002","16-34 y.","Employed","1868","0.424199099213517","0.409802368389029","0.438595830038006","1"
"Yes","2002","35-65 y.","Not Employed","878","0.283988982391202","0.268394501555181","0.299583463227223","1"
"Yes","2002","35-65 y.","Employed","3417","0.360449747869686","0.351091613843254","0.369807881896119","1"
"Yes","2002","66 and older","Not Employed","362","0.0987967725440262","0.0888167690456647","0.108776776042388","1"
"Yes","2002","66 and older","Employed","29","","","","1"
"No","2003","16-34 y.","Not Employed","","","","","2"
"No","2003","16-34 y.","Employed","","","","","2"
"No","2003","66 and older","Not Employed","","","","","2"
"No","2003","66 and older","Employed","","","","","2"
"No","2003","35-65 y.","Not Employed","","","","","2"
"No","2003","35-65 y.","Employed","","","","","2"
"Yes","2003","16-34 y.","Not Employed","","","","","1"
"Yes","2003","16-34 y.","Employed","","","","","1"
"Yes","2003","35-65 y.","Not Employed","","","","","1"
"Yes","2003","35-65 y.","Employed","","","","","1"
"Yes","2003","66 and older","Not Employed","","","","","1"
"Yes","2003","66 and older","Employed","","","","","1"
"No","2004","16-34 y.","Not Employed","1172","0.677323531639544","0.655047919814674","0.699599143464413","2"
"No","2004","16-34 y.","Employed","2362","0.588969214712713","0.573611797765854","0.604326631659571","2"
"No","2004","66 and older","Not Employed","3192","0.896127933281121","0.8861297057735","0.906126160788742","2"
"No","2004","66 and older","Employed","190","0.846421012758536","0.799518697631387","0.893323327885685","2"
"No","2004","35-65 y.","Not Employed","2085","0.698035756610744","0.68140625821499","0.714665255006497","2"
"No","2004","35-65 y.","Employed","6276","0.647434160039185","0.637731862654238","0.657136457424131","2"
"Yes","2004","16-34 y.","Not Employed","520","0.322676468360456","0.300400856535586","0.344952080185326","1"
"Yes","2004","16-34 y.","Employed","1581","0.411030785287287","0.395673368340429","0.426388202234146","1"
"Yes","2004","35-65 y.","Not Employed","843","0.301964243389256","0.285334744993503","0.31859374178501","1"
"Yes","2004","35-65 y.","Employed","3039","0.352565839960815","0.342863542575869","0.362268137345762","1"
"Yes","2004","66 and older","Not Employed","385","0.103872066718879","0.093873839211258","0.1138702942265","1"
"Yes","2004","66 and older","Employed","37","0.153578987241464","0.106676672114315","0.200481302368613","1"
"No","2005","16-34 y.","Not Employed","","","","","2"
"No","2005","66 and older","Not Employed","","","","","2"
"No","2005","16-34 y.","Employed","","","","","2"
"No","2005","66 and older","Employed","","","","","2"
"No","2005","35-65 y.","Not Employed","","","","","2"
"No","2005","35-65 y.","Employed","","","","","2"
"Yes","2005","16-34 y.","Not Employed","","","","","1"
"Yes","2005","16-34 y.","Employed","","","","","1"
"Yes","2005","35-65 y.","Not Employed","","","","","1"
"Yes","2005","35-65 y.","Employed","","","","","1"
"Yes","2005","66 and older","Not Employed","","","","","1"
"Yes","2005","66 and older","Employed","","","","","1"
"No","2006","66 and older","Not Employed","3748","0.891792101210009","0.882395124152654","0.901189078267363","2"
"No","2006","66 and older","Employed","250","0.888056811716788","0.851705642812111","0.924407980621465","2"
"No","2006","16-34 y.","Not Employed","1003","0.639769586906428","0.615402071303767","0.66413710250909","2"
"No","2006","16-34 y.","Employed","2214","0.592853412246907","0.5769104235644","0.608796400929413","2"
"No","2006","35-65 y.","Not Employed","2030","0.674330788461968","0.657260193695837","0.6914013832281","2"
"No","2006","35-65 y.","Employed","6506","0.651570560974775","0.642005859002642","0.661135262946908","2"
"Yes","2006","16-34 y.","Not Employed","488","0.360230413093572","0.33586289749091","0.384597928696234","1"
"Yes","2006","16-34 y.","Employed","1434","0.407146587753093","0.391203599070586","0.4230895764356","1"
"Yes","2006","35-65 y.","Not Employed","865","0.325669211538031","0.3085986167719","0.342739806304163","1"
"Yes","2006","35-65 y.","Employed","3027","0.348429439025225","0.338864737053092","0.357994140997358","1"
"Yes","2006","66 and older","Not Employed","450","0.108207898789991","0.0988109217326365","0.117604875847346","1"
"Yes","2006","66 and older","Employed","39","0.111943188283212","0.0755920193785352","0.148294357187889","1"
"No","2007","66 and older","Not Employed","","","","","2"
"No","2007","66 and older","Employed","","","","","2"
"No","2007","16-34 y.","Not Employed","","","","","2"
"No","2007","16-34 y.","Employed","","","","","2"
"No","2007","35-65 y.","Not Employed","","","","","2"
"No","2007","35-65 y.","Employed","","","","","2"
"Yes","2007","16-34 y.","Not Employed","","","","","1"
"Yes","2007","16-34 y.","Employed","","","","","1"
"Yes","2007","35-65 y.","Not Employed","","","","","1"
"Yes","2007","35-65 y.","Employed","","","","","1"
"Yes","2007","66 and older","Not Employed","","","","","1"
"Yes","2007","66 and older","Employed","","","","","1"
"No","2008","66 and older","Not Employed","3625","0.889995060723529","0.880376331323284","0.899613790123774","2"
"No","2008","66 and older","Employed","246","0.879737740442619","0.842171897491455","0.917303583393783","2"
"No","2008","16-34 y.","Not Employed","901","0.708015340292838","0.682268672269371","0.733762008316304","2"
"No","2008","16-34 y.","Employed","1959","0.610119462488237","0.593143938542402","0.627094986434072","2"
"No","2008","35-65 y.","Not Employed","1583","0.688769042041441","0.669548250841568","0.707989833241314","2"
"No","2008","35-65 y.","Employed","5875","0.670037161778489","0.660014134098318","0.680060189458661","2"
"Yes","2008","16-34 y.","Not Employed","297","0.291984659707162","0.266237991683696","0.317731327730629","1"
"Yes","2008","16-34 y.","Employed","1212","0.389880537511763","0.372905013565928","0.406856061457598","1"
"Yes","2008","35-65 y.","Not Employed","646","0.311230957958559","0.292010166758686","0.330451749158432","1"
"Yes","2008","35-65 y.","Employed","2579","0.329962838221511","0.319939810541339","0.339985865901682","1"
"Yes","2008","66 and older","Not Employed","440","0.110004939276471","0.100386209876226","0.119623668676716","1"
"Yes","2008","66 and older","Employed","42","0.120262259557381","0.0826964166062168","0.157828102508545","1"
"No","2009","66 and older","Not Employed","","","","","2"
"No","2009","66 and older","Employed","","","","","2"
"No","2009","16-34 y.","Not Employed","","","","","2"
"No","2009","16-34 y.","Employed","","","","","2"
"No","2009","35-65 y.","Not Employed","","","","","2"
"No","2009","35-65 y.","Employed","","","","","2"
"Yes","2009","35-65 y.","Not Employed","","","","","1"
"Yes","2009","35-65 y.","Employed","","","","","1"
"Yes","2009","16-34 y.","Not Employed","","","","","1"
"Yes","2009","16-34 y.","Employed","","","","","1"
"Yes","2009","66 and older","Not Employed","","","","","1"
"Yes","2009","66 and older","Employed","","","","","1"
"No","2010","16-34 y.","Not Employed","682","0.719102843942885","0.689949936316868","0.748255751568903","2"
"No","2010","66 and older","Not Employed","3357","0.895192800717816","0.885395713628983","0.904989887806648","2"
"No","2010","66 and older","Employed","268","0.877657591995336","0.840882883365483","0.914432300625189","2"
"No","2010","16-34 y.","Employed","1735","0.648431092549501","0.630340941973504","0.666521243125499","2"
"No","2010","35-65 y.","Not Employed","1184","0.660417122123813","0.637885667823659","0.682948576423967","2"
"No","2010","35-65 y.","Employed","5145","0.67568346780512","0.665002624932153","0.686364310678087","2"
"Yes","2010","35-65 y.","Not Employed","513","0.339582877876187","0.317051423576033","0.362114332176341","1"
"Yes","2010","35-65 y.","Employed","2234","0.32431653219488","0.313635689321913","0.334997375067847","1"
"Yes","2010","66 and older","Not Employed","398","0.104807199282184","0.0950101121933516","0.114604286371017","1"
"Yes","2010","16-34 y.","Not Employed","231","0.280897156057115","0.251744248431097","0.310050063683132","1"
"Yes","2010","16-34 y.","Employed","941","0.351568907450499","0.333478756874502","0.369659058026496","1"
"Yes","2010","66 and older","Employed","37","0.122342408004664","0.0855676993748108","0.159117116634517","1"
"No","2011","16-34 y.","Not Employed","","","","","2"
"No","2011","16-34 y.","Employed","","","","","2"
"No","2011","66 and older","Not Employed","","","","","2"
"No","2011","66 and older","Employed","","","","","2"
"No","2011","35-65 y.","Not Employed","","","","","2"
"No","2011","35-65 y.","Employed","","","","","2"
"Yes","2011","35-65 y.","Not Employed","","","","","1"
"Yes","2011","35-65 y.","Employed","","","","","1"
"Yes","2011","66 and older","Not Employed","","","","","1"
"Yes","2011","66 and older","Employed","","","","","1"
"Yes","2011","16-34 y.","Not Employed","","","","","1"
"Yes","2011","16-34 y.","Employed","","","","","1"
"No","2012","16-34 y.","Not Employed","776","0.727913989643014","0.700827554435719","0.755000424850308","2"
"No","2012","16-34 y.","Employed","2043","0.670034104649326","0.653492782633419","0.686575426665234","2"
"No","2012","35-65 y.","Not Employed","1492","0.656941248671629","0.637130866488827","0.676751630854432","2"
"No","2012","35-65 y.","Employed","6271","0.684815426403008","0.675194075638795","0.694436777167221","2"
"No","2012","66 and older","Not Employed","4302","0.88966109515782","0.880804074366559","0.898518115949081","2"
"No","2012","66 and older","Employed","358","0.862757401035071","0.829449675578788","0.896065126491354","2"
"Yes","2012","35-65 y.","Not Employed","714","0.343058751328371","0.323248369145568","0.362869133511173","1"
"Yes","2012","35-65 y.","Employed","2686","0.315184573596992","0.305563222832779","0.324805924361205","1"
"Yes","2012","66 and older","Not Employed","505","0.11033890484218","0.101481884050919","0.119195925633441","1"
"Yes","2012","66 and older","Employed","52","0.137242598964929","0.103934873508646","0.170550324421212","1"
"Yes","2012","16-34 y.","Not Employed","261","0.272086010356986","0.244999575149692","0.299172445564281","1"
"Yes","2012","16-34 y.","Employed","1061","0.329965895350674","0.313424573334767","0.346507217366581","1"
"No","2013","16-34 y.","Not Employed","","","","","2"
"No","2013","16-34 y.","Employed","","","","","2"
"No","2013","35-65 y.","Not Employed","","","","","2"
"No","2013","35-65 y.","Employed","","","","","2"
"No","2013","66 and older","Not Employed","","","","","2"
"No","2013","66 and older","Employed","","","","","2"
"Yes","2013","35-65 y.","Not Employed","","","","","1"
"Yes","2013","35-65 y.","Employed","","","","","1"
"Yes","2013","66 and older","Not Employed","","","","","1"
"Yes","2013","66 and older","Employed","","","","","1"
"Yes","2013","16-34 y.","Not Employed","","","","","1"
"Yes","2013","16-34 y.","Employed","","","","","1"
"No","2014","16-34 y.","Not Employed","1365","0.724516044002212","0.704742639389059","0.744289448615366","2"
"No","2014","16-34 y.","Employed","3015","0.68259676257142","0.669166110949315","0.696027414193526","2"
"No","2014","35-65 y.","Not Employed","1898","0.634613542083296","0.617081609507408","0.652145474659185","2"
"No","2014","35-65 y.","Employed","9017","0.687319553263293","0.679253443941741","0.695385662584845","2"
"No","2014","66 and older","Not Employed","4031","0.890055684950959","0.880939150544654","0.899172219357264","2"
"No","2014","66 and older","Employed","402","0.857476886173979","0.82613767903537","0.888816093312589","2"
"Yes","2014","35-65 y.","Not Employed","1000","0.365386457916704","0.347854525340815","0.382918390492593","1"
"Yes","2014","35-65 y.","Employed","3672","0.312680446736707","0.304614337415155","0.320746556058259","1"
"Yes","2014","66 and older","Not Employed","492","0.109944315049041","0.100827780642736","0.119060849455346","1"
"Yes","2014","66 and older","Employed","76","0.142523113826021","0.111183906687411","0.17386232096463","1"
"Yes","2014","16-34 y.","Not Employed","596","0.275483955997787","0.255710551384634","0.295257360610941","1"
"Yes","2014","16-34 y.","Employed","1599","0.31740323742858","0.303972585806474","0.330833889050685","1"
"No","2015","16-34 y.","Not Employed","","","","","2"
"No","2015","16-34 y.","Employed","","","","","2"
"No","2015","35-65 y.","Not Employed","","","","","2"
"No","2015","35-65 y.","Employed","","","","","2"
"No","2015","66 and older","Not Employed","","","","","2"
"No","2015","66 and older","Employed","","","","","2"
"Yes","2015","35-65 y.","Not Employed","","","","","1"
"Yes","2015","35-65 y.","Employed","","","","","1"
"Yes","2015","16-34 y.","Not Employed","","","","","1"
"Yes","2015","66 and older","Not Employed","","","","","1"
