"ple0081_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2002","West Germany","Male","2974","0.356154429274122","0.34599292156205","0.366315936986195"
"Yes","2002","West Germany","Female","2478","0.259975432788903","0.250994071414428","0.268956794163378"
"Yes","2002","East Germany","Male","973","0.376156121494255","0.357684555739958","0.394627687248553"
"Yes","2002","East Germany","Female","633","0.217642795446189","0.202391205382266","0.232894385510111"
"No","2002","West Germany","Male","5557","0.643845570725878","0.633684063013805","0.65400707843795"
"No","2002","West Germany","Female","6684","0.740024567211097","0.731043205836622","0.749005928585572"
"No","2002","East Germany","Male","1669","0.623843878505745","0.605372312751447","0.642315444260042"
"No","2002","East Germany","Female","2179","0.782357204553811","0.767105614489889","0.797608794617734"
"Yes","2003","West Germany","Male","","","",""
"Yes","2003","West Germany","Female","","","",""
"Yes","2003","East Germany","Male","","","",""
"Yes","2003","East Germany","Female","","","",""
"No","2003","West Germany","Male","","","",""
"No","2003","West Germany","Female","","","",""
"No","2003","East Germany","Male","","","",""
"No","2003","East Germany","Female","","","",""
"Yes","2004","West Germany","Male","2641","0.348086864322524","0.337583081263251","0.358590647381797"
"Yes","2004","West Germany","Female","2245","0.255212051205885","0.245964824739914","0.264459277671856"
"Yes","2004","East Germany","Male","882","0.35580678713802","0.337062335311723","0.374551238964316"
"Yes","2004","East Germany","Female","637","0.232027822485365","0.216210505436342","0.247845139534388"
"No","2004","West Germany","Male","5260","0.651913135677476","0.641409352618203","0.662416918736749"
"No","2004","West Germany","Female","6294","0.744787948794115","0.735540722328144","0.754035175260086"
"No","2004","East Germany","Male","1624","0.644193212861981","0.625448761035684","0.662937664688277"
"No","2004","East Germany","Female","2099","0.767972177514635","0.752154860465612","0.783789494563658"
"Yes","2005","West Germany","Male","","","",""
"Yes","2005","West Germany","Female","","","",""
"Yes","2005","East Germany","Male","","","",""
"Yes","2005","East Germany","Female","","","",""
"No","2005","West Germany","Male","","","",""
"No","2005","West Germany","Female","","","",""
"No","2005","East Germany","Male","","","",""
"No","2005","East Germany","Female","","","",""
"Yes","2006","West Germany","Male","2552","0.34190288162205","0.331488282620592","0.352317480623509"
"Yes","2006","West Germany","Female","2273","0.271490590249227","0.262193466167826","0.280787714330628"
"Yes","2006","East Germany","Male","836","0.341264557570667","0.32280395407925","0.359725161062084"
"Yes","2006","East Germany","Female","642","0.227708617472088","0.212066511803842","0.243350723140334"
"No","2006","West Germany","Male","5417","0.65809711837795","0.647682519376491","0.668511717379408"
"No","2006","West Germany","Female","6517","0.728509409750773","0.719212285669372","0.737806533832174"
"No","2006","East Germany","Male","1698","0.658735442429333","0.640274838937916","0.67719604592075"
"No","2006","East Germany","Female","2119","0.772291382527912","0.756649276859666","0.787933488196158"
"Yes","2007","West Germany","Male","","","",""
"Yes","2007","West Germany","Female","","","",""
"Yes","2007","East Germany","Male","","","",""
"Yes","2007","East Germany","Female","","","",""
"No","2007","West Germany","Male","","","",""
"No","2007","West Germany","Female","","","",""
"No","2007","East Germany","Male","","","",""
"No","2007","East Germany","Female","","","",""
"Yes","2008","West Germany","Male","2111","0.325892164773374","0.314863254834303","0.336921074712444"
"Yes","2008","West Germany","Female","1814","0.245106276051371","0.235486624707647","0.254725927395094"
"Yes","2008","East Germany","Male","722","0.328820447858074","0.309654559433905","0.347986336282243"
"Yes","2008","East Germany","Female","569","0.237811692942372","0.221048946213895","0.25457443967085"
"No","2008","West Germany","Male","4827","0.674107835226626","0.663078925287556","0.685136745165696"
"No","2008","West Germany","Female","5867","0.754893723948629","0.745274072604906","0.764513375292353"
"No","2008","East Germany","Male","1586","0.671179552141926","0.652013663717756","0.690345440566095"
"No","2008","East Germany","Female","1909","0.762188307057628","0.74542556032915","0.778951053786105"
"Yes","2009","West Germany","Male","","","",""
"Yes","2009","West Germany","Female","","","",""
"Yes","2009","East Germany","Male","","","",""
"Yes","2009","East Germany","Female","","","",""
"No","2009","West Germany","Male","","","",""
"No","2009","West Germany","Female","","","",""
"No","2009","East Germany","Male","","","",""
"No","2009","East Germany","Female","","","",""
"Yes","2010","West Germany","Male","1751","0.311875690891979","0.300126379767927","0.323625002016031"
"Yes","2010","West Germany","Female","1510","0.234252609900587","0.22404631415789","0.244458905643284"
"Yes","2010","East Germany","Male","609","0.3045385222351","0.284313530306018","0.324763514164183"
"Yes","2010","East Germany","Female","484","0.214197172151055","0.196851403750404","0.231542940551705"
"No","2010","West Germany","Male","4221","0.688124309108021","0.676374997983969","0.699873620232073"
"No","2010","West Germany","Female","5105","0.765747390099413","0.755541094356716","0.77595368584211"
"No","2010","East Germany","Male","1380","0.6954614777649","0.675236485835817","0.715686469693982"
"No","2010","East Germany","Female","1665","0.785802827848945","0.768457059448295","0.803148596249596"
"Yes","2011","West Germany","Male","","","",""
"Yes","2011","West Germany","Female","","","",""
"Yes","2011","East Germany","Male","","","",""
"Yes","2011","East Germany","Female","","","",""
"No","2011","West Germany","Male","","","",""
"No","2011","West Germany","Female","","","",""
"No","2011","East Germany","Male","","","",""
"No","2011","East Germany","Female","","","",""
"Yes","2012","West Germany","Male","2063","0.297891605652743","0.287444141310713","0.308339069994772"
"Yes","2012","West Germany","Female","1880","0.228626566610946","0.219594773962303","0.237658359259589"
"Yes","2012","East Germany","Male","727","0.330962908131861","0.311723671384763","0.350202144878959"
"Yes","2012","East Germany","Female","609","0.221286694798373","0.205196949263127","0.237376440333619"
"No","2012","West Germany","Male","5298","0.702108394347257","0.691660930005228","0.712555858689287"
"No","2012","West Germany","Female","6425","0.771373433389054","0.762341640740411","0.780405226037697"
"No","2012","East Germany","Male","1571","0.669037091868139","0.649797855121041","0.688276328615237"
"No","2012","East Germany","Female","1948","0.778713305201627","0.762623559666381","0.794803050736873"
"Yes","2013","West Germany","Male","","","",""
"Yes","2013","West Germany","Female","","","",""
"Yes","2013","East Germany","Male","","","",""
"Yes","2013","East Germany","Female","","","",""
"No","2013","West Germany","Male","","","",""
"No","2013","West Germany","Female","","","",""
"No","2013","East Germany","Male","","","",""
"No","2013","East Germany","Female","","","",""
"Yes","2014","West Germany","Male","3025","0.299332015868109","0.29032084547897","0.308343186257247"
