"ple0081_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","1-pers.-HH","(0) in school","2","","",""
"Yes","2002","1-pers.-HH","(1a) inadequately completed","9","","",""
"Yes","2002","1-pers.-HH","(1b) general elementary school","93","0.209247025630946","0.169679842049041","0.248814209212851"
"Yes","2002","1-pers.-HH","(1c) basic vocational qualification","297","0.30112976528452","0.271958087817073","0.330301442751967"
"Yes","2002","1-pers.-HH","(2b) intermediate general qualification","17","","",""
"Yes","2002","1-pers.-HH","(2a) intermediate vocational","262","0.35621054089501","0.319895614017554","0.392525467772467"
"Yes","2002","1-pers.-HH","(2c_gen) general maturity certificate","44","0.35348689604614","0.274014553188609","0.43295923890367"
"Yes","2002","1-pers.-HH","(2c_voc) vocational maturity certificate","90","0.335788308614177","0.277246770344099","0.394329846884255"
"Yes","2002","1-pers.-HH","(3a) lower tertiary education","77","0.351767717976482","0.288952492640214","0.41458294331275"
"Yes","2002","1-pers.-HH","(3b) higher tertiary education","85","0.281506198977494","0.231116371443807","0.33189602651118"
"Yes","2002","(Married) couple without C. ","(0) in school","2","","",""
"Yes","2002","(Married) couple without C. ","(1a) inadequately completed","26","","",""
"Yes","2002","(Married) couple without C. ","(1b) general elementary school","136","0.178379049662646","0.150721298870977","0.206036800454315"
"Yes","2002","(Married) couple without C. ","(1c) basic vocational qualification","633","0.222267142811174","0.206839525894542","0.237694759727805"
"Yes","2002","(Married) couple without C. ","(2b) intermediate general qualification","29","","",""
"Yes","2002","(Married) couple without C. ","(2a) intermediate vocational","441","0.281227712990716","0.258452528144775","0.304002897836657"
"Yes","2002","(Married) couple without C. ","(2c_gen) general maturity certificate","34","0.26892245626104","0.182873964637804","0.354970947884277"
"Yes","2002","(Married) couple without C. ","(2c_voc) vocational maturity certificate","122","0.212947752764997","0.175536048944388","0.250359456585607"
"Yes","2002","(Married) couple without C. ","(3a) lower tertiary education","152","0.20960952744926","0.179499864591027","0.239719190307494"
"Yes","2002","(Married) couple without C. ","(3b) higher tertiary education","188","0.177972818026863","0.154110675106689","0.201834960947037"
"Yes","2002","Single parent ","(0) in school","19","","",""
"Yes","2002","Single parent ","(1a) inadequately completed","10","","",""
"Yes","2002","Single parent ","(1b) general elementary school","75","0.468747351775638","0.392373246667244","0.545121456884031"
"Yes","2002","Single parent ","(1c) basic vocational qualification","138","0.552362195756373","0.49203638193878","0.612688009573965"
"Yes","2002","Single parent ","(2b) intermediate general qualification","49","0.514561335295526","0.408931981601765","0.620190688989286"
"Yes","2002","Single parent ","(2a) intermediate vocational","131","0.479991803118298","0.421577804471024","0.538405801765573"
"Yes","2002","Single parent ","(2c_gen) general maturity certificate","23","","",""
"Yes","2002","Single parent ","(2c_voc) vocational maturity certificate","20","","",""
"Yes","2002","Single parent ","(3a) lower tertiary education","12","","",""
"Yes","2002","Single parent ","(3b) higher tertiary education","17","","",""
"Yes","2002","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2002","Couple + C. LE 16 ","(1a) inadequately completed","26","","",""
"Yes","2002","Couple + C. LE 16 ","(1b) general elementary school","156","0.539202631854051","0.480502482922567","0.597902780785536"
"Yes","2002","Couple + C. LE 16 ","(1c) basic vocational qualification","511","0.459788309092993","0.430845066782042","0.488731551403944"
