"ple0081_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Schleswig-Holstein","Female","274","0.711968227858367","0.666377241217314","0.75755921449942","2"
"No","2002","Hamburg","Male","100","0.607876732305868","0.528952840907588","0.686800623704149","2"
"No","2002","Brandenburg","Female","396","0.796666488262503","0.761317566205723","0.832015410319283","2"
"No","2002","Hamburg","Female","131","0.685860808816761","0.618424863273237","0.753296754360285","2"
"No","2002","Mecklenburg-Western Pomerania","Male","149","0.624678589626635","0.562505834824803","0.686851344428468","2"
"No","2002","Brandenburg","Male","303","0.624119715641185","0.580331435649399","0.667907995632971","2"
"No","2002","Schleswig-Holstein","Male","229","0.635338753026057","0.584767239851469","0.685910266200645","2"
"No","2002","Lower Saxony","Male","624","0.63422994191082","0.60393529310272","0.664524590718921","2"
"No","2002","Lower Saxony","Female","724","0.733723259327213","0.7065442266033","0.760902292051126","2"
"No","2002","Bremen","Male","49","0.636606938696149","0.531210218421748","0.74200365897055","2"
"No","2002","Mecklenburg-Western Pomerania","Female","212","0.732773577960163","0.681398764249106","0.78414839167122","2"
"No","2002","Bremen","Female","61","0.694419478182485","0.600796942831282","0.788042013533687","2"
"No","2002","North Rhine-Westphalia","Male","1480","0.612159365006034","0.592558888154939","0.631759841857129","2"
"No","2002","Hesse","Male","524","0.65965609640854","0.62661516179877","0.692697031018311","2"
"No","2002","North Rhine-Westphalia","Female","1832","0.744849039622117","0.727821458309218","0.761876620935015","2"
"No","2002","Saxony","Male","539","0.656658826204743","0.624059987926017","0.68925766448347","2"
"No","2002","Hesse","Female","614","0.739782384412233","0.710390221368595","0.769174547455871","2"
"No","2002","Rhineland-Palatinate,Saarland","Male","417","0.63490692777366","0.597922881334841","0.67189097421248","2"
"No","2002","Baden-Württemberg","Male","924","0.677731709151679","0.653101126150507","0.70236229215285","2"
"No","2002","Saxony","Female","691","0.834580298440507","0.809498308788272","0.859662288092741","2"
"No","2002","Rhineland-Palatinate,Saarland","Female","530","0.73793633377831","0.706013812862534","0.769858854694085","2"
"No","2002","Baden-Württemberg","Female","1087","0.766726760503341","0.744860602704515","0.788592918302166","2"
"No","2002","Bavaria","Male","1074","0.680128763545131","0.65699055105536","0.703266976034902","2"
"No","2002","Bavaria","Female","1272","0.751358997782806","0.730872856879533","0.771845138686079","2"
"No","2002","Berlin","Male","238","0.571216278520988","0.523017058343539","0.619415498698436","2"
"No","2002","Berlin","Female","281","0.64679718185496","0.601515521168444","0.692078842541477","2"
"No","2002","Saxony-Anhalt","Male","277","0.5946392799131","0.549918926826492","0.639359632999708","2"
"No","2002","Saxony-Anhalt","Female","385","0.766702241890886","0.730032631957662","0.803371851824109","2"
"No","2002","Thuringia","Male","299","0.633453850124146","0.590436228721621","0.676471471526672","2"
"No","2002","Thuringia","Female","373","0.782631089699244","0.7460740581456","0.819188121252888","2"
"Yes","2002","Schleswig-Holstein","Male","119","0.364661246973943","0.314089733799355","0.415232760148531","1"
"Yes","2002","Schleswig-Holstein","Female","105","0.288031772141633","0.24244078550058","0.333622758782686","1"
"Yes","2002","Hamburg","Male","47","0.392123267694132","0.313199376295851","0.471047159092412","1"
"Yes","2002","Hamburg","Female","51","0.314139191183239","0.246703245639714","0.381575136726763","1"
"Yes","2002","Lower Saxony","Male","347","0.36577005808918","0.335475409281079","0.39606470689728","1"
"Yes","2002","Lower Saxony","Female","292","0.266276740672787","0.239097707948874","0.2934557733967","1"
"Yes","2002","Bremen","Male","31","0.363393061303851","0.25799634102945","0.468789781578253","1"
"Yes","2002","Bremen","Female","32","0.305580521817515","0.211957986466313","0.399203057168718","1"
"Yes","2002","North Rhine-Westphalia","Male","894","0.387840634993966","0.368240158142871","0.407441111845061","1"
"Yes","2002","North Rhine-Westphalia","Female","686","0.255150960377883","0.238123379064985","0.272178541690782","1"
"Yes","2002","Hesse","Male","266","0.34034390359146","0.307302968981689","0.37338483820123","1"
"Yes","2002","Hesse","Female","242","0.260217615587767","0.230825452544129","0.289609778631405","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Male","234","0.36509307222634","0.32810902578752","0.402077118665159","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Female","199","0.26206366622169","0.230141145305915","0.293986187137466","1"
"Yes","2002","Baden-Württemberg","Male","459","0.322268290848321","0.29763770784715","0.346898873849493","1"
"Yes","2002","Baden-Württemberg","Female","350","0.233273239496659","0.211407081697833","0.255139397295485","1"
"Yes","2002","Bavaria","Male","487","0.319871236454869","0.296733023965098","0.34300944894464","1"
"Yes","2002","Bavaria","Female","438","0.248641002217194","0.228154861313922","0.269127143120467","1"
"Yes","2002","Berlin","Male","167","0.428783721479012","0.380584501301564","0.476982941656461","1"
"Yes","2002","Berlin","Female","147","0.35320281814504","0.307921157458523","0.398484478831556","1"
"Yes","2002","Brandenburg","Male","167","0.375880284358815","0.332092004367029","0.419668564350601","1"
"Yes","2002","Brandenburg","Female","102","0.203333511737497","0.167984589680717","0.238682433794278","1"
"Yes","2002","Mecklenburg-Western Pomerania","Male","84","0.375321410373365","0.313148655571532","0.437494165175197","1"
"Yes","2002","Mecklenburg-Western Pomerania","Female","73","0.267226422039837","0.21585160832878","0.318601235750894","1"
"Yes","2002","Saxony","Male","276","0.343341173795257","0.31074233551653","0.375940012073983","1"
"Yes","2002","Saxony","Female","152","0.165419701559493","0.140337711907259","0.190501691211728","1"
"Yes","2002","Saxony-Anhalt","Male","186","0.4053607200869","0.360640367000292","0.450081073173508","1"
"Yes","2002","Saxony-Anhalt","Female","126","0.233297758109114","0.196628148175891","0.269967368042338","1"
"Yes","2002","Thuringia","Male","183","0.366546149875854","0.323528528473328","0.409563771278379","1"
