"ple0081_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","16-34 y.","lower secondary degree","691","0.562511242856081","0.535010644934602","0.590011840777559"
"Yes","2002","16-34 y.","secondary school degree","883","0.414769497249948","0.393816907150184","0.435722087349713"
"Yes","2002","16-34 y.","college entrance qualification","491","0.295312966569043","0.274030834472197","0.316595098665889"
"Yes","2002","16-34 y.","Other degree","71","0.308033364969371","0.247164751168642","0.3689019787701"
"Yes","2002","16-34 y.","no degree/no degree yet","164","0.266486147902742","0.232983702235956","0.299988593569529"
"Yes","2002","35-65 y.","lower secondary degree","1742","0.381535911247683","0.367682265677695","0.395389556817671"
"Yes","2002","35-65 y.","secondary school degree","1327","0.334415222972292","0.319926316947913","0.348904128996671"
"Yes","2002","35-65 y.","college entrance qualification","839","0.266623743943137","0.251689787394504","0.28155770049177"
"Yes","2002","35-65 y.","Other degree","298","0.305077841314307","0.275783185675823","0.334372496952792"
"Yes","2002","35-65 y.","no degree/no degree yet","75","0.439615137032389","0.36690397384209","0.512326300222689"
"Yes","2002","66 and older","lower secondary degree","228","0.0906702791171884","0.0791896846912311","0.102150873543146"
"Yes","2002","66 and older","secondary school degree","65","0.12386071706981","0.0954096966098085","0.152311737529812"
"Yes","2002","66 and older","college entrance qualification","63","0.118347022214618","0.0894498744214221","0.147244170007814"
"Yes","2002","66 and older","Other degree","27","","",""
"Yes","2002","66 and older","no degree/no degree yet","5","","",""
"No","2002","16-34 y.","lower secondary degree","559","0.437488757143919","0.409988159222441","0.464989355065398"
"No","2002","16-34 y.","secondary school degree","1241","0.585230502750052","0.564277912650287","0.606183092849816"
"No","2002","16-34 y.","college entrance qualification","1274","0.704687033430957","0.683404901334111","0.725969165527803"
"No","2002","16-34 y.","Other degree","150","0.691966635030629","0.6310980212299","0.752835248831358"
"No","2002","16-34 y.","no degree/no degree yet","505","0.733513852097258","0.700011406430471","0.767016297764044"
"No","2002","35-65 y.","lower secondary degree","2981","0.618464088752317","0.604610443182329","0.632317734322305"
"No","2002","35-65 y.","secondary school degree","2746","0.665584777027708","0.651095871003329","0.680073683052087"
"No","2002","35-65 y.","college entrance qualification","2529","0.733376256056863","0.71844229950823","0.748310212605496"
"No","2002","35-65 y.","Other degree","651","0.694922158685693","0.665627503047208","0.724216814324177"
"No","2002","35-65 y.","no degree/no degree yet","104","0.560384862967611","0.487673699777311","0.63309602615791"
"No","2002","66 and older","lower secondary degree","2175","0.909329720882812","0.897849126456854","0.920810315308769"
"No","2002","66 and older","secondary school degree","450","0.87613928293019","0.847688262470188","0.904590303390191"
"No","2002","66 and older","college entrance qualification","417","0.881652977785382","0.852755829992185","0.910550125578578"
"No","2002","66 and older","Other degree","131","0.867071419305189","0.814134804329216","0.920008034281161"
"No","2002","66 and older","no degree/no degree yet","63","0.9404693687561","0.884230547941716","0.996708189570484"
"Yes","2003","16-34 y.","lower secondary degree","","","",""
"Yes","2003","16-34 y.","secondary school degree","","","",""
"Yes","2003","16-34 y.","college entrance qualification","","","",""
"Yes","2003","16-34 y.","Other degree","","","",""
"Yes","2003","16-34 y.","no degree/no degree yet","","","",""
"Yes","2003","35-65 y.","lower secondary degree","","","",""
"Yes","2003","35-65 y.","secondary school degree","","","",""
"Yes","2003","35-65 y.","college entrance qualification","","","",""
"Yes","2003","35-65 y.","Other degree","","","",""
"Yes","2003","35-65 y.","no degree/no degree yet","","","",""
"Yes","2003","66 and older","lower secondary degree","","","",""
"Yes","2003","66 and older","secondary school degree","","","",""
"Yes","2003","66 and older","college entrance qualification","","","",""
"Yes","2003","66 and older","Other degree","","","",""
"Yes","2003","66 and older","no degree/no degree yet","","","",""
"No","2003","16-34 y.","lower secondary degree","","","",""
"No","2003","16-34 y.","secondary school degree","","","",""
"No","2003","16-34 y.","college entrance qualification","","","",""
"No","2003","16-34 y.","Other degree","","","",""
"No","2003","16-34 y.","no degree/no degree yet","","","",""
"No","2003","35-65 y.","lower secondary degree","","","",""
"No","2003","35-65 y.","secondary school degree","","","",""
"No","2003","35-65 y.","college entrance qualification","","","",""
"No","2003","35-65 y.","Other degree","","","",""
"No","2003","35-65 y.","no degree/no degree yet","","","",""
"No","2003","66 and older","lower secondary degree","","","",""
"No","2003","66 and older","secondary school degree","","","",""
"No","2003","66 and older","college entrance qualification","","","",""
"No","2003","66 and older","Other degree","","","",""
"No","2003","66 and older","no degree/no degree yet","","","",""
"Yes","2004","16-34 y.","lower secondary degree","553","0.503166227873871","0.472837154746345","0.533495301001396"
"Yes","2004","16-34 y.","secondary school degree","719","0.415821993288917","0.392874113749906","0.438769872827927"
"Yes","2004","16-34 y.","college entrance qualification","465","0.304226923949081","0.282121234593273","0.326332613304889"
"Yes","2004","16-34 y.","Other degree","69","0.375028706965649","0.305639874737975","0.444417539193322"
"Yes","2004","16-34 y.","no degree/no degree yet","179","0.276831862489233","0.243325252999454","0.310338471979013"
"Yes","2004","35-65 y.","lower secondary degree","1530","0.387119318106153","0.372151172224248","0.402087463988058"
"Yes","2004","35-65 y.","secondary school degree","1282","0.336999788166879","0.322307259366964","0.351692316966793"
"Yes","2004","35-65 y.","college entrance qualification","757","0.269944961842279","0.254500952907806","0.285388970776752"
"Yes","2004","35-65 y.","Other degree","231","0.277639206672004","0.247227340489435","0.308051072854572"
"Yes","2004","35-65 y.","no degree/no degree yet","70","0.459865529442333","0.381906820113706","0.53782423877096"
"Yes","2004","66 and older","lower secondary degree","246","0.101074817963712","0.0891803019993068","0.112969333928118"
"Yes","2004","66 and older","secondary school degree","77","0.137437370612704","0.108504176596431","0.166370564628977"
"Yes","2004","66 and older","college entrance qualification","69","0.100696165563202","0.0753385071267052","0.126053823999698"
"Yes","2004","66 and older","Other degree","25","","",""
"Yes","2004","66 and older","no degree/no degree yet","5","","",""
"No","2004","16-34 y.","lower secondary degree","491","0.496833772126129","0.466504698998604","0.527162845253655"
"No","2004","16-34 y.","secondary school degree","1053","0.584178006711083","0.561230127172073","0.607125886250094"
"No","2004","16-34 y.","college entrance qualification","1199","0.695773076050919","0.673667386695111","0.717878765406727"
"No","2004","16-34 y.","Other degree","118","0.624971293034351","0.555582460806678","0.694360125262025"
"No","2004","16-34 y.","no degree/no degree yet","506","0.723168137510767","0.689661528020987","0.756674747000546"
"No","2004","35-65 y.","lower secondary degree","2538","0.612880681893847","0.597912536011942","0.627848827775752"
"No","2004","35-65 y.","secondary school degree","2694","0.663000211833121","0.648307683033207","0.677692740633036"
