"ple0081_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","16-34 y.","1-pers.-HH","325","0.460665635743239","0.424307513391427","0.497023758095051"
"Yes","2002","16-34 y.","(Married) couple without C. ","387","0.355950236508368","0.32670980117555","0.385190671841186"
"Yes","2002","16-34 y.","Single parent ","241","0.513993580208645","0.469281248072986","0.558705912344304"
"Yes","2002","16-34 y.","Couple + C. LE 16 ","593","0.39633442400479","0.371605927972731","0.421062920036849"
"Yes","2002","16-34 y.","Couple + C. GT 16 ","500","0.342418665902461","0.318356969311575","0.366480362493347"
"Yes","2002","16-34 y.","Couple + C. LE and GT 16","250","0.351744019463703","0.317032988525796","0.386455050401611"
"Yes","2002","35-65 y.","1-pers.-HH","543","0.426856970826568","0.399513530980428","0.454200410672709"
"Yes","2002","35-65 y.","(Married) couple without C. ","1160","0.274425205587785","0.26106305220148","0.28778735897409"
"Yes","2002","35-65 y.","Single parent ","258","0.467537951935014","0.426862073942588","0.50821382992744"
"Yes","2002","35-65 y.","Couple + C. LE 16 ","1061","0.343713600009081","0.327394944392542","0.360032255625621"
"Yes","2002","35-65 y.","Couple + C. GT 16 ","683","0.311031199090806","0.292311091609835","0.329751306571778"
"Yes","2002","35-65 y.","Couple + C. LE and GT 16","461","0.397869421703309","0.370437863022941","0.425300980383678"
"Yes","2002","66 and older","1-pers.-HH","112","0.0985502304901643","0.080478924733872","0.116621536246457"
"Yes","2002","66 and older","(Married) couple without C. ","225","0.0976184612806794","0.0851308519412303","0.110106070620129"
"Yes","2002","66 and older","Single parent ","12","","",""
"Yes","2002","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2002","66 and older","Couple + C. GT 16 ","24","","",""
"Yes","2002","66 and older","Couple + C. LE and GT 16","2","","",""
"No","2002","16-34 y.","1-pers.-HH","397","0.539334364256761","0.502976241904949","0.575692486608573"
"No","2002","16-34 y.","(Married) couple without C. ","643","0.644049763491632","0.614809328158814","0.67329019882445"
"No","2002","16-34 y.","Single parent ","239","0.486006419791355","0.441294087655696","0.530718751927014"
"No","2002","16-34 y.","Couple + C. LE 16 ","910","0.60366557599521","0.578937079963151","0.628394072027269"
"No","2002","16-34 y.","Couple + C. GT 16 ","994","0.657581334097539","0.633519637506653","0.681643030688425"
"No","2002","16-34 y.","Couple + C. LE and GT 16","477","0.648255980536297","0.613544949598389","0.682967011474204"
