"ple0081_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Employed","middle vocational","4383","0.589590064872577","0.578367955438893","0.600812174306262","2"
"No","2002","Not Employed","inadequately","119","0.71812846277987","0.649270709370515","0.786986216189224","2"
"No","2002","Employed","vocational + Abi","584","0.681371565370167","0.650374363166575","0.71236876757376","2"
"No","2002","Employed","higher vocational","880","0.69395763093556","0.668571968915886","0.719343292955235","2"
"No","2002","Not Employed","general elemantary","1253","0.838858260103629","0.820683439320363","0.857033080886895","2"
"No","2002","Employed","in school","90","0.713936628679553","0.635647030412422","0.792226226946684","2"
"No","2002","Employed","inadequately","59","0.474084666577853","0.385115140542459","0.563054192613247","2"
"No","2002","Employed","general elemantary","695","0.500420707150582","0.473758857987743","0.527082556313421","2"
"No","2002","Employed","higher education","2788","0.746477347217498","0.732311889053484","0.760642805381512","2"
"No","2002","Not Employed","middle vocational","3317","0.787706309749563","0.775436509997868","0.799976109501259","2"
"No","2002","Not Employed","in school","389","0.779763769059837","0.743033883887935","0.81649365423174","2"
"No","2002","Not Employed","vocational + Abi","237","0.760586458531906","0.713236517340744","0.807936399723068","2"
"No","2002","Not Employed","higher vocational","399","0.836010482587609","0.803023748798291","0.868997216376928","2"
"No","2002","Not Employed","higher education","803","0.850206803209846","0.827489736419352","0.872923870000339","2"
"Yes","2002","Not Employed","in school","100","0.220236230940163","0.18350634576826","0.256966116112065","1"
"Yes","2002","Not Employed","inadequately","45","0.28187153722013","0.213013783810776","0.350729290629485","1"
"Yes","2002","Not Employed","general elemantary","319","0.161141739896371","0.142966919113105","0.179316560679637","1"
"Yes","2002","Not Employed","middle vocational","950","0.212293690250436","0.200023890498741","0.224563490002132","1"
"Yes","2002","Not Employed","vocational + Abi","75","0.239413541468094","0.192063600276932","0.286763482659256","1"
"Yes","2002","Not Employed","higher vocational","85","0.16398951741239","0.131002783623072","0.196976251201709","1"
"Yes","2002","Not Employed","higher education","145","0.149793196790154","0.127076129999661","0.172510263580647","1"
"Yes","2002","Employed","in school","38","0.286063371320447","0.207773773053316","0.364352969587578","1"
"Yes","2002","Employed","inadequately","62","0.525915333422147","0.436945807386753","0.614884859457541","1"
"Yes","2002","Employed","general elemantary","656","0.499579292849418","0.472917443686579","0.526241142012257","1"
"Yes","2002","Employed","middle vocational","2998","0.410409935127423","0.399187825693738","0.421632044561107","1"
"Yes","2002","Employed","vocational + Abi","284","0.318628434629833","0.287631232426241","0.349625636833425","1"
"Yes","2002","Employed","higher vocational","386","0.30604236906444","0.280656707044765","0.331428031084114","1"
"Yes","2002","Employed","higher education","835","0.253522652782502","0.239357194618488","0.267688110946516","1"
"No","2003","Not Employed","inadequately","","","","","2"
"No","2003","Not Employed","vocational + Abi","","","","","2"
"No","2003","Employed","middle vocational","","","","","2"
"No","2003","Employed","vocational + Abi","","","","","2"
"No","2003","Employed","higher vocational","","","","","2"
"No","2003","Employed","higher education","","","","","2"
"No","2003","Not Employed","general elemantary","","","","","2"
"No","2003","Not Employed","middle vocational","","","","","2"
"No","2003","Not Employed","in school","","","","","2"
"No","2003","Employed","in school","","","","","2"
