"ple0081_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Not Employed","Urban Area","1168","0.201637988698327","0.191017006385381","0.212258971011274"
"Yes","2002","Not Employed","Rural Area","576","0.184803574027898","0.170483149169657","0.199123998886139"
"Yes","2002","Employed","Urban Area","3622","0.383325004883264","0.373794777354935","0.392855232411593"
"Yes","2002","Employed","Rural Area","1692","0.361624191743368","0.348095115362351","0.375153268124385"
"No","2002","Not Employed","Urban Area","4314","0.798362011301673","0.787741028988726","0.808982993614619"
"No","2002","Not Employed","Rural Area","2246","0.815196425972102","0.800876001113861","0.829516850830343"
"No","2002","Employed","Urban Area","6376","0.616674995116736","0.607144767588407","0.626205222645065"
"No","2002","Employed","Rural Area","3153","0.638375808256632","0.624846731875615","0.651904884637649"
"Yes","2003","Not Employed","Urban Area","","","",""
"Yes","2003","Not Employed","Rural Area","","","",""
"Yes","2003","Employed","Urban Area","","","",""
"Yes","2003","Employed","Rural Area","","","",""
"No","2003","Not Employed","Urban Area","","","",""
"No","2003","Not Employed","Rural Area","","","",""
"No","2003","Employed","Urban Area","","","",""
"No","2003","Employed","Rural Area","","","",""
"Yes","2004","Not Employed","Urban Area","1162","0.205295808838453","0.194569206100775","0.21602241157613"
"Yes","2004","Not Employed","Rural Area","586","0.203472444367156","0.188425963138805","0.218518925595507"
"Yes","2004","Employed","Urban Area","3166","0.375847495821857","0.365871527696471","0.385823463947244"
"Yes","2004","Employed","Rural Area","1491","0.343737562721403","0.329751402531854","0.357723722910952"
"No","2004","Not Employed","Urban Area","4285","0.794704191161547","0.78397758842387","0.805430793899225"
"No","2004","Not Employed","Rural Area","2164","0.796527555632844","0.781481074404493","0.811574036861195"
"No","2004","Employed","Urban Area","5889","0.624152504178143","0.614176536052756","0.634128472303529"
"No","2004","Employed","Rural Area","2939","0.656262437278597","0.642276277089048","0.670248597468146"
"Yes","2005","Not Employed","Urban Area","","","",""
"Yes","2005","Not Employed","Rural Area","","","",""
"Yes","2005","Employed","Urban Area","","","",""
"Yes","2005","Employed","Rural Area","","","",""
"No","2005","Not Employed","Urban Area","","","",""
"No","2005","Not Employed","Rural Area","","","",""
"No","2005","Employed","Urban Area","","","",""
"No","2005","Employed","Rural Area","","","",""
"Yes","2006","Not Employed","Urban Area","1181","0.218691213513046","0.20790525932053","0.229477167705561"
"Yes","2006","Not Employed","Rural Area","622","0.209544919203059","0.194838602240733","0.224251236165385"
"Yes","2006","Employed","Urban Area","3043","0.370859504177385","0.360876754612125","0.380842253742644"
"Yes","2006","Employed","Rural Area","1457","0.338663627663281","0.324799308913449","0.352527946413113"
"No","2006","Not Employed","Urban Area","4461","0.781308786486954","0.770522832294439","0.79209474067947"
"No","2006","Not Employed","Rural Area","2320","0.790455080796941","0.775748763834615","0.805161397759267"
"No","2006","Employed","Urban Area","5951","0.629140495822615","0.619157746257356","0.639123245387875"
"No","2006","Employed","Rural Area","3019","0.661336372336719","0.647472053586887","0.675200691086551"
"Yes","2007","Not Employed","Urban Area","","","",""
"Yes","2007","Not Employed","Rural Area","","","",""
"Yes","2007","Employed","Urban Area","","","",""
"Yes","2007","Employed","Rural Area","","","",""
"No","2007","Not Employed","Urban Area","","","",""
