"ple0081_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2015","Employed","Not Working","","","","","2"
"Yes","2015","Not Employed","Not Working","","","","","1"
"Yes","2015","Employed","Full Time","","","","","1"
"Yes","2015","Not Employed","Full Time","","","","","1"
"Yes","2015","Employed","Part Time","","","","","1"
"Yes","2015","Not Employed","Part Time","","","","","1"
"Yes","2015","Employed","Not Working","","","","","1"
"No","2016","Not Employed","Full Time","","","","","2"
"No","2016","Not Employed","Part Time","","","","","2"
"No","2016","Not Employed","Not Working","6444","0.804730485384136","0.796107864917077","0.813353105851195","2"
"No","2016","Employed","Full Time","6397","0.697324768497891","0.687924778838184","0.706724758157598","2"
"No","2016","Employed","Part Time","5104","0.732661776747791","0.722271813817511","0.743051739678072","2"
"No","2016","Employed","Not Working","","","","","2"
"Yes","2016","Not Employed","Not Working","1675","0.195269514615864","0.186646894148805","0.203892135082923","1"
"Yes","2016","Employed","Full Time","2779","0.302675231502109","0.293275241842402","0.312075221161816","1"
"Yes","2016","Not Employed","Full Time","","","","","1"
"Yes","2016","Not Employed","Part Time","","","","","1"
"Yes","2016","Employed","Part Time","1866","0.267338223252209","0.256948260321928","0.277728186182489","1"
"Yes","2016","Employed","Not Working","","","","","1"
"No","2017","Not Employed","Full Time","","","","","2"
"No","2017","Not Employed","Part Time","","","","","2"
"No","2017","Not Employed","Not Working","","","","","2"
"No","2017","Employed","Full Time","","","","","2"
"No","2017","Employed","Part Time","","","","","2"
"No","2017","Employed","Not Working","","","","","2"
"Yes","2017","Not Employed","Not Working","","","","","1"
"Yes","2017","Employed","Full Time","","","","","1"
"Yes","2017","Not Employed","Full Time","","","","","1"
"Yes","2017","Not Employed","Part Time","","","","","1"
"Yes","2017","Employed","Part Time","","","","","1"
"Yes","2017","Employed","Not Working","","","","","1"
"No","2018","Not Employed","Full Time","","","","","2"
"No","2018","Not Employed","Part Time","","","","","2"
"No","2018","Not Employed","Not Working","6559","0.814662828827551","0.806260724085934","0.823064933569169","2"
"No","2018","Employed","Full Time","7076","0.709041257576752","0.70010273781481","0.717979777338694","2"
"No","2018","Employed","Part Time","5537","0.730920842791035","0.720913415263496","0.740928270318574","2"
"No","2018","Employed","Not Working","","","","","2"
"Yes","2018","Not Employed","Full Time","","","","","1"
"Yes","2018","Not Employed","Not Working","1657","0.185337171172449","0.176935066430831","0.193739275914066","1"
"Yes","2018","Employed","Full Time","2843","0.290958742423248","0.282020222661306","0.29989726218519","1"
"Yes","2018","Not Employed","Part Time","","","","","1"
"Yes","2018","Employed","Part Time","2007","0.269079157208965","0.259071729681426","0.279086584736503","1"
"Yes","2018","Employed","Not Working","","","","","1"
