"ple0081_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Full Time","inadequately","26","","",""
"Yes","2012","Full Time","general elemantary","206","0.447148787694423","0.401108370962031","0.493189204426815"
"Yes","2012","Full Time","middle vocational","1365","0.386310182720103","0.370268484344562","0.402351881095645"
"Yes","2012","Full Time","vocational + Abi","171","0.310196563217828","0.27205442506001","0.348338701375646"
"Yes","2012","Full Time","higher vocational","226","0.302654746319107","0.268450569497495","0.33685892314072"
"Yes","2012","Full Time","higher education","414","0.194503382489821","0.178045592985658","0.210961171993984"
"Yes","2012","Part Time","in school","13","","",""
"Yes","2012","Part Time","inadequately","27","","",""
"Yes","2012","Part Time","general elemantary","172","0.329057375070139","0.286441819272383","0.371672930867895"
"Yes","2012","Part Time","middle vocational","796","0.318206012285071","0.299980550773638","0.336431473796505"
"Yes","2012","Part Time","vocational + Abi","81","0.240524039705495","0.19760778010008","0.28344029931091"
"Yes","2012","Part Time","higher vocational","55","0.204725439668561","0.156052163543138","0.253398715793983"
"Yes","2012","Part Time","higher education","181","0.194103489107996","0.17008915545692","0.218117822759072"
"Yes","2012","Not Working","in school","32","0.163702381346051","0.114012699288248","0.213392063403853"
"Yes","2012","Not Working","inadequately","49","0.376677917451067","0.293701671952666","0.459654162949468"
"Yes","2012","Not Working","general elemantary","239","0.199237553895989","0.176666453802554","0.221808653989423"
"Yes","2012","Not Working","middle vocational","853","0.20291647404042","0.190831104948021","0.21500184313282"
"Yes","2012","Not Working","vocational + Abi","51","0.184542881024714","0.137748324043737","0.231337438005691"
"Yes","2012","Not Working","higher vocational","62","0.140688750713832","0.10968034334814","0.171697158079525"
"Yes","2012","Not Working","higher education","167","0.119918252113959","0.102802964645669","0.137033539582248"
"No","2012","Full Time","in school","","","",""
"No","2012","Full Time","inadequately","20","","",""
"No","2012","Full Time","general elemantary","242","0.552851212305578","0.506810795573186","0.59889162903797"
"No","2012","Full Time","middle vocational","2174","0.613689817279897","0.597648118904355","0.629731515655438"
"No","2012","Full Time","vocational + Abi","394","0.689803436782172","0.651661298624354","0.72794557493999"
"No","2012","Full Time","higher vocational","467","0.697345253680893","0.66314107685928","0.731549430502505"
"No","2012","Full Time","higher education","1808","0.805496617510179","0.789038828006016","0.821954407014342"
"No","2012","Part Time","in school","57","0.814649562315015","0.723620243423203","0.905678881206827"
"No","2012","Part Time","inadequately","27","","",""
"No","2012","Part Time","general elemantary","295","0.670942624929861","0.628327069132105","0.713558180727617"
"No","2012","Part Time","middle vocational","1713","0.681793987714929","0.663568526203495","0.700019449226362"
"No","2012","Part Time","vocational + Abi","300","0.759475960294505","0.71655970068909","0.80239221989992"
"No","2012","Part Time","higher vocational","209","0.795274560331439","0.746601284206016","0.843947836456862"
"No","2012","Part Time","higher education","861","0.805896510892004","0.781882177240928","0.82991084454308"
"No","2012","Not Working","in school","181","0.836297618653949","0.786607936596147","0.885987300711752"
"No","2012","Not Working","inadequately","82","0.623322082548933","0.540345837050532","0.706298328047334"
"No","2012","Not Working","general elemantary","964","0.800762446104011","0.778191346010577","0.823333546197446"
"No","2012","Not Working","middle vocational","3401","0.79708352595958","0.78499815686718","0.809168895051979"
"No","2012","Not Working","vocational + Abi","213","0.815457118975286","0.768662561994309","0.862251675956263"
"No","2012","Not Working","higher vocational","421","0.859311249286168","0.828302841920475","0.89031965665186"
"No","2012","Not Working","higher education","1217","0.880081747886041","0.862966460417752","0.897197035354331"
"Yes","2013","Full Time","in school","","","",""
"Yes","2013","Full Time","inadequately","","","",""
"Yes","2013","Full Time","general elemantary","","","",""
"Yes","2013","Full Time","middle vocational","","","",""
"Yes","2013","Full Time","vocational + Abi","","","",""
"Yes","2013","Full Time","higher vocational","","","",""
"Yes","2013","Full Time","higher education","","","",""
"Yes","2013","Part Time","in school","","","",""
"Yes","2013","Part Time","inadequately","","","",""
"Yes","2013","Part Time","general elemantary","","","",""
"Yes","2013","Part Time","middle vocational","","","",""
"Yes","2013","Part Time","vocational + Abi","","","",""
"Yes","2013","Part Time","higher vocational","","","",""
"Yes","2013","Part Time","higher education","","","",""
"Yes","2013","Not Working","in school","","","",""
"Yes","2013","Not Working","inadequately","","","",""
"Yes","2013","Not Working","general elemantary","","","",""
"Yes","2013","Not Working","middle vocational","","","",""
"Yes","2013","Not Working","vocational + Abi","","","",""
"Yes","2013","Not Working","higher vocational","","","",""
"Yes","2013","Not Working","higher education","","","",""
"No","2013","Full Time","in school","","","",""
"No","2013","Full Time","inadequately","","","",""
"No","2013","Full Time","general elemantary","","","",""
"No","2013","Full Time","middle vocational","","","",""
"No","2013","Full Time","vocational + Abi","","","",""
"No","2013","Full Time","higher vocational","","","",""
"No","2013","Full Time","higher education","","","",""
"No","2013","Part Time","in school","","","",""
"No","2013","Part Time","inadequately","","","",""
"No","2013","Part Time","general elemantary","","","",""
"No","2013","Part Time","middle vocational","","","",""
"No","2013","Part Time","vocational + Abi","","","",""
"No","2013","Part Time","higher vocational","","","",""
"No","2013","Part Time","higher education","","","",""
"No","2013","Not Working","in school","","","",""
"No","2013","Not Working","inadequately","","","",""
"No","2013","Not Working","general elemantary","","","",""
"No","2013","Not Working","middle vocational","","","",""
"No","2013","Not Working","vocational + Abi","","","",""
"No","2013","Not Working","higher vocational","","","",""
"No","2013","Not Working","higher education","","","",""
"Yes","2014","Full Time","in school","2","","",""
"Yes","2014","Full Time","inadequately","54","0.581968469302544","0.480066850268426","0.683870088336662"
"Yes","2014","Full Time","general elemantary","379","0.467180928635302","0.432190037141889","0.502171820128716"
"Yes","2014","Full Time","middle vocational","1705","0.37650051535804","0.362380484882212","0.390620545833868"
"Yes","2014","Full Time","vocational + Abi","292","0.323173604510166","0.292770163845117","0.353577045175216"
"Yes","2014","Full Time","higher vocational","205","0.281979004649282","0.250421726889466","0.313536282409098"
"Yes","2014","Full Time","higher education","524","0.188948091954708","0.174862182306311","0.203034001603106"
"Yes","2014","Part Time","in school","13","","",""
"Yes","2014","Part Time","inadequately","63","0.479927879399421","0.395338572193841","0.564517186605"
"Yes","2014","Part Time","general elemantary","361","0.433957236264581","0.400117063320803","0.467797409208358"
"Yes","2014","Part Time","middle vocational","1152","0.320402206300295","0.305032737531803","0.335771675068787"
"Yes","2014","Part Time","vocational + Abi","163","0.236210828001383","0.205566044344668","0.266855611658098"
"Yes","2014","Part Time","higher vocational","62","0.172425057919628","0.133295005100746","0.21155511073851"
"Yes","2014","Part Time","higher education","248","0.170752296927734","0.152811978195776","0.188692615659693"
"Yes","2014","Not Working","in school","49","0.132708685815867","0.097999275803388","0.167418095828346"
"Yes","2014","Not Working","inadequately","132","0.442824842229644","0.384850557718449","0.500799126740838"
"Yes","2014","Not Working","general elemantary","434","0.236459929124295","0.215035436124262","0.257884422124328"
"Yes","2014","Not Working","middle vocational","1025","0.209471711999362","0.19760592969146","0.221337494307264"
"Yes","2014","Not Working","vocational + Abi","103","0.211169898607845","0.171469687395589","0.250870109820101"
"Yes","2014","Not Working","higher vocational","63","0.12419981815358","0.093994852409948","0.154404783897213"
"Yes","2014","Not Working","higher education","209","0.127189531304015","0.110750347609529","0.1436287149985"
"No","2014","Full Time","in school","3","","",""
"No","2014","Full Time","inadequately","36","0.418031530697456","0.316129911663338","0.519933149731574"
"No","2014","Full Time","general elemantary","402","0.532819071364698","0.497828179871284","0.567809962858111"
"No","2014","Full Time","middle vocational","2818","0.62349948464196","0.609379454166132","0.637619515117788"
"No","2014","Full Time","vocational + Abi","617","0.676826395489834","0.646422954824784","0.707229836154883"
"No","2014","Full Time","higher vocational","576","0.718020995350718","0.686463717590902","0.749578273110534"
"No","2014","Full Time","higher education","2443","0.811051908045292","0.796965998396894","0.825137817693689"
"No","2014","Part Time","in school","64","0.703126903380898","0.601078783578074","0.805175023183723"
"No","2014","Part Time","inadequately","71","0.520072120600579","0.435482813394999","0.604661427806159"
"No","2014","Part Time","general elemantary","463","0.566042763735419","0.532202590791642","0.599882936679197"
"No","2014","Part Time","middle vocational","2389","0.679597793699705","0.664228324931213","0.694967262468197"
"No","2014","Part Time","vocational + Abi","575","0.763789171998617","0.733144388341902","0.794433955655332"
"No","2014","Part Time","higher vocational","296","0.827574942080372","0.78844488926149","0.866704994899254"
"No","2014","Part Time","higher education","1442","0.829247703072266","0.811307384340307","0.847188021804224"
"No","2014","Not Working","in school","318","0.867291314184133","0.832581904171654","0.902000724196612"
"No","2014","Not Working","inadequately","150","0.557175157770356","0.499200873259162","0.615149442281551"
"No","2014","Not Working","general elemantary","1077","0.763540070875705","0.742115577875672","0.784964563875738"
"No","2014","Not Working","middle vocational","3493","0.790528288000638","0.778662505692736","0.802394070308539"
"No","2014","Not Working","vocational + Abi","303","0.788830101392155","0.749129890179899","0.828530312604411"
"No","2014","Not Working","higher vocational","395","0.87580018184642","0.845595216102787","0.906005147590052"
"No","2014","Not Working","higher education","1369","0.872810468695985","0.8563712850015","0.889249652390471"
"Yes","2015","Full Time","in school","","","",""
"Yes","2015","Full Time","inadequately","","","",""
"Yes","2015","Full Time","general elemantary","","","",""
"Yes","2015","Full Time","middle vocational","","","",""
"Yes","2015","Full Time","vocational + Abi","","","",""
"Yes","2015","Full Time","higher vocational","","","",""
"Yes","2015","Full Time","higher education","","","",""
"Yes","2015","Part Time","in school","","","",""
"Yes","2015","Part Time","inadequately","","","",""
"Yes","2015","Part Time","general elemantary","","","",""
"Yes","2015","Part Time","middle vocational","","","",""
"Yes","2015","Part Time","vocational + Abi","","","",""
"Yes","2015","Part Time","higher vocational","","","",""
"Yes","2015","Part Time","higher education","","","",""
"Yes","2015","Not Working","in school","","","",""
"Yes","2015","Not Working","inadequately","","","",""
"Yes","2015","Not Working","general elemantary","","","",""
"Yes","2015","Not Working","middle vocational","","","",""
"Yes","2015","Not Working","vocational + Abi","","","",""
"Yes","2015","Not Working","higher vocational","","","",""
"Yes","2015","Not Working","higher education","","","",""
"No","2015","Full Time","in school","","","",""
"No","2015","Full Time","inadequately","","","",""
"No","2015","Full Time","general elemantary","","","",""
"No","2015","Full Time","middle vocational","","","",""
"No","2015","Full Time","vocational + Abi","","","",""
"No","2015","Full Time","higher vocational","","","",""
"No","2015","Full Time","higher education","","","",""
"No","2015","Part Time","in school","","","",""
"No","2015","Part Time","inadequately","","","",""
"No","2015","Part Time","general elemantary","","","",""
"No","2015","Part Time","middle vocational","","","",""
"No","2015","Part Time","vocational + Abi","","","",""
"No","2015","Part Time","higher vocational","","","",""
"No","2015","Part Time","higher education","","","",""
"No","2015","Not Working","in school","","","",""
"No","2015","Not Working","inadequately","","","",""
"No","2015","Not Working","general elemantary","","","",""
"No","2015","Not Working","middle vocational","","","",""
"No","2015","Not Working","vocational + Abi","","","",""
"No","2015","Not Working","higher vocational","","","",""
"No","2015","Not Working","higher education","","","",""
"Yes","2016","Full Time","in school","","","",""
"Yes","2016","Full Time","inadequately","33","0.33286919055116","0.224768377653398","0.440970003448923"
"Yes","2016","Full Time","general elemantary","299","0.425211611424367","0.386759713633232","0.463663509215502"
"Yes","2016","Full Time","middle vocational","1484","0.363003234160786","0.348026250399203","0.377980217922369"
"Yes","2016","Full Time","vocational + Abi","298","0.305010343132578","0.275451557432086","0.33456912883307"
"Yes","2016","Full Time","higher vocational","175","0.265671557618519","0.23325095880873","0.298092156428307"
"Yes","2016","Full Time","higher education","448","0.183574508745517","0.16902300241134","0.198126015079694"
"Yes","2016","Part Time","in school","9","","",""
"Yes","2016","Part Time","inadequately","52","0.512344197664768","0.419772828156745","0.604915567172792"
"Yes","2016","Part Time","general elemantary","309","0.43286955281482","0.39605975154564","0.469679354084001"
"Yes","2016","Part Time","middle vocational","981","0.285929933894908","0.270264409706002","0.301595458083813"
"Yes","2016","Part Time","vocational + Abi","169","0.234901105136247","0.203870529612474","0.26593168066002"
"Yes","2016","Part Time","higher vocational","53","0.17977230561526","0.135423650349832","0.224120960880689"
"Yes","2016","Part Time","higher education","225","0.162288362620135","0.144688459814042","0.179888265426227"
"Yes","2016","Not Working","in school","34","0.175061440217123","0.129133574152109","0.220989306282138"
"Yes","2016","Not Working","inadequately","102","0.425570407094957","0.359786095070941","0.491354719118974"
"Yes","2016","Not Working","general elemantary","342","0.234600457431891","0.211043399326653","0.258157515537129"
"Yes","2016","Not Working","middle vocational","811","0.198585779853891","0.186003928448496","0.211167631259286"
"Yes","2016","Not Working","vocational + Abi","87","0.190891484725526","0.151061608779711","0.23072136067134"
"Yes","2016","Not Working","higher vocational","53","0.118729676443155","0.0873808958708649","0.150078457015445"
"Yes","2016","Not Working","higher education","185","0.132492715024034","0.115330243103546","0.149655186944523"
"No","2016","Full Time","in school","1","","",""
"No","2016","Full Time","inadequately","40","0.66713080944884","0.559029996551077","0.775231622346602"
"No","2016","Full Time","general elemantary","336","0.574788388575633","0.536336490784498","0.613240286366768"
"No","2016","Full Time","middle vocational","2476","0.636996765839214","0.622019782077631","0.651973749600797"
"No","2016","Full Time","vocational + Abi","634","0.694989656867422","0.665430871166931","0.724548442567914"
"No","2016","Full Time","higher vocational","538","0.734328442381481","0.701907843571693","0.76674904119127"
"No","2016","Full Time","higher education","2271","0.816425491254483","0.801873984920306","0.83097699758866"
"No","2016","Part Time","in school","61","0.940069716222321","0.884466198314755","0.995673234129887"
"No","2016","Part Time","inadequately","60","0.487655802335232","0.395084432827208","0.580227171843255"
"No","2016","Part Time","general elemantary","387","0.567130447185179","0.530320645915999","0.60394024845436"
"No","2016","Part Time","middle vocational","2215","0.714070066105092","0.698404541916187","0.729735590293998"
"No","2016","Part Time","vocational + Abi","548","0.765098894863753","0.73406831933998","0.796129470387526"
"No","2016","Part Time","higher vocational","235","0.82022769438474","0.775879039119311","0.864576349650168"
"No","2016","Part Time","higher education","1461","0.837711637379865","0.820111734573773","0.855311540185958"
"No","2016","Not Working","in school","229","0.824938559782877","0.779010693717862","0.870866425847891"
"No","2016","Not Working","inadequately","115","0.574429592905043","0.508645280881026","0.64021390492906"
"No","2016","Not Working","general elemantary","901","0.765399542568109","0.741842484462871","0.788956600673347"
"No","2016","Not Working","middle vocational","3051","0.801414220146109","0.788832368740714","0.813996071551504"
"No","2016","Not Working","vocational + Abi","287","0.809108515274474","0.76927863932866","0.848938391220289"
"No","2016","Not Working","higher vocational","356","0.881270323556845","0.849921542984555","0.912619104129135"
"No","2016","Not Working","higher education","1314","0.867507284975966","0.850344813055477","0.884669756896454"
"Yes","2017","Full Time","in school","","","",""
"Yes","2017","Full Time","inadequately","","","",""
"Yes","2017","Full Time","general elemantary","","","",""
"Yes","2017","Full Time","middle vocational","","","",""
"Yes","2017","Full Time","vocational + Abi","","","",""
"Yes","2017","Full Time","higher vocational","","","",""
"Yes","2017","Full Time","higher education","","","",""
"Yes","2017","Part Time","in school","","","",""
"Yes","2017","Part Time","inadequately","","","",""
"Yes","2017","Part Time","general elemantary","","","",""
"Yes","2017","Part Time","middle vocational","","","",""
"Yes","2017","Part Time","vocational + Abi","","","",""
"Yes","2017","Part Time","higher vocational","","","",""
"Yes","2017","Part Time","higher education","","","",""
"Yes","2017","Not Working","in school","","","",""
"Yes","2017","Not Working","inadequately","","","",""
"Yes","2017","Not Working","general elemantary","","","",""
"Yes","2017","Not Working","middle vocational","","","",""
"Yes","2017","Not Working","vocational + Abi","","","",""
"Yes","2017","Not Working","higher vocational","","","",""
"Yes","2017","Not Working","higher education","","","",""
"No","2017","Full Time","in school","","","",""
"No","2017","Full Time","inadequately","","","",""
"No","2017","Full Time","general elemantary","","","",""
"No","2017","Full Time","middle vocational","","","",""
"No","2017","Full Time","vocational + Abi","","","",""
"No","2017","Full Time","higher vocational","","","",""
"No","2017","Full Time","higher education","","","",""
"No","2017","Part Time","in school","","","",""
"No","2017","Part Time","inadequately","","","",""
"No","2017","Part Time","general elemantary","","","",""
"No","2017","Part Time","middle vocational","","","",""
"No","2017","Part Time","vocational + Abi","","","",""
"No","2017","Part Time","higher vocational","","","",""
"No","2017","Part Time","higher education","","","",""
"No","2017","Not Working","in school","","","",""
"No","2017","Not Working","inadequately","","","",""
"No","2017","Not Working","general elemantary","","","",""
"No","2017","Not Working","middle vocational","","","",""
"No","2017","Not Working","vocational + Abi","","","",""
"No","2017","Not Working","higher vocational","","","",""
"No","2017","Not Working","higher education","","","",""
"Yes","2018","Full Time","in school","","","",""
"Yes","2018","Full Time","inadequately","46","0.398261937561202","0.295394811270932","0.501129063851473"
"Yes","2018","Full Time","general elemantary","316","0.469988866826519","0.431854070995923","0.508123662657114"
"Yes","2018","Full Time","middle vocational","1497","0.34633852993532","0.331977911657916","0.360699148212725"
"Yes","2018","Full Time","vocational + Abi","289","0.302697066422326","0.27366516990566","0.331728962938991"
"Yes","2018","Full Time","higher vocational","167","0.252317457514251","0.22106541484871","0.283569500179791"
"Yes","2018","Full Time","higher education","458","0.173414786464671","0.159882591203842","0.1869469817255"
"Yes","2018","Part Time","in school","8","","",""
"Yes","2018","Part Time","inadequately","63","0.557407051541368","0.471360874331449","0.643453228751288"
"Yes","2018","Part Time","general elemantary","361","0.448144896752309","0.412996406100706","0.483293387403913"
"Yes","2018","Part Time","middle vocational","1014","0.303276695888948","0.287848306542864","0.318705085235031"
"Yes","2018","Part Time","vocational + Abi","181","0.224845073269783","0.195433818412718","0.254256328126848"
"Yes","2018","Part Time","higher vocational","59","0.193465918899922","0.149206982312834","0.237724855487009"
"Yes","2018","Part Time","higher education","247","0.140706952473326","0.124594140166351","0.1568197647803"
"Yes","2018","Not Working","in school","25","","",""
"Yes","2018","Not Working","inadequately","120","0.431107260229579","0.370911031863595","0.491303488595564"
"Yes","2018","Not Working","general elemantary","325","0.216005682350378","0.193073135643409","0.238938229057348"
"Yes","2018","Not Working","middle vocational","803","0.185383139479034","0.173123823121756","0.197642455836312"
"Yes","2018","Not Working","vocational + Abi","78","0.219295114287778","0.177527916147501","0.261062312428055"
"Yes","2018","Not Working","higher vocational","53","0.132753656317568","0.0995020538477148","0.166005258787422"
"Yes","2018","Not Working","higher education","179","0.122046642158776","0.105585201384285","0.138508082933267"
"No","2018","Full Time","in school","1","","",""
"No","2018","Full Time","inadequately","41","0.601738062438798","0.498870936148527","0.704605188729069"
"No","2018","Full Time","general elemantary","342","0.530011133173481","0.491876337342886","0.568145929004077"
"No","2018","Full Time","middle vocational","2720","0.65366147006468","0.639300851787275","0.668022088342084"
"No","2018","Full Time","vocational + Abi","673","0.697302933577674","0.668271037061009","0.72633483009434"
"No","2018","Full Time","higher vocational","575","0.747682542485749","0.716430499820209","0.77893458515129"
"No","2018","Full Time","higher education","2549","0.826585213535329","0.8130530182745","0.840117408796158"
"No","2018","Part Time","in school","58","0.88800583567619","0.811923869076309","0.96408780227607"
"No","2018","Part Time","inadequately","65","0.442592948458631","0.356546771248712","0.528639125668551"
"No","2018","Part Time","general elemantary","408","0.551855103247691","0.516706612596087","0.587003593899294"
"No","2018","Part Time","middle vocational","2396","0.696723304111052","0.681294914764969","0.712151693457136"
"No","2018","Part Time","vocational + Abi","593","0.775154926730217","0.745743671873152","0.804566181587282"
"No","2018","Part Time","higher vocational","247","0.806534081100078","0.76227514451299","0.850793017687166"
"No","2018","Part Time","higher education","1542","0.859293047526674","0.8431802352197","0.875405859833649"
"No","2018","Not Working","in school","243","0.925431385440823","0.89398064725929","0.956882123622356"
"No","2018","Not Working","inadequately","140","0.568892739770421","0.508696511404436","0.629088968136406"
"No","2018","Not Working","general elemantary","912","0.783994317649622","0.761061770942652","0.806926864356591"
"No","2018","Not Working","middle vocational","3057","0.814616860520966","0.802357544163688","0.826876176878244"
"No","2018","Not Working","vocational + Abi","299","0.780704885712222","0.738937687571945","0.822472083852499"
"No","2018","Not Working","higher vocational","347","0.867246343682432","0.833994741212578","0.900497946152285"
"No","2018","Not Working","higher education","1340","0.877953357841224","0.861491917066733","0.894414798615715"
