"ple0081_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","(0) in school","in school","138","0.232977264116725","0.199621845293778","0.266332682939672"
"Yes","2002","(0) in school","inadequately","","","",""
"Yes","2002","(0) in school","general elemantary","","","",""
"Yes","2002","(0) in school","middle vocational","","","",""
"Yes","2002","(0) in school","vocational + Abi","","","",""
"Yes","2002","(0) in school","higher vocational","","","",""
"Yes","2002","(0) in school","higher education","","","",""
"Yes","2002","(1a) inadequately completed","in school","","","",""
"Yes","2002","(1a) inadequately completed","inadequately","90","0.379355539718353","0.318965278591847","0.439745800844859"
"Yes","2002","(1a) inadequately completed","general elemantary","","","",""
"Yes","2002","(1a) inadequately completed","middle vocational","15","","",""
"Yes","2002","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2002","(1a) inadequately completed","higher vocational","1","","",""
"Yes","2002","(1a) inadequately completed","higher education","","","",""
"Yes","2002","(1b) general elementary school","in school","","","",""
"Yes","2002","(1b) general elementary school","inadequately","17","","",""
"Yes","2002","(1b) general elementary school","general elemantary","697","0.284849951343685","0.266250143744685","0.303449758942686"
"Yes","2002","(1b) general elementary school","middle vocational","","","",""
"Yes","2002","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2002","(1b) general elementary school","higher vocational","","","",""
"Yes","2002","(1b) general elementary school","higher education","","","",""
"Yes","2002","(1c) basic vocational qualification","in school","","","",""
"Yes","2002","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2002","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2002","(1c) basic vocational qualification","middle vocational","2007","0.321170150032317","0.309470956715311","0.332869343349323"
"Yes","2002","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2002","(1c) basic vocational qualification","higher vocational","133","0.232340670399808","0.197045634209178","0.267635706590437"
"Yes","2002","(1c) basic vocational qualification","higher education","","","",""
"Yes","2002","(2b) intermediate general qualification","in school","","","",""
"Yes","2002","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2002","(2b) intermediate general qualification","general elemantary","278","0.408399038124022","0.370927272908269","0.445870803339774"
"Yes","2002","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2002","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2002","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2002","(2b) intermediate general qualification","higher education","","","",""
"Yes","2002","(2a) intermediate vocational","in school","","","",""
"Yes","2002","(2a) intermediate vocational","inadequately","","","",""
"Yes","2002","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2002","(2a) intermediate vocational","middle vocational","1634","0.352164558627771","0.33832386940872","0.366005247846822"
"Yes","2002","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2002","(2a) intermediate vocational","higher vocational","216","0.272838120498928","0.241418023808985","0.304258217188871"
"Yes","2002","(2a) intermediate vocational","higher education","","","",""
"Yes","2002","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2002","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2002","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2002","(2c_gen) general maturity certificate","middle vocational","288","0.319539102552537","0.288972798843189","0.350105406261885"
"Yes","2002","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2002","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2002","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","vocational + Abi","359","0.294639795491516","0.268628722582234","0.320650868400799"
"Yes","2002","(2c_voc) vocational maturity certificate","higher vocational","117","0.271408508833719","0.228778666429803","0.314038351237636"
"Yes","2002","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2002","(3a) lower tertiary education","in school","","","",""
"Yes","2002","(3a) lower tertiary education","inadequately","","","",""
"Yes","2002","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2002","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2002","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2002","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2002","(3a) lower tertiary education","higher education","436","0.253050950299654","0.232988715899733","0.273113184699576"
"Yes","2002","(3b) higher tertiary education","in school","","","",""
"Yes","2002","(3b) higher tertiary education","inadequately","","","",""
"Yes","2002","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2002","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2002","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2002","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2002","(3b) higher tertiary education","higher education","544","0.20573874721233","0.190676726337113","0.220800768087546"
"No","2002","(0) in school","in school","479","0.767022735883275","0.733667317060328","0.800378154706222"
"No","2002","(0) in school","inadequately","","","",""
"No","2002","(0) in school","general elemantary","","","",""
"No","2002","(0) in school","middle vocational","1","","",""
"No","2002","(0) in school","vocational + Abi","","","",""
"No","2002","(0) in school","higher vocational","","","",""
"No","2002","(0) in school","higher education","","","",""
"No","2002","(1a) inadequately completed","in school","","","",""
"No","2002","(1a) inadequately completed","inadequately","158","0.620644460281647","0.560254199155141","0.681034721408153"
"No","2002","(1a) inadequately completed","general elemantary","","","",""
"No","2002","(1a) inadequately completed","middle vocational","28","","",""
"No","2002","(1a) inadequately completed","vocational + Abi","","","",""
"No","2002","(1a) inadequately completed","higher vocational","4","","",""
"No","2002","(1a) inadequately completed","higher education","","","",""
"No","2002","(1b) general elementary school","in school","","","",""
"No","2002","(1b) general elementary school","inadequately","20","","",""
"No","2002","(1b) general elementary school","general elemantary","1565","0.715150048656315","0.696550241057314","0.733749856255315"
"No","2002","(1b) general elementary school","middle vocational","","","",""
"No","2002","(1b) general elementary school","vocational + Abi","","","",""
"No","2002","(1b) general elementary school","higher vocational","","","",""
"No","2002","(1b) general elementary school","higher education","","","",""
"No","2002","(1c) basic vocational qualification","in school","","","",""
"No","2002","(1c) basic vocational qualification","inadequately","","","",""
"No","2002","(1c) basic vocational qualification","general elemantary","","","",""
"No","2002","(1c) basic vocational qualification","middle vocational","4112","0.678829849967683","0.667130656650677","0.690529043284689"
"No","2002","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2002","(1c) basic vocational qualification","higher vocational","417","0.767659329600192","0.732364293409563","0.802954365790822"
"No","2002","(1c) basic vocational qualification","higher education","","","",""
"No","2002","(2b) intermediate general qualification","in school","","","",""
"No","2002","(2b) intermediate general qualification","inadequately","","","",""
"No","2002","(2b) intermediate general qualification","general elemantary","383","0.591600961875979","0.554129196660226","0.629072727091731"
"No","2002","(2b) intermediate general qualification","middle vocational","","","",""
"No","2002","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","2002","(2b) intermediate general qualification","higher vocational","","","",""
"No","2002","(2b) intermediate general qualification","higher education","","","",""
"No","2002","(2a) intermediate vocational","in school","","","",""
"No","2002","(2a) intermediate vocational","inadequately","","","",""
"No","2002","(2a) intermediate vocational","general elemantary","","","",""
"No","2002","(2a) intermediate vocational","middle vocational","2941","0.647835441372229","0.633994752153178","0.66167613059128"
"No","2002","(2a) intermediate vocational","vocational + Abi","","","",""
"No","2002","(2a) intermediate vocational","higher vocational","556","0.727161879501072","0.695741782811129","0.758581976191015"
"No","2002","(2a) intermediate vocational","higher education","","","",""
"No","2002","(2c_gen) general maturity certificate","in school","","","",""
"No","2002","(2c_gen) general maturity certificate","inadequately","","","",""
"No","2002","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","2002","(2c_gen) general maturity certificate","middle vocational","606","0.680460897447463","0.649894593738115","0.711027201156811"
"No","2002","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","2002","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","2002","(2c_gen) general maturity certificate","higher education","","","",""
"No","2002","(2c_voc) vocational maturity certificate","in school","","","",""
"No","2002","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","2002","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","2002","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","2002","(2c_voc) vocational maturity certificate","vocational + Abi","821","0.705360204508484","0.679349131599201","0.731371277417766"
"No","2002","(2c_voc) vocational maturity certificate","higher vocational","301","0.728591491166281","0.685961648762364","0.771221333570197"
"No","2002","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","2002","(3a) lower tertiary education","in school","","","",""
"No","2002","(3a) lower tertiary education","inadequately","","","",""
"No","2002","(3a) lower tertiary education","general elemantary","","","",""
"No","2002","(3a) lower tertiary education","middle vocational","","","",""
"No","2002","(3a) lower tertiary education","vocational + Abi","","","",""
"No","2002","(3a) lower tertiary education","higher vocational","","","",""
"No","2002","(3a) lower tertiary education","higher education","1368","0.746949049700346","0.726886815300424","0.767011284100267"
"No","2002","(3b) higher tertiary education","in school","","","",""
"No","2002","(3b) higher tertiary education","inadequately","","","",""
"No","2002","(3b) higher tertiary education","general elemantary","","","",""
"No","2002","(3b) higher tertiary education","middle vocational","","","",""
"No","2002","(3b) higher tertiary education","vocational + Abi","","","",""
"No","2002","(3b) higher tertiary education","higher vocational","","","",""
"No","2002","(3b) higher tertiary education","higher education","2223","0.79426125278767","0.779199231912454","0.809323273662887"
"Yes","2003","(0) in school","in school","","","",""
"Yes","2003","(0) in school","inadequately","","","",""
"Yes","2003","(0) in school","general elemantary","","","",""
"Yes","2003","(0) in school","middle vocational","","","",""
"Yes","2003","(0) in school","vocational + Abi","","","",""
"Yes","2003","(0) in school","higher vocational","","","",""
"Yes","2003","(0) in school","higher education","","","",""
"Yes","2003","(1a) inadequately completed","in school","","","",""
"Yes","2003","(1a) inadequately completed","inadequately","","","",""
"Yes","2003","(1a) inadequately completed","general elemantary","","","",""
"Yes","2003","(1a) inadequately completed","middle vocational","","","",""
"Yes","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2003","(1a) inadequately completed","higher vocational","","","",""
"Yes","2003","(1a) inadequately completed","higher education","","","",""
"Yes","2003","(1b) general elementary school","in school","","","",""
"Yes","2003","(1b) general elementary school","inadequately","","","",""
"Yes","2003","(1b) general elementary school","general elemantary","","","",""
"Yes","2003","(1b) general elementary school","middle vocational","","","",""
"Yes","2003","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2003","(1b) general elementary school","higher vocational","","","",""
"Yes","2003","(1b) general elementary school","higher education","","","",""
"Yes","2003","(1c) basic vocational qualification","in school","","","",""
"Yes","2003","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2003","(1c) basic vocational qualification","middle vocational","","","",""
"Yes","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2003","(1c) basic vocational qualification","higher vocational","","","",""
"Yes","2003","(1c) basic vocational qualification","higher education","","","",""
"Yes","2003","(2b) intermediate general qualification","in school","","","",""
"Yes","2003","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2003","(2b) intermediate general qualification","general elemantary","","","",""
"Yes","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2003","(2b) intermediate general qualification","higher education","","","",""
"Yes","2003","(2a) intermediate vocational","in school","","","",""
"Yes","2003","(2a) intermediate vocational","inadequately","","","",""
"Yes","2003","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2003","(2a) intermediate vocational","middle vocational","","","",""
"Yes","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2003","(2a) intermediate vocational","higher vocational","","","",""
"Yes","2003","(2a) intermediate vocational","higher education","","","",""
"Yes","2003","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2003","(2c_gen) general maturity certificate","middle vocational","","","",""
"Yes","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2003","(3a) lower tertiary education","in school","","","",""
"Yes","2003","(3a) lower tertiary education","inadequately","","","",""
"Yes","2003","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2003","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2003","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2003","(3a) lower tertiary education","higher education","","","",""
"Yes","2003","(3b) higher tertiary education","in school","","","",""
"Yes","2003","(3b) higher tertiary education","inadequately","","","",""
"Yes","2003","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2003","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2003","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2003","(3b) higher tertiary education","higher education","","","",""
"No","2003","(0) in school","in school","","","",""
"No","2003","(0) in school","inadequately","","","",""
"No","2003","(0) in school","general elemantary","","","",""
"No","2003","(0) in school","middle vocational","","","",""
"No","2003","(0) in school","vocational + Abi","","","",""
"No","2003","(0) in school","higher vocational","","","",""
"No","2003","(0) in school","higher education","","","",""
"No","2003","(1a) inadequately completed","in school","","","",""
"No","2003","(1a) inadequately completed","inadequately","","","",""
"No","2003","(1a) inadequately completed","general elemantary","","","",""
"No","2003","(1a) inadequately completed","middle vocational","","","",""
"No","2003","(1a) inadequately completed","vocational + Abi","","","",""
"No","2003","(1a) inadequately completed","higher vocational","","","",""
"No","2003","(1a) inadequately completed","higher education","","","",""
"No","2003","(1b) general elementary school","in school","","","",""
"No","2003","(1b) general elementary school","inadequately","","","",""
"No","2003","(1b) general elementary school","general elemantary","","","",""
"No","2003","(1b) general elementary school","middle vocational","","","",""
"No","2003","(1b) general elementary school","vocational + Abi","","","",""
"No","2003","(1b) general elementary school","higher vocational","","","",""
"No","2003","(1b) general elementary school","higher education","","","",""
"No","2003","(1c) basic vocational qualification","in school","","","",""
"No","2003","(1c) basic vocational qualification","inadequately","","","",""
"No","2003","(1c) basic vocational qualification","general elemantary","","","",""
"No","2003","(1c) basic vocational qualification","middle vocational","","","",""
"No","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
