"ple0081_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2002","(Married) couple without C. ","East Germany","1433","0.808744212734734","0.790655691892325","0.826832733577142","2"
"No","2002","1-pers.-HH","East Germany","502","0.696119599277952","0.662755459120315","0.729483739435589","2"
"No","2002","Couple + C. GT 16 ","West Germany","2026","0.692659391969208","0.675834814863416","0.709483969075001","2"
"No","2002","1-pers.-HH","West Germany","1542","0.690642259630343","0.671727167886744","0.709557351373942","2"
"No","2002","(Married) couple without C. ","West Germany","4279","0.767608777269368","0.756613327554018","0.778604226984718","2"
"No","2002","Single parent ","West Germany","460","0.529528433981184","0.495794932212289","0.56326193575008","2"
"No","2002","Single parent ","East Germany","166","0.531770698733935","0.47492550758952","0.588615889878351","2"
"No","2002","Couple + C. GT 16 ","East Germany","777","0.668984431403658","0.641437228976147","0.696531633831169","2"
"No","2002","Couple + C. LE 16 ","West Germany","2532","0.638618346851752","0.623519879466501","0.653716814237004","2"
"No","2002","Couple + C. LE 16 ","East Germany","576","0.643776546361308","0.612010014754269","0.675543077968347","2"
"No","2002","Couple + C. LE and GT 16","West Germany","958","0.624516228641353","0.599928273809337","0.649104183473368","2"
"No","2002","Couple + C. LE and GT 16","East Germany","284","0.599274980799434","0.554734190651079","0.643815770947788","2"
"Yes","2002","1-pers.-HH","West Germany","752","0.309357740369657","0.290442648626058","0.328272832113256","1"
"Yes","2002","1-pers.-HH","East Germany","228","0.303880400722048","0.270516260564411","0.337244540879686","1"
"Yes","2002","(Married) couple without C. ","West Germany","1389","0.232391222730632","0.221395773015282","0.243386672445982","1"
"Yes","2002","(Married) couple without C. ","East Germany","383","0.191255787265266","0.173167266422858","0.209344308107675","1"
"Yes","2002","Single parent ","West Germany","381","0.470471566018816","0.436738064249921","0.504205067787711","1"
"Yes","2002","Single parent ","East Germany","130","0.468229301266064","0.411384110121649","0.52507449241048","1"
"Yes","2002","Couple + C. LE 16 ","West Germany","1357","0.361381653148248","0.346283185762996","0.376480120533499","1"
"Yes","2002","Couple + C. LE 16 ","East Germany","297","0.356223453638692","0.324456922031653","0.387989985245731","1"
