"ple0081_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Full Time","West Germany","4535","0.609939438131164","0.598736494973996","0.621142381288333","2"
"No","2002","Full Time","East Germany","1539","0.640415319412083","0.620854563994483","0.659976074829683","2"
"No","2002","Not Working","West Germany","4906","0.806793645966011","0.796958979718262","0.81662831221376","2"
"No","2002","Part Time","West Germany","2800","0.639895983960037","0.6254129169452","0.654379050974875","2"
"No","2002","Part Time","East Germany","655","0.624924663411003","0.595343619920072","0.654505706901933","2"
"No","2002","Not Working","East Germany","1654","0.791838445600683","0.774527655295188","0.809149235906177","2"
"Yes","2002","Full Time","West Germany","2747","0.390060561868836","0.378857618711667","0.401263505026004","1"
"Yes","2002","Full Time","East Germany","773","0.359584680587917","0.340023925170317","0.379145436005517","1"
"Yes","2002","Part Time","West Germany","1420","0.360104016039963","0.345620949025125","0.3745870830548","1"
"Yes","2002","Part Time","East Germany","374","0.375075336588997","0.345494293098067","0.404656380079927","1"
"Yes","2002","Not Working","West Germany","1285","0.193206354033989","0.18337168778624","0.203041020281738","1"
"Yes","2002","Not Working","East Germany","459","0.208161554399317","0.190850764093823","0.225472344704812","1"
"No","2003","Full Time","West Germany","","","","","2"
"No","2003","Full Time","East Germany","","","","","2"
"No","2003","Not Working","West Germany","","","","","2"
"No","2003","Not Working","East Germany","","","","","2"
"No","2003","Part Time","West Germany","","","","","2"
"No","2003","Part Time","East Germany","","","","","2"
"Yes","2003","Full Time","West Germany","","","","","1"
"Yes","2003","Full Time","East Germany","","","","","1"
"Yes","2003","Part Time","West Germany","","","","","1"
"Yes","2003","Part Time","East Germany","","","","","1"
"Yes","2003","Not Working","West Germany","","","","","1"
"Yes","2003","Not Working","East Germany","","","","","1"
"No","2004","Full Time","West Germany","4093","0.613293862113605","0.601364558337","0.625223165890209","2"
"No","2004","Full Time","East Germany","1370","0.658562920963724","0.638080848588826","0.679044993338622","2"
"No","2004","Not Working","West Germany","4767","0.798767889616122","0.788651993099011","0.808883786133233","2"
"No","2004","Not Working","East Germany","1682","0.782002209855054","0.764602185064259","0.799402234645849","2"
"No","2004","Part Time","West Germany","2694","0.664294046233156","0.649666861092158","0.678921231374153","2"
"No","2004","Part Time","East Germany","671","0.609485558828119","0.579545802293011","0.639425315363227","2"
"Yes","2004","Full Time","West Germany","2309","0.386706137886395","0.374776834109791","0.398635441663","1"
"Yes","2004","Full Time","East Germany","689","0.341437079036276","0.320955006661378","0.361919151411174","1"
"Yes","2004","Part Time","West Germany","1310","0.335705953766844","0.321078768625847","0.350333138907842","1"
"Yes","2004","Part Time","East Germany","349","0.390514441171881","0.360574684636773","0.420454197706989","1"
