"ple0081_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Schleswig-Holstein","224","0.324235610794142","0.290209767899294","0.358261453688991"
"Yes","2002","Hamburg","98","0.346613212411129","0.295190157566305","0.398036267255953"
"Yes","2002","Lower Saxony","639","0.314763650870542","0.29434337331867","0.335183928422413"
"Yes","2002","Bremen","63","0.332173878637062","0.261989658382749","0.402358098891375"
"Yes","2002","North Rhine-Westphalia","1580","0.320354501076472","0.30727890474761","0.333430097405334"
"Yes","2002","Hesse","508","0.299469727280342","0.277342698896924","0.321596755663761"
"Yes","2002","Rhineland-Palatinate,Saarland","433","0.310565448454484","0.286151858906805","0.334979038002164"
"Yes","2002","Baden-Württemberg","809","0.276460330055597","0.259953217154842","0.292967442956352"
"Yes","2002","Bavaria","925","0.282689779814705","0.267257987064386","0.298121572565025"
"Yes","2002","Berlin","314","0.390236474130217","0.357110379269731","0.423362568990703"
"Yes","2002","Brandenburg","269","0.289015952608237","0.260459697834227","0.317572207382247"
"Yes","2002","Mecklenburg-Western Pomerania","157","0.315734767291917","0.275707434519754","0.35576210006408"
"Yes","2002","Saxony","428","0.25428297268945","0.233322479474139","0.275243465904762"
"Yes","2002","Saxony-Anhalt","312","0.314461243690618","0.285302542018253","0.343619945362982"
"Yes","2002","Thuringia","299","0.293665857255228","0.265019440606956","0.322312273903499"
"No","2002","Schleswig-Holstein","503","0.675764389205858","0.641738546311009","0.709790232100706"
"No","2002","Hamburg","231","0.653386787588871","0.601963732744047","0.704809842433695"
"No","2002","Lower Saxony","1348","0.685236349129458","0.664816071577587","0.70565662668133"
"No","2002","Bremen","110","0.667826121362938","0.597641901108625","0.738010341617251"
"No","2002","North Rhine-Westphalia","3312","0.679645498923528","0.666569902594666","0.69272109525239"
"No","2002","Hesse","1138","0.700530272719658","0.678403244336239","0.722657301103076"
"No","2002","Rhineland-Palatinate,Saarland","947","0.689434551545515","0.665020961997836","0.713848141093195"
"No","2002","Baden-Württemberg","2011","0.723539669944403","0.707032557043648","0.740046782845158"
"No","2002","Bavaria","2346","0.717310220185295","0.701878427434975","0.732742012935614"
"No","2002","Berlin","519","0.609763525869783","0.576637431009297","0.642889620730269"
"No","2002","Brandenburg","699","0.710984047391763","0.682427792617753","0.739540302165773"
"No","2002","Mecklenburg-Western Pomerania","361","0.684265232708083","0.64423789993592","0.724292565480246"
"No","2002","Saxony","1230","0.74571702731055","0.724756534095238","0.766677520525861"
"No","2002","Saxony-Anhalt","662","0.685538756309382","0.656380054637018","0.714697457981747"
"No","2002","Thuringia","672","0.706334142744772","0.677687726096501","0.734980559393044"
"Yes","2003","Schleswig-Holstein","","","",""
"Yes","2003","Hamburg","","","",""
"Yes","2003","Lower Saxony","","","",""
"Yes","2003","Bremen","","","",""
"Yes","2003","North Rhine-Westphalia","","","",""
"Yes","2003","Hesse","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","","","",""
"Yes","2003","Baden-Württemberg","","","",""
"Yes","2003","Bavaria","","","",""
"Yes","2003","Berlin","","","",""
"Yes","2003","Brandenburg","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","","","",""
"Yes","2003","Saxony","","","",""
"Yes","2003","Saxony-Anhalt","","","",""
"Yes","2003","Thuringia","","","",""
"No","2003","Schleswig-Holstein","","","",""
"No","2003","Hamburg","","","",""
"No","2003","Lower Saxony","","","",""
"No","2003","Bremen","","","",""
"No","2003","North Rhine-Westphalia","","","",""
"No","2003","Hesse","","","",""
"No","2003","Rhineland-Palatinate,Saarland","","","",""
"No","2003","Baden-Württemberg","","","",""
"No","2003","Bavaria","","","",""
"No","2003","Berlin","","","",""
"No","2003","Brandenburg","","","",""
"No","2003","Mecklenburg-Western Pomerania","","","",""
"No","2003","Saxony","","","",""
"No","2003","Saxony-Anhalt","","","",""
"No","2003","Thuringia","","","",""
"Yes","2004","Schleswig-Holstein","203","0.321937337197031","0.286768838166496","0.357105836227567"
"Yes","2004","Hamburg","85","0.382329045915054","0.326968613767183","0.437689478062925"
"Yes","2004","Lower Saxony","564","0.298796536374825","0.278155004820101","0.31943806792955"
"Yes","2004","Bremen","57","0.349988721062907","0.277864535710261","0.422112906415553"
"Yes","2004","North Rhine-Westphalia","1451","0.311279216555612","0.297812274333258","0.324746158777965"
"Yes","2004","Hesse","421","0.291588389511744","0.268162726398326","0.315014052625162"
"Yes","2004","Rhineland-Palatinate,Saarland","407","0.31120674002188","0.286067923706302","0.336345556337458"
"Yes","2004","Baden-Württemberg","727","0.274977810398217","0.257887253231356","0.292068367565078"
"Yes","2004","Bavaria","822","0.27491536958394","0.259088528865509","0.290742210302371"
"Yes","2004","Berlin","289","0.393982368331993","0.36035300176833","0.427611734895656"
"Yes","2004","Brandenburg","251","0.290145363492471","0.260723679789842","0.3195670471951"
"Yes","2004","Mecklenburg-Western Pomerania","149","0.28427526831659","0.245242265787547","0.323308270845633"
"Yes","2004","Saxony","401","0.260447941321185","0.238766379327071","0.2821295033153"
"Yes","2004","Saxony-Anhalt","294","0.282528373122826","0.253545487438639","0.311511258807014"
"Yes","2004","Thuringia","284","0.296486323075682","0.267336840563152","0.325635805588212"
"No","2004","Schleswig-Holstein","475","0.678062662802969","0.642894163772433","0.713231161833504"
"No","2004","Hamburg","211","0.617670954084946","0.562310521937075","0.673031386232817"
"No","2004","Lower Saxony","1325","0.701203463625175","0.68056193207045","0.721844995179899"
"No","2004","Bremen","111","0.650011278937093","0.577887093584447","0.722135464289739"
"No","2004","North Rhine-Westphalia","3090","0.688720783444388","0.675253841222035","0.702187725666742"
"No","2004","Hesse","1025","0.708411610488256","0.684985947374838","0.731837273601674"
"No","2004","Rhineland-Palatinate,Saarland","896","0.68879325997812","0.663654443662542","0.713932076293698"
"No","2004","Baden-Württemberg","1895","0.725022189601783","0.707931632434922","0.742112746768644"
"No","2004","Bavaria","2235","0.72508463041606","0.709257789697629","0.740911471134491"
"No","2004","Berlin","522","0.606017631668007","0.572388265104344","0.63964699823167"
"No","2004","Brandenburg","663","0.709854636507529","0.6804329528049","0.739276320210158"
"No","2004","Mecklenburg-Western Pomerania","364","0.71572473168341","0.676691729154367","0.754757734212453"
"No","2004","Saxony","1173","0.739552058678815","0.7178704966847","0.761233620672929"
"No","2004","Saxony-Anhalt","633","0.717471626877174","0.688488741192986","0.746454512561361"
"No","2004","Thuringia","659","0.703513676924318","0.674364194411788","0.732663159436848"
"Yes","2005","Schleswig-Holstein","","","",""
"Yes","2005","Hamburg","","","",""
"Yes","2005","Lower Saxony","","","",""
"Yes","2005","Bremen","","","",""
"Yes","2005","North Rhine-Westphalia","","","",""
"Yes","2005","Hesse","","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","","","",""
"Yes","2005","Baden-Württemberg","","","",""
"Yes","2005","Bavaria","","","",""
"Yes","2005","Berlin","","","",""
"Yes","2005","Brandenburg","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","","","",""
"Yes","2005","Saxony","","","",""
"Yes","2005","Saxony-Anhalt","","","",""
"Yes","2005","Thuringia","","","",""
"No","2005","Schleswig-Holstein","","","",""
"No","2005","Hamburg","","","",""
"No","2005","Lower Saxony","","","",""
"No","2005","Bremen","","","",""
"No","2005","North Rhine-Westphalia","","","",""
"No","2005","Hesse","","","",""
"No","2005","Rhineland-Palatinate,Saarland","","","",""
"No","2005","Baden-Württemberg","","","",""
"No","2005","Bavaria","","","",""
"No","2005","Berlin","","","",""
