"ple0081_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Schleswig-Holstein","(0) in school","5","","",""
"Yes","2002","Schleswig-Holstein","(1a) inadequately completed","1","","",""
"Yes","2002","Schleswig-Holstein","(1b) general elementary school","29","","",""
"Yes","2002","Schleswig-Holstein","(1c) basic vocational qualification","87","0.394315960548277","0.331430630957099","0.457201290139454"
"Yes","2002","Schleswig-Holstein","(2b) intermediate general qualification","9","","",""
"Yes","2002","Schleswig-Holstein","(2a) intermediate vocational","54","0.33459312849806","0.262377978686911","0.406808278309209"
"Yes","2002","Schleswig-Holstein","(2c_gen) general maturity certificate","6","","",""
"Yes","2002","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2002","Schleswig-Holstein","(3a) lower tertiary education","11","","",""
"Yes","2002","Schleswig-Holstein","(3b) higher tertiary education","10","","",""
"Yes","2002","Hamburg","(0) in school","2","","",""
"Yes","2002","Hamburg","(1a) inadequately completed","1","","",""
"Yes","2002","Hamburg","(1b) general elementary school","8","","",""
"Yes","2002","Hamburg","(1c) basic vocational qualification","26","","",""
"Yes","2002","Hamburg","(2b) intermediate general qualification","2","","",""
"Yes","2002","Hamburg","(2a) intermediate vocational","26","","",""
"Yes","2002","Hamburg","(2c_gen) general maturity certificate","8","","",""
"Yes","2002","Hamburg","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2002","Hamburg","(3a) lower tertiary education","10","","",""
"Yes","2002","Hamburg","(3b) higher tertiary education","6","","",""
"Yes","2002","Lower Saxony","(0) in school","9","","",""
"Yes","2002","Lower Saxony","(1a) inadequately completed","7","","",""
"Yes","2002","Lower Saxony","(1b) general elementary school","72","0.307850869140022","0.24585991508877","0.369841823191274"
"Yes","2002","Lower Saxony","(1c) basic vocational qualification","201","0.312807169079643","0.275709200861023","0.349905137298263"
"Yes","2002","Lower Saxony","(2b) intermediate general qualification","27","","",""
"Yes","2002","Lower Saxony","(2a) intermediate vocational","184","0.356068029036897","0.313496775270894","0.3986392828029"
"Yes","2002","Lower Saxony","(2c_gen) general maturity certificate","13","","",""
"Yes","2002","Lower Saxony","(2c_voc) vocational maturity certificate","47","0.317054961820524","0.242338704189217","0.39177121945183"
"Yes","2002","Lower Saxony","(3a) lower tertiary education","29","","",""
"Yes","2002","Lower Saxony","(3b) higher tertiary education","43","0.171671097659815","0.120789954170559","0.222552241149071"
"Yes","2002","Bremen","(0) in school","2","","",""
"Yes","2002","Bremen","(1a) inadequately completed","","","",""
"Yes","2002","Bremen","(1b) general elementary school","3","","",""
"Yes","2002","Bremen","(1c) basic vocational qualification","16","","",""
"Yes","2002","Bremen","(2b) intermediate general qualification","4","","",""
"Yes","2002","Bremen","(2a) intermediate vocational","16","","",""
