"ple0081_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Schleswig-Holstein","in school","5","","",""
"Yes","2002","Schleswig-Holstein","inadequately","1","","",""
"Yes","2002","Schleswig-Holstein","general elemantary","38","0.368603015882213","0.270023910842555","0.467182120921871"
"Yes","2002","Schleswig-Holstein","middle vocational","137","0.372338932924498","0.32411237579191","0.420565490057085"
"Yes","2002","Schleswig-Holstein","vocational + Abi","3","","",""
"Yes","2002","Schleswig-Holstein","higher vocational","14","","",""
"Yes","2002","Schleswig-Holstein","higher education","21","","",""
"Yes","2002","Hamburg","in school","2","","",""
"Yes","2002","Hamburg","inadequately","1","","",""
"Yes","2002","Hamburg","general elemantary","10","","",""
"Yes","2002","Hamburg","middle vocational","56","0.398970819576899","0.323094467150603","0.474847172003195"
"Yes","2002","Hamburg","vocational + Abi","7","","",""
"Yes","2002","Hamburg","higher vocational","6","","",""
"Yes","2002","Hamburg","higher education","16","","",""
"Yes","2002","Lower Saxony","in school","9","","",""
"Yes","2002","Lower Saxony","inadequately","7","","",""
"Yes","2002","Lower Saxony","general elemantary","97","0.329420647870471","0.274270524750032","0.38457077099091"
"Yes","2002","Lower Saxony","middle vocational","368","0.330137958697369","0.301584767948125","0.358691149446614"
"Yes","2002","Lower Saxony","vocational + Abi","40","0.331139617493982","0.248637253595993","0.413641981391972"
"Yes","2002","Lower Saxony","higher vocational","39","0.283510586388215","0.205735094771069","0.36128607800536"
"Yes","2002","Lower Saxony","higher education","72","0.253519651330935","0.205171162927029","0.301868139734841"
"Yes","2002","Bremen","in school","2","","",""
"Yes","2002","Bremen","inadequately","","","",""
"Yes","2002","Bremen","general elemantary","7","","",""
"Yes","2002","Bremen","middle vocational","33","0.340248565399306","0.24125770980586","0.439239420992752"
"Yes","2002","Bremen","vocational + Abi","6","","",""
"Yes","2002","Bremen","higher vocational","4","","",""
"Yes","2002","Bremen","higher education","11","","",""
"Yes","2002","North Rhine-Westphalia","in school","42","0.293302927999382","0.219954285838048","0.366651570160717"
"Yes","2002","North Rhine-Westphalia","inadequately","40","0.418777357771156","0.323958595958412","0.513596119583901"
"Yes","2002","North Rhine-Westphalia","general elemantary","227","0.349017804516219","0.311826470369526","0.386209138662912"
"Yes","2002","North Rhine-Westphalia","middle vocational","810","0.331215568141875","0.312255171845755","0.350175964437994"
"Yes","2002","North Rhine-Westphalia","vocational + Abi","122","0.333068258333233","0.284178116209334","0.381958400457133"
"Yes","2002","North Rhine-Westphalia","higher vocational","106","0.256482917853684","0.210927982298129","0.302037853409238"
"Yes","2002","North Rhine-Westphalia","higher education","216","0.262462097786115","0.233605320257285","0.291318875314945"
"Yes","2002","Hesse","in school","10","","",""
"Yes","2002","Hesse","inadequately","7","","",""
"Yes","2002","Hesse","general elemantary","91","0.326121720957075","0.26592806491893","0.38631537699522"
"Yes","2002","Hesse","middle vocational","246","0.315377041363344","0.282725847964733","0.348028234761955"
"Yes","2002","Hesse","vocational + Abi","30","0.266381076538201","0.185934782149918","0.346827370926483"
"Yes","2002","Hesse","higher vocational","31","0.306963353122225","0.217889375996723","0.396037330247726"
"Yes","2002","Hesse","higher education","91","0.25370157438007","0.208245219897509","0.299157928862631"
"Yes","2002","Rhineland-Palatinate,Saarland","in school","5","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","inadequately","9","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","general elemantary","56","0.229663763941826","0.176669750601264","0.282657777282388"
"Yes","2002","Rhineland-Palatinate,Saarland","middle vocational","266","0.353959243225591","0.318908142757983","0.389010343693199"
"Yes","2002","Rhineland-Palatinate,Saarland","vocational + Abi","20","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","higher vocational","31","0.322246257536145","0.234912599402235","0.409579915670056"
"Yes","2002","Rhineland-Palatinate,Saarland","higher education","41","0.184238971446454","0.128374659522402","0.240103283370507"
"Yes","2002","Baden-Württemberg","in school","20","","",""
"Yes","2002","Baden-Württemberg","inadequately","17","","",""
"Yes","2002","Baden-Württemberg","general elemantary","160","0.263947699221524","0.225196676023221","0.302698722419827"
"Yes","2002","Baden-Württemberg","middle vocational","407","0.304962838213448","0.279955350032644","0.329970326394253"
"Yes","2002","Baden-Württemberg","vocational + Abi","40","0.221512537378593","0.152478120912869","0.290546953844317"
"Yes","2002","Baden-Württemberg","higher vocational","61","0.254038371969232","0.196514957745926","0.311561786192538"
"Yes","2002","Baden-Württemberg","higher education","99","0.218900814415899","0.182728773483502","0.255072855348295"
"Yes","2002","Bavaria","in school","8","","",""
"Yes","2002","Bavaria","inadequately","12","","",""
"Yes","2002","Bavaria","general elemantary","123","0.295256185521086","0.251837137069252","0.33867523397292"
"Yes","2002","Bavaria","middle vocational","559","0.314831007147465","0.29288166707332","0.336780347221609"
"Yes","2002","Bavaria","vocational + Abi","36","0.238525082633135","0.170549264065243","0.306500901201026"
"Yes","2002","Bavaria","higher vocational","74","0.249436994087023","0.196329964560221","0.302544023613825"
"Yes","2002","Bavaria","higher education","102","0.162339864680161","0.133429431700043","0.191250297660278"
"Yes","2002","Berlin","in school","9","","",""
"Yes","2002","Berlin","inadequately","4","","",""
"Yes","2002","Berlin","general elemantary","37","0.500140201466558","0.385441989368844","0.614838413564271"
"Yes","2002","Berlin","middle vocational","139","0.422188439822069","0.370370318975528","0.47400656066861"
"Yes","2002","Berlin","vocational + Abi","15","","",""
"Yes","2002","Berlin","higher vocational","17","","",""
"Yes","2002","Berlin","higher education","88","0.315651362446133","0.258938603448253","0.372364121444013"
"Yes","2002","Brandenburg","in school","4","","",""
"Yes","2002","Brandenburg","inadequately","3","","",""
"Yes","2002","Brandenburg","general elemantary","31","0.355070712129165","0.252736247120528","0.457405177137801"
"Yes","2002","Brandenburg","middle vocational","167","0.344952155799826","0.302690559323729","0.387213752275924"
"Yes","2002","Brandenburg","vocational + Abi","6","","",""
"Yes","2002","Brandenburg","higher vocational","16","","",""
"Yes","2002","Brandenburg","higher education","38","0.18431798303445","0.136727260401261","0.231908705667639"
"Yes","2002","Mecklenburg-Western Pomerania","in school","2","","",""
"Yes","2002","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2002","Mecklenburg-Western Pomerania","general elemantary","15","","",""
"Yes","2002","Mecklenburg-Western Pomerania","middle vocational","97","0.36266602763648","0.305106441046794","0.420225614226167"
"Yes","2002","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","higher vocational","8","","",""
"Yes","2002","Mecklenburg-Western Pomerania","higher education","28","","",""
"Yes","2002","Saxony","in school","9","","",""
"Yes","2002","Saxony","inadequately","2","","",""
"Yes","2002","Saxony","general elemantary","39","0.267425135379345","0.190445943170045","0.344404327588645"
"Yes","2002","Saxony","middle vocational","269","0.29017096526707","0.260520555930708","0.319821374603431"
"Yes","2002","Saxony","vocational + Abi","12","","",""
"Yes","2002","Saxony","higher vocational","23","","",""
"Yes","2002","Saxony","higher education","72","0.168064905594721","0.131375144520737","0.204754666668705"
"Yes","2002","Saxony-Anhalt","in school","6","","",""
"Yes","2002","Saxony-Anhalt","inadequately","2","","",""
"Yes","2002","Saxony-Anhalt","general elemantary","23","","",""
"Yes","2002","Saxony-Anhalt","middle vocational","188","0.363082760515868","0.320676601945444","0.405488919086291"
"Yes","2002","Saxony-Anhalt","vocational + Abi","15","","",""
"Yes","2002","Saxony-Anhalt","higher vocational","25","","",""
"Yes","2002","Saxony-Anhalt","higher education","49","0.238331257818472","0.183268527532377","0.293393988104567"
