"ple0081_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Not Employed","no migration background","5535","0.80758747928157","0.798322548032462","0.816852410530677","2"
"No","2002","Not Employed","direct migration background","856","0.791179269056017","0.767278310605718","0.815080227506316","2"
"No","2002","Employed","direct migration background","1056","0.618792817818429","0.595759456134452","0.641826179502406","2"
"No","2002","Not Employed","indirect migration background","169","0.725544518346588","0.668970486860602","0.782118549832574","2"
"No","2002","Employed","no migration background","8195","0.62981116825502","0.621376809671513","0.638245526838527","2"
"No","2002","Employed","indirect migration background","278","0.474130586774894","0.432208993316138","0.51605218023365","2"
"Yes","2002","Not Employed","no migration background","1419","0.19241252071843","0.183147589469323","0.201677451967538","1"
"Yes","2002","Not Employed","direct migration background","255","0.208820730943983","0.184919772493684","0.232721689394282","1"
"Yes","2002","Not Employed","indirect migration background","70","0.274455481653412","0.217881450167426","0.331029513139398","1"
"Yes","2002","Employed","no migration background","4395","0.37018883174498","0.361754473161473","0.378623190328487","1"
"Yes","2002","Employed","direct migration background","652","0.381207182181571","0.358173820497594","0.404240543865548","1"
"Yes","2002","Employed","indirect migration background","267","0.525869413225106","0.48394781976635","0.567791006683862","1"
"No","2003","Not Employed","no migration background","","","","","2"
"No","2003","Not Employed","direct migration background","","","","","2"
"No","2003","Employed","direct migration background","","","","","2"
"No","2003","Employed","indirect migration background","","","","","2"
"No","2003","Not Employed","indirect migration background","","","","","2"
"No","2003","Employed","no migration background","","","","","2"
"Yes","2003","Not Employed","no migration background","","","","","1"
"Yes","2003","Not Employed","direct migration background","","","","","1"
"Yes","2003","Not Employed","indirect migration background","","","","","1"
"Yes","2003","Employed","no migration background","","","","","1"
"Yes","2003","Employed","direct migration background","","","","","1"
"Yes","2003","Employed","indirect migration background","","","","","1"
"No","2004","Not Employed","no migration background","5438","0.797579940287181","0.788072397972333","0.807087482602029","2"
"No","2004","Not Employed","direct migration background","829","0.795401639635858","0.771275365079005","0.81952791419271","2"
"No","2004","Employed","direct migration background","956","0.640603031566906","0.616057820966587","0.665148242167225","2"
"No","2004","Employed","indirect migration background","295","0.515557466745438","0.473676750380653","0.557438183110224","2"
"No","2004","Not Employed","indirect migration background","182","0.727718868854725","0.673818959313339","0.781618778396112","2"
"No","2004","Employed","no migration background","7577","0.638555355257381","0.629763378019195","0.647347332495568","2"
"Yes","2004","Not Employed","no migration background","1423","0.202420059712819","0.192912517397971","0.211927602027667","1"
"Yes","2004","Not Employed","direct migration background","245","0.204598360364142","0.18047208580729","0.228724634920995","1"
"Yes","2004","Not Employed","indirect migration background","80","0.272281131145275","0.218381221603888","0.326181040686661","1"
"Yes","2004","Employed","no migration background","3893","0.361444644742619","0.352652667504432","0.370236621980805","1"
"Yes","2004","Employed","direct migration background","512","0.359396968433094","0.334851757832775","0.383942179033413","1"
"Yes","2004","Employed","indirect migration background","252","0.484442533254562","0.442561816889776","0.526323249619347","1"
"No","2005","Not Employed","no migration background","","","","","2"
"No","2005","Employed","direct migration background","","","","","2"
"No","2005","Not Employed","direct migration background","","","","","2"
"No","2005","Employed","indirect migration background","","","","","2"
"No","2005","Not Employed","indirect migration background","","","","","2"
"No","2005","Employed","no migration background","","","","","2"
"Yes","2005","Not Employed","no migration background","","","","","1"
"Yes","2005","Not Employed","direct migration background","","","","","1"
"Yes","2005","Not Employed","indirect migration background","","","","","1"
"Yes","2005","Employed","no migration background","","","","","1"
"Yes","2005","Employed","direct migration background","","","","","1"
"Yes","2005","Employed","indirect migration background","","","","","1"
"No","2006","Employed","direct migration background","893","0.610415506950563","0.584526596515853","0.636304417385273","2"
"No","2006","Employed","indirect migration background","319","0.571461049853647","0.530692210901091","0.612229888806203","2"
"No","2006","Not Employed","no migration background","5831","0.792510342452625","0.783208106372773","0.801812578532476","2"
"No","2006","Not Employed","direct migration background","786","0.771266572802317","0.745591090706267","0.796942054898367","2"
"No","2006","Not Employed","indirect migration background","164","0.615128486266183","0.55552537751392","0.674731595018447","2"
"No","2006","Employed","no migration background","7758","0.647634385538769","0.638918970356829","0.656349800720708","2"
"Yes","2006","Not Employed","no migration background","1469","0.207489657547375","0.198187421467524","0.216791893627227","1"
"Yes","2006","Not Employed","direct migration background","242","0.228733427197683","0.203057945101633","0.254408909293733","1"
"Yes","2006","Not Employed","indirect migration background","92","0.384871513733817","0.325268404981553","0.444474622486081","1"
"Yes","2006","Employed","no migration background","3783","0.352365614461231","0.343650199279292","0.361081029643171","1"
"Yes","2006","Employed","direct migration background","470","0.389584493049437","0.363695582614727","0.415473403484147","1"
"Yes","2006","Employed","indirect migration background","247","0.428538950146353","0.387770111193797","0.469307789098909","1"
"No","2007","Employed","direct migration background","","","","","2"
"No","2007","Employed","indirect migration background","","","","","2"
"No","2007","Not Employed","no migration background","","","","","2"
"No","2007","Not Employed","direct migration background","","","","","2"
"No","2007","Not Employed","indirect migration background","","","","","2"
"No","2007","Employed","no migration background","","","","","2"
"Yes","2007","Not Employed","no migration background","","","","","1"
"Yes","2007","Not Employed","direct migration background","","","","","1"
"Yes","2007","Not Employed","indirect migration background","","","","","1"
"Yes","2007","Employed","no migration background","","","","","1"
"Yes","2007","Employed","direct migration background","","","","","1"
"Yes","2007","Employed","indirect migration background","","","","","1"
"No","2008","Employed","direct migration background","740","0.622201462794584","0.593692152459706","0.650710773129462","2"
"No","2008","Employed","indirect migration background","333","0.587807625521514","0.547220204965805","0.628395046077222","2"
"No","2008","Not Employed","no migration background","5314","0.810543486554334","0.801002275151087","0.820084697957581","2"
"No","2008","Not Employed","direct migration background","654","0.794872371651573","0.76697836300336","0.822766380299785","2"
"No","2008","Not Employed","indirect migration background","141","0.695122502515452","0.632409690088209","0.757835314942694","2"
"No","2008","Employed","no migration background","7007","0.668242261423091","0.659121328971033","0.677363193875149","2"
"Yes","2008","Not Employed","no migration background","1166","0.189456513445666","0.179915302042419","0.198997724848913","1"
"Yes","2008","Not Employed","direct migration background","151","0.205127628348428","0.177233619700215","0.23302163699664","1"
"Yes","2008","Not Employed","indirect migration background","66","0.304877497484548","0.242164685057306","0.367590309911791","1"
"Yes","2008","Employed","no migration background","3230","0.331757738576909","0.322636806124851","0.340878671028967","1"
"Yes","2008","Employed","direct migration background","371","0.377798537205416","0.349289226870538","0.406307847540294","1"
"Yes","2008","Employed","indirect migration background","232","0.412192374478486","0.371604953922778","0.452779795034195","1"
"No","2009","Employed","direct migration background","","","","","2"
"No","2009","Employed","indirect migration background","","","","","2"
"No","2009","Not Employed","no migration background","","","","","2"
"No","2009","Not Employed","direct migration background","","","","","2"
"No","2009","Not Employed","indirect migration background","","","","","2"
"No","2009","Employed","no migration background","","","","","2"
"Yes","2009","Not Employed","indirect migration background","","","","","1"
"Yes","2009","Employed","no migration background","","","","","1"
"Yes","2009","Not Employed","no migration background","","","","","1"
"Yes","2009","Not Employed","direct migration background","","","","","1"
"Yes","2009","Employed","direct migration background","","","","","1"
"Yes","2009","Employed","indirect migration background","","","","","1"
"No","2010","Not Employed","no migration background","4565","0.819778503698819","0.809676135291672","0.829880872105965","2"
"No","2010","Employed","direct migration background","584","0.677962157886822","0.646531720369786","0.709392595403857","2"
"No","2010","Employed","indirect migration background","288","0.570549643591631","0.526359259652274","0.614740027530987","2"
"No","2010","Not Employed","direct migration background","522","0.793652462519121","0.761976548906329","0.825328376131914","2"
"No","2010","Not Employed","indirect migration background","136","0.80415602502545","0.745692267352068","0.862619782698833","2"
"No","2010","Employed","no migration background","6276","0.680213869873597","0.670593742598935","0.68983399714826","2"
"Yes","2010","Not Employed","indirect migration background","41","0.19584397497455","0.137380217301167","0.254307732647932","1"
"Yes","2010","Employed","no migration background","2753","0.319786130126403","0.31016600285174","0.329406257401065","1"
