"ple0081_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Not Employed","(0) in school","100","0.220236230940163","0.18350634576826","0.256966116112065"
"Yes","2002","Not Employed","(1a) inadequately completed","43","0.237407473604423","0.174185662551684","0.300629284657162"
"Yes","2002","Not Employed","(1b) general elementary school","244","0.146607271616079","0.127780733364998","0.165433809867161"
"Yes","2002","Not Employed","(1c) basic vocational qualification","619","0.19297257689992","0.179051535639407","0.206893618160433"
"Yes","2002","Not Employed","(2b) intermediate general qualification","81","0.28780057268453","0.229162864642046","0.346438280727013"
"Yes","2002","Not Employed","(2a) intermediate vocational","308","0.239440065615768","0.215325446291888","0.263554684939648"
"Yes","2002","Not Employed","(2c_gen) general maturity certificate","83","0.260963907901845","0.213653451033254","0.308274364770436"
"Yes","2002","Not Employed","(2c_voc) vocational maturity certificate","94","0.22743611903069","0.186911018759688","0.267961219301692"
"Yes","2002","Not Employed","(3a) lower tertiary education","78","0.182254758317598","0.14605915472497","0.218450361910225"
"Yes","2002","Not Employed","(3b) higher tertiary education","67","0.119587531344847","0.0914540365994305","0.147721026090263"
"Yes","2002","Employed","(0) in school","38","0.284051987725501","0.206231688555553","0.361872286895448"
"Yes","2002","Employed","(1a) inadequately completed","63","0.534388651480407","0.445875344372312","0.622901958588501"
"Yes","2002","Employed","(1b) general elementary school","470","0.508020917086455","0.476112419122657","0.539929415050252"
"Yes","2002","Employed","(1c) basic vocational qualification","1521","0.425612034083949","0.40942024209428","0.441803826073617"
"Yes","2002","Employed","(2b) intermediate general qualification","197","0.473757448368454","0.426673028471864","0.520841868265044"
"Yes","2002","Employed","(2a) intermediate vocational","1542","0.37714394843451","0.36238737125601","0.39190052561301"
"Yes","2002","Employed","(2c_gen) general maturity certificate","205","0.352405212883748","0.312944336367786","0.39186608939971"
"Yes","2002","Employed","(2c_voc) vocational maturity certificate","382","0.314658748396346","0.288240983331004","0.341076513461687"
"Yes","2002","Employed","(3a) lower tertiary education","358","0.2821538881333","0.25829652013371","0.306011256132889"
"Yes","2002","Employed","(3b) higher tertiary education","477","0.233008544253984","0.215563995909975","0.250453092597993"
"No","2002","Not Employed","(0) in school","389","0.779763769059837","0.743033883887935","0.81649365423174"
"No","2002","Not Employed","(1a) inadequately completed","131","0.762592526395577","0.699370715342838","0.825814337448316"
"No","2002","Not Employed","(1b) general elementary school","1112","0.85339272838392","0.834566190132839","0.872219266635002"
"No","2002","Not Employed","(1c) basic vocational qualification","2468","0.80702742310008","0.793106381839567","0.820948464360593"
"No","2002","Not Employed","(2b) intermediate general qualification","148","0.71219942731547","0.653561719272987","0.770837135357954"
"No","2002","Not Employed","(2a) intermediate vocational","895","0.760559934384232","0.736445315060352","0.784674553708112"
"No","2002","Not Employed","(2c_gen) general maturity certificate","248","0.739036092098155","0.691725635229564","0.786346548966746"
"No","2002","Not Employed","(2c_voc) vocational maturity certificate","317","0.77256388096931","0.732038780698308","0.813088981240312"
"No","2002","Not Employed","(3a) lower tertiary education","359","0.817745241682402","0.781549638089775","0.85394084527503"
"No","2002","Not Employed","(3b) higher tertiary education","444","0.880412468655153","0.852278973909737","0.908545963400569"
"No","2002","Employed","(0) in school","91","0.715948012274499","0.638127713104552","0.793768311444447"
"No","2002","Employed","(1a) inadequately completed","59","0.465611348519593","0.377098041411499","0.554124655627688"
"No","2002","Employed","(1b) general elementary school","473","0.491979082913545","0.460070584949748","0.523887580877343"
"No","2002","Employed","(1c) basic vocational qualification","2061","0.574387965916051","0.558196173926383","0.59057975790572"
"No","2002","Employed","(2b) intermediate general qualification","235","0.526242551631546","0.479158131734956","0.573326971528136"
"No","2002","Employed","(2a) intermediate vocational","2602","0.62285605156549","0.60809947438699","0.63761262874399"
"No","2002","Employed","(2c_gen) general maturity certificate","358","0.647594787116252","0.60813391060029","0.687055663632214"
"No","2002","Employed","(2c_voc) vocational maturity certificate","805","0.685341251603655","0.658923486538313","0.711759016668996"
"No","2002","Employed","(3a) lower tertiary education","1009","0.7178461118667","0.693988743867111","0.74170347986629"
"No","2002","Employed","(3b) higher tertiary education","1779","0.766991455746016","0.749546907402006","0.784436004090025"
"Yes","2003","Not Employed","(0) in school","","","",""
"Yes","2003","Not Employed","(1a) inadequately completed","","","",""
"Yes","2003","Not Employed","(1b) general elementary school","","","",""
"Yes","2003","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2003","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2003","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2003","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2003","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2003","Employed","(0) in school","","","",""
"Yes","2003","Employed","(1a) inadequately completed","","","",""
"Yes","2003","Employed","(1b) general elementary school","","","",""
"Yes","2003","Employed","(1c) basic vocational qualification","","","",""
"Yes","2003","Employed","(2b) intermediate general qualification","","","",""
"Yes","2003","Employed","(2a) intermediate vocational","","","",""
"Yes","2003","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Employed","(3a) lower tertiary education","","","",""
"Yes","2003","Employed","(3b) higher tertiary education","","","",""
"No","2003","Not Employed","(0) in school","","","",""
"No","2003","Not Employed","(1a) inadequately completed","","","",""
"No","2003","Not Employed","(1b) general elementary school","","","",""
"No","2003","Not Employed","(1c) basic vocational qualification","","","",""
"No","2003","Not Employed","(2b) intermediate general qualification","","","",""
"No","2003","Not Employed","(2a) intermediate vocational","","","",""
"No","2003","Not Employed","(2c_gen) general maturity certificate","","","",""
"No","2003","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Not Employed","(3a) lower tertiary education","","","",""
"No","2003","Not Employed","(3b) higher tertiary education","","","",""
"No","2003","Employed","(0) in school","","","",""
"No","2003","Employed","(1a) inadequately completed","","","",""
"No","2003","Employed","(1b) general elementary school","","","",""
"No","2003","Employed","(1c) basic vocational qualification","","","",""
"No","2003","Employed","(2b) intermediate general qualification","","","",""
"No","2003","Employed","(2a) intermediate vocational","","","",""
"No","2003","Employed","(2c_gen) general maturity certificate","","","",""
"No","2003","Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Employed","(3a) lower tertiary education","","","",""
"No","2003","Employed","(3b) higher tertiary education","","","",""
"Yes","2004","Not Employed","(0) in school","131","0.230778561543352","0.195502407319191","0.266054715767513"
"Yes","2004","Not Employed","(1a) inadequately completed","45","0.281171928177071","0.210167370777207","0.352176485576936"
"Yes","2004","Not Employed","(1b) general elementary school","231","0.177402111777512","0.15617401354587","0.198630210009154"
"Yes","2004","Not Employed","(1c) basic vocational qualification","575","0.190984753266873","0.176805034523976","0.205164472009769"
"Yes","2004","Not Employed","(2b) intermediate general qualification","63","0.284606556878306","0.224151012987282","0.345062100769331"
"Yes","2004","Not Employed","(2a) intermediate vocational","323","0.268238374938644","0.243377669628171","0.293099080249118"
"Yes","2004","Not Employed","(2c_gen) general maturity certificate","95","0.269495817196549","0.223470016667505","0.315521617725593"
"Yes","2004","Not Employed","(2c_voc) vocational maturity certificate","81","0.189450339076208","0.150408513560746","0.228492164591669"
"Yes","2004","Not Employed","(3a) lower tertiary education","88","0.184358265880701","0.14896027156522","0.219756260196182"
"Yes","2004","Not Employed","(3b) higher tertiary education","72","0.116851900858193","0.0896307890082876","0.144073012708098"
"Yes","2004","Employed","(0) in school","20","","",""
"Yes","2004","Employed","(1a) inadequately completed","58","0.494243416570635","0.401649959634833","0.586836873506438"
"Yes","2004","Employed","(1b) general elementary school","350","0.443905474126661","0.408948261936719","0.478862686316603"
"Yes","2004","Employed","(1c) basic vocational qualification","1326","0.415353886974153","0.398123276146728","0.432584497801579"
"Yes","2004","Employed","(2b) intermediate general qualification","185","0.508635608775978","0.459520877102041","0.557750340449914"
"Yes","2004","Employed","(2a) intermediate vocational","1367","0.363869765945963","0.348560814978016","0.37917871691391"
"Yes","2004","Employed","(2c_gen) general maturity certificate","186","0.404547819309474","0.361223374240153","0.447872264378795"
"Yes","2004","Employed","(2c_voc) vocational maturity certificate","361","0.310728654826763","0.284323248677274","0.337134060976251"
"Yes","2004","Employed","(3a) lower tertiary education","313","0.283732582151393","0.258701405041502","0.308763759261284"
"Yes","2004","Employed","(3b) higher tertiary education","407","0.240476468056008","0.222021156119654","0.258931779992361"
"No","2004","Not Employed","(0) in school","417","0.769221438456648","0.733945284232487","0.804497592680809"
"No","2004","Not Employed","(1a) inadequately completed","109","0.718828071822929","0.647823514423064","0.789832629222793"
"No","2004","Not Employed","(1b) general elementary school","1013","0.822597888222488","0.801369789990846","0.84382598645413"
"No","2004","Not Employed","(1c) basic vocational qualification","2377","0.809015246733127","0.794835527990231","0.823194965476024"
"No","2004","Not Employed","(2b) intermediate general qualification","151","0.715393443121693","0.654937899230669","0.775848987012718"
"No","2004","Not Employed","(2a) intermediate vocational","897","0.731761625061356","0.706900919750882","0.756622330371829"
"No","2004","Not Employed","(2c_gen) general maturity certificate","262","0.730504182803451","0.684478382274407","0.776529983332495"
"No","2004","Not Employed","(2c_voc) vocational maturity certificate","306","0.810549660923792","0.771507835408331","0.849591486439253"
"No","2004","Not Employed","(3a) lower tertiary education","373","0.815641734119299","0.780243739803818","0.85103972843478"
"No","2004","Not Employed","(3b) higher tertiary education","463","0.883148099141807","0.855926987291902","0.910369210991712"
"No","2004","Employed","(0) in school","73","0.731434382899508","0.641356222488274","0.821512543310743"
"No","2004","Employed","(1a) inadequately completed","54","0.505756583429364","0.413163126493562","0.598350040365166"
"No","2004","Employed","(1b) general elementary school","426","0.556094525873339","0.521137313683397","0.591051738063281"
"No","2004","Employed","(1c) basic vocational qualification","1816","0.584646113025847","0.567415502198421","0.601876723853272"
"No","2004","Employed","(2b) intermediate general qualification","213","0.491364391224022","0.442249659550086","0.540479122897959"
"No","2004","Employed","(2a) intermediate vocational","2427","0.636130234054037","0.62082128308609","0.651439185021984"
"No","2004","Employed","(2c_gen) general maturity certificate","307","0.595452180690526","0.552127735621205","0.638776625759847"
"No","2004","Employed","(2c_voc) vocational maturity certificate","819","0.689271345173237","0.662865939023749","0.715676751322726"
"No","2004","Employed","(3a) lower tertiary education","933","0.716267417848607","0.691236240738716","0.741298594958498"
"No","2004","Employed","(3b) higher tertiary education","1653","0.759523531943993","0.741068220007639","0.777978843880346"
"Yes","2005","Not Employed","(0) in school","","","",""
