"ple0081_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","West Germany","2254","0.321992191906392","0.310846576452975","0.333137807359809"
"Yes","2002","lower secondary degree","East Germany","407","0.233763876116506","0.213186432533565","0.254341319699447"
"Yes","2002","secondary school degree","West Germany","1439","0.32613726002127","0.312084359810408","0.340190160232132"
"Yes","2002","secondary school degree","East Germany","836","0.352895029550962","0.333922271650242","0.371867787451681"
"Yes","2002","college entrance qualification","West Germany","1111","0.257855404310259","0.245061327693062","0.270649480927457"
"Yes","2002","college entrance qualification","East Germany","282","0.269314117860426","0.243357590994866","0.295270644725986"
"Yes","2002","Other degree","West Germany","384","0.286015709968105","0.261269266109867","0.310762153826342"
"Yes","2002","Other degree","East Germany","12","","",""
"Yes","2002","no degree/no degree yet","West Germany","201","0.284324325692152","0.25186710898063","0.316781542403674"
"Yes","2002","no degree/no degree yet","East Germany","43","0.273073646823061","0.206873558512335","0.339273735133788"
"No","2002","lower secondary degree","West Germany","4497","0.678007808093608","0.666862192640191","0.689153423547025"
"No","2002","lower secondary degree","East Germany","1218","0.766236123883494","0.745658680300553","0.786813567466435"
"No","2002","secondary school degree","West Germany","2836","0.67386273997873","0.659809839767868","0.687915640189592"
"No","2002","secondary school degree","East Germany","1601","0.647104970449038","0.628132212548319","0.666077728349758"
"No","2002","college entrance qualification","West Germany","3380","0.742144595689741","0.729350519072543","0.754938672306938"
"No","2002","college entrance qualification","East Germany","840","0.730685882139574","0.704729355274014","0.756642409005134"
"No","2002","Other degree","West Germany","897","0.713984290031895","0.689237846173658","0.738730733890133"
"No","2002","Other degree","East Germany","35","0.799521382967244","0.685062834872215","0.913979931062273"
"No","2002","no degree/no degree yet","West Germany","541","0.715675674307848","0.683218457596326","0.74813289101937"
"No","2002","no degree/no degree yet","East Germany","131","0.726926353176939","0.660726264866212","0.793126441487665"
"Yes","2003","lower secondary degree","West Germany","","","",""
"Yes","2003","lower secondary degree","East Germany","","","",""
"Yes","2003","secondary school degree","West Germany","","","",""
"Yes","2003","secondary school degree","East Germany","","","",""
"Yes","2003","college entrance qualification","West Germany","","","",""
"Yes","2003","college entrance qualification","East Germany","","","",""
"Yes","2003","Other degree","West Germany","","","",""
"Yes","2003","Other degree","East Germany","","","",""
"Yes","2003","no degree/no degree yet","West Germany","","","",""
"Yes","2003","no degree/no degree yet","East Germany","","","",""
"No","2003","lower secondary degree","West Germany","","","",""
"No","2003","lower secondary degree","East Germany","","","",""
"No","2003","secondary school degree","West Germany","","","",""
"No","2003","secondary school degree","East Germany","","","",""
"No","2003","college entrance qualification","West Germany","","","",""
"No","2003","college entrance qualification","East Germany","","","",""
"No","2003","Other degree","West Germany","","","",""
"No","2003","Other degree","East Germany","","","",""
"No","2003","no degree/no degree yet","West Germany","","","",""
"No","2003","no degree/no degree yet","East Germany","","","",""
"Yes","2004","lower secondary degree","West Germany","1958","0.308662723576324","0.297069456163201","0.320255990989446"
"Yes","2004","lower secondary degree","East Germany","371","0.244738977161052","0.22283528436028","0.266642669961824"
"Yes","2004","secondary school degree","West Germany","1326","0.336280363731843","0.321588172967673","0.350972554496013"
"Yes","2004","secondary school degree","East Germany","752","0.329517820336656","0.310391246937349","0.348644393735963"
"Yes","2004","college entrance qualification","West Germany","1001","0.255012965950715","0.24190263712903","0.2681232947724"
"Yes","2004","college entrance qualification","East Germany","290","0.276784457800955","0.250732650251511","0.302836265350399"
"Yes","2004","Other degree","West Germany","312","0.272726740677801","0.24691913289957","0.298534348456033"
"Yes","2004","Other degree","East Germany","13","","",""
"Yes","2004","no degree/no degree yet","West Germany","196","0.283317498784439","0.250471759429083","0.316163238139795"
"Yes","2004","no degree/no degree yet","East Germany","58","0.333242353147263","0.265500711396714","0.400983994897812"
"No","2004","lower secondary degree","West Germany","4141","0.691337276423676","0.679744009010554","0.702930543836799"
"No","2004","lower secondary degree","East Germany","1109","0.755261022838948","0.733357330038176","0.777164715639719"
"No","2004","secondary school degree","West Germany","2646","0.663719636268157","0.649027445503987","0.678411827032327"
"No","2004","secondary school degree","East Germany","1568","0.670482179663344","0.651355606264037","0.689608753062651"
"No","2004","college entrance qualification","West Germany","3245","0.744987034049285","0.7318767052276","0.75809736287097"
"No","2004","college entrance qualification","East Germany","843","0.723215542199045","0.697163734649601","0.749267349748489"
"No","2004","Other degree","West Germany","832","0.727273259322199","0.701465651543967","0.75308086710043"
"No","2004","Other degree","East Germany","39","0.821110780764835","0.716941568355274","0.925279993174396"
"No","2004","no degree/no degree yet","West Germany","527","0.716682501215561","0.683836761860205","0.749528240570917"
"No","2004","no degree/no degree yet","East Germany","128","0.666757646852737","0.599016005102188","0.734499288603286"
"Yes","2005","lower secondary degree","West Germany","","","",""
"Yes","2005","lower secondary degree","East Germany","","","",""
"Yes","2005","secondary school degree","West Germany","","","",""
"Yes","2005","secondary school degree","East Germany","","","",""
"Yes","2005","college entrance qualification","West Germany","","","",""
"Yes","2005","college entrance qualification","East Germany","","","",""
"Yes","2005","Other degree","West Germany","","","",""
"Yes","2005","Other degree","East Germany","","","",""
"Yes","2005","no degree/no degree yet","West Germany","","","",""
"Yes","2005","no degree/no degree yet","East Germany","","","",""
"No","2005","lower secondary degree","West Germany","","","",""
"No","2005","lower secondary degree","East Germany","","","",""
"No","2005","secondary school degree","West Germany","","","",""
"No","2005","secondary school degree","East Germany","","","",""
"No","2005","college entrance qualification","West Germany","","","",""
"No","2005","college entrance qualification","East Germany","","","",""
"No","2005","Other degree","West Germany","","","",""
"No","2005","Other degree","East Germany","","","",""
"No","2005","no degree/no degree yet","West Germany","","","",""
"No","2005","no degree/no degree yet","East Germany","","","",""
"Yes","2006","lower secondary degree","West Germany","1890","0.308328843822705","0.296791894838245","0.319865792807165"
"Yes","2006","lower secondary degree","East Germany","365","0.251297207960447","0.229198555528863","0.273395860392031"
"Yes","2006","secondary school degree","West Germany","1343","0.346254502660629","0.331735453199267","0.360773552121991"
"Yes","2006","secondary school degree","East Germany","734","0.320928673848805","0.302082193461116","0.339775154236494"
"Yes","2006","college entrance qualification","West Germany","974","0.236544773371772","0.224033639254087","0.249055907489458"
"Yes","2006","college entrance qualification","East Germany","293","0.249453952865904","0.224900547421093","0.274007358310716"
"Yes","2006","Other degree","West Germany","333","0.320169240359093","0.293015368017121","0.347323112701066"
"Yes","2006","Other degree","East Germany","16","","",""
"Yes","2006","no degree/no degree yet","West Germany","148","0.325678223544778","0.286795297057305","0.36456115003225"
"Yes","2006","no degree/no degree yet","East Germany","30","0.300670952168064","0.210344071203169","0.39099783313296"
"No","2006","lower secondary degree","West Germany","4265","0.691671156177295","0.680134207192835","0.703208105161755"
"No","2006","lower secondary degree","East Germany","1115","0.748702792039553","0.726604139607969","0.770801444471137"
"No","2006","secondary school degree","West Germany","2782","0.653745497339371","0.639226447878009","0.668264546800733"
"No","2006","secondary school degree","East Germany","1623","0.679071326151195","0.660224845763506","0.697917806538884"
"No","2006","college entrance qualification","West Germany","3458","0.763455226628228","0.750944092510542","0.775966360745913"
"No","2006","college entrance qualification","East Germany","900","0.750546047134096","0.725992641689284","0.775099452578907"
"No","2006","Other degree","West Germany","801","0.679830759640907","0.652676887298934","0.706984631982879"
"No","2006","Other degree","East Germany","54","0.767800932944273","0.668887876024809","0.866713989863736"
"No","2006","no degree/no degree yet","West Germany","410","0.674321776455223","0.63543884996775","0.713204702942695"
"No","2006","no degree/no degree yet","East Germany","69","0.699329047831936","0.60900216686704","0.789655928796831"
"Yes","2007","lower secondary degree","West Germany","","","",""
"Yes","2007","lower secondary degree","East Germany","","","",""
"Yes","2007","secondary school degree","West Germany","","","",""
"Yes","2007","secondary school degree","East Germany","","","",""
"Yes","2007","college entrance qualification","West Germany","","","",""
"Yes","2007","college entrance qualification","East Germany","","","",""
"Yes","2007","Other degree","West Germany","","","",""
"Yes","2007","Other degree","East Germany","","","",""
"Yes","2007","no degree/no degree yet","West Germany","","","",""
"Yes","2007","no degree/no degree yet","East Germany","","","",""
"No","2007","lower secondary degree","West Germany","","","",""
"No","2007","lower secondary degree","East Germany","","","",""
"No","2007","secondary school degree","West Germany","","","",""
"No","2007","secondary school degree","East Germany","","","",""
"No","2007","college entrance qualification","West Germany","","","",""
"No","2007","college entrance qualification","East Germany","","","",""
"No","2007","Other degree","West Germany","","","",""
"No","2007","Other degree","East Germany","","","",""
"No","2007","no degree/no degree yet","West Germany","","","",""
"No","2007","no degree/no degree yet","East Germany","","","",""
"Yes","2008","lower secondary degree","West Germany","1561","0.308995009294034","0.296445436912746","0.321544581675322"
"Yes","2008","lower secondary degree","East Germany","313","0.266780725917087","0.242598811015497","0.290962640818678"
"Yes","2008","secondary school degree","West Germany","1098","0.310416388512856","0.295413010841677","0.325419766184036"
"Yes","2008","secondary school degree","East Germany","627","0.307648080068777","0.28793236214782","0.327363797989734"
"Yes","2008","college entrance qualification","West Germany","787","0.200383857806409","0.188025302340036","0.212742413272781"
"Yes","2008","college entrance qualification","East Germany","261","0.245658266592104","0.220424798247015","0.270891734937193"
"Yes","2008","Other degree","West Germany","235","0.30530832844488","0.275170133246173","0.335446523643587"
"Yes","2008","Other degree","East Germany","17","","",""
"Yes","2008","no degree/no degree yet","West Germany","111","0.306549081904674","0.263902640847698","0.349195522961651"
"Yes","2008","no degree/no degree yet","East Germany","21","","",""
"No","2008","lower secondary degree","West Germany","3647","0.691004990705966","0.678455418324678","0.703554563087254"
"No","2008","lower secondary degree","East Germany","972","0.733219274082913","0.709037359181322","0.757401188984503"
"No","2008","secondary school degree","West Germany","2555","0.689583611487144","0.674580233815964","0.704586989158323"
"No","2008","secondary school degree","East Germany","1478","0.692351919931223","0.672636202010266","0.71206763785218"
"No","2008","college entrance qualification","West Germany","3243","0.799616142193591","0.787257586727219","0.811974697659964"
"No","2008","college entrance qualification","East Germany","857","0.754341733407896","0.729108265062807","0.779575201752985"
"No","2008","Other degree","West Germany","662","0.694691671555119","0.664553476356412","0.724829866753826"
"No","2008","Other degree","East Germany","37","0.692779870633211","0.569732121099657","0.815827620166764"
"No","2008","no degree/no degree yet","West Germany","338","0.693450918095326","0.650804477038349","0.736097359152302"
"No","2008","no degree/no degree yet","East Germany","81","0.8376587086422","0.766094469672017","0.909222947612382"
"Yes","2009","lower secondary degree","West Germany","","","",""
"Yes","2009","lower secondary degree","East Germany","","","",""
"Yes","2009","secondary school degree","West Germany","","","",""
"Yes","2009","secondary school degree","East Germany","","","",""
"Yes","2009","college entrance qualification","West Germany","","","",""
"Yes","2009","college entrance qualification","East Germany","","","",""
"Yes","2009","Other degree","West Germany","","","",""
"Yes","2009","Other degree","East Germany","","","",""
"Yes","2009","no degree/no degree yet","West Germany","","","",""
"Yes","2009","no degree/no degree yet","East Germany","","","",""
"No","2009","lower secondary degree","West Germany","","","",""
"No","2009","lower secondary degree","East Germany","","","",""
"No","2009","secondary school degree","West Germany","","","",""
"No","2009","secondary school degree","East Germany","","","",""
"No","2009","college entrance qualification","West Germany","","","",""
"No","2009","college entrance qualification","East Germany","","","",""
"No","2009","Other degree","West Germany","","","",""
"No","2009","Other degree","East Germany","","","",""
"No","2009","no degree/no degree yet","West Germany","","","",""
"No","2009","no degree/no degree yet","East Germany","","","",""
"Yes","2010","lower secondary degree","West Germany","1261","0.285828692386827","0.272358933553905","0.299298451219749"
"Yes","2010","lower secondary degree","East Germany","253","0.223685228200853","0.198634576061737","0.248735880339968"
"Yes","2010","secondary school degree","West Germany","942","0.317177288497777","0.301020238115348","0.333334338880205"
"Yes","2010","secondary school degree","East Germany","549","0.293502618710945","0.272797081415311","0.314208156006579"
"Yes","2010","college entrance qualification","West Germany","688","0.207991375388809","0.194827907285402","0.221154843492215"
"Yes","2010","college entrance qualification","East Germany","228","0.221309034255501","0.195870480689859","0.246747587821143"
"Yes","2010","Other degree","West Germany","160","0.253583302786015","0.221003098340552","0.286163507231477"
"Yes","2010","Other degree","East Germany","13","","",""
"Yes","2010","no degree/no degree yet","West Germany","80","0.257047526005925","0.212876102105164","0.301218949906686"
"Yes","2010","no degree/no degree yet","East Germany","9","","",""
"No","2010","lower secondary degree","West Germany","3061","0.714171307613173","0.700701548780251","0.727641066446095"
"No","2010","lower secondary degree","East Germany","810","0.776314771799147","0.751264119660032","0.801365423938263"
"No","2010","secondary school degree","West Germany","2245","0.682822711502224","0.666665661119795","0.698979761884652"
"No","2010","secondary school degree","East Germany","1309","0.706497381289055","0.685791843993421","0.727202918584689"
"No","2010","college entrance qualification","West Germany","2964","0.792008624611191","0.778845156507785","0.805172092714598"
"No","2010","college entrance qualification","East Germany","795","0.778690965744499","0.753252412178857","0.804129519310141"
"No","2010","Other degree","West Germany","525","0.746416697213985","0.713836492768523","0.778996901659448"
"No","2010","Other degree","East Germany","25","","",""
"No","2010","no degree/no degree yet","West Germany","296","0.742952473994075","0.698781050093314","0.787123897894836"
"No","2010","no degree/no degree yet","East Germany","36","0.875357418698414","0.778848431107105","0.971866406289724"
"Yes","2011","lower secondary degree","West Germany","","","",""
"Yes","2011","lower secondary degree","East Germany","","","",""
"Yes","2011","secondary school degree","West Germany","","","",""
"Yes","2011","secondary school degree","East Germany","","","",""
"Yes","2011","college entrance qualification","West Germany","","","",""
"Yes","2011","college entrance qualification","East Germany","","","",""
"Yes","2011","Other degree","West Germany","","","",""
"Yes","2011","Other degree","East Germany","","","",""
"Yes","2011","no degree/no degree yet","West Germany","","","",""
"Yes","2011","no degree/no degree yet","East Germany","","","",""
"No","2011","lower secondary degree","West Germany","","","",""
"No","2011","lower secondary degree","East Germany","","","",""
"No","2011","secondary school degree","West Germany","","","",""
"No","2011","secondary school degree","East Germany","","","",""
"No","2011","college entrance qualification","West Germany","","","",""
"No","2011","college entrance qualification","East Germany","","","",""
"No","2011","Other degree","West Germany","","","",""
"No","2011","Other degree","East Germany","","","",""
"No","2011","no degree/no degree yet","West Germany","","","",""
"No","2011","no degree/no degree yet","East Germany","","","",""
"Yes","2012","lower secondary degree","West Germany","1498","0.280659284664779","0.268502794416277","0.292815774913281"
"Yes","2012","lower secondary degree","East Germany","323","0.257590343871152","0.233529886685278","0.281650801057027"
"Yes","2012","secondary school degree","West Germany","1116","0.299854436106678","0.285494464112593","0.314214408100763"
"Yes","2012","secondary school degree","East Germany","666","0.312844790898698","0.293232697430063","0.332456884367332"
"Yes","2012","college entrance qualification","West Germany","817","0.19707153294713","0.185447937941221","0.20869512795304"
"Yes","2012","college entrance qualification","East Germany","255","0.206698360938446","0.18362327054945","0.229773451327442"
"Yes","2012","Other degree","West Germany","262","0.27056264606981","0.24418945017862","0.296935841961001"
"Yes","2012","Other degree","East Germany","29","","",""
"Yes","2012","no degree/no degree yet","West Germany","129","0.295870319421758","0.254995357585554","0.336745281257962"
"Yes","2012","no degree/no degree yet","East Germany","22","","",""
"No","2012","lower secondary degree","West Germany","3750","0.719340715335221","0.707184225086719","0.731497205583723"
"No","2012","lower secondary degree","East Germany","946","0.742409656128848","0.718349198942973","0.766470113314722"
"No","2012","secondary school degree","West Germany","2795","0.700145563893322","0.685785591899237","0.714505535887407"
"No","2012","secondary school degree","East Germany","1481","0.687155209101302","0.667543115632668","0.706767302569937"
"No","2012","college entrance qualification","West Germany","3682","0.80292846705287","0.79130487204696","0.814552062058779"
"No","2012","college entrance qualification","East Germany","928","0.793301639061554","0.770226548672558","0.816376729450551"
"No","2012","Other degree","West Germany","828","0.729437353930189","0.703064158038999","0.75581054982138"
"No","2012","Other degree","East Germany","55","0.688057619617891","0.588983996996294","0.787131242239487"
"No","2012","no degree/no degree yet","West Germany","350","0.704129680578242","0.663254718742038","0.745004642414446"
"No","2012","no degree/no degree yet","East Germany","48","0.677935517618426","0.568473189368726","0.787397845868126"
"Yes","2013","lower secondary degree","West Germany","","","",""
"Yes","2013","lower secondary degree","East Germany","","","",""
"Yes","2013","secondary school degree","West Germany","","","",""
"Yes","2013","secondary school degree","East Germany","","","",""
"Yes","2013","college entrance qualification","West Germany","","","",""
"Yes","2013","college entrance qualification","East Germany","","","",""
"Yes","2013","Other degree","West Germany","","","",""
"Yes","2013","Other degree","East Germany","","","",""
"Yes","2013","no degree/no degree yet","West Germany","","","",""
"Yes","2013","no degree/no degree yet","East Germany","","","",""
"No","2013","lower secondary degree","West Germany","","","",""
"No","2013","lower secondary degree","East Germany","","","",""
"No","2013","secondary school degree","West Germany","","","",""
"No","2013","secondary school degree","East Germany","","","",""
"No","2013","college entrance qualification","West Germany","","","",""
"No","2013","college entrance qualification","East Germany","","","",""
"No","2013","Other degree","West Germany","","","",""
"No","2013","Other degree","East Germany","","","",""
"No","2013","no degree/no degree yet","West Germany","","","",""
"No","2013","no degree/no degree yet","East Germany","","","",""
"Yes","2014","lower secondary degree","West Germany","1869","0.292374679821691","0.280579962391895","0.304169397251487"
"Yes","2014","lower secondary degree","East Germany","366","0.29062492991925","0.26500966512969","0.31624019470881"
"Yes","2014","secondary school degree","West Germany","1454","0.284529182212596","0.272120708791715","0.296937655633478"
"Yes","2014","secondary school degree","East Germany","810","0.320472775748462","0.302065625916399","0.338879925580525"
"Yes","2014","college entrance qualification","West Germany","1095","0.195761556145065","0.185788765360256","0.205734346929874"
"Yes","2014","college entrance qualification","East Germany","271","0.189275870544009","0.168472020584338","0.21007972050368"
"Yes","2014","Other degree","West Germany","874","0.290954792241797","0.274747511450224","0.307162073033371"
"Yes","2014","Other degree","East Germany","83","0.354670810856495","0.299891361878405","0.409450259834585"
"Yes","2014","no degree/no degree yet","West Germany","285","0.318381729019161","0.287861959225575","0.348901498812747"
"Yes","2014","no degree/no degree yet","East Germany","41","0.427766579125504","0.336945700280207","0.518587457970802"
"No","2014","lower secondary degree","West Germany","3844","0.707625320178309","0.695830602748513","0.719420037608105"
"No","2014","lower secondary degree","East Germany","841","0.70937507008075","0.68375980529119","0.73499033487031"
"No","2014","secondary school degree","West Germany","3625","0.715470817787404","0.703062344366522","0.727879291208285"
"No","2014","secondary school degree","East Germany","1659","0.679527224251538","0.661120074419475","0.697934374083601"
"No","2014","college entrance qualification","West Germany","4986","0.804238443854935","0.794265653070126","0.814211234639744"
