"ple0081_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Full Time","(0) in school","1","","",""
"Yes","2002","Full Time","(1a) inadequately completed","33","0.536833470275501","0.419178054675541","0.65448888587546"
"Yes","2002","Full Time","(1b) general elementary school","266","0.542585159422147","0.498830682067207","0.586339636777087"
"Yes","2002","Full Time","(1c) basic vocational qualification","1036","0.443112158721913","0.42288542414335","0.463338893300477"
"Yes","2002","Full Time","(2b) intermediate general qualification","100","0.501716738554742","0.435191618263472","0.568241858846012"
"Yes","2002","Full Time","(2a) intermediate vocational","1076","0.390649312903038","0.372417494736149","0.408881131069927"
"Yes","2002","Full Time","(2c_gen) general maturity certificate","70","0.339658376171678","0.270279529388147","0.409037222955209"
"Yes","2002","Full Time","(2c_voc) vocational maturity certificate","271","0.320884968707158","0.288291443058956","0.35347849435536"
"Yes","2002","Full Time","(3a) lower tertiary education","283","0.294893472022013","0.267285951935283","0.322500992108743"
"Yes","2002","Full Time","(3b) higher tertiary education","357","0.237968053109274","0.217532048779787","0.258404057438762"
"Yes","2002","Part Time","(0) in school","37","0.296243084097289","0.216199130306864","0.376287037887715"
"Yes","2002","Part Time","(1a) inadequately completed","30","0.530825500930977","0.396470682969887","0.665180318892068"
"Yes","2002","Part Time","(1b) general elementary school","204","0.471363499182511","0.424984151782875","0.517742846582147"
"Yes","2002","Part Time","(1c) basic vocational qualification","485","0.39480656490321","0.367870005961822","0.421743123844598"
"Yes","2002","Part Time","(2b) intermediate general qualification","97","0.438461228887787","0.372135148484911","0.504787309290662"
"Yes","2002","Part Time","(2a) intermediate vocational","466","0.348988951380764","0.323958276955761","0.374019625805768"
"Yes","2002","Part Time","(2c_gen) general maturity certificate","135","0.358410759616594","0.310448290305834","0.406373228927355"
"Yes","2002","Part Time","(2c_voc) vocational maturity certificate","111","0.301353977652249","0.256331571375057","0.346376383929441"
