"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Hesse","secondary school degree","152","0.311624805947978","0.268249789522249","0.354999822373707"
"Yes","2002","Hesse","college entrance qualification","120","0.268126383280714","0.227688776096599","0.308563990464828"
"Yes","2002","Hesse","Other degree","50","0.367141707046488","0.288412306601884","0.445871107491093"
"Yes","2002","Hesse","no degree/no degree yet","21","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","lower secondary degree","220","0.320922360114894","0.285441268543654","0.356403451686134"
"Yes","2002","Rhineland-Palatinate,Saarland","secondary school degree","102","0.344476549757586","0.289499543079714","0.399453556435457"
"Yes","2002","Rhineland-Palatinate,Saarland","college entrance qualification","67","0.263269330274212","0.209108446560984","0.317430213987439"
"Yes","2002","Rhineland-Palatinate,Saarland","Other degree","26","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","no degree/no degree yet","11","","",""
"Yes","2002","Baden-Württemberg","lower secondary degree","320","0.288337125879672","0.260592073415002","0.316082178344342"
"Yes","2002","Baden-Württemberg","secondary school degree","196","0.293698320779147","0.258711583176346","0.328685058381948"
"Yes","2002","Baden-Württemberg","college entrance qualification","154","0.234276160117582","0.202253044206202","0.266299276028963"
"Yes","2002","Baden-Württemberg","Other degree","91","0.253230611806332","0.204266471656339","0.302194751956325"
"Yes","2002","Baden-Württemberg","no degree/no degree yet","40","0.348524204470005","0.270425166001422","0.426623242938589"
"Yes","2002","Bavaria","lower secondary degree","464","0.320067680792579","0.295508140699858","0.344627220885301"
"Yes","2002","Bavaria","secondary school degree","238","0.27798058614132","0.247147333982453","0.308813838300187"
"Yes","2002","Bavaria","college entrance qualification","154","0.207833221666301","0.179502947350602","0.236163495982001"
"Yes","2002","Bavaria","Other degree","35","0.188558257227907","0.131885545125441","0.245230969330373"
"Yes","2002","Bavaria","no degree/no degree yet","22","","",""
"Yes","2002","Berlin","lower secondary degree","69","0.4161049068154","0.341790405110625","0.490419408520174"
"Yes","2002","Berlin","secondary school degree","108","0.402230796669292","0.344693372263206","0.459768221075378"
"Yes","2002","Berlin","college entrance qualification","103","0.349305915388593","0.295176746552254","0.403435084224932"
"Yes","2002","Berlin","Other degree","14","","",""
"Yes","2002","Berlin","no degree/no degree yet","14","","",""
"Yes","2002","Brandenburg","lower secondary degree","60","0.195656025765129","0.149839793968226","0.241472257562031"
"Yes","2002","Brandenburg","secondary school degree","142","0.354478506271457","0.309370199552979","0.399586812989935"
"Yes","2002","Brandenburg","college entrance qualification","54","0.310080305979437","0.246296743896728","0.373863868062146"
"Yes","2002","Brandenburg","Other degree","4","","",""
"Yes","2002","Brandenburg","no degree/no degree yet","5","","",""
"Yes","2002","Mecklenburg-Western Pomerania","lower secondary degree","39","0.293921928270408","0.216207173392422","0.371636683148393"
"Yes","2002","Mecklenburg-Western Pomerania","secondary school degree","86","0.341471430229677","0.283154355618784","0.399788504840571"
"Yes","2002","Mecklenburg-Western Pomerania","college entrance qualification","22","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Other degree","1","","",""
"Yes","2002","Mecklenburg-Western Pomerania","no degree/no degree yet","3","","",""
"Yes","2002","Saxony","lower secondary degree","104","0.200292613853529","0.16441428853462","0.236170939172438"
"Yes","2002","Saxony","secondary school degree","235","0.323564311781519","0.290368798718755","0.356759824844282"
"Yes","2002","Saxony","college entrance qualification","75","0.204014126079533","0.161491376052347","0.246536876106719"
"Yes","2002","Saxony","Other degree","1","","",""
"Yes","2002","Saxony","no degree/no degree yet","11","","",""
"Yes","2002","Saxony-Anhalt","lower secondary degree","93","0.249646436929885","0.203090538746351","0.29620233511342"
"Yes","2002","Saxony-Anhalt","secondary school degree","149","0.376015137004711","0.32878196633596","0.423248307673462"
"Yes","2002","Saxony-Anhalt","college entrance qualification","54","0.312775590948207","0.246852584482615","0.378698597413799"
"Yes","2002","Saxony-Anhalt","Other degree","4","","",""
"Yes","2002","Saxony-Anhalt","no degree/no degree yet","8","","",""
"Yes","2002","Thuringia","lower secondary degree","83","0.228059638937588","0.182582796263702","0.273536481611474"
"Yes","2002","Thuringia","secondary school degree","163","0.370052357004762","0.324628182741222","0.415476531268301"
"Yes","2002","Thuringia","college entrance qualification","39","0.223288286713461","0.159936780485134","0.286639792941789"
"Yes","2002","Thuringia","Other degree","1","","",""
"Yes","2002","Thuringia","no degree/no degree yet","6","","",""
"No","2002","Schleswig-Holstein","lower secondary degree","184","0.624926214886176","0.569679073666925","0.680173356105426"
"No","2002","Schleswig-Holstein","secondary school degree","124","0.655408979639681","0.587476520216011","0.72334143906335"
"No","2002","Schleswig-Holstein","college entrance qualification","143","0.832788698662772","0.777182236575308","0.888395160750237"
"No","2002","Schleswig-Holstein","Other degree","21","","",""
"No","2002","Schleswig-Holstein","no degree/no degree yet","24","","",""
"No","2002","Hamburg","lower secondary degree","57","0.581242603579028","0.480430159795521","0.682055047362535"
"No","2002","Hamburg","secondary school degree","71","0.627882279490535","0.534076997303401","0.721687561677668"
