"ple0081_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Urban Area","West Germany","4260","0.310960470874216","0.303190648195628","0.318730293552804"
"Yes","2002","Urban Area","East Germany","530","0.310237063743046","0.289134801759343","0.33133932572675"
"Yes","2002","Rural Area","West Germany","1192","0.291359847851955","0.277381163630366","0.305338532073545"
"Yes","2002","Rural Area","East Germany","1076","0.287472530054202","0.272704797849378","0.302240262259025"
"No","2002","Urban Area","West Germany","9374","0.689039529125784","0.681269706447196","0.696809351804372"
"No","2002","Urban Area","East Germany","1316","0.689762936256954","0.66866067427325","0.710865198240657"
"No","2002","Rural Area","West Germany","2867","0.708640152148045","0.694661467926455","0.722618836369635"
"No","2002","Rural Area","East Germany","2532","0.712527469945799","0.697759737740975","0.727295202150622"
"Yes","2003","Urban Area","West Germany","","","",""
"Yes","2003","Urban Area","East Germany","","","",""
"Yes","2003","Rural Area","West Germany","","","",""
"Yes","2003","Rural Area","East Germany","","","",""
"No","2003","Urban Area","West Germany","","","",""
"No","2003","Urban Area","East Germany","","","",""
"No","2003","Rural Area","West Germany","","","",""
"No","2003","Rural Area","East Germany","","","",""
"Yes","2004","Urban Area","West Germany","3798","0.30329737156788","0.295294120865627","0.311300622270132"
"Yes","2004","Urban Area","East Germany","530","0.320911140583811","0.299516896896448","0.342305384271175"
"Yes","2004","Rural Area","West Germany","1088","0.29007798858022","0.275586500314018","0.304569476846423"
"Yes","2004","Rural Area","East Germany","989","0.277611271086951","0.26258732644092","0.292635215732982"
"No","2004","Urban Area","West Germany","8875","0.69670262843212","0.688699377729868","0.704705879134373"
"No","2004","Urban Area","East Germany","1299","0.679088859416188","0.657694615728825","0.700483103103552"
"No","2004","Rural Area","West Germany","2679","0.70992201141978","0.695430523153577","0.724413499685982"
"No","2004","Rural Area","East Germany","2424","0.722388728913049","0.707364784267018","0.73741267355908"
"Yes","2005","Urban Area","West Germany","","","",""
"Yes","2005","Urban Area","East Germany","","","",""
"Yes","2005","Rural Area","West Germany","","","",""
"Yes","2005","Rural Area","East Germany","","","",""
"No","2005","Urban Area","West Germany","","","",""
"No","2005","Urban Area","East Germany","","","",""
"No","2005","Rural Area","West Germany","","","",""
"No","2005","Rural Area","East Germany","","","",""
"Yes","2006","Urban Area","West Germany","3729","0.310502075333212","0.302491060773502","0.318513089892923"
"Yes","2006","Urban Area","East Germany","495","0.292006645221863","0.271123107252121","0.312890183191604"
"Yes","2006","Rural Area","West Germany","1096","0.289618691577426","0.275462752192247","0.303774630962605"
"Yes","2006","Rural Area","East Germany","983","0.279223906061692","0.264305938104063","0.294141874019321"
"No","2006","Urban Area","West Germany","9086","0.689497924666788","0.681486910107077","0.697508939226498"
"No","2006","Urban Area","East Germany","1326","0.707993354778138","0.687109816808396","0.728876892747879"
"No","2006","Rural Area","West Germany","2848","0.710381308422574","0.696225369037395","0.724537247807753"
"No","2006","Rural Area","East Germany","2491","0.720776093938308","0.705858125980679","0.735694061895937"
"Yes","2007","Urban Area","West Germany","","","",""
"Yes","2007","Urban Area","East Germany","","","",""
"Yes","2007","Rural Area","West Germany","","","",""
"Yes","2007","Rural Area","East Germany","","","",""
"No","2007","Urban Area","West Germany","","","",""
"No","2007","Urban Area","East Germany","","","",""
"No","2007","Rural Area","West Germany","","","",""
"No","2007","Rural Area","East Germany","","","",""
"Yes","2008","Urban Area","West Germany","2993","0.284938347083995","0.276564889529346","0.293311804638644"
"Yes","2008","Urban Area","East Germany","435","0.288615004474405","0.266928309913649","0.310301699035161"
"Yes","2008","Rural Area","West Germany","932","0.281559293935557","0.266564461279568","0.296554126591545"
"Yes","2008","Rural Area","East Germany","856","0.280246050393558","0.264459054039046","0.296033046748071"
"No","2008","Urban Area","West Germany","8170","0.715061652916005","0.706688195361356","0.723435110470654"
"No","2008","Urban Area","East Germany","1242","0.711384995525595","0.689698300964839","0.733071690086351"
"No","2008","Rural Area","West Germany","2524","0.718440706064443","0.703445873408455","0.733435538720432"
"No","2008","Rural Area","East Germany","2253","0.719753949606442","0.703966953251929","0.735540945960954"
"Yes","2009","Urban Area","West Germany","","","",""
"Yes","2009","Urban Area","East Germany","","","",""
"Yes","2009","Rural Area","West Germany","","","",""
"Yes","2009","Rural Area","East Germany","","","",""
"No","2009","Urban Area","West Germany","","","",""
"No","2009","Urban Area","East Germany","","","",""
"No","2009","Rural Area","West Germany","","","",""
"No","2009","Rural Area","East Germany","","","",""
"Yes","2010","Urban Area","West Germany","2492","0.274102241685532","0.265180725907733","0.283023757463332"
"Yes","2010","Urban Area","East Germany","361","0.263394275449279","0.240761526550617","0.286027024347942"
"Yes","2010","Rural Area","West Germany","769","0.266199221952571","0.25034148693724","0.282056956967902"
"Yes","2010","Rural Area","East Germany","732","0.2581994123172","0.241639464423439","0.274759360210961"
"No","2010","Urban Area","West Germany","7111","0.725897758314468","0.716976242536668","0.734819274092267"
"No","2010","Urban Area","East Germany","1094","0.736605724550721","0.713972975652058","0.759238473449383"
"No","2010","Rural Area","West Germany","2215","0.733800778047429","0.717943043032098","0.74965851306276"
"No","2010","Rural Area","East Germany","1951","0.7418005876828","0.725240639789039","0.758360535576561"
"Yes","2011","Urban Area","West Germany","","","",""
"Yes","2011","Urban Area","East Germany","","","",""
"Yes","2011","Rural Area","West Germany","","","",""
"Yes","2011","Rural Area","East Germany","","","",""
"No","2011","Urban Area","West Germany","","","",""
"No","2011","Urban Area","East Germany","","","",""
"No","2011","Rural Area","West Germany","","","",""
"No","2011","Rural Area","East Germany","","","",""
"Yes","2012","Urban Area","West Germany","2881","0.258992856900169","0.251000724932945","0.266984988867393"
"Yes","2012","Urban Area","East Germany","453","0.270515104485889","0.249423131448782","0.291607077522996"
"Yes","2012","Rural Area","West Germany","1062","0.272737688451913","0.25914495247239","0.286330424431436"
"Yes","2012","Rural Area","East Germany","883","0.279195284271735","0.26353185903936","0.29485870950411"
"No","2012","Urban Area","West Germany","8661","0.741007143099831","0.733015011132607","0.748999275067055"
"No","2012","Urban Area","East Germany","1251","0.729484895514111","0.708392922477004","0.750576868551218"
"No","2012","Rural Area","West Germany","3062","0.727262311548087","0.713669575568564","0.740855047527609"
"No","2012","Rural Area","East Germany","2268","0.720804715728265","0.70514129049589","0.73646814096064"
"Yes","2013","Urban Area","West Germany","","","",""
"Yes","2013","Urban Area","East Germany","","","",""
"Yes","2013","Rural Area","West Germany","","","",""
"Yes","2013","Rural Area","East Germany","","","",""
"No","2013","Urban Area","West Germany","","","",""
"No","2013","Urban Area","East Germany","","","",""
"No","2013","Rural Area","West Germany","","","",""
"No","2013","Rural Area","East Germany","","","",""
"Yes","2014","Urban Area","West Germany","4193","0.257948266145741","0.251134592626155","0.264761939665326"
"Yes","2014","Urban Area","East Germany","568","0.281826437225708","0.262265403069846","0.30138747138157"
"Yes","2014","Rural Area","West Germany","1613","0.276272658837479","0.264688760909597","0.287856556765361"
"Yes","2014","Rural Area","East Germany","1061","0.294708499507374","0.279751121385063","0.309665877629685"
"No","2014","Urban Area","West Germany","11645","0.742051733854259","0.735238060334674","0.748865407373845"
"No","2014","Urban Area","East Germany","1464","0.718173562774292","0.69861252861843","0.737734596930154"
"No","2014","Rural Area","West Germany","4111","0.723727341162521","0.712143443234639","0.735311239090403"
"No","2014","Rural Area","East Germany","2508","0.705291500492626","0.690334122370315","0.720248878614937"
"Yes","2015","Urban Area","West Germany","","","",""
"Yes","2015","Urban Area","East Germany","","","",""
"Yes","2015","Rural Area","West Germany","","","",""
"Yes","2015","Rural Area","East Germany","","","",""
"No","2015","Urban Area","West Germany","","","",""
"No","2015","Urban Area","East Germany","","","",""
"No","2015","Rural Area","West Germany","","","",""
"No","2015","Rural Area","East Germany","","","",""
"Yes","2016","Urban Area","West Germany","3503","0.246922671853345","0.239794108084124","0.254051235622565"
"Yes","2016","Urban Area","East Germany","518","0.269778373700217","0.249558623158525","0.289998124241909"
"Yes","2016","Rural Area","West Germany","1397","0.25510198899153","0.243204512508937","0.266999465474123"
"Yes","2016","Rural Area","East Germany","902","0.29226838831042","0.276510488990305","0.308026287630535"
"No","2016","Urban Area","West Germany","10554","0.753077328146655","0.745948764377435","0.760205891915876"
"No","2016","Urban Area","East Germany","1333","0.730221626299783","0.710001875758091","0.750441376841475"
"No","2016","Rural Area","West Germany","3760","0.74489801100847","0.733000534525877","0.756795487491063"
"No","2016","Rural Area","East Germany","2298","0.70773161168958","0.691973712369465","0.723489511009695"
"Yes","2017","Urban Area","West Germany","","","",""
"Yes","2017","Urban Area","East Germany","","","",""
"Yes","2017","Rural Area","West Germany","","","",""
"Yes","2017","Rural Area","East Germany","","","",""
"No","2017","Urban Area","West Germany","","","",""
"No","2017","Urban Area","East Germany","","","",""
"No","2017","Rural Area","West Germany","","","",""
"No","2017","Rural Area","East Germany","","","",""
"Yes","2018","Urban Area","West Germany","3573","0.242810276632806","0.235883988220368","0.249736565045244"
"Yes","2018","Urban Area","East Germany","512","0.23588101154059","0.216969667246247","0.254792355834933"
"Yes","2018","Rural Area","West Germany","1380","0.249774633497397","0.238277771723555","0.261271495271238"
"Yes","2018","Rural Area","East Germany","1042","0.287793119127259","0.272952454406909","0.30263378384761"
