"ple0081_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","(0) in school","138","0.232658392802268","0.199345864986574","0.265970920617961"
"Yes","2002","(1a) inadequately completed","106","0.355698678200069","0.301162101647914","0.410235254752224"
"Yes","2002","(1b) general elementary school","714","0.286503961336657","0.268022355483096","0.304985567190218"
"Yes","2002","(1c) basic vocational qualification","2140","0.314272845593272","0.30313126425737","0.325414426929175"
"Yes","2002","(2b) intermediate general qualification","278","0.408399038124022","0.370927272908269","0.445870803339774"
"Yes","2002","(2a) intermediate vocational","1850","0.340998648104476","0.32829254192159","0.353704754287363"
"Yes","2002","(2c_gen) general maturity certificate","288","0.319539102552537","0.288972798843189","0.350105406261885"
"Yes","2002","(2c_voc) vocational maturity certificate","476","0.288745322774458","0.266526054623293","0.310964590925623"
"Yes","2002","(3a) lower tertiary education","436","0.253050950299654","0.232988715899733","0.273113184699576"
"Yes","2002","(3b) higher tertiary education","544","0.20573874721233","0.190676726337113","0.220800768087546"
"No","2002","(0) in school","480","0.767341607197732","0.734029079382039","0.800654135013426"
"No","2002","(1a) inadequately completed","190","0.644301321799931","0.589764745247776","0.698837898352086"
"No","2002","(1b) general elementary school","1585","0.713496038663343","0.695014432809782","0.731977644516904"
"No","2002","(1c) basic vocational qualification","4529","0.685727154406728","0.674585573070825","0.69686873574263"
"No","2002","(2b) intermediate general qualification","383","0.591600961875979","0.554129196660226","0.629072727091731"
"No","2002","(2a) intermediate vocational","3497","0.659001351895524","0.646295245712637","0.67170745807841"
"No","2002","(2c_gen) general maturity certificate","606","0.680460897447463","0.649894593738115","0.711027201156811"
"No","2002","(2c_voc) vocational maturity certificate","1122","0.711254677225542","0.689035409074377","0.733473945376707"
"No","2002","(3a) lower tertiary education","1368","0.746949049700346","0.726886815300424","0.767011284100267"
"No","2002","(3b) higher tertiary education","2223","0.79426125278767","0.779199231912454","0.809323273662887"
"Yes","2003","(0) in school","","","",""
"Yes","2003","(1a) inadequately completed","","","",""
"Yes","2003","(1b) general elementary school","","","",""
"Yes","2003","(1c) basic vocational qualification","","","",""
"Yes","2003","(2b) intermediate general qualification","","","",""
"Yes","2003","(2a) intermediate vocational","","","",""
"Yes","2003","(2c_gen) general maturity certificate","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","(3a) lower tertiary education","","","",""
"Yes","2003","(3b) higher tertiary education","","","",""
"No","2003","(0) in school","","","",""
"No","2003","(1a) inadequately completed","","","",""
"No","2003","(1b) general elementary school","","","",""
"No","2003","(1c) basic vocational qualification","","","",""
"No","2003","(2b) intermediate general qualification","","","",""
"No","2003","(2a) intermediate vocational","","","",""
"No","2003","(2c_gen) general maturity certificate","","","",""
"No","2003","(2c_voc) vocational maturity certificate","","","",""
"No","2003","(3a) lower tertiary education","","","",""
"No","2003","(3b) higher tertiary education","","","",""
"Yes","2004","(0) in school","151","0.235445397132925","0.202600460209548","0.268290334056302"
"Yes","2004","(1a) inadequately completed","103","0.371154847800388","0.313097565809333","0.429212129791442"
"Yes","2004","(1b) general elementary school","581","0.274447058584096","0.254987353681167","0.293906763487025"
"Yes","2004","(1c) basic vocational qualification","1901","0.303303113568051","0.291761746993876","0.314844480142225"
"Yes","2004","(2b) intermediate general qualification","248","0.429785580398091","0.390564694593697","0.469006466202485"
"Yes","2004","(2a) intermediate vocational","1690","0.338118049164147","0.32502380687481","0.351212291453483"
"Yes","2004","(2c_gen) general maturity certificate","281","0.346633717503143","0.31464090727839","0.378626527727895"
"Yes","2004","(2c_voc) vocational maturity certificate","442","0.275878780648503","0.253748935311193","0.298008625985812"
"Yes","2004","(3a) lower tertiary education","401","0.252466698944772","0.23185809118663","0.273075306702914"
"Yes","2004","(3b) higher tertiary education","479","0.209656421718959","0.19399462946332","0.225318213974598"
"No","2004","(0) in school","490","0.764554602867075","0.731709665943698","0.797399539790452"
"No","2004","(1a) inadequately completed","163","0.628845152199612","0.570787870208558","0.686902434190667"
"No","2004","(1b) general elementary school","1439","0.725552941415904","0.706093236512975","0.745012646318833"
"No","2004","(1c) basic vocational qualification","4193","0.696696886431949","0.685155519857775","0.708238253006124"
"No","2004","(2b) intermediate general qualification","364","0.570214419601909","0.530993533797515","0.609435305406303"
"No","2004","(2a) intermediate vocational","3324","0.661881950835853","0.648787708546517","0.67497619312519"
"No","2004","(2c_gen) general maturity certificate","569","0.653366282496857","0.621373472272105","0.68535909272161"
"No","2004","(2c_voc) vocational maturity certificate","1125","0.724121219351497","0.701991374014188","0.746251064688807"
"No","2004","(3a) lower tertiary education","1306","0.747533301055228","0.726924693297086","0.76814190881337"
"No","2004","(3b) higher tertiary education","2116","0.790343578281041","0.774681786025402","0.80600537053668"
"Yes","2005","(0) in school","","","",""
"Yes","2005","(1a) inadequately completed","","","",""
"Yes","2005","(1b) general elementary school","","","",""
"Yes","2005","(1c) basic vocational qualification","","","",""
"Yes","2005","(2b) intermediate general qualification","","","",""
"Yes","2005","(2a) intermediate vocational","","","",""
"Yes","2005","(2c_gen) general maturity certificate","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","(3a) lower tertiary education","","","",""
"Yes","2005","(3b) higher tertiary education","","","",""
"No","2005","(0) in school","","","",""
"No","2005","(1a) inadequately completed","","","",""
"No","2005","(1b) general elementary school","","","",""
"No","2005","(1c) basic vocational qualification","","","",""
"No","2005","(2b) intermediate general qualification","","","",""
"No","2005","(2a) intermediate vocational","","","",""
"No","2005","(2c_gen) general maturity certificate","","","",""
"No","2005","(2c_voc) vocational maturity certificate","","","",""
"No","2005","(3a) lower tertiary education","","","",""
"No","2005","(3b) higher tertiary education","","","",""
"Yes","2006","(0) in school","90","0.238916455063476","0.197539625850242","0.28029328427671"
"Yes","2006","(1a) inadequately completed","88","0.407211298549816","0.345564142487697","0.468858454611936"
"Yes","2006","(1b) general elementary school","583","0.290366414720947","0.270285744078115","0.31044708536378"
"Yes","2006","(1c) basic vocational qualification","1859","0.308256630866087","0.296754020601535","0.319759241130638"
"Yes","2006","(2b) intermediate general qualification","252","0.469054656426781","0.428615061940055","0.509494250913507"
"Yes","2006","(2a) intermediate vocational","1670","0.334646798021226","0.32179557092654","0.347498025115911"
"Yes","2006","(2c_gen) general maturity certificate","255","0.305001162400963","0.273697844949051","0.336304479852874"
"Yes","2006","(2c_voc) vocational maturity certificate","448","0.28009903246269","0.258346194025343","0.301851870900037"
"Yes","2006","(3a) lower tertiary education","385","0.239757198398186","0.220072398669806","0.259441998126565"
"Yes","2006","(3b) higher tertiary education","498","0.196490867376232","0.181720466359046","0.211261268393418"
"No","2006","(0) in school","318","0.761083544936524","0.71970671572329","0.802460374149758"
"No","2006","(1a) inadequately completed","156","0.592788701450184","0.531141545388064","0.654435857512303"
