"ple0081_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Urban Area","Male","2652","0.367019693170981","0.356068963923054","0.377970422418907"
"Yes","2002","Urban Area","Female","2138","0.258494309849902","0.248923320611782","0.268065299088021"
"Yes","2002","Rural Area","Male","1295","0.344543304305303","0.329294725243143","0.359791883367463"
"Yes","2002","Rural Area","Female","973","0.237839786118253","0.224538735812381","0.251140836424125"
"No","2002","Urban Area","Male","4790","0.632980306829019","0.622029577581093","0.643931036076946"
"No","2002","Urban Area","Female","5900","0.741505690150098","0.731934700911979","0.751076679388218"
"No","2002","Rural Area","Male","2436","0.655456695694697","0.640208116632537","0.670705274756857"
"No","2002","Rural Area","Female","2963","0.762160213881747","0.748859163575875","0.775461264187619"
"Yes","2003","Urban Area","Male","","","",""
"Yes","2003","Urban Area","Female","","","",""
"Yes","2003","Rural Area","Male","","","",""
"Yes","2003","Rural Area","Female","","","",""
"No","2003","Urban Area","Male","","","",""
"No","2003","Urban Area","Female","","","",""
"No","2003","Rural Area","Male","","","",""
"No","2003","Rural Area","Female","","","",""
"Yes","2004","Urban Area","Male","2338","0.3515131473613","0.340275444443743","0.362750850278856"
"Yes","2004","Urban Area","Female","1990","0.26115773952659","0.251261166265723","0.271054312787456"
"Yes","2004","Rural Area","Male","1185","0.345171208146934","0.329359570107264","0.360982846186604"
"Yes","2004","Rural Area","Female","892","0.22820641962974","0.214696545349563","0.241716293909917"
"No","2004","Urban Area","Male","4596","0.6484868526387","0.637249149721144","0.659724555556257"
"No","2004","Urban Area","Female","5578","0.73884226047341","0.728945687212544","0.748738833734277"
"No","2004","Rural Area","Male","2288","0.654828791853066","0.639017153813396","0.670640429892736"
"No","2004","Rural Area","Female","2815","0.77179358037026","0.758283706090083","0.785303454650437"
"Yes","2005","Urban Area","Male","","","",""
"Yes","2005","Urban Area","Female","","","",""
"Yes","2005","Rural Area","Male","","","",""
"Yes","2005","Rural Area","Female","","","",""
"No","2005","Urban Area","Male","","","",""
"No","2005","Urban Area","Female","","","",""
"No","2005","Rural Area","Male","","","",""
"No","2005","Rural Area","Female","","","",""
"Yes","2006","Urban Area","Male","2233","0.345663069932326","0.334486031834362","0.35684010803029"
"Yes","2006","Urban Area","Female","1991","0.273771815612203","0.263800094440122","0.283743536784284"
"Yes","2006","Rural Area","Male","1155","0.333286851724603","0.317776027156245","0.348797676292961"
"Yes","2006","Rural Area","Female","924","0.241019923725759","0.227544753237082","0.254495094214436"
"No","2006","Urban Area","Male","4722","0.654336930067674","0.64315989196971","0.665513968165638"
"No","2006","Urban Area","Female","5690","0.726228184387797","0.716256463215716","0.736199905559878"
"No","2006","Rural Area","Male","2393","0.666713148275397","0.651202323707039","0.682223972843755"
"No","2006","Rural Area","Female","2946","0.758980076274241","0.745504905785564","0.772455246762918"
"Yes","2007","Urban Area","Male","","","",""
"Yes","2007","Urban Area","Female","","","",""
"Yes","2007","Rural Area","Male","","","",""
"Yes","2007","Rural Area","Female","","","",""
"No","2007","Urban Area","Male","","","",""
"No","2007","Urban Area","Female","","","",""
"No","2007","Rural Area","Male","","","",""
"No","2007","Rural Area","Female","","","",""
"Yes","2008","Urban Area","Male","1842","0.326948362711256","0.315155166639545","0.338741558782968"
"Yes","2008","Urban Area","Female","1586","0.245728485915015","0.2354671923298","0.255989779500231"
"Yes","2008","Rural Area","Male","991","0.325353065415913","0.309038660701834","0.341667470129993"
"Yes","2008","Rural Area","Female","797","0.239632334897041","0.22527794140206","0.253986728392021"
"No","2008","Urban Area","Male","4236","0.673051637288744","0.661258441217032","0.684844833360455"
"No","2008","Urban Area","Female","5176","0.754271514084985","0.744010220499769","0.7645328076702"
"No","2008","Rural Area","Male","2177","0.674646934584087","0.658332529870007","0.690961339298166"
"No","2008","Rural Area","Female","2600","0.76036766510296","0.746013271607979","0.77472205859794"
"Yes","2009","Urban Area","Male","","","",""
"Yes","2009","Urban Area","Female","","","",""
"Yes","2009","Rural Area","Male","","","",""
"Yes","2009","Rural Area","Female","","","",""
"No","2009","Urban Area","Male","","","",""
"No","2009","Urban Area","Female","","","",""
"No","2009","Rural Area","Male","","","",""
"No","2009","Rural Area","Female","","","",""
"Yes","2010","Urban Area","Male","1519","0.311981851953289","0.299417135541435","0.324546568365144"
"Yes","2010","Urban Area","Female","1334","0.235330829650542","0.224446445426395","0.24621521387469"
"Yes","2010","Rural Area","Male","841","0.307148143412815","0.289868868714477","0.324427418111153"
"Yes","2010","Rural Area","Female","660","0.220247653818599","0.205239668518187","0.23525563911901"
"No","2010","Urban Area","Male","3704","0.688018148046711","0.675453431634856","0.700582864458565"
"No","2010","Urban Area","Female","4501","0.764669170349458","0.753784786125311","0.775553554573605"
"No","2010","Rural Area","Male","1897","0.692851856587185","0.675572581888847","0.710131131285523"
"No","2010","Rural Area","Female","2269","0.779752346181401","0.76474436088099","0.794760331481812"
"Yes","2011","Urban Area","Male","","","",""
"Yes","2011","Urban Area","Female","","","",""
"Yes","2011","Rural Area","Male","","","",""
"Yes","2011","Rural Area","Female","","","",""
"No","2011","Urban Area","Male","","","",""
"No","2011","Urban Area","Female","","","",""
"No","2011","Rural Area","Male","","","",""
"No","2011","Rural Area","Female","","","",""
"Yes","2012","Urban Area","Male","1715","0.293047934920748","0.281716455316246","0.30437941452525"
"Yes","2012","Urban Area","Female","1619","0.228589541575091","0.21878593029326","0.238393152856923"
