"ple0081_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Schleswig-Holstein","West Germany","224","0.324235610794142","0.290209767899294","0.358261453688991"
"Yes","2002","Schleswig-Holstein","East Germany","","","",""
"Yes","2002","Hamburg","West Germany","98","0.346613212411129","0.295190157566305","0.398036267255953"
"Yes","2002","Hamburg","East Germany","","","",""
"Yes","2002","Lower Saxony","West Germany","639","0.314763650870542","0.29434337331867","0.335183928422413"
"Yes","2002","Lower Saxony","East Germany","","","",""
"Yes","2002","Bremen","West Germany","63","0.332173878637062","0.261989658382749","0.402358098891375"
"Yes","2002","Bremen","East Germany","","","",""
"Yes","2002","North Rhine-Westphalia","West Germany","1580","0.320354501076472","0.30727890474761","0.333430097405334"
"Yes","2002","North Rhine-Westphalia","East Germany","","","",""
"Yes","2002","Hesse","West Germany","508","0.299469727280342","0.277342698896924","0.321596755663761"
"Yes","2002","Hesse","East Germany","","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","West Germany","433","0.310565448454484","0.286151858906805","0.334979038002164"
"Yes","2002","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2002","Baden-Württemberg","West Germany","809","0.276460330055597","0.259953217154842","0.292967442956352"
"Yes","2002","Baden-Württemberg","East Germany","","","",""
"Yes","2002","Bavaria","West Germany","925","0.282689779814705","0.267257987064386","0.298121572565025"
"Yes","2002","Bavaria","East Germany","","","",""
"Yes","2002","Berlin","West Germany","173","0.389900445083693","0.34571264463862","0.434088245528766"
"Yes","2002","Berlin","East Germany","141","0.390732621378054","0.340677852873415","0.440787389882693"
"Yes","2002","Brandenburg","West Germany","","","",""
"Yes","2002","Brandenburg","East Germany","269","0.289015952608237","0.260459697834227","0.317572207382247"
"Yes","2002","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","East Germany","157","0.315734767291917","0.275707434519754","0.35576210006408"
"Yes","2002","Saxony","West Germany","","","",""
"Yes","2002","Saxony","East Germany","428","0.25428297268945","0.233322479474139","0.275243465904762"
"Yes","2002","Saxony-Anhalt","West Germany","","","",""
"Yes","2002","Saxony-Anhalt","East Germany","312","0.314461243690618","0.285302542018253","0.343619945362982"
"Yes","2002","Thuringia","West Germany","","","",""
"Yes","2002","Thuringia","East Germany","299","0.293665857255228","0.265019440606956","0.322312273903499"
"No","2002","Schleswig-Holstein","West Germany","503","0.675764389205858","0.641738546311009","0.709790232100706"
"No","2002","Schleswig-Holstein","East Germany","","","",""
"No","2002","Hamburg","West Germany","231","0.653386787588871","0.601963732744047","0.704809842433695"
"No","2002","Hamburg","East Germany","","","",""
"No","2002","Lower Saxony","West Germany","1348","0.685236349129458","0.664816071577587","0.70565662668133"
"No","2002","Lower Saxony","East Germany","","","",""
"No","2002","Bremen","West Germany","110","0.667826121362938","0.597641901108625","0.738010341617251"
"No","2002","Bremen","East Germany","","","",""
"No","2002","North Rhine-Westphalia","West Germany","3312","0.679645498923528","0.666569902594666","0.69272109525239"
"No","2002","North Rhine-Westphalia","East Germany","","","",""
"No","2002","Hesse","West Germany","1138","0.700530272719658","0.678403244336239","0.722657301103076"
"No","2002","Hesse","East Germany","","","",""
"No","2002","Rhineland-Palatinate,Saarland","West Germany","947","0.689434551545515","0.665020961997836","0.713848141093195"
"No","2002","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2002","Baden-Württemberg","West Germany","2011","0.723539669944403","0.707032557043648","0.740046782845158"
"No","2002","Baden-Württemberg","East Germany","","","",""
"No","2002","Bavaria","West Germany","2346","0.717310220185295","0.701878427434975","0.732742012935614"
"No","2002","Bavaria","East Germany","","","",""
"No","2002","Berlin","West Germany","295","0.610099554916307","0.565911754471234","0.65428735536138"
"No","2002","Berlin","East Germany","224","0.609267378621946","0.559212610117307","0.659322147126585"
"No","2002","Brandenburg","West Germany","","","",""
"No","2002","Brandenburg","East Germany","699","0.710984047391763","0.682427792617753","0.739540302165773"
"No","2002","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2002","Mecklenburg-Western Pomerania","East Germany","361","0.684265232708083","0.64423789993592","0.724292565480246"
"No","2002","Saxony","West Germany","","","",""
"No","2002","Saxony","East Germany","1230","0.74571702731055","0.724756534095238","0.766677520525861"
"No","2002","Saxony-Anhalt","West Germany","","","",""
"No","2002","Saxony-Anhalt","East Germany","662","0.685538756309382","0.656380054637018","0.714697457981747"
"No","2002","Thuringia","West Germany","","","",""
"No","2002","Thuringia","East Germany","672","0.706334142744772","0.677687726096501","0.734980559393044"
"Yes","2003","Schleswig-Holstein","West Germany","","","",""
"Yes","2003","Schleswig-Holstein","East Germany","","","",""
"Yes","2003","Hamburg","West Germany","","","",""
"Yes","2003","Hamburg","East Germany","","","",""
"Yes","2003","Lower Saxony","West Germany","","","",""
"Yes","2003","Lower Saxony","East Germany","","","",""
"Yes","2003","Bremen","West Germany","","","",""
"Yes","2003","Bremen","East Germany","","","",""
"Yes","2003","North Rhine-Westphalia","West Germany","","","",""
"Yes","2003","North Rhine-Westphalia","East Germany","","","",""
"Yes","2003","Hesse","West Germany","","","",""
"Yes","2003","Hesse","East Germany","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2003","Baden-Württemberg","West Germany","","","",""
"Yes","2003","Baden-Württemberg","East Germany","","","",""
"Yes","2003","Bavaria","West Germany","","","",""
"Yes","2003","Bavaria","East Germany","","","",""
"Yes","2003","Berlin","West Germany","","","",""
"Yes","2003","Berlin","East Germany","","","",""
"Yes","2003","Brandenburg","West Germany","","","",""
"Yes","2003","Brandenburg","East Germany","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","East Germany","","","",""
"Yes","2003","Saxony","West Germany","","","",""
"Yes","2003","Saxony","East Germany","","","",""
"Yes","2003","Saxony-Anhalt","West Germany","","","",""
"Yes","2003","Saxony-Anhalt","East Germany","","","",""
"Yes","2003","Thuringia","West Germany","","","",""
"Yes","2003","Thuringia","East Germany","","","",""
"No","2003","Schleswig-Holstein","West Germany","","","",""
"No","2003","Schleswig-Holstein","East Germany","","","",""
"No","2003","Hamburg","West Germany","","","",""
"No","2003","Hamburg","East Germany","","","",""
"No","2003","Lower Saxony","West Germany","","","",""
"No","2003","Lower Saxony","East Germany","","","",""
"No","2003","Bremen","West Germany","","","",""
"No","2003","Bremen","East Germany","","","",""
"No","2003","North Rhine-Westphalia","West Germany","","","",""
"No","2003","North Rhine-Westphalia","East Germany","","","",""
"No","2003","Hesse","West Germany","","","",""
"No","2003","Hesse","East Germany","","","",""
"No","2003","Rhineland-Palatinate,Saarland","West Germany","","","",""
"No","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2003","Baden-Württemberg","West Germany","","","",""
"No","2003","Baden-Württemberg","East Germany","","","",""
"No","2003","Bavaria","West Germany","","","",""
"No","2003","Bavaria","East Germany","","","",""
"No","2003","Berlin","West Germany","","","",""
"No","2003","Berlin","East Germany","","","",""
"No","2003","Brandenburg","West Germany","","","",""
"No","2003","Brandenburg","East Germany","","","",""
"No","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2003","Mecklenburg-Western Pomerania","East Germany","","","",""
"No","2003","Saxony","West Germany","","","",""
"No","2003","Saxony","East Germany","","","",""
"No","2003","Saxony-Anhalt","West Germany","","","",""
"No","2003","Saxony-Anhalt","East Germany","","","",""
"No","2003","Thuringia","West Germany","","","",""
"No","2003","Thuringia","East Germany","","","",""
"Yes","2004","Schleswig-Holstein","West Germany","203","0.321937337197031","0.286768838166496","0.357105836227567"
