"ple0081_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2002","higher vocational","Urban Area","806","0.724584840776102","0.698572964576969","0.750596716975234","2"
"No","2002","in school","Rural Area","153","0.836127833187126","0.783074066136409","0.889181600237843","2"
"No","2002","higher vocational","Rural Area","473","0.776507525776924","0.743636762000894","0.809378289552955","2"
"No","2002","higher education","Urban Area","2526","0.75837567167745","0.743692528813823","0.773058814541078","2"
"No","2002","inadequately","Urban Area","144","0.646426176414129","0.583678856723954","0.709173496104304","2"
"No","2002","middle vocational","Rural Area","2799","0.677051375352507","0.662938229736383","0.691164520968632","2"
"No","2002","vocational + Abi","Urban Area","622","0.690584266488608","0.660567186739366","0.720601346237851","2"
"No","2002","vocational + Abi","Rural Area","199","0.761957747820024","0.711064001464361","0.812851494175687","2"
"No","2002","higher education","Rural Area","1065","0.817037549510852","0.796068512082483","0.838006586939221","2"
"No","2002","inadequately","Rural Area","34","0.496091971137966","0.371637935331672","0.62054600694426","2"
"No","2002","in school","Urban Area","326","0.738055895157095","0.696497113768563","0.779614676545627","2"
"No","2002","general elemantary","Urban Area","1305","0.687582756061348","0.667152456102751","0.708013056019945","2"
"No","2002","general elemantary","Rural Area","643","0.701934899341288","0.672787050735789","0.731082747946787","2"
"No","2002","middle vocational","Urban Area","4901","0.663412108324934","0.65266812311935","0.674156093530518","2"
"Yes","2002","in school","Urban Area","104","0.261944104842905","0.220385323454373","0.303502886231437","1"
"Yes","2002","in school","Rural Area","34","0.163872166812874","0.110818399762157","0.216925933863591","1"
"Yes","2002","inadequately","Urban Area","79","0.353573823585871","0.290826503895696","0.416321143276046","1"
"Yes","2002","inadequately","Rural Area","28","","","","1"
"Yes","2002","general elemantary","Urban Area","672","0.312417243938652","0.291986943980055","0.332847543897249","1"
"Yes","2002","general elemantary","Rural Area","303","0.298065100658712","0.268917252053213","0.327212949264211","1"
"Yes","2002","middle vocational","Urban Area","2530","0.336587891675066","0.325843906469482","0.347331876880651","1"
"Yes","2002","middle vocational","Rural Area","1418","0.322948624647493","0.308835479031368","0.337061770263617","1"
"Yes","2002","vocational + Abi","Urban Area","289","0.309415733511392","0.279398653762149","0.339432813260634","1"
"Yes","2002","vocational + Abi","Rural Area","70","0.238042252179976","0.187148505824313","0.288935998535639","1"
"Yes","2002","higher vocational","Urban Area","327","0.275415159223898","0.249403283024766","0.301427035423031","1"
"Yes","2002","higher vocational","Rural Area","144","0.223492474223076","0.190621710447045","0.256363237999106","1"
"Yes","2002","higher education","Urban Area","739","0.24162432832255","0.226941185458922","0.256307471186177","1"
"Yes","2002","higher education","Rural Area","241","0.182962450489148","0.161993413060779","0.203931487917517","1"
"No","2003","in school","Rural Area","","","","","2"
"No","2003","general elemantary","Urban Area","","","","","2"
"No","2003","higher vocational","Urban Area","","","","","2"
"No","2003","higher vocational","Rural Area","","","","","2"
"No","2003","higher education","Urban Area","","","","","2"
"No","2003","higher education","Rural Area","","","","","2"
"No","2003","inadequately","Urban Area","","","","","2"
"No","2003","inadequately","Rural Area","","","","","2"
"No","2003","in school","Urban Area","","","","","2"
"No","2003","middle vocational","Rural Area","","","","","2"
"No","2003","vocational + Abi","Urban Area","","","","","2"
"No","2003","vocational + Abi","Rural Area","","","","","2"
"No","2003","general elemantary","Rural Area","","","","","2"
"No","2003","middle vocational","Urban Area","","","","","2"
"Yes","2003","in school","Urban Area","","","","","1"
"Yes","2003","in school","Rural Area","","","","","1"
"Yes","2003","inadequately","Urban Area","","","","","1"
"Yes","2003","inadequately","Rural Area","","","","","1"
"Yes","2003","general elemantary","Urban Area","","","","","1"
"Yes","2003","general elemantary","Rural Area","","","","","1"
"Yes","2003","middle vocational","Urban Area","","","","","1"
"Yes","2003","middle vocational","Rural Area","","","","","1"
"Yes","2003","vocational + Abi","Urban Area","","","","","1"
"Yes","2003","vocational + Abi","Rural Area","","","","","1"
"Yes","2003","higher vocational","Urban Area","","","","","1"
"Yes","2003","higher vocational","Rural Area","","","","","1"
"Yes","2003","higher education","Urban Area","","","","","1"
"Yes","2003","higher education","Rural Area","","","","","1"
"No","2004","higher vocational","Urban Area","761","0.730321424954442","0.703567294495021","0.757075555413862","2"
"No","2004","higher education","Rural Area","1018","0.800535978853668","0.778357202734581","0.822714754972755","2"
"No","2004","in school","Rural Area","140","0.719743384688447","0.656543832163551","0.782942937213343","2"
"No","2004","general elemantary","Urban Area","1189","0.689636158216591","0.66795418729009","0.711318129143093","2"
"No","2004","higher vocational","Rural Area","451","0.784476937568902","0.751270108350971","0.817683766786834","2"
"No","2004","inadequately","Urban Area","113","0.578793943782899","0.509314470306984","0.648273417258814","2"
"No","2004","inadequately","Rural Area","40","0.660009354290837","0.540147499077689","0.779871209503984","2"
"No","2004","higher education","Urban Area","2404","0.761675393894196","0.746567223001727","0.776783564786666","2"
"No","2004","in school","Urban Area","349","0.782641015666905","0.744319896369996","0.820962134963813","2"
"No","2004","general elemantary","Rural Area","592","0.716734970905463","0.6863184118496","0.747151529961325","2"
"No","2004","middle vocational","Urban Area","4614","0.669191661901073","0.658107680769304","0.680275643032841","2"
"No","2004","middle vocational","Rural Area","2627","0.684807540740008","0.670230256072451","0.699384825407564","2"
"No","2004","vocational + Abi","Urban Area","632","0.707736509689975","0.677940393676005","0.737532625703944","2"
"No","2004","vocational + Abi","Rural Area","192","0.737066315598199","0.684360675803791","0.789771955392608","2"
"Yes","2004","in school","Urban Area","96","0.217358984333095","0.179037865036187","0.255680103630004","1"
"Yes","2004","in school","Rural Area","54","0.280256615311553","0.217057062786657","0.34345616783645","1"
"Yes","2004","inadequately","Urban Area","81","0.421206056217101","0.351726582741186","0.490685529693016","1"
"Yes","2004","inadequately","Rural Area","20","","","","1"
"Yes","2004","general elemantary","Urban Area","560","0.310363841783409","0.288681870856907","0.33204581270991","1"
"Yes","2004","general elemantary","Rural Area","251","0.283265029094537","0.252848470038675","0.313681588150399","1"
"Yes","2004","middle vocational","Urban Area","2308","0.330808338098927","0.319724356967159","0.341892319230696","1"
"Yes","2004","middle vocational","Rural Area","1275","0.315192459259992","0.300615174592436","0.329769743927549","1"
"Yes","2004","vocational + Abi","Urban Area","263","0.292263490310025","0.262467374296056","0.322059606323995","1"
"Yes","2004","vocational + Abi","Rural Area","76","0.2629336844018","0.210228044607392","0.315639324196209","1"
"Yes","2004","higher vocational","Urban Area","296","0.269678575045558","0.242924444586138","0.296432705504979","1"
"Yes","2004","higher vocational","Rural Area","138","0.215523062431098","0.182316233213166","0.248729891649029","1"
"Yes","2004","higher education","Urban Area","651","0.238324606105804","0.223216435213334","0.253432776998273","1"
"Yes","2004","higher education","Rural Area","229","0.199464021146332","0.177285245027245","0.221642797265419","1"
"No","2005","general elemantary","Urban Area","","","","","2"
"No","2005","in school","Rural Area","","","","","2"
"No","2005","inadequately","Urban Area","","","","","2"
"No","2005","inadequately","Rural Area","","","","","2"
"No","2005","higher vocational","Urban Area","","","","","2"
"No","2005","higher vocational","Rural Area","","","","","2"
