"ple0081_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Not Employed","1-pers.-HH","278","0.176226766414374","0.1565476035722","0.195905929256548"
"Yes","2002","Not Employed","(Married) couple without C. ","548","0.143722635731195","0.132206994068466","0.155238277393925"
"Yes","2002","Not Employed","Single parent ","148","0.418891755196729","0.368551625188482","0.469231885204977"
"Yes","2002","Not Employed","Couple + C. LE 16 ","285","0.334213367160276","0.303257347948523","0.365169386372028"
"Yes","2002","Not Employed","Couple + C. GT 16 ","271","0.221661604710313","0.197871349153406","0.24545186026722"
"Yes","2002","Not Employed","Couple + C. LE and GT 16","147","0.281547426210466","0.242243228862776","0.320851623558157"
"Yes","2002","Employed","1-pers.-HH","702","0.43999644519666","0.415551420622143","0.464441469771177"
"Yes","2002","Employed","(Married) couple without C. ","1224","0.314700762079394","0.300161261770663","0.329240262388125"
"Yes","2002","Employed","Single parent ","363","0.492912753449983","0.457554251844297","0.528271255055669"
"Yes","2002","Employed","Couple + C. LE 16 ","1369","0.367080634091362","0.351894489266241","0.382266778916483"
"Yes","2002","Employed","Couple + C. GT 16 ","936","0.352774536680813","0.335197655886578","0.370351417475048"
"Yes","2002","Employed","Couple + C. LE and GT 16","566","0.413562583115043","0.388231938694762","0.438893227535324"
"No","2002","Not Employed","1-pers.-HH","1162","0.823773233585626","0.804094070743452","0.8434523964278"
"No","2002","Not Employed","(Married) couple without C. ","3017","0.856277364268805","0.844761722606075","0.867793005931534"
"No","2002","Not Employed","Single parent ","221","0.581108244803271","0.530768114795024","0.631448374811518"
"No","2002","Not Employed","Couple + C. LE 16 ","607","0.665786632839724","0.634830613627972","0.696742652051477"
"No","2002","Not Employed","Couple + C. GT 16 ","900","0.778338395289687","0.75454813973278","0.802128650846594"
"No","2002","Not Employed","Couple + C. LE and GT 16","356","0.718452573789534","0.679148376441843","0.757756771137224"
"No","2002","Employed","1-pers.-HH","882","0.56000355480334","0.535558530228823","0.584448579377857"
"No","2002","Employed","(Married) couple without C. ","2695","0.685299237920606","0.670759737611875","0.699838738229337"
"No","2002","Employed","Single parent ","405","0.507087246550017","0.471728744944331","0.542445748155703"
"No","2002","Employed","Couple + C. LE 16 ","2501","0.632919365908638","0.617733221083518","0.648105510733759"
"No","2002","Employed","Couple + C. GT 16 ","1903","0.647225463319187","0.629648582524952","0.664802344113422"
"No","2002","Employed","Couple + C. LE and GT 16","886","0.586437416884957","0.561106772464676","0.611768061305238"
"Yes","2003","Not Employed","1-pers.-HH","","","",""
"Yes","2003","Not Employed","(Married) couple without C. ","","","",""
"Yes","2003","Not Employed","Single parent ","","","",""
