"ple0081_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2016","Single parent ","Female","621","0.376154760298697","0.352788120263366","0.399521400334027","1"
"Yes","2016","Couple + C. LE 16 ","Male","907","0.307966679871652","0.290661974711394","0.32527138503191","1"
"Yes","2016","Couple + C. LE 16 ","Female","711","0.219598391908936","0.204918727094766","0.234278056723106","1"
"Yes","2016","Couple + C. GT 16 ","Male","387","0.285061233868001","0.261345750714477","0.308776717021525","1"
"Yes","2016","Couple + C. GT 16 ","Female","275","0.202162997677319","0.180779124754059","0.22354687060058","1"
"Yes","2016","Couple + C. LE and GT 16","Female","207","0.195487169159321","0.171408091477894","0.219566246840747","1"
"Yes","2016","(Married) couple without C. ","Male","821","0.226507320945518","0.212922640251507","0.24009200163953","1"
"Yes","2016","(Married) couple without C. ","Female","713","0.196472042246931","0.183684986747324","0.209259097746537","1"
"Yes","2016","Couple + C. LE and GT 16","Male","298","0.237885201547891","0.212081847632525","0.263688555463256","1"
"No","2017","1-pers.-HH","Male","","","","","2"
"No","2017","1-pers.-HH","Female","","","","","2"
"No","2017","(Married) couple without C. ","Male","","","","","2"
"No","2017","(Married) couple without C. ","Female","","","","","2"
"No","2017","Single parent ","Male","","","","","2"
"No","2017","Single parent ","Female","","","","","2"
"No","2017","Couple + C. LE 16 ","Male","","","","","2"
"No","2017","Couple + C. LE 16 ","Female","","","","","2"
"No","2017","Couple + C. GT 16 ","Male","","","","","2"
"No","2017","Couple + C. GT 16 ","Female","","","","","2"
"No","2017","Couple + C. LE and GT 16","Male","","","","","2"
"No","2017","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2017","1-pers.-HH","Male","","","","","1"
"Yes","2017","Single parent ","Male","","","","","1"
"Yes","2017","Single parent ","Female","","","","","1"
"Yes","2017","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2017","1-pers.-HH","Female","","","","","1"
"Yes","2017","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2017","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2017","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2017","(Married) couple without C. ","Female","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2017","(Married) couple without C. ","Male","","","","","1"
"No","2018","1-pers.-HH","Male","1169","0.645887913509572","0.623910291716258","0.667865535302885","2"
"No","2018","1-pers.-HH","Female","1749","0.782843727691268","0.76601900089115","0.799668454491387","2"
"No","2018","(Married) couple without C. ","Male","3085","0.781723058933569","0.768818269071629","0.794627848795509","2"
"No","2018","(Married) couple without C. ","Female","3301","0.811448364222805","0.799401717452972","0.823495010992638","2"
"No","2018","Single parent ","Male","385","0.672112993597054","0.633875267476409","0.710350719717699","2"
"No","2018","Single parent ","Female","1016","0.601410287369976","0.577649021179269","0.625171553560682","2"
"No","2018","Couple + C. LE 16 ","Male","1774","0.708673447384708","0.691048176561776","0.726298718207639","2"
"No","2018","Couple + C. LE 16 ","Female","2245","0.790061120951153","0.775210278103009","0.804911963799298","2"
"No","2018","Couple + C. GT 16 ","Male","1106","0.718350858022076","0.695641022514205","0.741060693529948","2"
"No","2018","Couple + C. GT 16 ","Female","1175","0.783930676130329","0.763123938692294","0.804737413568363","2"
"No","2018","Couple + C. LE and GT 16","Male","780","0.753010111427611","0.727242038173786","0.778778184681436","2"
"No","2018","Couple + C. LE and GT 16","Female","889","0.79975857368459","0.776269435942061","0.823247711427119","2"
"Yes","2018","1-pers.-HH","Male","650","0.354112086490428","0.332134464697115","0.376089708283742","1"
"Yes","2018","1-pers.-HH","Female","558","0.217156272308732","0.200331545508613","0.23398099910885","1"
"Yes","2018","Single parent ","Male","194","0.327887006402946","0.289649280282301","0.366124732523591","1"
"Yes","2018","Single parent ","Female","615","0.398589712630024","0.374828446439318","0.422350978820731","1"
"Yes","2018","(Married) couple without C. ","Male","851","0.218276941066431","0.205372151204491","0.231181730928371","1"
"Yes","2018","Couple + C. LE 16 ","Male","779","0.291326552615292","0.273701281792361","0.308951823438224","1"
"Yes","2018","Couple + C. LE 16 ","Female","644","0.209938879048847","0.195088036200702","0.224789721896991","1"
"Yes","2018","Couple + C. GT 16 ","Female","328","0.216069323869672","0.195262586431637","0.236876061307706","1"
"Yes","2018","Couple + C. LE and GT 16","Female","226","0.20024142631541","0.176752288572881","0.223730564057939","1"
"Yes","2018","(Married) couple without C. ","Female","749","0.188551635777195","0.176504989007362","0.200598282547028","1"
"Yes","2018","Couple + C. LE and GT 16","Male","296","0.246989888572389","0.221221815318564","0.272757961826214","1"
"Yes","2018","Couple + C. GT 16 ","Male","401","0.281649141977924","0.258939306470052","0.304358977485795","1"
