"ple0081_h","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","2661","0.308319135121539","0.298429440605525","0.318208829637553"
"Yes","2002","secondary school degree","2275","0.334213816788088","0.322928813075678","0.345498820500498"
"Yes","2002","college entrance qualification","1393","0.25966980290027","0.248199522727896","0.271140083072643"
"Yes","2002","Other degree","396","0.283068263864564","0.258839372264125","0.307297155465002"
"Yes","2002","no degree/no degree yet","244","0.282691956134456","0.253530451374616","0.311853460894296"
"No","2002","lower secondary degree","5715","0.691680864878461","0.681791170362448","0.701570559394475"
"No","2002","secondary school degree","4437","0.665786183211912","0.654501179499502","0.677071186924322"
"No","2002","college entrance qualification","4220","0.74033019709973","0.728859916927357","0.751800477272104"
"No","2002","Other degree","932","0.716931736135436","0.692702844534998","0.741160627735875"
"No","2002","no degree/no degree yet","672","0.717308043865544","0.688146539105704","0.746469548625385"
"Yes","2003","lower secondary degree","","","",""
"Yes","2003","secondary school degree","","","",""
"Yes","2003","college entrance qualification","","","",""
"Yes","2003","Other degree","","","",""
"Yes","2003","no degree/no degree yet","","","",""
"No","2003","lower secondary degree","","","",""
"No","2003","secondary school degree","","","",""
"No","2003","college entrance qualification","","","",""
"No","2003","Other degree","","","",""
"No","2003","no degree/no degree yet","","","",""
"Yes","2004","lower secondary degree","2329","0.299104833615789","0.288796691779264","0.309412975452314"
"Yes","2004","secondary school degree","2078","0.334230032371275","0.322574326761786","0.345885737980763"
"Yes","2004","college entrance qualification","1291","0.258484464444428","0.246784765973166","0.270184162915691"
"Yes","2004","Other degree","325","0.269629878781925","0.244479877671095","0.294779879892755"
"Yes","2004","no degree/no degree yet","254","0.290104155128703","0.260602903552345","0.319605406705062"
"No","2004","lower secondary degree","5250","0.700895166384211","0.690587024547686","0.711203308220736"
"No","2004","secondary school degree","4214","0.665769967628725","0.654114262019237","0.677425673238214"
"No","2004","college entrance qualification","4088","0.741515535555572","0.729815837084309","0.753215234026834"
"No","2004","Other degree","871","0.730370121218075","0.705220120107245","0.755520122328905"
"No","2004","no degree/no degree yet","655","0.709895844871297","0.680394593294938","0.739397096447655"
"Yes","2005","lower secondary degree","","","",""
"Yes","2005","secondary school degree","","","",""
"Yes","2005","college entrance qualification","","","",""
"Yes","2005","Other degree","","","",""
"Yes","2005","no degree/no degree yet","","","",""
"No","2005","lower secondary degree","","","",""
"No","2005","secondary school degree","","","",""
"No","2005","college entrance qualification","","","",""
"No","2005","Other degree","","","",""
"No","2005","no degree/no degree yet","","","",""
"Yes","2006","lower secondary degree","2255","0.299757283514383","0.289480605663675","0.310033961365091"
"Yes","2006","secondary school degree","2077","0.338614357634555","0.327093796219332","0.350134919049778"
"Yes","2006","college entrance qualification","1267","0.238630866505821","0.227491826342819","0.249769906668822"
"Yes","2006","Other degree","349","0.314947230597969","0.288710135002423","0.341184326193514"
"Yes","2006","no degree/no degree yet","178","0.323063102716873","0.287304282698554","0.358821922735193"
"No","2006","lower secondary degree","5380","0.700242716485617","0.689966038634909","0.710519394336325"
"No","2006","secondary school degree","4405","0.661385642365445","0.649865080950222","0.672906203780668"
"No","2006","college entrance qualification","4358","0.76136913349418","0.750230093331178","0.772508173657181"
"No","2006","Other degree","855","0.685052769402032","0.658815673806486","0.711289864997577"
"No","2006","no degree/no degree yet","479","0.676936897283127","0.641178077264807","0.712695717301446"
"Yes","2007","lower secondary degree","","","",""
"Yes","2007","secondary school degree","","","",""
"Yes","2007","college entrance qualification","","","",""
"Yes","2007","Other degree","","","",""
"Yes","2007","no degree/no degree yet","","","",""
"No","2007","lower secondary degree","","","",""
"No","2007","secondary school degree","","","",""
"No","2007","college entrance qualification","","","",""
"No","2007","Other degree","","","",""
"No","2007","no degree/no degree yet","","","",""
"Yes","2008","lower secondary degree","1874","0.302925093262489","0.291747900538327","0.314102285986651"
"Yes","2008","secondary school degree","1725","0.309602728819365","0.29766108306643","0.321544374572301"
"Yes","2008","college entrance qualification","1048","0.20766818273983","0.196587478804012","0.218748886675648"
"Yes","2008","Other degree","252","0.305388637091119","0.27611644737504","0.334660826807199"
"Yes","2008","no degree/no degree yet","132","0.285841239037699","0.248115989720668","0.32356648835473"
"No","2008","lower secondary degree","4619","0.697074906737511","0.685897714013349","0.708252099461673"
"No","2008","secondary school degree","4033","0.690397271180635","0.678455625427699","0.70233891693357"
"No","2008","college entrance qualification","4100","0.79233181726017","0.781251113324352","0.803412521195988"
"No","2008","Other degree","699","0.694611362908881","0.665339173192801","0.72388355262496"
"No","2008","no degree/no degree yet","419","0.714158760962301","0.67643351164527","0.751884010279331"
"Yes","2009","lower secondary degree","","","",""
"Yes","2009","secondary school degree","","","",""
"Yes","2009","college entrance qualification","","","",""
"Yes","2009","Other degree","","","",""
"Yes","2009","no degree/no degree yet","","","",""
"No","2009","lower secondary degree","","","",""
"No","2009","secondary school degree","","","",""
"No","2009","college entrance qualification","","","",""
"No","2009","Other degree","","","",""
"No","2009","no degree/no degree yet","","","",""
"Yes","2010","lower secondary degree","1514","0.2769935950342","0.265041028414698","0.288946161653702"
"Yes","2010","secondary school degree","1491","0.310077521032599","0.297314520273771","0.322840521791427"
"Yes","2010","college entrance qualification","916","0.210178324099125","0.198499052177334","0.221857596020916"
"Yes","2010","Other degree","173","0.258144565464394","0.22624607900035","0.290043051928439"
"Yes","2010","no degree/no degree yet","89","0.247378349528306","0.206161362589837","0.288595336466774"
"No","2010","lower secondary degree","3871","0.7230064049658","0.711053838346298","0.734958971585302"
"No","2010","secondary school degree","3554","0.689922478967401","0.677159478208572","0.702685479726229"
"No","2010","college entrance qualification","3759","0.789821675900875","0.778142403979084","0.801500947822666"
"No","2010","Other degree","550","0.741855434535606","0.709956948071561","0.77375392099965"
"No","2010","no degree/no degree yet","332","0.752621650471694","0.711404663533226","0.793838637410163"
"Yes","2011","lower secondary degree","","","",""
"Yes","2011","secondary school degree","","","",""
"Yes","2011","college entrance qualification","","","",""
"Yes","2011","Other degree","","","",""
"Yes","2011","no degree/no degree yet","","","",""
"No","2011","lower secondary degree","","","",""
"No","2011","secondary school degree","","","",""
"No","2011","college entrance qualification","","","",""
"No","2011","Other degree","","","",""
"No","2011","no degree/no degree yet","","","",""
"Yes","2012","lower secondary degree","1821","0.27727833748428","0.266409884341026","0.288146790627534"
"Yes","2012","secondary school degree","1782","0.303617790974497","0.292038795124481","0.315196786824512"
"Yes","2012","college entrance qualification","1072","0.198578444577217","0.188205691533305","0.208951197621129"
"Yes","2012","Other degree","291","0.272513363632179","0.247043861557113","0.297982865707244"
"Yes","2012","no degree/no degree yet","151","0.298374625710959","0.260101361289058","0.33664789013286"
"No","2012","lower secondary degree","4696","0.72272166251572","0.711853209372466","0.733590115658974"
"No","2012","secondary school degree","4276","0.696382209025504","0.684803213175488","0.707961204875519"
"No","2012","college entrance qualification","4610","0.801421555422783","0.791048802378871","0.811794308466695"
"No","2012","Other degree","883","0.727486636367821","0.702017134292756","0.752956138442887"
"No","2012","no degree/no degree yet","398","0.70162537428904","0.66335210986714","0.739898638710941"
"Yes","2013","lower secondary degree","","","",""
"Yes","2013","secondary school degree","","","",""
"Yes","2013","college entrance qualification","","","",""
"Yes","2013","Other degree","","","",""
"Yes","2013","no degree/no degree yet","","","",""
"No","2013","lower secondary degree","","","",""
"No","2013","secondary school degree","","","",""
"No","2013","college entrance qualification","","","",""
"No","2013","Other degree","","","",""
"No","2013","no degree/no degree yet","","","",""
"Yes","2014","lower secondary degree","2235","0.292117945730514","0.281403872412231","0.302832019048796"
"Yes","2014","secondary school degree","2264","0.295092132878607","0.284803038763857","0.305381226993357"
"Yes","2014","college entrance qualification","1366","0.194813113326398","0.185815413062214","0.203810813590582"
"Yes","2014","Other degree","957","0.295301280375012","0.279760654679774","0.310841906070251"
"Yes","2014","no degree/no degree yet","326","0.329672848225125","0.300666870875817","0.358678825574434"
"No","2014","lower secondary degree","4685","0.707882054269486","0.697167980951204","0.718596127587769"
"No","2014","secondary school degree","5284","0.704907867121393","0.694618773006643","0.715196961236143"
"No","2014","college entrance qualification","6077","0.805186886673602","0.796189186409418","0.814184586937786"
"No","2014","Other degree","2353","0.704698719624988","0.689158093929749","0.720239345320226"
"No","2014","no degree/no degree yet","683","0.670327151774875","0.641321174425566","0.699333129124183"
"Yes","2015","lower secondary degree","","","",""
"Yes","2015","secondary school degree","","","",""
"Yes","2015","college entrance qualification","","","",""
"Yes","2015","Other degree","","","",""
"Yes","2015","no degree/no degree yet","","","",""
"No","2015","lower secondary degree","","","",""
"No","2015","secondary school degree","","","",""
"No","2015","college entrance qualification","","","",""
"No","2015","Other degree","","","",""
"No","2015","no degree/no degree yet","","","",""
"Yes","2016","lower secondary degree","1829","0.282261459383215","0.270728468016261","0.293794450750169"
"Yes","2016","secondary school degree","1894","0.285238420420701","0.274368122359903","0.2961087184815"
"Yes","2016","college entrance qualification","1122","0.181643655646046","0.172479194926685","0.190808116365408"
"Yes","2016","Other degree","948","0.269020926846831","0.25377506728921","0.284266786404452"
"Yes","2016","no degree/no degree yet","267","0.337333875127702","0.304893910317653","0.369773839937751"
"No","2016","lower secondary degree","4022","0.717738540616785","0.706205549249831","0.729271531983739"
"No","2016","secondary school degree","4734","0.714761579579299","0.7038912815185","0.725631877640097"
"No","2016","college entrance qualification","5677","0.818356344353954","0.809191883634592","0.827520805073315"
"No","2016","Other degree","2302","0.730979073153169","0.715733213595548","0.74622493271079"
"No","2016","no degree/no degree yet","549","0.662666124872298","0.630226160062249","0.695106089682347"
"Yes","2017","lower secondary degree","","","",""
"Yes","2017","secondary school degree","","","",""
"Yes","2017","college entrance qualification","","","",""
"Yes","2017","Other degree","","","",""
"Yes","2017","no degree/no degree yet","","","",""
"No","2017","lower secondary degree","","","",""
"No","2017","secondary school degree","","","",""
"No","2017","college entrance qualification","","","",""
"No","2017","Other degree","","","",""
"No","2017","no degree/no degree yet","","","",""
"Yes","2018","lower secondary degree","1821","0.282889304694146","0.271215097967327","0.294563511420965"
"Yes","2018","secondary school degree","1992","0.271304677730599","0.261065607970565","0.281543747490633"
"Yes","2018","college entrance qualification","1257","0.17562245769218","0.167101531420456","0.184143383963903"
"Yes","2018","Other degree","822","0.271927145959859","0.255810440965796","0.288043850953922"
"Yes","2018","no degree/no degree yet","290","0.343571395351963","0.312123014803087","0.375019775900838"
"No","2018","lower secondary degree","3897","0.717110695305854","0.705436488579035","0.728784902032673"
"No","2018","secondary school degree","5252","0.728695322269401","0.718456252509367","0.738934392029435"
"No","2018","college entrance qualification","6403","0.82437754230782","0.815856616036097","0.832898468579544"
"No","2018","Other degree","2106","0.728072854040141","0.711956149046078","0.744189559034204"
"No","2018","no degree/no degree yet","586","0.656428604648038","0.624980224099162","0.687876985196913"
