"ple0081_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2002","no migration background","West Germany","9994","0.701876061366236","0.694360277520777","0.709391845211695","2"
"No","2002","no migration background","East Germany","3736","0.70026061659337","0.687942648588584","0.712578584598155","2"
"No","2002","indirect migration background","West Germany","433","0.545796844019707","0.510398586963791","0.581195101075623","2"
"No","2002","direct migration background","West Germany","1814","0.681790234345702","0.664230933966218","0.699349534725185","2"
"No","2002","direct migration background","East Germany","98","0.84198876969094","0.775611983172226","0.908365556209655","2"
"No","2002","indirect migration background","East Germany","14","","","","2"
"Yes","2002","no migration background","West Germany","4236","0.298123938633764","0.290608154788305","0.305639722479222","1"
"Yes","2002","no migration background","East Germany","1578","0.29973938340663","0.287421415401845","0.312057351411416","1"
"Yes","2002","direct migration background","West Germany","889","0.318209765654298","0.300650465274815","0.335769066033782","1"
"Yes","2002","direct migration background","East Germany","18","","","","1"
"Yes","2002","indirect migration background","West Germany","327","0.454203155980293","0.418804898924377","0.489601413036209","1"
"Yes","2002","indirect migration background","East Germany","10","","","","1"
"No","2003","no migration background","West Germany","","","","","2"
"No","2003","no migration background","East Germany","","","","","2"
"No","2003","indirect migration background","West Germany","","","","","2"
"No","2003","indirect migration background","East Germany","","","","","2"
"No","2003","direct migration background","West Germany","","","","","2"
"No","2003","direct migration background","East Germany","","","","","2"
"Yes","2003","no migration background","West Germany","","","","","1"
"Yes","2003","no migration background","East Germany","","","","","1"
"Yes","2003","direct migration background","West Germany","","","","","1"
"Yes","2003","direct migration background","East Germany","","","","","1"
"Yes","2003","indirect migration background","West Germany","","","","","1"
"Yes","2003","indirect migration background","East Germany","","","","","1"
"No","2004","no migration background","West Germany","9400","0.704616878606613","0.696841828604903","0.712391928608324","2"
"No","2004","no migration background","East Germany","3615","0.705364514460325","0.69285905803534","0.717869970885311","2"
"No","2004","indirect migration background","West Germany","455","0.594523851897703","0.559934302199093","0.629113401596313","2"
"No","2004","indirect migration background","East Germany","22","","","","2"
"No","2004","direct migration background","West Germany","1699","0.702169446015493","0.684024371067008","0.720314520963979","2"
"No","2004","direct migration background","East Germany","86","0.849554510624057","0.780174683102603","0.918934338145512","2"
"Yes","2004","no migration background","West Germany","3826","0.295383121393387","0.287608071391676","0.303158171395097","1"
"Yes","2004","no migration background","East Germany","1490","0.294635485539675","0.282130029114689","0.30714094196466","1"
"Yes","2004","direct migration background","West Germany","741","0.297830553984507","0.279685479036021","0.315975628932992","1"
"Yes","2004","direct migration background","East Germany","16","","","","1"
"Yes","2004","indirect migration background","West Germany","319","0.405476148102297","0.370886598403687","0.440065697800907","1"
"Yes","2004","indirect migration background","East Germany","13","","","","1"
"No","2005","no migration background","West Germany","","","","","2"
"No","2005","indirect migration background","West Germany","","","","","2"
"No","2005","no migration background","East Germany","","","","","2"
"No","2005","indirect migration background","East Germany","","","","","2"
"No","2005","direct migration background","West Germany","","","","","2"
"No","2005","direct migration background","East Germany","","","","","2"
"Yes","2005","no migration background","West Germany","","","","","1"
"Yes","2005","no migration background","East Germany","","","","","1"
"Yes","2005","direct migration background","West Germany","","","","","1"
"Yes","2005","direct migration background","East Germany","","","","","1"
"Yes","2005","indirect migration background","West Germany","","","","","1"
"Yes","2005","indirect migration background","East Germany","","","","","1"
"No","2006","indirect migration background","West Germany","460","0.583890987868736","0.549365751782227","0.618416223955244","2"
"No","2006","indirect migration background","East Germany","23","","","","2"
"No","2006","no migration background","West Germany","9890","0.704920769611942","0.697282854320063","0.712558684903822","2"
"No","2006","no migration background","East Germany","3699","0.715007398182874","0.702671531366156","0.727343264999592","2"
"No","2006","direct migration background","West Germany","1584","0.67577227676761","0.656554586600427","0.694989966934792","2"
"No","2006","direct migration background","East Germany","95","0.779716016691311","0.702962414313368","0.856469619069254","2"
"Yes","2006","no migration background","West Germany","3807","0.295079230388058","0.287441315096178","0.302717145679937","1"
"Yes","2006","no migration background","East Germany","1445","0.284992601817126","0.272656735000408","0.297328468633844","1"
"Yes","2006","direct migration background","West Germany","695","0.32422772323239","0.305010033065208","0.343445413399573","1"
"Yes","2006","direct migration background","East Germany","17","","","","1"
"Yes","2006","indirect migration background","West Germany","323","0.416109012131264","0.381583776044756","0.450634248217773","1"
"Yes","2006","indirect migration background","East Germany","16","","","","1"
"No","2007","indirect migration background","West Germany","","","","","2"
"No","2007","indirect migration background","East Germany","","","","","2"
"No","2007","no migration background","West Germany","","","","","2"
"No","2007","no migration background","East Germany","","","","","2"
"No","2007","direct migration background","West Germany","","","","","2"
"No","2007","direct migration background","East Germany","","","","","2"
"Yes","2007","no migration background","West Germany","","","","","1"
"Yes","2007","no migration background","East Germany","","","","","1"
"Yes","2007","direct migration background","West Germany","","","","","1"
"Yes","2007","direct migration background","East Germany","","","","","1"
"Yes","2007","indirect migration background","West Germany","","","","","1"
"Yes","2007","indirect migration background","East Germany","","","","","1"
"No","2008","indirect migration background","West Germany","449","0.615767458537738","0.580458105063195","0.651076812012281","2"
"No","2008","indirect migration background","East Germany","25","","","","2"
"No","2008","no migration background","West Germany","8916","0.727251909703121","0.719301531695273","0.735202287710969","2"
"No","2008","no migration background","East Germany","3405","0.716811888227097","0.703878805218874","0.72974497123532","2"
"No","2008","direct migration background","West Germany","1329","0.692674273025125","0.671563990563936","0.713784555486314","2"
"No","2008","direct migration background","East Germany","65","0.758060590823232","0.664797275589501","0.851323906056962","2"
"Yes","2008","no migration background","West Germany","3139","0.272748090296879","0.264797712289031","0.280698468304727","1"
"Yes","2008","no migration background","East Germany","1257","0.283188111772903","0.270255028764679","0.296121194781126","1"
"Yes","2008","direct migration background","West Germany","506","0.307325726974875","0.286215444513686","0.328436009436064","1"
"Yes","2008","direct migration background","East Germany","16","","","","1"
"Yes","2008","indirect migration background","West Germany","280","0.384232541462262","0.348923187987719","0.419541894936805","1"
"Yes","2008","indirect migration background","East Germany","18","","","","1"
"No","2009","indirect migration background","West Germany","","","","","2"
"No","2009","indirect migration background","East Germany","","","","","2"
"No","2009","no migration background","West Germany","","","","","2"
"No","2009","no migration background","East Germany","","","","","2"
"No","2009","direct migration background","West Germany","","","","","2"
"No","2009","direct migration background","East Germany","","","","","2"
"Yes","2009","direct migration background","West Germany","","","","","1"
"Yes","2009","direct migration background","East Germany","","","","","1"
"Yes","2009","no migration background","West Germany","","","","","1"
"Yes","2009","no migration background","East Germany","","","","","1"
"Yes","2009","indirect migration background","West Germany","","","","","1"
"Yes","2009","indirect migration background","East Germany","","","","","1"
"No","2010","no migration background","West Germany","7870","0.734161564387649","0.725732782216867","0.742590346558431","2"
"No","2010","indirect migration background","West Germany","399","0.62428087738531","0.586189738595645","0.662372016174974","2"
"No","2010","indirect migration background","East Germany","25","","","","2"
"No","2010","no migration background","East Germany","2971","0.741961264049059","0.728463812244362","0.755458715853756","2"
"No","2010","direct migration background","West Germany","1057","0.724916739620265","0.701632977379067","0.748200501861462","2"
"No","2010","direct migration background","East Germany","49","0.714393519608352","0.602853530403043","0.825933508813661","2"
"Yes","2010","direct migration background","West Germany","356","0.275083260379735","0.251799498138538","0.298367022620933","1"
"Yes","2010","direct migration background","East Germany","14","","","","1"
"Yes","2010","indirect migration background","West Germany","222","0.37571912261469","0.337627983825026","0.413810261404355","1"
"Yes","2010","no migration background","West Germany","2683","0.265838435612351","0.257409653441569","0.274267217783133","1"
"Yes","2010","no migration background","East Germany","1066","0.258038735950941","0.244541284146244","0.271536187755638","1"
"Yes","2010","indirect migration background","East Germany","13","","","","1"
"No","2011","no migration background","West Germany","","","","","2"
"No","2011","no migration background","East Germany","","","","","2"
"No","2011","indirect migration background","West Germany","","","","","2"
"No","2011","indirect migration background","East Germany","","","","","2"
"No","2011","direct migration background","West Germany","","","","","2"
"No","2011","direct migration background","East Germany","","","","","2"
"Yes","2011","direct migration background","West Germany","","","","","1"
"Yes","2011","direct migration background","East Germany","","","","","1"
"Yes","2011","indirect migration background","West Germany","","","","","1"
"Yes","2011","indirect migration background","East Germany","","","","","1"
"Yes","2011","no migration background","West Germany","","","","","1"
"Yes","2011","no migration background","East Germany","","","","","1"
"No","2012","no migration background","West Germany","9826","0.744106141525707","0.736626320150839","0.751585962900575","2"
"No","2012","no migration background","East Germany","3414","0.723863186314673","0.711093678873753","0.736632693755593","2"
"No","2012","direct migration background","West Germany","1387","0.722478897053741","0.702035831890752","0.74292196221673","2"
"No","2012","direct migration background","East Germany","75","0.797693536717626","0.718158594720282","0.87722847871497","2"
"No","2012","indirect migration background","West Germany","510","0.675123509212194","0.641583904447389","0.708663113976999","2"
"No","2012","indirect migration background","East Germany","30","0.568181856108611","0.42805492972214","0.708308782495083","2"
"Yes","2012","direct migration background","West Germany","456","0.277521102946259","0.25707803778327","0.297964168109248","1"
"Yes","2012","direct migration background","East Germany","23","","","","1"
"Yes","2012","indirect migration background","West Germany","239","0.324876490787806","0.291336886023001","0.358416095552611","1"
"Yes","2012","indirect migration background","East Germany","18","","","","1"
"Yes","2012","no migration background","West Germany","3248","0.255893858474293","0.248414037099426","0.263373679849161","1"
"Yes","2012","no migration background","East Germany","1295","0.276136813685327","0.263367306244407","0.288906321126247","1"
"No","2013","no migration background","West Germany","","","","","2"
"No","2013","no migration background","East Germany","","","","","2"
"No","2013","direct migration background","West Germany","","","","","2"
"No","2013","direct migration background","East Germany","","","","","2"
"No","2013","indirect migration background","West Germany","","","","","2"
