"ple0081_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no migration background","Male","3202","0.350693688957588","0.341062985604035","0.360324392311142"
"Yes","2002","no migration background","Female","2612","0.249524256725834","0.241090272148501","0.257958241303166"
"Yes","2002","direct migration background","Male","577","0.399852126310334","0.373902852553744","0.425801400066925"
"Yes","2002","direct migration background","Female","330","0.227716853008074","0.206131957261603","0.249301748754545"
"Yes","2002","indirect migration background","Male","168","0.45423906659295","0.403710481306276","0.504767651879624"
"Yes","2002","indirect migration background","Female","169","0.442257112146671","0.394241594701073","0.49027262959227"
"No","2002","no migration background","Male","6229","0.649306311042412","0.639675607688858","0.658937014395965"
"No","2002","no migration background","Female","7501","0.750475743274166","0.742041758696834","0.758909727851499"
"No","2002","direct migration background","Male","792","0.600147873689666","0.574198599933075","0.626097147446256"
"No","2002","direct migration background","Female","1120","0.772283146991926","0.750698251245455","0.793868042738397"
"No","2002","indirect migration background","Male","205","0.54576093340705","0.495232348120376","0.596289518693724"
"No","2002","indirect migration background","Female","242","0.557742887853328","0.50972737040773","0.605758405298927"
"Yes","2003","no migration background","Male","","","",""
"Yes","2003","no migration background","Female","","","",""
"Yes","2003","direct migration background","Male","","","",""
"Yes","2003","direct migration background","Female","","","",""
"Yes","2003","indirect migration background","Male","","","",""
"Yes","2003","indirect migration background","Female","","","",""
"No","2003","no migration background","Male","","","",""
"No","2003","no migration background","Female","","","",""
"No","2003","direct migration background","Male","","","",""
"No","2003","direct migration background","Female","","","",""
"No","2003","indirect migration background","Male","","","",""
"No","2003","indirect migration background","Female","","","",""
"Yes","2004","no migration background","Male","2889","0.342882819853954","0.332965346814226","0.352800292893683"
"Yes","2004","no migration background","Female","2427","0.250193520933205","0.241498082587211","0.258888959279198"
"Yes","2004","direct migration background","Male","474","0.374478060567699","0.347308619698525","0.401647501436873"
"Yes","2004","direct migration background","Female","283","0.216424063106802","0.194233849271742","0.238614276941862"
"Yes","2004","indirect migration background","Male","160","0.415539205424555","0.366503105337909","0.464575305511201"
"Yes","2004","indirect migration background","Female","172","0.405227344136362","0.358331764117191","0.452122924155532"
"No","2004","no migration background","Male","5911","0.657117180146046","0.647199707106317","0.667034653185774"
"No","2004","no migration background","Female","7104","0.749806479066796","0.741111040720802","0.758501917412789"
"No","2004","direct migration background","Male","745","0.625521939432301","0.598352498563127","0.652691380301475"
"No","2004","direct migration background","Female","1040","0.783575936893198","0.761385723058138","0.805766150728258"
"No","2004","indirect migration background","Male","228","0.584460794575445","0.535424694488799","0.633496894662091"
"No","2004","indirect migration background","Female","249","0.594772655863639","0.547877075844468","0.64166823588281"
"Yes","2005","no migration background","Male","","","",""
"Yes","2005","no migration background","Female","","","",""
"Yes","2005","direct migration background","Male","","","",""
"Yes","2005","direct migration background","Female","","","",""
"Yes","2005","indirect migration background","Male","","","",""
"Yes","2005","indirect migration background","Female","","","",""
"No","2005","no migration background","Male","","","",""
"No","2005","no migration background","Female","","","",""
"No","2005","direct migration background","Male","","","",""
"No","2005","direct migration background","Female","","","",""
"No","2005","indirect migration background","Male","","","",""
"No","2005","indirect migration background","Female","","","",""
"Yes","2006","no migration background","Male","2793","0.326682753291166","0.316994364473447","0.336371142108884"
"Yes","2006","no migration background","Female","2459","0.260895108401576","0.252218327778081","0.269571889025072"
"Yes","2006","direct migration background","Male","425","0.402304875472574","0.373418584267998","0.43119116667715"
"Yes","2006","direct migration background","Female","287","0.246107294800371","0.222546898405744","0.269667691194999"
"Yes","2006","indirect migration background","Male","170","0.452817480011094","0.40366700952205","0.501967950500138"
"Yes","2006","indirect migration background","Female","169","0.376659590987334","0.330754234688543","0.422564947286124"
"No","2006","no migration background","Male","6209","0.673317246708834","0.663628857891116","0.683005635526553"
"No","2006","no migration background","Female","7380","0.739104891598424","0.730428110974928","0.74778167222192"
"No","2006","direct migration background","Male","682","0.597695124527426","0.56880883332285","0.626581415732002"
"No","2006","direct migration background","Female","997","0.753892705199629","0.730332308805001","0.777453101594256"
"No","2006","indirect migration background","Male","224","0.547182519988906","0.498032049499861","0.59633299047795"
"No","2006","indirect migration background","Female","259","0.623340409012666","0.577435052713876","0.669245765311457"
"Yes","2007","no migration background","Male","","","",""
"Yes","2007","no migration background","Female","","","",""
"Yes","2007","direct migration background","Male","","","",""
"Yes","2007","direct migration background","Female","","","",""
"Yes","2007","indirect migration background","Male","","","",""
"Yes","2007","indirect migration background","Female","","","",""
"No","2007","no migration background","Male","","","",""
"No","2007","no migration background","Female","","","",""
"No","2007","direct migration background","Male","","","",""
"No","2007","direct migration background","Female","","","",""
"No","2007","indirect migration background","Male","","","",""
"No","2007","indirect migration background","Female","","","",""
"Yes","2008","no migration background","Male","2373","0.311617864456342","0.301461743850346","0.321773985062339"
"Yes","2008","no migration background","Female","2023","0.240424038030313","0.231458728838653","0.249389347221973"
"Yes","2008","direct migration background","Male","312","0.392281255069994","0.360113070653774","0.424449439486214"
"Yes","2008","direct migration background","Female","210","0.226209742774991","0.200671792327767","0.251747693222214"
"Yes","2008","indirect migration background","Male","148","0.407375962038529","0.357445687698402","0.457306236378656"
"Yes","2008","indirect migration background","Female","150","0.359095010919254","0.312081833187029","0.40610818865148"
"No","2008","no migration background","Male","5616","0.688382135543658","0.678226014937661","0.698538256149654"
"No","2008","no migration background","Female","6705","0.759575961969687","0.750610652778027","0.768541271161347"
"No","2008","direct migration background","Male","573","0.607718744930006","0.575550560513786","0.639886929346226"
"No","2008","direct migration background","Female","821","0.773790257225009","0.748252306777786","0.799328207672233"
"No","2008","indirect migration background","Male","224","0.592624037961471","0.542693763621344","0.642554312301598"
"No","2008","indirect migration background","Female","250","0.640904989080746","0.593891811348521","0.687918166812971"
"Yes","2009","no migration background","Male","","","",""
"Yes","2009","no migration background","Female","","","",""
"Yes","2009","direct migration background","Male","","","",""
"Yes","2009","direct migration background","Female","","","",""
"Yes","2009","indirect migration background","Male","","","",""
"Yes","2009","indirect migration background","Female","","","",""
"No","2009","no migration background","Male","","","",""
"No","2009","no migration background","Female","","","",""
"No","2009","direct migration background","Male","","","",""
"No","2009","direct migration background","Female","","","",""
"No","2009","indirect migration background","Male","","","",""
"No","2009","indirect migration background","Female","","","",""
"Yes","2010","no migration background","Male","2009","0.29881139744946","0.288072307122154","0.309550487776766"
"Yes","2010","no migration background","Female","1740","0.230234563642274","0.220776729484674","0.239692397799874"
"Yes","2010","direct migration background","Male","224","0.352113716267665","0.315866384875388","0.388361047659942"
"Yes","2010","direct migration background","Female","146","0.209019902543434","0.181001044644484","0.237038760442384"
"Yes","2010","indirect migration background","Male","127","0.427890017760063","0.373251532070915","0.482528503449211"
"Yes","2010","indirect migration background","Female","108","0.319371137909951","0.270102349409185","0.368639926410716"
"No","2010","no migration background","Male","4970","0.70118860255054","0.690449512223234","0.711927692877846"
"No","2010","no migration background","Female","5871","0.769765436357726","0.760307602200126","0.779223270515326"
"No","2010","direct migration background","Male","443","0.647886283732335","0.611638952340058","0.684133615124612"
"No","2010","direct migration background","Female","663","0.790980097456566","0.762961239557616","0.818998955355516"
