"ple0081_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2002","16-34 y.","West Germany","1757","0.387925990744986","0.373980362694333","0.401871618795639"
"Yes","2002","16-34 y.","East Germany","615","0.434962821914162","0.409832845810046","0.460092798018279"
"Yes","2002","35-65 y.","West Germany","3374","0.344436728879303","0.33524339651361","0.353630061244996"
"Yes","2002","35-65 y.","East Germany","921","0.32382478952564","0.307247974375965","0.340401604675316"
"Yes","2002","66 and older","West Germany","321","0.107398666267142","0.0958055278983386","0.118991804635946"
"Yes","2002","66 and older","East Germany","70","0.0721592967938738","0.0552356957361302","0.0890828978516173"
"No","2002","16-34 y.","West Germany","2933","0.612074009255014","0.598128381204361","0.626019637305667"
"No","2002","16-34 y.","East Germany","880","0.565037178085838","0.539907201981721","0.590167154189954"
"No","2002","35-65 y.","West Germany","6889","0.655563271120697","0.646369938755004","0.66475660348639"
"No","2002","35-65 y.","East Germany","2140","0.67617521047436","0.659598395324684","0.692752025624035"
"No","2002","66 and older","West Germany","2419","0.892601333732858","0.881008195364054","0.904194472101661"
"No","2002","66 and older","East Germany","828","0.927840703206126","0.910917102148383","0.94476430426387"
"Yes","2003","16-34 y.","West Germany","","","",""
"Yes","2003","16-34 y.","East Germany","","","",""
"Yes","2003","35-65 y.","West Germany","","","",""
"Yes","2003","35-65 y.","East Germany","","","",""
"Yes","2003","66 and older","West Germany","","","",""
"Yes","2003","66 and older","East Germany","","","",""
"No","2003","16-34 y.","West Germany","","","",""
"No","2003","16-34 y.","East Germany","","","",""
"No","2003","35-65 y.","West Germany","","","",""
"No","2003","35-65 y.","East Germany","","","",""
"No","2003","66 and older","West Germany","","","",""
"No","2003","66 and older","East Germany","","","",""
"Yes","2004","16-34 y.","West Germany","1511","0.379456815239891","0.364791863414203","0.394121767065578"
"Yes","2004","16-34 y.","East Germany","590","0.415538427271771","0.389986977091927","0.441089877451614"
"Yes","2004","35-65 y.","West Germany","3047","0.343243939977612","0.33364221165787","0.352845668297353"
"Yes","2004","35-65 y.","East Germany","835","0.322637083637147","0.305474071444738","0.339800095829556"
"Yes","2004","66 and older","West Germany","328","0.107576145025794","0.0961826741063723","0.118969615945215"
"Yes","2004","66 and older","East Germany","94","0.102829944682551","0.0836462553171103","0.122013634047992"
"No","2004","16-34 y.","West Germany","2695","0.620543184760109","0.605878232934422","0.635208136585797"
"No","2004","16-34 y.","East Germany","839","0.584461572728229","0.558910122548386","0.610013022908073"
"No","2004","35-65 y.","West Germany","6346","0.656756060022388","0.647154331702646","0.66635778834213"
"No","2004","35-65 y.","East Germany","2015","0.677362916362853","0.660199904170444","0.694525928555262"
"No","2004","66 and older","West Germany","2513","0.892423854974206","0.881030384054785","0.903817325893628"
"No","2004","66 and older","East Germany","869","0.897170055317449","0.877986365952008","0.91635374468289"
"Yes","2005","16-34 y.","West Germany","","","",""
"Yes","2005","16-34 y.","East Germany","","","",""
"Yes","2005","35-65 y.","West Germany","","","",""
"Yes","2005","35-65 y.","East Germany","","","",""
"Yes","2005","66 and older","West Germany","","","",""
"Yes","2005","66 and older","East Germany","","","",""
"No","2005","16-34 y.","West Germany","","","",""
"No","2005","16-34 y.","East Germany","","","",""
"No","2005","35-65 y.","West Germany","","","",""
"No","2005","35-65 y.","East Germany","","","",""
"No","2005","66 and older","West Germany","","","",""
"No","2005","66 and older","East Germany","","","",""
"Yes","2006","16-34 y.","West Germany","1401","0.394339740074873","0.378902575346788","0.409776904802959"
"Yes","2006","16-34 y.","East Germany","521","0.396190118406142","0.36948936228122","0.422890874531063"
"Yes","2006","35-65 y.","West Germany","3032","0.345895882207004","0.336363493546409","0.355428270867599"
"Yes","2006","35-65 y.","East Germany","860","0.329131195171146","0.311918822549582","0.34634356779271"
"Yes","2006","66 and older","West Germany","392","0.114759135801148","0.103956261621256","0.125562009981041"
"Yes","2006","66 and older","East Germany","97","0.0838348463551177","0.0677682402359737","0.0999014524742617"
"No","2006","16-34 y.","West Germany","2449","0.605660259925127","0.590223095197041","0.621097424653212"
"No","2006","16-34 y.","East Germany","768","0.603809881593858","0.577109125468937","0.63051063771878"
"No","2006","35-65 y.","West Germany","6533","0.654104117792996","0.644571729132401","0.663636506453591"
"No","2006","35-65 y.","East Germany","2003","0.670868804828854","0.65365643220729","0.688081177450418"
"No","2006","66 and older","West Germany","2952","0.885240864198852","0.874437990018959","0.896043738378744"
"No","2006","66 and older","East Germany","1046","0.916165153644882","0.900098547525738","0.932231759764026"
"Yes","2007","16-34 y.","West Germany","","","",""
"Yes","2007","16-34 y.","East Germany","","","",""
"Yes","2007","35-65 y.","West Germany","","","",""
"Yes","2007","35-65 y.","East Germany","","","",""
"Yes","2007","66 and older","West Germany","","","",""
"Yes","2007","66 and older","East Germany","","","",""
"No","2007","16-34 y.","West Germany","","","",""
"No","2007","16-34 y.","East Germany","","","",""
"No","2007","35-65 y.","West Germany","","","",""
"No","2007","35-65 y.","East Germany","","","",""
"No","2007","66 and older","West Germany","","","",""
"No","2007","66 and older","East Germany","","","",""
"Yes","2008","16-34 y.","West Germany","1090","0.361091344804513","0.344519283415381","0.377663406193646"
"Yes","2008","16-34 y.","East Germany","419","0.381462653404842","0.353290242427599","0.409635064382086"
"Yes","2008","35-65 y.","West Germany","2464","0.325589488926688","0.315430401570267","0.33574857628311"
"Yes","2008","35-65 y.","East Germany","761","0.327586951065753","0.309226109054157","0.345947793077349"
"Yes","2008","66 and older","West Germany","371","0.112970548664876","0.102035033643516","0.123906063686235"
"Yes","2008","66 and older","East Germany","111","0.101366372099861","0.0838000901726075","0.118932654027115"
"No","2008","16-34 y.","West Germany","2137","0.638908655195487","0.622336593806354","0.655480716584619"
"No","2008","16-34 y.","East Germany","723","0.618537346595158","0.590364935617914","0.646709757572401"
"No","2008","35-65 y.","West Germany","5709","0.674410511073312","0.66425142371689","0.684569598429733"
"No","2008","35-65 y.","East Germany","1749","0.672413048934247","0.654052206922651","0.690773890945844"
"No","2008","66 and older","West Germany","2848","0.887029451335124","0.876093936313765","0.897964966356484"
"No","2008","66 and older","East Germany","1023","0.898633627900139","0.881067345972885","0.916199909827393"
"Yes","2009","16-34 y.","West Germany","","","",""
"Yes","2009","16-34 y.","East Germany","","","",""
"Yes","2009","35-65 y.","West Germany","","","",""
"Yes","2009","35-65 y.","East Germany","","","",""
"Yes","2009","66 and older","West Germany","","","",""
"Yes","2009","66 and older","East Germany","","","",""
"No","2009","16-34 y.","West Germany","","","",""
"No","2009","16-34 y.","East Germany","","","",""
"No","2009","35-65 y.","West Germany","","","",""
"No","2009","35-65 y.","East Germany","","","",""
"No","2009","66 and older","West Germany","","","",""
"No","2009","66 and older","East Germany","","","",""
"Yes","2010","16-34 y.","West Germany","836","0.329813782320801","0.312050493045274","0.347577071596328"
"Yes","2010","16-34 y.","East Germany","336","0.363890988815478","0.332423553569204","0.395358424061753"
"Yes","2010","35-65 y.","West Germany","2085","0.331515072542354","0.320411475343334","0.342618669741374"
"Yes","2010","35-65 y.","East Germany","662","0.307603184130204","0.288190252560665","0.327016115699743"
"Yes","2010","66 and older","West Germany","340","0.109569224079625","0.0983752509870959","0.120763197172155"
"Yes","2010","66 and older","East Germany","95","0.0913586006187156","0.0740870942194391","0.108630107017992"
"No","2010","16-34 y.","West Germany","1855","0.670186217679199","0.652422928403672","0.687949506954726"
"No","2010","16-34 y.","East Germany","562","0.636109011184522","0.604641575938247","0.667576446430796"
"No","2010","35-65 y.","West Germany","4820","0.668484927457646","0.657381330258626","0.679588524656666"
"No","2010","35-65 y.","East Germany","1509","0.692396815869796","0.672983884300257","0.711809747439335"
"No","2010","66 and older","West Germany","2651","0.890430775920375","0.879236802827845","0.901624749012904"
"No","2010","66 and older","East Germany","974","0.908641399381284","0.891369892982008","0.925912905780561"
"Yes","2011","16-34 y.","West Germany","","","",""
"Yes","2011","16-34 y.","East Germany","","","",""
"Yes","2011","35-65 y.","West Germany","","","",""
"Yes","2011","35-65 y.","East Germany","","","",""
"Yes","2011","66 and older","West Germany","","","",""
"Yes","2011","66 and older","East Germany","","","",""
"No","2011","16-34 y.","West Germany","","","",""
"No","2011","16-34 y.","East Germany","","","",""
"No","2011","35-65 y.","West Germany","","","",""
"No","2011","35-65 y.","East Germany","","","",""
"No","2011","66 and older","West Germany","","","",""
"No","2011","66 and older","East Germany","","","",""
"Yes","2012","16-34 y.","West Germany","945","0.302991180390139","0.287108485201928","0.318873875578349"
"Yes","2012","16-34 y.","East Germany","377","0.390376047657272","0.358938416291212","0.421813679023332"
"Yes","2012","35-65 y.","West Germany","2564","0.320151749753776","0.310251241107702","0.330052258399849"
"Yes","2012","35-65 y.","East Germany","836","0.322236073854561","0.304385632230718","0.340086515478403"
"Yes","2012","66 and older","West Germany","434","0.114891545479729","0.104908861158358","0.124874229801101"
"Yes","2012","66 and older","East Germany","123","0.101677725970493","0.085229953127626","0.118125498813361"
"No","2012","16-34 y.","West Germany","2271","0.697008819609861","0.681126124421651","0.712891514798072"
"No","2012","16-34 y.","East Germany","548","0.609623952342728","0.578186320976668","0.641061583708788"
"No","2012","35-65 y.","West Germany","5966","0.679848250246224","0.669947741600151","0.689748758892298"
"No","2012","35-65 y.","East Germany","1797","0.677763926145439","0.659913484521597","0.695614367769282"
"No","2012","66 and older","West Germany","3486","0.885108454520271","0.875125770198899","0.895091138841642"
"No","2012","66 and older","East Germany","1174","0.898322274029507","0.881874501186639","0.914770046872374"
"Yes","2013","16-34 y.","West Germany","","","",""
"Yes","2013","16-34 y.","East Germany","","","",""
"Yes","2013","35-65 y.","West Germany","","","",""
