"ple0081_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2002","(0) in school","West Germany","104","0.228772953303375","0.190553667611983","0.266992238994766"
"Yes","2002","(0) in school","East Germany","34","0.247494501286164","0.179335165951444","0.315653836620884"
"Yes","2002","(1a) inadequately completed","West Germany","97","0.352399831554388","0.29604062470655","0.408759038402226"
"Yes","2002","(1a) inadequately completed","East Germany","9","","",""
"Yes","2002","(1b) general elementary school","West Germany","650","0.296199066197546","0.27635200706791","0.316046125327182"
"Yes","2002","(1b) general elementary school","East Germany","64","0.197031827004167","0.149232186458224","0.24483146755011"
"Yes","2002","(1c) basic vocational qualification","West Germany","1814","0.326602655514415","0.314111735826041","0.33909357520279"
"Yes","2002","(1c) basic vocational qualification","East Germany","326","0.244754867113543","0.220958593232144","0.268551140994943"
"Yes","2002","(2b) intermediate general qualification","West Germany","193","0.387610448785986","0.344603735334952","0.430617162237019"
"Yes","2002","(2b) intermediate general qualification","East Germany","85","0.496150216228137","0.42054520523169","0.571755227224584"
"Yes","2002","(2a) intermediate vocational","West Germany","1172","0.326295627912173","0.310731502921139","0.341859752903206"
"Yes","2002","(2a) intermediate vocational","East Germany","678","0.376509653669951","0.354496724853152","0.398522582486751"
"Yes","2002","(2c_gen) general maturity certificate","West Germany","217","0.300108279018343","0.266515225143771","0.333701332892915"
"Yes","2002","(2c_gen) general maturity certificate","East Germany","71","0.437795857896734","0.365117614814124","0.510474100979344"
"Yes","2002","(2c_voc) vocational maturity certificate","West Germany","422","0.291284197647718","0.267635648805724","0.314932746489712"
"Yes","2002","(2c_voc) vocational maturity certificate","East Germany","54","0.261935123619176","0.197702453372138","0.326167793866214"
"Yes","2002","(3a) lower tertiary education","West Germany","290","0.263724341280587","0.237766437984821","0.289682244576353"
"Yes","2002","(3a) lower tertiary education","East Germany","146","0.23119162167977","0.199892885500158","0.262490357859382"
"Yes","2002","(3b) higher tertiary education","West Germany","431","0.213348479103508","0.195987321976133","0.230709636230884"
"Yes","2002","(3b) higher tertiary education","East Germany","113","0.175430496792449","0.145684094303888","0.205176899281011"
"No","2002","(0) in school","West Germany","360","0.771227046696625","0.733007761005234","0.809446332388017"
"No","2002","(0) in school","East Germany","120","0.752505498713836","0.684346163379116","0.820664834048556"
"No","2002","(1a) inadequately completed","West Germany","179","0.647600168445612","0.591240961597774","0.70395937529345"
"No","2002","(1a) inadequately completed","East Germany","11","","",""
"No","2002","(1b) general elementary school","West Germany","1383","0.703800933802454","0.683953874672818","0.72364799293209"
"No","2002","(1b) general elementary school","East Germany","202","0.802968172995833","0.75516853244989","0.850767813541776"
"No","2002","(1c) basic vocational qualification","West Germany","3601","0.673397344485585","0.660906424797211","0.685888264173959"
"No","2002","(1c) basic vocational qualification","East Germany","928","0.755245132886457","0.731448859005057","0.779041406767856"
"No","2002","(2b) intermediate general qualification","West Germany","300","0.612389551214014","0.569382837762981","0.655396264665048"
"No","2002","(2b) intermediate general qualification","East Germany","83","0.503849783771863","0.428244772775416","0.57945479476831"
"No","2002","(2a) intermediate vocational","West Germany","2314","0.673704372087827","0.658140247096794","0.689268497078861"
"No","2002","(2a) intermediate vocational","East Germany","1183","0.623490346330049","0.601477417513249","0.645503275146848"
"No","2002","(2c_gen) general maturity certificate","West Germany","498","0.699891720981657","0.666298667107085","0.733484774856229"
"No","2002","(2c_gen) general maturity certificate","East Germany","108","0.562204142103266","0.489525899020656","0.634882385185875"
"No","2002","(2c_voc) vocational maturity certificate","West Germany","996","0.708715802352282","0.685067253510288","0.732364351194276"
"No","2002","(2c_voc) vocational maturity certificate","East Germany","126","0.738064876380824","0.673832206133786","0.802297546627862"
"No","2002","(3a) lower tertiary education","West Germany","817","0.736275658719413","0.710317755423647","0.762233562015179"
"No","2002","(3a) lower tertiary education","East Germany","551","0.76880837832023","0.737509642140618","0.800107114499842"
"No","2002","(3b) higher tertiary education","West Germany","1708","0.786651520896492","0.769290363769116","0.804012678023867"
"No","2002","(3b) higher tertiary education","East Germany","515","0.824569503207551","0.794823100718989","0.854315905696112"
"Yes","2003","(0) in school","West Germany","","","",""
"Yes","2003","(0) in school","East Germany","","","",""
"Yes","2003","(1a) inadequately completed","West Germany","","","",""
"Yes","2003","(1a) inadequately completed","East Germany","","","",""
"Yes","2003","(1b) general elementary school","West Germany","","","",""
"Yes","2003","(1b) general elementary school","East Germany","","","",""
"Yes","2003","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2003","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2003","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2003","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2003","(2a) intermediate vocational","West Germany","","","",""
"Yes","2003","(2a) intermediate vocational","East Germany","","","",""
"Yes","2003","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2003","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2003","(3a) lower tertiary education","West Germany","","","",""
"Yes","2003","(3a) lower tertiary education","East Germany","","","",""
"Yes","2003","(3b) higher tertiary education","West Germany","","","",""
"Yes","2003","(3b) higher tertiary education","East Germany","","","",""
"No","2003","(0) in school","West Germany","","","",""
"No","2003","(0) in school","East Germany","","","",""
"No","2003","(1a) inadequately completed","West Germany","","","",""
"No","2003","(1a) inadequately completed","East Germany","","","",""
"No","2003","(1b) general elementary school","West Germany","","","",""
"No","2003","(1b) general elementary school","East Germany","","","",""
"No","2003","(1c) basic vocational qualification","West Germany","","","",""
"No","2003","(1c) basic vocational qualification","East Germany","","","",""
"No","2003","(2b) intermediate general qualification","West Germany","","","",""
"No","2003","(2b) intermediate general qualification","East Germany","","","",""
"No","2003","(2a) intermediate vocational","West Germany","","","",""
"No","2003","(2a) intermediate vocational","East Germany","","","",""
"No","2003","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2003","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2003","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2003","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2003","(3a) lower tertiary education","West Germany","","","",""
"No","2003","(3a) lower tertiary education","East Germany","","","",""
"No","2003","(3b) higher tertiary education","West Germany","","","",""
"No","2003","(3b) higher tertiary education","East Germany","","","",""
"Yes","2004","(0) in school","West Germany","103","0.219454108193897","0.182234451327804","0.25667376505999"
"Yes","2004","(0) in school","East Germany","48","0.303702391443709","0.233747899847726","0.373656883039692"
"Yes","2004","(1a) inadequately completed","West Germany","93","0.364694224050512","0.304544120142008","0.424844327959016"
"Yes","2004","(1a) inadequately completed","East Germany","10","","",""
"Yes","2004","(1b) general elementary school","West Germany","524","0.279903664402737","0.259146231393821","0.300661097411652"
"Yes","2004","(1b) general elementary school","East Germany","57","0.21952131649871","0.165194465563706","0.273848167433713"
"Yes","2004","(1c) basic vocational qualification","West Germany","1598","0.311982475637251","0.299052389825112","0.324912561449389"
"Yes","2004","(1c) basic vocational qualification","East Germany","303","0.252139357564614","0.227171821429413","0.277106893699815"
"Yes","2004","(2b) intermediate general qualification","West Germany","176","0.415907185794506","0.370418963601236","0.461395407987776"
"Yes","2004","(2b) intermediate general qualification","East Germany","72","0.478312086529491","0.401151376001199","0.555472797057783"
"Yes","2004","(2a) intermediate vocational","West Germany","1080","0.334261014720422","0.31804037068167","0.350481658759173"
"Yes","2004","(2a) intermediate vocational","East Germany","610","0.347508705369109","0.325293724616246","0.369723686121971"
"Yes","2004","(2c_gen) general maturity certificate","West Germany","211","0.336904282150344","0.300735194958112","0.373073369342576"
"Yes","2004","(2c_gen) general maturity certificate","East Germany","70","0.392940185819576","0.324213375004344","0.461666996634807"
"Yes","2004","(2c_voc) vocational maturity certificate","West Germany","365","0.26671722168204","0.24324781136387","0.290186632000211"
"Yes","2004","(2c_voc) vocational maturity certificate","East Germany","77","0.365108127310443","0.298877219763614","0.431339034857271"
"Yes","2004","(3a) lower tertiary education","West Germany","262","0.272002479826315","0.244787109331357","0.299217850321273"
"Yes","2004","(3a) lower tertiary education","East Germany","139","0.210084812574113","0.179466504012289","0.240703121135937"
"Yes","2004","(3b) higher tertiary education","West Germany","381","0.216611573281464","0.198539947429632","0.234683199133295"
"Yes","2004","(3b) higher tertiary education","East Germany","98","0.179932787882957","0.149170788545763","0.21069478722015"
