"ple0081_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Employed","Female","4665","0.664756136477343","0.653579289084641","0.675932983870046","2"
"No","2002","Not Employed","Male","2362","0.748920212801542","0.733855757828212","0.763984667774871","2"
"No","2002","Not Employed","Female","4198","0.837188381729339","0.827076662643522","0.847300100815155","2"
"No","2002","Employed","Male","4864","0.590097855853113","0.579313931947436","0.600881779758791","2"
"Yes","2002","Not Employed","Male","821","0.251079787198459","0.236015332225129","0.266144242171788","1"
"Yes","2002","Not Employed","Female","923","0.162811618270661","0.152699899184845","0.172923337356478","1"
"Yes","2002","Employed","Male","3126","0.409902144146887","0.399118220241209","0.420686068052565","1"
"Yes","2002","Employed","Female","2188","0.335243863522657","0.324067016129954","0.346420710915359","1"
"No","2003","Employed","Female","","","","","2"
"No","2003","Not Employed","Male","","","","","2"
"No","2003","Not Employed","Female","","","","","2"
"No","2003","Employed","Male","","","","","2"
"Yes","2003","Not Employed","Male","","","","","1"
"Yes","2003","Not Employed","Female","","","","","1"
"Yes","2003","Employed","Male","","","","","1"
"Yes","2003","Employed","Female","","","","","1"
"No","2004","Not Employed","Female","4014","0.827940701086039","0.817412474618151","0.838468927553928","2"
"No","2004","Employed","Male","4449","0.600857652587838","0.589503992134324","0.612211313041352","2"
"No","2004","Employed","Female","4379","0.674362806066308","0.662825995011149","0.685899617121467","2"
"No","2004","Not Employed","Male","2435","0.74605521081845","0.731113702949177","0.760996718687724","2"
"Yes","2004","Not Employed","Female","923","0.172059298913961","0.161531072446072","0.182587525381849","1"
"Yes","2004","Employed","Male","2698","0.399142347412162","0.387788686958648","0.410496007865676","1"
"Yes","2004","Employed","Female","1959","0.325637193933692","0.314100382878533","0.337174004988851","1"
"Yes","2004","Not Employed","Male","825","0.25394478918155","0.239003281312276","0.268886297050823","1"
"No","2005","Not Employed","Male","","","","","2"
"No","2005","Not Employed","Female","","","","","2"
"No","2005","Employed","Male","","","","","2"
"No","2005","Employed","Female","","","","","2"
"Yes","2005","Not Employed","Female","","","","","1"
"Yes","2005","Employed","Male","","","","","1"
"Yes","2005","Employed","Female","","","","","1"
"Yes","2005","Not Employed","Male","","","","","1"
"No","2006","Not Employed","Male","2610","0.744426650405905","0.729915911665989","0.758937389145821","2"
"No","2006","Not Employed","Female","4171","0.810009291272746","0.799256496020723","0.820762086524769","2"
"No","2006","Employed","Male","4505","0.615404518567869","0.604033716781336","0.626775320354402","2"
"No","2006","Employed","Female","4465","0.668240355688847","0.656738955020764","0.67974175635693","2"
"Yes","2006","Not Employed","Female","942","0.189990708727254","0.179237913475231","0.200743503979277","1"
"Yes","2006","Not Employed","Male","861","0.255573349594095","0.241062610854179","0.270084088334011","1"
"Yes","2006","Employed","Male","2527","0.384595481432131","0.373224679645598","0.395966283218664","1"
"Yes","2006","Employed","Female","1973","0.331759644311153","0.32025824364307","0.343261044979236","1"
"No","2007","Not Employed","Female","","","","","2"
"No","2007","Employed","Male","","","","","2"
"No","2007","Employed","Female","","","","","2"
"No","2007","Not Employed","Male","","","","","2"
"Yes","2007","Not Employed","Female","","","","","1"
"Yes","2007","Employed","Female","","","","","1"
"Yes","2007","Not Employed","Male","","","","","1"
"Yes","2007","Employed","Male","","","","","1"
"No","2008","Not Employed","Female","3694","0.827621947890438","0.816486852536522","0.838757043244355","2"
"No","2008","Employed","Male","3998","0.627541237607372","0.615481856746621","0.639600618468124","2"
"No","2008","Employed","Female","4082","0.694446434008751","0.682528717979818","0.706364150037685","2"
"No","2008","Not Employed","Male","2415","0.77018039838128","0.755302991188806","0.785057805573754","2"
"Yes","2008","Not Employed","Female","726","0.172378052109562","0.161242956755645","0.183513147463478","1"
"Yes","2008","Employed","Female","1657","0.305553565991249","0.293635849962315","0.317471282020182","1"
"Yes","2008","Not Employed","Male","657","0.22981960161872","0.214942194426246","0.244697008811194","1"
"Yes","2008","Employed","Male","2176","0.372458762392628","0.360399381531876","0.38451814325338","1"
"No","2009","Not Employed","Female","","","","","2"
"No","2009","Not Employed","Male","","","","","2"
"No","2009","Employed","Male","","","","","2"
"No","2009","Employed","Female","","","","","2"
"Yes","2009","Not Employed","Female","","","","","1"
"Yes","2009","Employed","Female","","","","","1"
"Yes","2009","Not Employed","Male","","","","","1"
"Yes","2009","Employed","Male","","","","","1"
"No","2010","Not Employed","Female","3090","0.849661932373771","0.838105172826348","0.861218691921194","2"
"No","2010","Employed","Female","3680","0.705871053090256","0.693353461723011","0.7183886444575","2"
"No","2010","Not Employed","Male","2133","0.771515580775332","0.755652341036494","0.78737882051417","2"
"No","2010","Employed","Male","3468","0.647011882476577","0.634109231343224","0.65991453360993","2"
"Yes","2010","Not Employed","Female","584","0.150338067626229","0.138781308078806","0.161894827173652","1"
"Yes","2010","Employed","Female","1410","0.294128946909744","0.2816113555425","0.306646538276989","1"
"Yes","2010","Not Employed","Male","558","0.228484419224668","0.21262117948583","0.244347658963506","1"
"Yes","2010","Employed","Male","1802","0.352988117523423","0.34008546639007","0.365890768656776","1"
"No","2011","Not Employed","Female","","","","","2"
"No","2011","Employed","Female","","","","","2"
"No","2011","Not Employed","Male","","","","","2"
"No","2011","Employed","Male","","","","","2"
"Yes","2011","Not Employed","Male","","","","","1"
"Yes","2011","Not Employed","Female","","","","","1"
"Yes","2011","Employed","Female","","","","","1"
"Yes","2011","Employed","Male","","","","","1"
"No","2012","Not Employed","Female","3829","0.839622201257137","0.828988936614891","0.850255465899383","2"
"No","2012","Employed","Female","4544","0.720256494075219","0.709160915356365","0.731352072794073","2"
"No","2012","Not Employed","Male","2741","0.773766862225211","0.759856006086634","0.787677718363787","2"
"No","2012","Employed","Male","4128","0.656745584567927","0.644911899759604","0.66857926937625","2"
"Yes","2012","Employed","Female","1743","0.279743505924781","0.268647927205928","0.290839084643635","1"
"Yes","2012","Not Employed","Male","734","0.226233137774789","0.212322281636213","0.240143993913366","1"
"Yes","2012","Not Employed","Female","746","0.160377798742863","0.149744534100617","0.171011063385109","1"
"Yes","2012","Employed","Male","2056","0.343254415432073","0.33142073062375","0.355088100240396","1"
"No","2013","Not Employed","Female","","","","","2"
"No","2013","Employed","Female","","","","","2"
"No","2013","Not Employed","Male","","","","","2"
"No","2013","Employed","Male","","","","","2"
"Yes","2013","Employed","Female","","","","","1"
"Yes","2013","Not Employed","Male","","","","","1"
"Yes","2013","Not Employed","Female","","","","","1"
"Yes","2013","Employed","Male","","","","","1"
"No","2014","Not Employed","Male","2897","0.770066250569314","0.756711888330677","0.78342061280795","2"
"No","2014","Not Employed","Female","4397","0.821863234554795","0.811813026894473","0.831913442215117","2"
"No","2014","Employed","Female","6719","0.732220365640145","0.723132034191026","0.741308697089265","2"
"No","2014","Employed","Male","5715","0.655753107235579","0.645747482871686","0.665758731599472","2"
"Yes","2014","Not Employed","Male","917","0.229933749430686","0.21657938719205","0.243288111669323","1"
"Yes","2014","Not Employed","Female","1171","0.178136765445205","0.168086557784883","0.188186973105527","1"
"Yes","2014","Employed","Male","2947","0.344246892764421","0.334241268400528","0.354252517128314","1"
"Yes","2014","Employed","Female","2400","0.267779634359855","0.258691302910735","0.276867965808974","1"
"No","2015","Employed","Female","","","","","2"
"No","2015","Not Employed","Male","","","","","2"
"No","2015","Not Employed","Female","","","","","2"
"No","2015","Employed","Male","","","","","2"
"Yes","2015","Not Employed","Male","","","","","1"
"Yes","2015","Not Employed","Female","","","","","1"
"Yes","2015","Employed","Male","","","","","1"
"Yes","2015","Employed","Female","","","","","1"
"No","2016","Employed","Female","6234","0.743475615129784","0.734121445584022","0.752829784675546","2"
"No","2016","Not Employed","Male","2582","0.769591301836981","0.755284718054306","0.783897885619656","2"
"No","2016","Not Employed","Female","3862","0.83095229572746","0.820339551680891","0.841565039774028","2"
"No","2016","Employed","Male","5267","0.681718486942516","0.671363203284162","0.692073770600871","2"
"Yes","2016","Employed","Female","2139","0.256524384870216","0.247170215324454","0.265878554415978","1"
"Yes","2016","Not Employed","Male","746","0.230408698163019","0.216102114380344","0.244715281945694","1"
"Yes","2016","Not Employed","Female","929","0.16904770427254","0.158434960225972","0.179660448319109","1"
"Yes","2016","Employed","Male","2506","0.318281513057484","0.307926229399129","0.328636796715838","1"
"No","2017","Not Employed","Male","","","","","2"
"No","2017","Not Employed","Female","","","","","2"
"No","2017","Employed","Male","","","","","2"
"No","2017","Employed","Female","","","","","2"
"Yes","2017","Not Employed","Female","","","","","1"
"Yes","2017","Employed","Male","","","","","1"
"Yes","2017","Employed","Female","","","","","1"
"Yes","2017","Not Employed","Male","","","","","1"
"No","2018","Not Employed","Male","2712","0.788457805211725","0.774800266138792","0.802115344284657","2"
"No","2018","Not Employed","Female","3847","0.833928502034465","0.823379759819213","0.844477244249718","2"
"No","2018","Employed","Male","5815","0.69211685597683","0.682231632251449","0.702002079702211","2"
"No","2018","Employed","Female","6798","0.745828645789894","0.736876141123396","0.754781150456393","2"
"Yes","2018","Not Employed","Female","934","0.166071497965534","0.155522755750282","0.176620240180787","1"
"Yes","2018","Employed","Male","2562","0.30788314402317","0.297997920297789","0.317768367748551","1"
"Yes","2018","Employed","Female","2288","0.254171354210106","0.245218849543607","0.263123858876604","1"
"Yes","2018","Not Employed","Male","723","0.211542194788275","0.197884655715343","0.225199733861208","1"
