"ple0081_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Full Time","no migration background","5275","0.620736094131491","0.610237453874508","0.631234734388474","2"
"No","2002","Full Time","indirect migration background","166","0.494969728186207","0.441188950998721","0.548750505373694","2"
"No","2002","Part Time","direct migration background","423","0.632278141984788","0.595238105665118","0.669318178304458","2"
"No","2002","Not Working","no migration background","5535","0.80758747928157","0.798322548032462","0.816852410530677","2"
"No","2002","Not Working","indirect migration background","169","0.725544518346588","0.668970486860602","0.782118549832574","2"
"No","2002","Full Time","direct migration background","633","0.610239936361235","0.580839107157765","0.639640765564705","2"
"No","2002","Part Time","no migration background","2920","0.646416493535061","0.632266198146299","0.660566788923822","2"
"No","2002","Part Time","indirect migration background","112","0.439419849951401","0.372767267197961","0.506072432704841","2"
"No","2002","Not Working","direct migration background","856","0.791179269056017","0.767278310605718","0.815080227506316","2"
"Yes","2002","Full Time","no migration background","2930","0.379263905868509","0.368765265611526","0.389762546125492","1"
"Yes","2002","Full Time","direct migration background","424","0.389760063638765","0.360359234435295","0.419160892842235","1"
"Yes","2002","Full Time","indirect migration background","166","0.505030271813793","0.451249494626306","0.55881104900128","1"
"Yes","2002","Part Time","no migration background","1465","0.353583506464939","0.339433211076178","0.367733801853701","1"
"Yes","2002","Part Time","direct migration background","228","0.367721858015212","0.330681821695542","0.404761894334882","1"
"Yes","2002","Part Time","indirect migration background","101","0.560580150048599","0.493927567295159","0.627232732802039","1"
"Yes","2002","Not Working","no migration background","1419","0.19241252071843","0.183147589469323","0.201677451967538","1"
"Yes","2002","Not Working","direct migration background","255","0.208820730943983","0.184919772493684","0.232721689394282","1"
"Yes","2002","Not Working","indirect migration background","70","0.274455481653412","0.217881450167426","0.331029513139398","1"
"No","2003","Full Time","indirect migration background","","","","","2"
"No","2003","Part Time","direct migration background","","","","","2"
"No","2003","Not Working","no migration background","","","","","2"
"No","2003","Full Time","no migration background","","","","","2"
"No","2003","Full Time","direct migration background","","","","","2"
"No","2003","Part Time","no migration background","","","","","2"
"No","2003","Part Time","indirect migration background","","","","","2"
"No","2003","Not Working","direct migration background","","","","","2"
"No","2003","Not Working","indirect migration background","","","","","2"
"Yes","2003","Full Time","no migration background","","","","","1"
"Yes","2003","Full Time","direct migration background","","","","","1"
"Yes","2003","Full Time","indirect migration background","","","","","1"
"Yes","2003","Part Time","no migration background","","","","","1"
"Yes","2003","Part Time","direct migration background","","","","","1"
"Yes","2003","Part Time","indirect migration background","","","","","1"
"Yes","2003","Not Working","no migration background","","","","","1"
"Yes","2003","Not Working","direct migration background","","","","","1"
"Yes","2003","Not Working","indirect migration background","","","","","1"
"No","2004","Full Time","indirect migration background","166","0.524433600491163","0.46910792079312","0.579759280189206","2"
"No","2004","Full Time","no migration background","4742","0.625232745422976","0.614110219615635","0.636355271230317","2"
"No","2004","Full Time","direct migration background","555","0.621214625430454","0.589018227569078","0.65341102329183","2"
"No","2004","Part Time","no migration background","2835","0.661572917993864","0.647252513276211","0.675893322711517","2"
"No","2004","Part Time","direct migration background","401","0.667827212490303","0.630014394655814","0.705640030324791","2"
"No","2004","Not Working","no migration background","5438","0.797579940287181","0.788072397972333","0.807087482602029","2"
"No","2004","Part Time","indirect migration background","129","0.503603295582599","0.439541532226831","0.567665058938367","2"
"No","2004","Not Working","direct migration background","829","0.795401639635858","0.771275365079005","0.81952791419271","2"
"No","2004","Not Working","indirect migration background","182","0.727718868854725","0.673818959313339","0.781618778396112","2"
