"ple0081_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2002","16-34 y.","Full Time","1151","0.423921321782795","0.405427838533958","0.442414805031632"
"Yes","2002","16-34 y.","Part Time","717","0.424673814620402","0.401736874643829","0.447610754596976"
"Yes","2002","16-34 y.","Not Working","504","0.313912028543465","0.29157374962605","0.336250307460881"
"Yes","2002","35-65 y.","Full Time","2361","0.368293434457776","0.356835851742347","0.379751017173205"
"Yes","2002","35-65 y.","Part Time","1056","0.345296746247495","0.329084374095502","0.361509118399488"
"Yes","2002","35-65 y.","Not Working","878","0.283988982391202","0.268394501555181","0.299583463227223"
"Yes","2002","66 and older","Full Time","8","","",""
"Yes","2002","66 and older","Part Time","21","","",""
"Yes","2002","66 and older","Not Working","362","0.0987967725440262","0.0888167690456647","0.108776776042388"
"No","2002","16-34 y.","Full Time","1592","0.576078678217205","0.557585194968368","0.594572161466042"
"No","2002","16-34 y.","Part Time","1067","0.575326185379598","0.552389245403024","0.598263125356171"
"No","2002","16-34 y.","Not Working","1154","0.686087971456535","0.663749692539119","0.70842625037395"
"No","2002","35-65 y.","Full Time","4447","0.631706565542224","0.620248982826795","0.643164148257653"
"No","2002","35-65 y.","Part Time","2248","0.654703253752505","0.638490881600512","0.670915625904498"
"No","2002","35-65 y.","Not Working","2334","0.716011017608798","0.700416536772777","0.731605498444819"
"No","2002","66 and older","Full Time","35","0.890905131160281","0.797723189527062","0.984087072793499"
"No","2002","66 and older","Part Time","140","0.867924446490276","0.815626175234923","0.920222717745628"
"No","2002","66 and older","Not Working","3072","0.901203227455974","0.891223223957612","0.911183230954335"
"Yes","2003","16-34 y.","Full Time","","","",""
"Yes","2003","16-34 y.","Part Time","","","",""
"Yes","2003","16-34 y.","Not Working","","","",""
"Yes","2003","35-65 y.","Full Time","","","",""
"Yes","2003","35-65 y.","Part Time","","","",""
"Yes","2003","35-65 y.","Not Working","","","",""
"Yes","2003","66 and older","Full Time","","","",""
"Yes","2003","66 and older","Part Time","","","",""
"Yes","2003","66 and older","Not Working","","","",""
"No","2003","16-34 y.","Full Time","","","",""
"No","2003","16-34 y.","Part Time","","","",""
"No","2003","16-34 y.","Not Working","","","",""
"No","2003","35-65 y.","Full Time","","","",""
"No","2003","35-65 y.","Part Time","","","",""
"No","2003","35-65 y.","Not Working","","","",""
"No","2003","66 and older","Full Time","","","",""
"No","2003","66 and older","Part Time","","","",""
"No","2003","66 and older","Not Working","","","",""
"Yes","2004","16-34 y.","Full Time","939","0.417484563073227","0.397361308377636","0.437607817768819"
"Yes","2004","16-34 y.","Part Time","642","0.401089639549392","0.377339942381858","0.424839336716926"
"Yes","2004","16-34 y.","Not Working","520","0.322676468360456","0.300400856535586","0.344952080185326"
"Yes","2004","35-65 y.","Full Time","2049","0.364424069189709","0.352355653073712","0.376492485305707"
"Yes","2004","35-65 y.","Part Time","990","0.330815320913304","0.314528657019657","0.34710198480695"
"Yes","2004","35-65 y.","Not Working","843","0.301964243389256","0.285334744993503","0.31859374178501"
"Yes","2004","66 and older","Full Time","10","","",""
"Yes","2004","66 and older","Part Time","27","","",""
"Yes","2004","66 and older","Not Working","385","0.103872066718879","0.093873839211258","0.1138702942265"
"No","2004","16-34 y.","Full Time","1368","0.582515436926773","0.562392182231181","0.602638691622364"
"No","2004","16-34 y.","Part Time","994","0.598910360450608","0.575160663283074","0.622660057618142"
"No","2004","16-34 y.","Not Working","1172","0.677323531639544","0.655047919814674","0.699599143464413"
"No","2004","35-65 y.","Full Time","4060","0.635575930810291","0.623507514694293","0.647644346926288"
"No","2004","35-65 y.","Part Time","2216","0.669184679086696","0.65289801519305","0.685471342980343"
"No","2004","35-65 y.","Not Working","2085","0.698035756610744","0.68140625821499","0.714665255006497"
"No","2004","66 and older","Full Time","35","0.822132096980029","0.710404250344014","0.933859943616044"
"No","2004","66 and older","Part Time","155","0.85148501955655","0.799821256717672","0.903148782395427"
"No","2004","66 and older","Not Working","3192","0.896127933281121","0.8861297057735","0.906126160788742"
"Yes","2005","16-34 y.","Full Time","","","",""
"Yes","2005","16-34 y.","Part Time","","","",""
"Yes","2005","16-34 y.","Not Working","","","",""
"Yes","2005","35-65 y.","Full Time","","","",""
"Yes","2005","35-65 y.","Part Time","","","",""
"Yes","2005","35-65 y.","Not Working","","","",""
"Yes","2005","66 and older","Full Time","","","",""
"Yes","2005","66 and older","Part Time","","","",""
"Yes","2005","66 and older","Not Working","","","",""
"No","2005","16-34 y.","Full Time","","","",""
"No","2005","16-34 y.","Part Time","","","",""
"No","2005","16-34 y.","Not Working","","","",""
"No","2005","35-65 y.","Full Time","","","",""
"No","2005","35-65 y.","Part Time","","","",""
