"ple0081_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no migration background","5814","0.298473019639341","0.292057732598095","0.304888306680588"
"Yes","2002","direct migration background","907","0.311397439615162","0.294303491226886","0.328491388003438"
"Yes","2002","indirect migration background","337","0.448071279173367","0.413261192048361","0.482881366298372"
"No","2002","no migration background","13730","0.701526980360659","0.695111693319412","0.707942267401905"
"No","2002","direct migration background","1912","0.688602560384838","0.671508611996562","0.705696508773114"
"No","2002","indirect migration background","447","0.551928720826633","0.517118633701628","0.586738807951638"
"Yes","2003","no migration background","","","",""
"Yes","2003","direct migration background","","","",""
"Yes","2003","indirect migration background","","","",""
"No","2003","no migration background","","","",""
"No","2003","direct migration background","","","",""
"No","2003","indirect migration background","","","",""
"Yes","2004","no migration background","5316","0.295222525478713","0.288619305502107","0.30182574545532"
"Yes","2004","direct migration background","757","0.292709810065022","0.275021848979197","0.310397771150847"
"Yes","2004","indirect migration background","332","0.410350581156664","0.376454593406145","0.444246568907184"
"No","2004","no migration background","13015","0.704777474521287","0.69817425454468","0.711380694497893"
"No","2004","direct migration background","1785","0.707290189934978","0.689602228849153","0.724978151020803"
"No","2004","indirect migration background","477","0.589649418843336","0.555753431092816","0.623545406593855"
"Yes","2005","no migration background","","","",""
"Yes","2005","direct migration background","","","",""
"Yes","2005","indirect migration background","","","",""
"No","2005","no migration background","","","",""
"No","2005","direct migration background","","","",""
"No","2005","indirect migration background","","","",""
"Yes","2006","no migration background","5252","0.292878656251021","0.286380547864394","0.299376764637648"
"Yes","2006","direct migration background","712","0.319849674473211","0.301154319543413","0.338545029403009"
"Yes","2006","indirect migration background","339","0.415384667756205","0.381696878317289","0.449072457195121"
"No","2006","no migration background","13589","0.707121343748979","0.700623235362352","0.713619452135606"
"No","2006","direct migration background","1679","0.680150325526789","0.661454970596991","0.698845680456587"
"No","2006","indirect migration background","483","0.584615332243795","0.550927542804879","0.618303121682711"
"Yes","2007","no migration background","","","",""
"Yes","2007","direct migration background","","","",""
"Yes","2007","indirect migration background","","","",""
"No","2007","no migration background","","","",""
"No","2007","direct migration background","","","",""
"No","2007","indirect migration background","","","",""
"Yes","2008","no migration background","4396","0.275009591759374","0.268240834014638","0.281778349504109"
"Yes","2008","direct migration background","522","0.30532584099999","0.284704225183173","0.325947456816807"
"Yes","2008","indirect migration background","298","0.383953122980109","0.349645911220402","0.418260334739816"
"No","2008","no migration background","12321","0.724990408240626","0.718221650495891","0.731759165985362"
"No","2008","direct migration background","1394","0.69467415900001","0.674052543183193","0.715295774816827"
"No","2008","indirect migration background","474","0.616046877019891","0.581739665260184","0.650354088779598"
"Yes","2009","no migration background","","","",""
"Yes","2009","direct migration background","","","",""
"Yes","2009","indirect migration background","","","",""
"No","2009","no migration background","","","",""
"No","2009","direct migration background","","","",""
"No","2009","indirect migration background","","","",""
"Yes","2010","no migration background","3749","0.264160679613726","0.257006727525358","0.271314631702093"
"Yes","2010","direct migration background","370","0.275365875737566","0.252577185601829","0.298154565873303"
"Yes","2010","indirect migration background","235","0.377880399233506","0.340861840269316","0.414898958197696"
"No","2010","no migration background","10841","0.735839320386275","0.728685368297907","0.742993272474642"
"No","2010","direct migration background","1106","0.724634124262434","0.701845434126697","0.747422814398171"
"No","2010","indirect migration background","424","0.622119600766494","0.585101041802304","0.659138159730684"
"Yes","2011","no migration background","","","",""
"Yes","2011","direct migration background","","","",""
"Yes","2011","indirect migration background","","","",""
"No","2011","no migration background","","","",""
"No","2011","direct migration background","","","",""
"No","2011","indirect migration background","","","",""
"Yes","2012","no migration background","4543","0.260139671755479","0.253691690873355","0.266587652637602"
"Yes","2012","direct migration background","479","0.275218355313858","0.255349281919248","0.295087428708468"
"Yes","2012","indirect migration background","257","0.329556525821575","0.29692292685416","0.36219012478899"
"No","2012","no migration background","13240","0.739860328244521","0.733412347362397","0.746308309126645"
"No","2012","direct migration background","1462","0.724781644686142","0.704912571291532","0.744650718080752"
"No","2012","indirect migration background","540","0.670443474178425","0.63780987521101","0.70307707314584"
"Yes","2013","no migration background","","","",""
"Yes","2013","direct migration background","","","",""
"Yes","2013","indirect migration background","","","",""
"No","2013","no migration background","","","",""
"No","2013","direct migration background","","","",""
"No","2013","indirect migration background","","","",""
"Yes","2014","no migration background","5279","0.258894258579739","0.252859569984031","0.264928947175448"
"Yes","2014","direct migration background","1519","0.282493085548629","0.270172007804046","0.294814163293213"
"Yes","2014","indirect migration background","637","0.36253409605894","0.34029491585978","0.384773276258101"
"No","2014","no migration background","14960","0.741105741420261","0.735071052824552","0.747140430015969"
"No","2014","direct migration background","3610","0.717506914451371","0.705185836706787","0.729827992195954"
"No","2014","indirect migration background","1158","0.63746590394106","0.615226723741899","0.65970508414022"
"Yes","2015","no migration background","","","",""
"Yes","2015","direct migration background","","","",""
"Yes","2015","indirect migration background","","","",""
"No","2015","no migration background","","","",""
"No","2015","direct migration background","","","",""
"No","2015","indirect migration background","","","",""
"Yes","2016","no migration background","4415","0.247811514597084","0.241489556024363","0.254133473169805"
"Yes","2016","direct migration background","1403","0.273514578884721","0.260904112055956","0.286125045713486"
"Yes","2016","indirect migration background","502","0.313007783370853","0.289915022468304","0.336100544273402"
"No","2016","no migration background","13501","0.752188485402916","0.745866526830195","0.758510443975637"
"No","2016","direct migration background","3397","0.726485421115279","0.713874954286513","0.739095887944044"
"No","2016","indirect migration background","1047","0.686992216629147","0.663899455726598","0.710084977531696"
"Yes","2017","no migration background","","","",""
"Yes","2017","direct migration background","","","",""
"Yes","2017","indirect migration background","","","",""
"No","2017","no migration background","","","",""
"No","2017","direct migration background","","","",""
"No","2017","indirect migration background","","","",""
"Yes","2018","no migration background","4741","0.235907818623314","0.229963413211163","0.241852224035465"
"Yes","2018","direct migration background","1257","0.288991940063054","0.275578369414033","0.302405510712074"
"Yes","2018","indirect migration background","509","0.315739575465518","0.293618288549145","0.337860862381892"
"No","2018","no migration background","14855","0.764092181376686","0.758147775964535","0.770036586788837"
"No","2018","direct migration background","3130","0.711008059936946","0.697594489287926","0.724421630585967"
"No","2018","indirect migration background","1187","0.684260424534482","0.662139137618108","0.706381711450855"
