"pli0080","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","393","0.0922104471956396","0.0828179304286328","0.101602963962646"
"Daily","1990","35-65 y.","190","0.0251086069566113","0.0206746923177191","0.0295425215955036"
"Daily","1990","66 and older","44","0.0448316080075167","0.0323624425839932","0.0573007734310402"
"Min 1x per week","1990","16-34 y.","2005","0.541612157795334","0.525436569964623","0.557787745626044"
"Min 1x per week","1990","35-65 y.","1762","0.322144846307133","0.308901676562204","0.335388016052063"
"Min 1x per week","1990","66 and older","334","0.33455830086712","0.306127036865656","0.362989564868585"
"Min 1x per month","1990","16-34 y.","760","0.228935470731297","0.215295883412391","0.242575058050203"
"Min 1x per month","1990","35-65 y.","1610","0.362908987119538","0.349282073542847","0.37653590069623"
"Min 1x per month","1990","66 and older","303","0.262225322859723","0.235721748765018","0.288728896954429"
"Rarely","1990","16-34 y.","438","0.127009645680644","0.116199727681546","0.137819563679741"
"Rarely","1990","35-65 y.","1099","0.263212688159407","0.250732464167226","0.275692912151587"
"Rarely","1990","66 and older","292","0.270939154300249","0.244158386122856","0.297719922477641"
"Never","1990","16-34 y.","49","0.0102322785970859","0.00696525594252499","0.0134993012516467"
"Never","1990","35-65 y.","122","0.0266248714573107","0.0220625930610863","0.0311871498535352"
"Never","1990","66 and older","85","0.0874456139653905","0.0704238857756093","0.104467342155172"
"Daily","1991","16-34 y.","","","",""
"Daily","1991","35-65 y.","","","",""
"Daily","1991","66 and older","","","",""
"Min 1x per week","1991","16-34 y.","","","",""
"Min 1x per week","1991","35-65 y.","","","",""
"Min 1x per week","1991","66 and older","","","",""
"Min 1x per month","1991","16-34 y.","","","",""
"Min 1x per month","1991","35-65 y.","","","",""
"Min 1x per month","1991","66 and older","","","",""
"Rarely","1991","16-34 y.","","","",""
"Rarely","1991","35-65 y.","","","",""
"Rarely","1991","66 and older","","","",""
"Never","1991","16-34 y.","","","",""
"Never","1991","35-65 y.","","","",""
"Never","1991","66 and older","","","",""
"Daily","1992","16-34 y.","","","",""
"Daily","1992","35-65 y.","","","",""
"Daily","1992","66 and older","","","",""
"Min 1x per week","1992","16-34 y.","","","",""
"Min 1x per week","1992","35-65 y.","","","",""
"Min 1x per week","1992","66 and older","","","",""
"Min 1x per month","1992","16-34 y.","","","",""
"Min 1x per month","1992","35-65 y.","","","",""
"Min 1x per month","1992","66 and older","","","",""
"Rarely","1992","16-34 y.","","","",""
"Rarely","1992","35-65 y.","","","",""
"Rarely","1992","66 and older","","","",""
"Never","1992","16-34 y.","","","",""
"Never","1992","35-65 y.","","","",""
"Never","1992","66 and older","","","",""
"Daily","1993","16-34 y.","","","",""
"Daily","1993","35-65 y.","","","",""
"Daily","1993","66 and older","","","",""
"Min 1x per week","1993","16-34 y.","","","",""
"Min 1x per week","1993","35-65 y.","","","",""
"Min 1x per week","1993","66 and older","","","",""
"Min 1x per month","1993","16-34 y.","","","",""
"Min 1x per month","1993","35-65 y.","","","",""
"Min 1x per month","1993","66 and older","","","",""
"Rarely","1993","16-34 y.","","","",""
"Rarely","1993","35-65 y.","","","",""
"Rarely","1993","66 and older","","","",""
"Never","1993","16-34 y.","","","",""
"Never","1993","35-65 y.","","","",""
"Never","1993","66 and older","","","",""
"Daily","1994","16-34 y.","","","",""
"Daily","1994","35-65 y.","","","",""
"Daily","1994","66 and older","","","",""
"Min 1x per week","1994","16-34 y.","","","",""
"Min 1x per week","1994","35-65 y.","","","",""
"Min 1x per week","1994","66 and older","","","",""
"Min 1x per month","1994","16-34 y.","","","",""
"Min 1x per month","1994","35-65 y.","","","",""
"Min 1x per month","1994","66 and older","","","",""
"Rarely","1994","16-34 y.","","","",""
"Rarely","1994","35-65 y.","","","",""
"Rarely","1994","66 and older","","","",""
"Never","1994","16-34 y.","","","",""
"Never","1994","35-65 y.","","","",""
"Never","1994","66 and older","","","",""
"Daily","1995","16-34 y.","565","0.112607506885056","0.1037906438334","0.121424369936712"
"Daily","1995","35-65 y.","225","0.0309359485515751","0.0268278907846999","0.0350440063184503"
"Daily","1995","66 and older","87","0.0553372594281166","0.0439254865186438","0.0667490323375894"
