"pli0080","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1994","Employed","Rural Area","","","",""
"Rarely","1994","Not Employed","Urban Area","","","",""
"Rarely","1994","Not Employed","Rural Area","","","",""
"Rarely","1994","Employed","Urban Area","","","",""
"Rarely","1994","Employed","Rural Area","","","",""
"Never","1994","Not Employed","Urban Area","","","",""
"Never","1994","Not Employed","Rural Area","","","",""
"Never","1994","Employed","Urban Area","","","",""
"Never","1994","Employed","Rural Area","","","",""
"Daily","1995","Not Employed","Urban Area","298","0.0739028473470202","0.064890548147403","0.0829151465466374"
"Daily","1995","Not Employed","Rural Area","138","0.0822865290660444","0.0686761526220492","0.0958969055100397"
"Daily","1995","Employed","Urban Area","325","0.0519471244613014","0.0461425518713182","0.0577516970512847"
"Daily","1995","Employed","Rural Area","116","0.0391439504791319","0.0320683806938989","0.046219520264365"
"Min 1x per week","1995","Not Employed","Urban Area","1412","0.39528740601871","0.378444860220277","0.412129951817143"
"Min 1x per week","1995","Not Employed","Rural Area","553","0.351535930623788","0.327888713916085","0.375183147331491"
"Min 1x per week","1995","Employed","Urban Area","2491","0.419261002164903","0.406354577814789","0.432167426515016"
"Min 1x per week","1995","Employed","Rural Area","1036","0.372050794579332","0.354416288364792","0.389685300793873"
"Min 1x per month","1995","Not Employed","Urban Area","838","0.278102314374692","0.262666950657483","0.2935376780919"
"Min 1x per month","1995","Not Employed","Rural Area","413","0.256515046666881","0.234885634003852","0.278144459329911"
"Min 1x per month","1995","Employed","Urban Area","1708","0.318430667252075","0.306245382717437","0.330615951786712"
"Min 1x per month","1995","Employed","Rural Area","944","0.328621498279521","0.311484623291221","0.345758373267821"
"Rarely","1995","Not Employed","Urban Area","559","0.199634652451182","0.185864496970414","0.213404807931951"
"Rarely","1995","Not Employed","Rural Area","389","0.252759913094961","0.231235248542746","0.274284577647176"
"Rarely","1995","Employed","Urban Area","972","0.187162175521405","0.176960201684113","0.197364149358698"
"Rarely","1995","Employed","Rural Area","730","0.240364906412644","0.224775198876831","0.255954613948457"
"Never","1995","Not Employed","Urban Area","130","0.0530727798083963","0.0453500478872472","0.0607955117295453"
"Never","1995","Not Employed","Rural Area","73","0.0569025805483254","0.0454290659770625","0.0683760951195882"
"Never","1995","Employed","Urban Area","119","0.0231990306003161","0.0192616157896643","0.0271364454109679"
"Never","1995","Employed","Rural Area","60","0.0198188502493708","0.0147338341903787","0.0249038663083629"
"Daily","1996","Not Employed","Urban Area","","","",""
"Daily","1996","Not Employed","Rural Area","","","",""
"Daily","1996","Employed","Urban Area","","","",""
"Daily","1996","Employed","Rural Area","","","",""
"Min 1x per week","1996","Not Employed","Urban Area","","","",""
"Min 1x per week","1996","Not Employed","Rural Area","","","",""
"Min 1x per week","1996","Employed","Urban Area","","","",""
"Min 1x per week","1996","Employed","Rural Area","","","",""
"Min 1x per month","1996","Not Employed","Urban Area","","","",""
"Min 1x per month","1996","Not Employed","Rural Area","","","",""
"Min 1x per month","1996","Employed","Urban Area","","","",""
"Min 1x per month","1996","Employed","Rural Area","","","",""
"Rarely","1996","Not Employed","Urban Area","","","",""
"Rarely","1996","Not Employed","Rural Area","","","",""
"Rarely","1996","Employed","Urban Area","","","",""
"Rarely","1996","Employed","Rural Area","","","",""
"Never","1996","Not Employed","Urban Area","","","",""
"Never","1996","Not Employed","Rural Area","","","",""
"Never","1996","Employed","Urban Area","","","",""
"Never","1996","Employed","Rural Area","","","",""
"Daily","1997","Not Employed","Urban Area","","","",""
"Daily","1997","Not Employed","Rural Area","","","",""
"Daily","1997","Employed","Urban Area","","","",""
"Daily","1997","Employed","Rural Area","","","",""
"Min 1x per week","1997","Not Employed","Urban Area","","","",""
"Min 1x per week","1997","Not Employed","Rural Area","","","",""
"Min 1x per week","1997","Employed","Urban Area","","","",""
"Min 1x per week","1997","Employed","Rural Area","","","",""
"Min 1x per month","1997","Not Employed","Urban Area","","","",""
"Min 1x per month","1997","Not Employed","Rural Area","","","",""
"Min 1x per month","1997","Employed","Urban Area","","","",""
"Min 1x per month","1997","Employed","Rural Area","","","",""
"Rarely","1997","Not Employed","Urban Area","","","",""
"Rarely","1997","Not Employed","Rural Area","","","",""
"Rarely","1997","Employed","Urban Area","","","",""
"Rarely","1997","Employed","Rural Area","","","",""
"Never","1997","Not Employed","Urban Area","","","",""
"Never","1997","Not Employed","Rural Area","","","",""
"Never","1997","Employed","Urban Area","","","",""
"Never","1997","Employed","Rural Area","","","",""
"Daily","1998","Not Employed","Urban Area","342","0.0795052313020994","0.0706743515416569","0.0883361110625419"
"Daily","1998","Not Employed","Rural Area","123","0.054697954830465","0.0442252296119654","0.0651706800489646"
"Daily","1998","Employed","Urban Area","386","0.0585511979787352","0.0525052755183654","0.0645971204391049"
"Daily","1998","Employed","Rural Area","140","0.0365422783544797","0.0298854100076686","0.0431991467012908"
"Min 1x per week","1998","Not Employed","Urban Area","1605","0.414546402817411","0.398464839264972","0.430627966369851"
"Min 1x per week","1998","Not Employed","Rural Area","686","0.372780636457551","0.350510377484449","0.395050895430654"
"Min 1x per week","1998","Employed","Urban Area","2576","0.443749762395143","0.430955934674773","0.456543590115513"
"Min 1x per week","1998","Employed","Rural Area","1129","0.374389275898885","0.357219302637662","0.391559249160108"
"Min 1x per month","1998","Not Employed","Urban Area","888","0.250002164400201","0.235867114505311","0.26413721429509"
"Min 1x per month","1998","Not Employed","Rural Area","504","0.269607927559515","0.249170171072612","0.290045684046417"
"Min 1x per month","1998","Employed","Urban Area","1783","0.307224668199325","0.295344555071599","0.31910478132705"
"Min 1x per month","1998","Employed","Rural Area","989","0.32738949302859","0.310741188217826","0.344037797839354"
"Rarely","1998","Not Employed","Urban Area","668","0.219912843952157","0.206392357489085","0.233433330415229"
"Rarely","1998","Not Employed","Rural Area","436","0.262937758176839","0.242662451792834","0.283213064560843"
"Rarely","1998","Employed","Urban Area","967","0.175320724392853","0.165529083095028","0.185112365690679"
"Rarely","1998","Employed","Rural Area","755","0.24605273771251","0.230772137568457","0.261333337856564"
"Never","1998","Not Employed","Urban Area","102","0.0360333575281315","0.0299495029480949","0.0421172121081681"
"Never","1998","Not Employed","Rural Area","62","0.0399757229756306","0.0309531970824403","0.0489982488688209"
"Never","1998","Employed","Urban Area","81","0.0151536470339443","0.0120077887757072","0.0182995052921815"
"Never","1998","Employed","Rural Area","39","0.0156262150055354","0.011226113007732","0.0200263170033388"
"Daily","1999","Not Employed","Urban Area","","","",""
"Daily","1999","Not Employed","Rural Area","","","",""
"Daily","1999","Employed","Urban Area","","","",""
"Daily","1999","Employed","Rural Area","","","",""
"Min 1x per week","1999","Not Employed","Urban Area","","","",""
"Min 1x per week","1999","Not Employed","Rural Area","","","",""
"Min 1x per week","1999","Employed","Urban Area","","","",""
"Min 1x per week","1999","Employed","Rural Area","","","",""
"Min 1x per month","1999","Not Employed","Urban Area","","","",""
"Min 1x per month","1999","Not Employed","Rural Area","","","",""
"Min 1x per month","1999","Employed","Urban Area","","","",""
"Min 1x per month","1999","Employed","Rural Area","","","",""
"Rarely","1999","Not Employed","Urban Area","","","",""
"Rarely","1999","Not Employed","Rural Area","","","",""
"Rarely","1999","Employed","Urban Area","","","",""
"Rarely","1999","Employed","Rural Area","","","",""
"Never","1999","Not Employed","Urban Area","","","",""
"Never","1999","Not Employed","Rural Area","","","",""
"Never","1999","Employed","Urban Area","","","",""
"Never","1999","Employed","Rural Area","","","",""
"Daily","2000","Not Employed","Urban Area","","","",""
"Daily","2000","Not Employed","Rural Area","","","",""
"Daily","2000","Employed","Urban Area","","","",""
"Daily","2000","Employed","Rural Area","","","",""
"Min 1x per week","2000","Not Employed","Urban Area","","","",""
"Min 1x per week","2000","Not Employed","Rural Area","","","",""
"Min 1x per week","2000","Employed","Urban Area","","","",""
"Min 1x per week","2000","Employed","Rural Area","","","",""
"Min 1x per month","2000","Not Employed","Urban Area","","","",""
"Min 1x per month","2000","Not Employed","Rural Area","","","",""
"Min 1x per month","2000","Employed","Urban Area","","","",""
"Min 1x per month","2000","Employed","Rural Area","","","",""
"Rarely","2000","Not Employed","Urban Area","","","",""
"Rarely","2000","Not Employed","Rural Area","","","",""
"Rarely","2000","Employed","Urban Area","","","",""
"Rarely","2000","Employed","Rural Area","","","",""
"Never","2000","Not Employed","Urban Area","","","",""
"Never","2000","Not Employed","Rural Area","","","",""
"Never","2000","Employed","Urban Area","","","",""
"Never","2000","Employed","Rural Area","","","",""
