"pli0080","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Rarely","1990","Not Working","general elemantary","253","0.254535903286061","0.228616731940033","0.28045507463209"
"Rarely","1990","Not Working","middle vocational","305","0.23809741771518","0.215975632988362","0.260219202441999"
"Rarely","1990","Not Working","vocational + Abi","16","","",""
"Rarely","1990","Not Working","higher vocational","35","0.271045633602613","0.196883890937025","0.345207376268201"
"Rarely","1990","Not Working","higher education","29","","",""
"Never","1990","Full Time","in school","","","",""
"Never","1990","Full Time","inadequately","5","","",""
"Never","1990","Full Time","general elemantary","36","0.0328572904724444","0.0212174547688312","0.0444971261760576"
"Never","1990","Full Time","middle vocational","37","0.0157541944225195","0.0107034599737991","0.02080492887124"
"Never","1990","Full Time","vocational + Abi","3","","",""
"Never","1990","Full Time","higher vocational","3","","",""
"Never","1990","Full Time","higher education","6","","",""
"Never","1990","Part Time","in school","1","","",""
"Never","1990","Part Time","inadequately","4","","",""
"Never","1990","Part Time","general elemantary","10","","",""
"Never","1990","Part Time","middle vocational","13","","",""
"Never","1990","Part Time","vocational + Abi","1","","",""
"Never","1990","Part Time","higher vocational","2","","",""
"Never","1990","Part Time","higher education","1","","",""
"Never","1990","Not Working","in school","1","","",""
"Never","1990","Not Working","inadequately","15","","",""
"Never","1990","Not Working","general elemantary","53","0.0652846642667621","0.0505859789056035","0.0799833496279207"
"Never","1990","Not Working","middle vocational","53","0.048789915239234","0.0376007844273674","0.0599790460511007"
"Never","1990","Not Working","vocational + Abi","3","","",""
"Never","1990","Not Working","higher vocational","6","","",""
"Never","1990","Not Working","higher education","1","","",""
"Daily","1991","Full Time","in school","","","",""
"Daily","1991","Full Time","inadequately","","","",""
"Daily","1991","Full Time","general elemantary","","","",""
"Daily","1991","Full Time","middle vocational","","","",""
"Daily","1991","Full Time","vocational + Abi","","","",""
"Daily","1991","Full Time","higher vocational","","","",""
"Daily","1991","Full Time","higher education","","","",""
"Daily","1991","Part Time","in school","","","",""
"Daily","1991","Part Time","inadequately","","","",""
"Daily","1991","Part Time","general elemantary","","","",""
"Daily","1991","Part Time","middle vocational","","","",""
"Daily","1991","Part Time","vocational + Abi","","","",""
"Daily","1991","Part Time","higher vocational","","","",""
"Daily","1991","Part Time","higher education","","","",""
"Daily","1991","Not Working","in school","","","",""
"Daily","1991","Not Working","inadequately","","","",""
"Daily","1991","Not Working","general elemantary","","","",""
"Daily","1991","Not Working","middle vocational","","","",""
"Daily","1991","Not Working","vocational + Abi","","","",""
"Daily","1991","Not Working","higher vocational","","","",""
"Daily","1991","Not Working","higher education","","","",""
"Min 1x per week","1991","Full Time","in school","","","",""
"Min 1x per week","1991","Full Time","inadequately","","","",""
"Min 1x per week","1991","Full Time","general elemantary","","","",""
"Min 1x per week","1991","Full Time","middle vocational","","","",""
"Min 1x per week","1991","Full Time","vocational + Abi","","","",""
"Min 1x per week","1991","Full Time","higher vocational","","","",""
"Min 1x per week","1991","Full Time","higher education","","","",""
"Min 1x per week","1991","Part Time","in school","","","",""
"Min 1x per week","1991","Part Time","inadequately","","","",""
"Min 1x per week","1991","Part Time","general elemantary","","","",""
"Min 1x per week","1991","Part Time","middle vocational","","","",""
"Min 1x per week","1991","Part Time","vocational + Abi","","","",""
"Min 1x per week","1991","Part Time","higher vocational","","","",""
"Min 1x per week","1991","Part Time","higher education","","","",""
"Min 1x per week","1991","Not Working","in school","","","",""
"Min 1x per week","1991","Not Working","inadequately","","","",""
"Min 1x per week","1991","Not Working","general elemantary","","","",""
"Min 1x per week","1991","Not Working","middle vocational","","","",""
"Min 1x per week","1991","Not Working","vocational + Abi","","","",""
"Min 1x per week","1991","Not Working","higher vocational","","","",""
"Min 1x per week","1991","Not Working","higher education","","","",""
"Min 1x per month","1991","Full Time","in school","","","",""
"Min 1x per month","1991","Full Time","inadequately","","","",""
"Min 1x per month","1991","Full Time","general elemantary","","","",""
"Min 1x per month","1991","Full Time","middle vocational","","","",""
"Min 1x per month","1991","Full Time","vocational + Abi","","","",""
"Min 1x per month","1991","Full Time","higher vocational","","","",""
"Min 1x per month","1991","Full Time","higher education","","","",""
"Min 1x per month","1991","Part Time","in school","","","",""
"Min 1x per month","1991","Part Time","inadequately","","","",""
"Min 1x per month","1991","Part Time","general elemantary","","","",""
"Min 1x per month","1991","Part Time","middle vocational","","","",""
"Min 1x per month","1991","Part Time","vocational + Abi","","","",""
"Min 1x per month","1991","Part Time","higher vocational","","","",""
"Min 1x per month","1991","Part Time","higher education","","","",""
"Min 1x per month","1991","Not Working","in school","","","",""
"Min 1x per month","1991","Not Working","inadequately","","","",""
"Min 1x per month","1991","Not Working","general elemantary","","","",""
"Min 1x per month","1991","Not Working","middle vocational","","","",""
"Min 1x per month","1991","Not Working","vocational + Abi","","","",""
"Min 1x per month","1991","Not Working","higher vocational","","","",""
"Min 1x per month","1991","Not Working","higher education","","","",""
"Rarely","1991","Full Time","in school","","","",""
"Rarely","1991","Full Time","inadequately","","","",""
"Rarely","1991","Full Time","general elemantary","","","",""
"Rarely","1991","Full Time","middle vocational","","","",""
"Rarely","1991","Full Time","vocational + Abi","","","",""
"Rarely","1991","Full Time","higher vocational","","","",""
"Rarely","1991","Full Time","higher education","","","",""
"Rarely","1991","Part Time","in school","","","",""
"Rarely","1991","Part Time","inadequately","","","",""
"Rarely","1991","Part Time","general elemantary","","","",""
"Rarely","1991","Part Time","middle vocational","","","",""
"Rarely","1991","Part Time","vocational + Abi","","","",""
"Rarely","1991","Part Time","higher vocational","","","",""
"Rarely","1991","Part Time","higher education","","","",""
"Rarely","1991","Not Working","in school","","","",""
"Rarely","1991","Not Working","inadequately","","","",""
"Rarely","1991","Not Working","general elemantary","","","",""
"Rarely","1991","Not Working","middle vocational","","","",""
"Rarely","1991","Not Working","vocational + Abi","","","",""
"Rarely","1991","Not Working","higher vocational","","","",""
"Rarely","1991","Not Working","higher education","","","",""
"Never","1991","Full Time","in school","","","",""
"Never","1991","Full Time","inadequately","","","",""
"Never","1991","Full Time","general elemantary","","","",""
"Never","1991","Full Time","middle vocational","","","",""
"Never","1991","Full Time","vocational + Abi","","","",""
"Never","1991","Full Time","higher vocational","","","",""
"Never","1991","Full Time","higher education","","","",""
"Never","1991","Part Time","in school","","","",""
"Never","1991","Part Time","inadequately","","","",""
"Never","1991","Part Time","general elemantary","","","",""
"Never","1991","Part Time","middle vocational","","","",""
"Never","1991","Part Time","vocational + Abi","","","",""
"Never","1991","Part Time","higher vocational","","","",""
"Never","1991","Part Time","higher education","","","",""
"Never","1991","Not Working","in school","","","",""
"Never","1991","Not Working","inadequately","","","",""
"Never","1991","Not Working","general elemantary","","","",""
"Never","1991","Not Working","middle vocational","","","",""
"Never","1991","Not Working","vocational + Abi","","","",""
"Never","1991","Not Working","higher vocational","","","",""
"Never","1991","Not Working","higher education","","","",""
"Daily","1992","Full Time","in school","","","",""
"Daily","1992","Full Time","inadequately","","","",""
"Daily","1992","Full Time","general elemantary","","","",""
"Daily","1992","Full Time","middle vocational","","","",""
"Daily","1992","Full Time","vocational + Abi","","","",""
"Daily","1992","Full Time","higher vocational","","","",""
"Daily","1992","Full Time","higher education","","","",""
"Daily","1992","Part Time","in school","","","",""
"Daily","1992","Part Time","inadequately","","","",""
"Daily","1992","Part Time","general elemantary","","","",""
"Daily","1992","Part Time","middle vocational","","","",""
"Daily","1992","Part Time","vocational + Abi","","","",""
"Daily","1992","Part Time","higher vocational","","","",""
"Daily","1992","Part Time","higher education","","","",""
"Daily","1992","Not Working","in school","","","",""
"Daily","1992","Not Working","inadequately","","","",""
"Daily","1992","Not Working","general elemantary","","","",""
"Daily","1992","Not Working","middle vocational","","","",""
"Daily","1992","Not Working","vocational + Abi","","","",""
"Daily","1992","Not Working","higher vocational","","","",""
"Daily","1992","Not Working","higher education","","","",""
"Min 1x per week","1992","Full Time","in school","","","",""
"Min 1x per week","1992","Full Time","inadequately","","","",""
"Min 1x per week","1992","Full Time","general elemantary","","","",""
"Min 1x per week","1992","Full Time","middle vocational","","","",""
"Min 1x per week","1992","Full Time","vocational + Abi","","","",""
