"pli0080","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Urban Area","West Germany","528","0.053197291584891","0.048143671211678","0.0582509119581039","1"
"Daily","1990","Urban Area","East Germany","","","","","1"
"Daily","1990","Rural Area","West Germany","99","0.0410792405980585","0.0321783395910775","0.0499801416050396","1"
"Daily","1990","Rural Area","East Germany","","","","","1"
"Min 1x per month","1990","Urban Area","East Germany","","","","","3"
"Min 1x per month","1990","Urban Area","West Germany","2059","0.293461913961044","0.283208422605164","0.303715405316923","3"
"Min 1x per month","1990","Rural Area","East Germany","","","","","3"
"Min 1x per month","1990","Rural Area","West Germany","614","0.328441183231685","0.307379055654689","0.349503310808681","3"
"Min 1x per week","1990","Urban Area","West Germany","3390","0.40994739695399","0.398872554932561","0.42102223897542","2"
"Min 1x per week","1990","Rural Area","East Germany","","","","","2"
"Min 1x per week","1990","Rural Area","West Germany","711","0.346690161070305","0.32534685142284","0.36803347071777","2"
"Min 1x per week","1990","Urban Area","East Germany","","","","","2"
"Never","1990","Urban Area","West Germany","209","0.0327048083470218","0.0286997077694018","0.0367099089246419","5"
"Never","1990","Urban Area","East Germany","","","","","5"
"Never","1990","Rural Area","West Germany","47","0.0302740525766798","0.0225899846382673","0.0379581205150923","5"
"Never","1990","Rural Area","East Germany","","","","","5"
"Rarely","1990","Rural Area","West Germany","439","0.253515362523271","0.234005959270438","0.273024765776104","4"
"Rarely","1990","Urban Area","West Germany","1390","0.210688589153053","0.201505838194569","0.219871340111537","4"
"Rarely","1990","Urban Area","East Germany","","","","","4"
"Rarely","1990","Rural Area","East Germany","","","","","4"
"Daily","1991","Urban Area","West Germany","","","","","1"
"Daily","1991","Urban Area","East Germany","","","","","1"
"Daily","1991","Rural Area","West Germany","","","","","1"
"Daily","1991","Rural Area","East Germany","","","","","1"
"Min 1x per month","1991","Rural Area","West Germany","","","","","3"
"Min 1x per month","1991","Urban Area","East Germany","","","","","3"
"Min 1x per month","1991","Urban Area","West Germany","","","","","3"
"Min 1x per month","1991","Rural Area","East Germany","","","","","3"
"Min 1x per week","1991","Urban Area","East Germany","","","","","2"
"Min 1x per week","1991","Rural Area","East Germany","","","","","2"
"Min 1x per week","1991","Urban Area","West Germany","","","","","2"
"Min 1x per week","1991","Rural Area","West Germany","","","","","2"
"Never","1991","Urban Area","West Germany","","","","","5"
"Never","1991","Urban Area","East Germany","","","","","5"
"Never","1991","Rural Area","West Germany","","","","","5"
"Never","1991","Rural Area","East Germany","","","","","5"
"Rarely","1991","Rural Area","East Germany","","","","","4"
"Rarely","1991","Rural Area","West Germany","","","","","4"
"Rarely","1991","Urban Area","East Germany","","","","","4"
"Rarely","1991","Urban Area","West Germany","","","","","4"
"Daily","1992","Urban Area","West Germany","","","","","1"
"Daily","1992","Urban Area","East Germany","","","","","1"
"Daily","1992","Rural Area","East Germany","","","","","1"
"Daily","1992","Rural Area","West Germany","","","","","1"
"Min 1x per month","1992","Urban Area","West Germany","","","","","3"
"Min 1x per month","1992","Rural Area","East Germany","","","","","3"
"Min 1x per month","1992","Urban Area","East Germany","","","","","3"
"Min 1x per month","1992","Rural Area","West Germany","","","","","3"
"Min 1x per week","1992","Rural Area","East Germany","","","","","2"
"Min 1x per week","1992","Urban Area","East Germany","","","","","2"
"Min 1x per week","1992","Rural Area","West Germany","","","","","2"
"Min 1x per week","1992","Urban Area","West Germany","","","","","2"
"Never","1992","Urban Area","West Germany","","","","","5"
"Never","1992","Urban Area","East Germany","","","","","5"
"Never","1992","Rural Area","West Germany","","","","","5"
"Never","1992","Rural Area","East Germany","","","","","5"
"Rarely","1992","Rural Area","East Germany","","","","","4"
"Rarely","1992","Urban Area","East Germany","","","","","4"
"Rarely","1992","Urban Area","West Germany","","","","","4"
"Rarely","1992","Rural Area","West Germany","","","","","4"
"Daily","1993","Urban Area","West Germany","","","","","1"
"Daily","1993","Urban Area","East Germany","","","","","1"
"Daily","1993","Rural Area","East Germany","","","","","1"
"Daily","1993","Rural Area","West Germany","","","","","1"
"Min 1x per month","1993","Urban Area","West Germany","","","","","3"
"Min 1x per month","1993","Urban Area","East Germany","","","","","3"
"Min 1x per month","1993","Rural Area","East Germany","","","","","3"
"Min 1x per month","1993","Rural Area","West Germany","","","","","3"
"Min 1x per week","1993","Urban Area","West Germany","","","","","2"
"Min 1x per week","1993","Rural Area","West Germany","","","","","2"
"Min 1x per week","1993","Rural Area","East Germany","","","","","2"
"Min 1x per week","1993","Urban Area","East Germany","","","","","2"
"Never","1993","Urban Area","West Germany","","","","","5"
"Never","1993","Urban Area","East Germany","","","","","5"
"Never","1993","Rural Area","West Germany","","","","","5"
"Never","1993","Rural Area","East Germany","","","","","5"
"Rarely","1993","Rural Area","West Germany","","","","","4"
"Rarely","1993","Urban Area","West Germany","","","","","4"
"Rarely","1993","Urban Area","East Germany","","","","","4"
"Rarely","1993","Rural Area","East Germany","","","","","4"
"Daily","1994","Urban Area","West Germany","","","","","1"
"Daily","1994","Rural Area","East Germany","","","","","1"
"Daily","1994","Urban Area","East Germany","","","","","1"
"Daily","1994","Rural Area","West Germany","","","","","1"
"Min 1x per month","1994","Rural Area","West Germany","","","","","3"
"Min 1x per month","1994","Rural Area","East Germany","","","","","3"
"Min 1x per month","1994","Urban Area","West Germany","","","","","3"
"Min 1x per month","1994","Urban Area","East Germany","","","","","3"
"Min 1x per week","1994","Rural Area","East Germany","","","","","2"
"Min 1x per week","1994","Rural Area","West Germany","","","","","2"
"Min 1x per week","1994","Urban Area","West Germany","","","","","2"
"Min 1x per week","1994","Urban Area","East Germany","","","","","2"
"Never","1994","Urban Area","West Germany","","","","","5"
"Never","1994","Urban Area","East Germany","","","","","5"
"Never","1994","Rural Area","West Germany","","","","","5"
"Never","1994","Rural Area","East Germany","","","","","5"
"Rarely","1994","Rural Area","East Germany","","","","","4"
"Rarely","1994","Rural Area","West Germany","","","","","4"
"Rarely","1994","Urban Area","West Germany","","","","","4"
"Rarely","1994","Urban Area","East Germany","","","","","4"
"Daily","1995","Urban Area","West Germany","566","0.0618510599441651","0.0564289830743424","0.0672731368139877","1"
"Daily","1995","Rural Area","East Germany","143","0.061133575964705","0.051576583088716","0.0706905688406939","1"
"Daily","1995","Urban Area","East Germany","57","0.0547125363626382","0.0422050049052616","0.0672200678200149","1"
"Daily","1995","Rural Area","West Germany","111","0.0547529801567041","0.0448760373081225","0.0646299230052857","1"
"Min 1x per month","1995","Rural Area","East Germany","751","0.295438606948637","0.277238560239173","0.3136386536581","3"
"Min 1x per month","1995","Urban Area","West Germany","2138","0.302775416896242","0.292433456936457","0.313117376856026","3"
"Min 1x per month","1995","Rural Area","West Germany","606","0.300135789506456","0.280237681373316","0.320033897639596","3"
"Min 1x per month","1995","Urban Area","East Germany","408","0.290913382847055","0.265934228863166","0.315892536830944","3"
"Min 1x per week","1995","Rural Area","East Germany","705","0.301822907589136","0.283510798998449","0.320135016179822","2"
"Min 1x per week","1995","Urban Area","East Germany","399","0.328020990640162","0.302199880981904","0.35384210029842","2"
"Min 1x per week","1995","Rural Area","West Germany","884","0.404774890826087","0.383464402332711","0.426085379319463","2"
"Min 1x per week","1995","Urban Area","West Germany","3504","0.418419150994889","0.407315468712933","0.429522833276845","2"
"Never","1995","Urban Area","East Germany","53","0.0639541247994835","0.0504977189379676","0.0774105306609993","5"
"Never","1995","Urban Area","West Germany","196","0.032493114353446","0.0285021403145463","0.0364840883923457","5"
"Never","1995","Rural Area","West Germany","42","0.0251939646791028","0.0183901360871389","0.0319977932710667","5"
"Never","1995","Rural Area","East Germany","91","0.0506932754607615","0.041942270834334","0.059444280087189","5"
"Rarely","1995","Urban Area","East Germany","353","0.262398965350661","0.238203273306434","0.286594657394888","4"
"Rarely","1995","Rural Area","East Germany","724","0.290911634036761","0.272793637054408","0.309029631019114","4"
"Rarely","1995","Urban Area","West Germany","1178","0.184461257811258","0.175730919321726","0.193191596300791","4"
"Rarely","1995","Rural Area","West Germany","395","0.215142374831651","0.197301981658731","0.23298276800457","4"
"Daily","1996","Rural Area","East Germany","","","","","1"
"Daily","1996","Urban Area","West Germany","","","","","1"
"Daily","1996","Urban Area","East Germany","","","","","1"
"Daily","1996","Rural Area","West Germany","","","","","1"
"Min 1x per month","1996","Rural Area","East Germany","","","","","3"
"Min 1x per month","1996","Urban Area","East Germany","","","","","3"
"Min 1x per month","1996","Rural Area","West Germany","","","","","3"
"Min 1x per month","1996","Urban Area","West Germany","","","","","3"
"Min 1x per week","1996","Rural Area","West Germany","","","","","2"
"Min 1x per week","1996","Rural Area","East Germany","","","","","2"
"Min 1x per week","1996","Urban Area","East Germany","","","","","2"
"Min 1x per week","1996","Urban Area","West Germany","","","","","2"
"Never","1996","Urban Area","East Germany","","","","","5"
"Never","1996","Urban Area","West Germany","","","","","5"
"Never","1996","Rural Area","West Germany","","","","","5"
"Never","1996","Rural Area","East Germany","","","","","5"
"Rarely","1996","Rural Area","West Germany","","","","","4"
"Rarely","1996","Urban Area","East Germany","","","","","4"
"Rarely","1996","Rural Area","East Germany","","","","","4"
"Rarely","1996","Urban Area","West Germany","","","","","4"
"Daily","1997","Urban Area","West Germany","","","","","1"
"Daily","1997","Rural Area","West Germany","","","","","1"
"Daily","1997","Rural Area","East Germany","","","","","1"
"Daily","1997","Urban Area","East Germany","","","","","1"
"Min 1x per month","1997","Rural Area","East Germany","","","","","3"
"Min 1x per month","1997","Rural Area","West Germany","","","","","3"
"Min 1x per month","1997","Urban Area","East Germany","","","","","3"
"Min 1x per month","1997","Urban Area","West Germany","","","","","3"
"Min 1x per week","1997","Rural Area","East Germany","","","","","2"
"Min 1x per week","1997","Rural Area","West Germany","","","","","2"
"Min 1x per week","1997","Urban Area","West Germany","","","","","2"
"Min 1x per week","1997","Urban Area","East Germany","","","","","2"
"Never","1997","Urban Area","West Germany","","","","","5"
"Never","1997","Urban Area","East Germany","","","","","5"
