"pli0080","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","West Germany","256","0.0436472277139814","0.0377042027114701","0.0495902527164927"
"Daily","1990","lower secondary degree","East Germany","","","",""
"Daily","1990","secondary school degree","West Germany","80","0.0387160396321242","0.0294965600655329","0.0479355191987154"
"Daily","1990","secondary school degree","East Germany","","","",""
"Daily","1990","college entrance qualification","West Germany","64","0.051482084743959","0.0390000416056596","0.0639641278822584"
"Daily","1990","college entrance qualification","East Germany","","","",""
"Daily","1990","Other degree","West Germany","83","0.0881708507786062","0.070675536056646","0.105666165500566"
"Daily","1990","Other degree","East Germany","","","",""
"Daily","1990","no degree/no degree yet","West Germany","119","0.14488612030782","0.121111290608422","0.168660950007217"
"Daily","1990","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1990","lower secondary degree","West Germany","1639","0.344154438044034","0.330334768961545","0.357974107126522"
"Min 1x per week","1990","lower secondary degree","East Germany","","","",""
"Min 1x per week","1990","secondary school degree","West Germany","757","0.423664168482523","0.400049395586934","0.447278941378112"
"Min 1x per week","1990","secondary school degree","East Germany","","","",""
"Min 1x per week","1990","college entrance qualification","West Germany","590","0.488047329023991","0.459812788521139","0.516281869526843"
"Min 1x per week","1990","college entrance qualification","East Germany","","","",""
"Min 1x per week","1990","Other degree","West Germany","552","0.507787379041053","0.476939889065369","0.538634869016737"
"Min 1x per week","1990","Other degree","East Germany","","","",""
"Min 1x per week","1990","no degree/no degree yet","West Germany","451","0.519848294557422","0.486102504918678","0.553594084196166"
"Min 1x per week","1990","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1990","lower secondary degree","West Germany","1398","0.316337131098369","0.302809671454791","0.329864590741947"
"Min 1x per month","1990","lower secondary degree","East Germany","","","",""
"Min 1x per month","1990","secondary school degree","West Germany","504","0.300860156506562","0.278942230304608","0.322778082708515"
"Min 1x per month","1990","secondary school degree","East Germany","","","",""
"Min 1x per month","1990","college entrance qualification","West Germany","351","0.297750998729269","0.271922032400952","0.323579965057586"
"Min 1x per month","1990","college entrance qualification","East Germany","","","",""
"Min 1x per month","1990","Other degree","West Germany","228","0.258555035948588","0.231539196398304","0.285570875498872"
"Min 1x per month","1990","Other degree","East Germany","","","",""
"Min 1x per month","1990","no degree/no degree yet","West Germany","154","0.166136798457907","0.140996387752839","0.191277209162974"
"Min 1x per month","1990","no degree/no degree yet","East Germany","","","",""
"Rarely","1990","lower secondary degree","West Germany","1095","0.254141966263772","0.241477513065215","0.266806419462328"
"Rarely","1990","lower secondary degree","East Germany","","","",""
"Rarely","1990","secondary school degree","West Germany","317","0.216672327941553","0.1969840127037","0.236360643179407"
"Rarely","1990","secondary school degree","East Germany","","","",""
"Rarely","1990","college entrance qualification","West Germany","184","0.148196212536673","0.128127330362417","0.168265094710928"
"Rarely","1990","college entrance qualification","East Germany","","","",""
"Rarely","1990","Other degree","West Germany","110","0.121771909181672","0.101593834384068","0.141949983979277"
"Rarely","1990","Other degree","East Germany","","","",""
"Rarely","1990","no degree/no degree yet","West Germany","91","0.126058899241206","0.103639711042152","0.14847808744026"
"Rarely","1990","no degree/no degree yet","East Germany","","","",""
"Never","1990","lower secondary degree","West Germany","152","0.0417192368798441","0.0359030985450497","0.0475353752146384"
"Never","1990","lower secondary degree","East Germany","","","",""
"Never","1990","secondary school degree","West Germany","24","","",""
"Never","1990","secondary school degree","East Germany","","","",""
"Never","1990","college entrance qualification","West Germany","15","","",""
"Never","1990","college entrance qualification","East Germany","","","",""
"Never","1990","Other degree","West Germany","36","0.0237148250500805","0.0143262254538824","0.0331034246462786"
"Never","1990","Other degree","East Germany","","","",""
"Never","1990","no degree/no degree yet","West Germany","27","","",""
"Never","1990","no degree/no degree yet","East Germany","","","",""
"Daily","1991","lower secondary degree","West Germany","","","",""
"Daily","1991","lower secondary degree","East Germany","","","",""
"Daily","1991","secondary school degree","West Germany","","","",""
"Daily","1991","secondary school degree","East Germany","","","",""
"Daily","1991","college entrance qualification","West Germany","","","",""
"Daily","1991","college entrance qualification","East Germany","","","",""
"Daily","1991","Other degree","West Germany","","","",""
"Daily","1991","Other degree","East Germany","","","",""
"Daily","1991","no degree/no degree yet","West Germany","","","",""
"Daily","1991","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1991","lower secondary degree","West Germany","","","",""
"Min 1x per week","1991","lower secondary degree","East Germany","","","",""
"Min 1x per week","1991","secondary school degree","West Germany","","","",""
"Min 1x per week","1991","secondary school degree","East Germany","","","",""
"Min 1x per week","1991","college entrance qualification","West Germany","","","",""
"Min 1x per week","1991","college entrance qualification","East Germany","","","",""
"Min 1x per week","1991","Other degree","West Germany","","","",""
"Min 1x per week","1991","Other degree","East Germany","","","",""
"Min 1x per week","1991","no degree/no degree yet","West Germany","","","",""
"Min 1x per week","1991","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1991","lower secondary degree","West Germany","","","",""
"Min 1x per month","1991","lower secondary degree","East Germany","","","",""
"Min 1x per month","1991","secondary school degree","West Germany","","","",""
"Min 1x per month","1991","secondary school degree","East Germany","","","",""
"Min 1x per month","1991","college entrance qualification","West Germany","","","",""
"Min 1x per month","1991","college entrance qualification","East Germany","","","",""
"Min 1x per month","1991","Other degree","West Germany","","","",""
"Min 1x per month","1991","Other degree","East Germany","","","",""
"Min 1x per month","1991","no degree/no degree yet","West Germany","","","",""
"Min 1x per month","1991","no degree/no degree yet","East Germany","","","",""
"Rarely","1991","lower secondary degree","West Germany","","","",""
"Rarely","1991","lower secondary degree","East Germany","","","",""
"Rarely","1991","secondary school degree","West Germany","","","",""
"Rarely","1991","secondary school degree","East Germany","","","",""
"Rarely","1991","college entrance qualification","West Germany","","","",""
"Rarely","1991","college entrance qualification","East Germany","","","",""
"Rarely","1991","Other degree","West Germany","","","",""
"Rarely","1991","Other degree","East Germany","","","",""
"Rarely","1991","no degree/no degree yet","West Germany","","","",""
"Rarely","1991","no degree/no degree yet","East Germany","","","",""
"Never","1991","lower secondary degree","West Germany","","","",""
"Never","1991","lower secondary degree","East Germany","","","",""
"Never","1991","secondary school degree","West Germany","","","",""
"Never","1991","secondary school degree","East Germany","","","",""
"Never","1991","college entrance qualification","West Germany","","","",""
"Never","1991","college entrance qualification","East Germany","","","",""
"Never","1991","Other degree","West Germany","","","",""
"Never","1991","Other degree","East Germany","","","",""
"Never","1991","no degree/no degree yet","West Germany","","","",""
"Never","1991","no degree/no degree yet","East Germany","","","",""
"Daily","1992","lower secondary degree","West Germany","","","",""
"Daily","1992","lower secondary degree","East Germany","","","",""
"Daily","1992","secondary school degree","West Germany","","","",""
"Daily","1992","secondary school degree","East Germany","","","",""
"Daily","1992","college entrance qualification","West Germany","","","",""
"Daily","1992","college entrance qualification","East Germany","","","",""
"Daily","1992","Other degree","West Germany","","","",""
"Daily","1992","Other degree","East Germany","","","",""
"Daily","1992","no degree/no degree yet","West Germany","","","",""
"Daily","1992","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1992","lower secondary degree","West Germany","","","",""
"Min 1x per week","1992","lower secondary degree","East Germany","","","",""
"Min 1x per week","1992","secondary school degree","West Germany","","","",""
"Min 1x per week","1992","secondary school degree","East Germany","","","",""
"Min 1x per week","1992","college entrance qualification","West Germany","","","",""
"Min 1x per week","1992","college entrance qualification","East Germany","","","",""
"Min 1x per week","1992","Other degree","West Germany","","","",""
"Min 1x per week","1992","Other degree","East Germany","","","",""
"Min 1x per week","1992","no degree/no degree yet","West Germany","","","",""
"Min 1x per week","1992","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1992","lower secondary degree","West Germany","","","",""
"Min 1x per month","1992","lower secondary degree","East Germany","","","",""
"Min 1x per month","1992","secondary school degree","West Germany","","","",""
"Min 1x per month","1992","secondary school degree","East Germany","","","",""
"Min 1x per month","1992","college entrance qualification","West Germany","","","",""
"Min 1x per month","1992","college entrance qualification","East Germany","","","",""
"Min 1x per month","1992","Other degree","West Germany","","","",""
"Min 1x per month","1992","Other degree","East Germany","","","",""
"Min 1x per month","1992","no degree/no degree yet","West Germany","","","",""
"Min 1x per month","1992","no degree/no degree yet","East Germany","","","",""
"Rarely","1992","lower secondary degree","West Germany","","","",""
"Rarely","1992","lower secondary degree","East Germany","","","",""
"Rarely","1992","secondary school degree","West Germany","","","",""
"Rarely","1992","secondary school degree","East Germany","","","",""
"Rarely","1992","college entrance qualification","West Germany","","","",""
"Rarely","1992","college entrance qualification","East Germany","","","",""
"Rarely","1992","Other degree","West Germany","","","",""
"Rarely","1992","Other degree","East Germany","","","",""
"Rarely","1992","no degree/no degree yet","West Germany","","","",""
"Rarely","1992","no degree/no degree yet","East Germany","","","",""
"Never","1992","lower secondary degree","West Germany","","","",""
"Never","1992","lower secondary degree","East Germany","","","",""
"Never","1992","secondary school degree","West Germany","","","",""
"Never","1992","secondary school degree","East Germany","","","",""
"Never","1992","college entrance qualification","West Germany","","","",""
"Never","1992","college entrance qualification","East Germany","","","",""
"Never","1992","Other degree","West Germany","","","",""
"Never","1992","Other degree","East Germany","","","",""
"Never","1992","no degree/no degree yet","West Germany","","","",""
"Never","1992","no degree/no degree yet","East Germany","","","",""
"Daily","1993","lower secondary degree","West Germany","","","",""
"Daily","1993","lower secondary degree","East Germany","","","",""
"Daily","1993","secondary school degree","West Germany","","","",""
"Daily","1993","secondary school degree","East Germany","","","",""
"Daily","1993","college entrance qualification","West Germany","","","",""
"Daily","1993","college entrance qualification","East Germany","","","",""
"Daily","1993","Other degree","West Germany","","","",""
"Daily","1993","Other degree","East Germany","","","",""
"Daily","1993","no degree/no degree yet","West Germany","","","",""
"Daily","1993","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1993","lower secondary degree","West Germany","","","",""
"Min 1x per week","1993","lower secondary degree","East Germany","","","",""
"Min 1x per week","1993","secondary school degree","West Germany","","","",""
"Min 1x per week","1993","secondary school degree","East Germany","","","",""
"Min 1x per week","1993","college entrance qualification","West Germany","","","",""
"Min 1x per week","1993","college entrance qualification","East Germany","","","",""
"Min 1x per week","1993","Other degree","West Germany","","","",""
"Min 1x per week","1993","Other degree","East Germany","","","",""
"Min 1x per week","1993","no degree/no degree yet","West Germany","","","",""
"Min 1x per week","1993","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1993","lower secondary degree","West Germany","","","",""
"Min 1x per month","1993","lower secondary degree","East Germany","","","",""
"Min 1x per month","1993","secondary school degree","West Germany","","","",""
"Min 1x per month","1993","secondary school degree","East Germany","","","",""
"Min 1x per month","1993","college entrance qualification","West Germany","","","",""
"Min 1x per month","1993","college entrance qualification","East Germany","","","",""
"Min 1x per month","1993","Other degree","West Germany","","","",""
"Min 1x per month","1993","Other degree","East Germany","","","",""
"Min 1x per month","1993","no degree/no degree yet","West Germany","","","",""
"Min 1x per month","1993","no degree/no degree yet","East Germany","","","",""
"Rarely","1993","lower secondary degree","West Germany","","","",""
"Rarely","1993","lower secondary degree","East Germany","","","",""
"Rarely","1993","secondary school degree","West Germany","","","",""
"Rarely","1993","secondary school degree","East Germany","","","",""
"Rarely","1993","college entrance qualification","West Germany","","","",""
"Rarely","1993","college entrance qualification","East Germany","","","",""
"Rarely","1993","Other degree","West Germany","","","",""
"Rarely","1993","Other degree","East Germany","","","",""
"Rarely","1993","no degree/no degree yet","West Germany","","","",""
"Rarely","1993","no degree/no degree yet","East Germany","","","",""
"Never","1993","lower secondary degree","West Germany","","","",""
"Never","1993","lower secondary degree","East Germany","","","",""
"Never","1993","secondary school degree","West Germany","","","",""
"Never","1993","secondary school degree","East Germany","","","",""
"Never","1993","college entrance qualification","West Germany","","","",""
"Never","1993","college entrance qualification","East Germany","","","",""
"Never","1993","Other degree","West Germany","","","",""
"Never","1993","Other degree","East Germany","","","",""
"Never","1993","no degree/no degree yet","West Germany","","","",""
"Never","1993","no degree/no degree yet","East Germany","","","",""
"Daily","1994","lower secondary degree","West Germany","","","",""
"Daily","1994","lower secondary degree","East Germany","","","",""
"Daily","1994","secondary school degree","West Germany","","","",""
"Daily","1994","secondary school degree","East Germany","","","",""
"Daily","1994","college entrance qualification","West Germany","","","",""
"Daily","1994","college entrance qualification","East Germany","","","",""
"Daily","1994","Other degree","West Germany","","","",""
"Daily","1994","Other degree","East Germany","","","",""
"Daily","1994","no degree/no degree yet","West Germany","","","",""
"Daily","1994","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1994","lower secondary degree","West Germany","","","",""
"Min 1x per week","1994","lower secondary degree","East Germany","","","",""
"Min 1x per week","1994","secondary school degree","West Germany","","","",""
"Min 1x per week","1994","secondary school degree","East Germany","","","",""
