"pli0080","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Urban Area","332","0.0955994831405063","0.0849270730628235","0.106271893218189"
"Daily","1990","16-34 y.","Rural Area","61","0.0803018010936388","0.0605744107519809","0.100029191435297"
"Daily","1990","35-65 y.","Urban Area","157","0.0255292414060478","0.0205457476305545","0.030512735181541"
"Daily","1990","35-65 y.","Rural Area","33","0.0235971757322135","0.0138677588455791","0.0333265926188479"
"Daily","1990","66 and older","Urban Area","39","0.052929663818802","0.0375300169817573","0.0683293106558468"
"Daily","1990","66 and older","Rural Area","5","","",""
"Min 1x per week","1990","16-34 y.","Urban Area","1661","0.565556536686381","0.547565384471628","0.583547688901134"
"Min 1x per week","1990","16-34 y.","Rural Area","344","0.457474621639186","0.421310505155151","0.49363873812322"
"Min 1x per week","1990","35-65 y.","Urban Area","1468","0.330469544300909","0.315607400856624","0.345331687745194"
"Min 1x per week","1990","35-65 y.","Rural Area","294","0.292232392635467","0.263081503643868","0.321383281627066"
"Min 1x per week","1990","66 and older","Urban Area","261","0.346362650826927","0.313635813797551","0.379089487856303"
"Min 1x per week","1990","66 and older","Rural Area","73","0.296536113338167","0.239461860269891","0.353610366406443"
"Min 1x per month","1990","16-34 y.","Urban Area","563","0.214502866262377","0.199604344372035","0.229401388152719"
"Min 1x per month","1990","16-34 y.","Rural Area","197","0.279649827777543","0.247068900752128","0.312230754802958"
"Min 1x per month","1990","35-65 y.","Urban Area","1263","0.357273904627942","0.342133266693566","0.372414542562317"
"Min 1x per month","1990","35-65 y.","Rural Area","347","0.383157066280118","0.351995591578749","0.414318540981487"
"Min 1x per month","1990","66 and older","Urban Area","233","0.259082176937328","0.228946991642829","0.289217362231827"
"Min 1x per month","1990","66 and older","Rural Area","70","0.272349496075453","0.216719985032848","0.327979007118058"
"Rarely","1990","16-34 y.","Urban Area","322","0.115268210911464","0.103677370574793","0.126859051248135"
"Rarely","1990","16-34 y.","Rural Area","116","0.168267570845965","0.141110910725174","0.195424230966756"
"Rarely","1990","35-65 y.","Urban Area","856","0.25749564772915","0.243680198614272","0.271311096844027"
"Rarely","1990","35-65 y.","Rural Area","243","0.283755260050538","0.254858778317063","0.312651741784014"
"Rarely","1990","66 and older","Urban Area","212","0.255153994599435","0.225168963139124","0.285139026059746"
"Rarely","1990","66 and older","Rural Area","80","0.321783656908392","0.263406000735953","0.380161313080831"
"Never","1990","16-34 y.","Urban Area","38","0.00907290299927216","0.00563139869332594","0.0125144073052184"
