"pli0080","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","(0) in school","","","",""
"Daily","1990","Full Time","(1a) inadequately completed","35","0.0938496213653377","0.0604585248128807","0.127240717917795"
"Daily","1990","Full Time","(1b) general elementary school","79","0.0829707811155531","0.0635129864068695","0.102428575824237"
"Daily","1990","Full Time","(1c) basic vocational qualification","69","0.0288900224143002","0.0209066859243718","0.0368733589042286"
"Daily","1990","Full Time","(2b) intermediate general qualification","14","","",""
"Daily","1990","Full Time","(2a) intermediate vocational","23","","",""
"Daily","1990","Full Time","(2c_gen) general maturity certificate","3","","",""
"Daily","1990","Full Time","(2c_voc) vocational maturity certificate","10","","",""
"Daily","1990","Full Time","(3a) lower tertiary education","2","","",""
"Daily","1990","Full Time","(3b) higher tertiary education","4","","",""
"Daily","1990","Part Time","(0) in school","3","","",""
"Daily","1990","Part Time","(1a) inadequately completed","15","","",""
"Daily","1990","Part Time","(1b) general elementary school","41","0.0896135635884097","0.0613384198872871","0.117888707289532"
"Daily","1990","Part Time","(1c) basic vocational qualification","20","","",""
"Daily","1990","Part Time","(2b) intermediate general qualification","12","","",""
"Daily","1990","Part Time","(2a) intermediate vocational","10","","",""
"Daily","1990","Part Time","(2c_gen) general maturity certificate","16","","",""
"Daily","1990","Part Time","(2c_voc) vocational maturity certificate","2","","",""
"Daily","1990","Part Time","(3a) lower tertiary education","2","","",""
"Daily","1990","Part Time","(3b) higher tertiary education","3","","",""
"Daily","1990","Not Working","(0) in school","36","0.183983955259477","0.121133129547404","0.24683478097155"
"Daily","1990","Not Working","(1a) inadequately completed","32","0.134288876978771","0.0947037373862","0.173874016571343"
"Daily","1990","Not Working","(1b) general elementary school","72","0.0525296564976999","0.0385549775865582","0.0665043354088416"
"Daily","1990","Not Working","(1c) basic vocational qualification","48","0.0426637754411618","0.0302794555120736","0.05504809537025"
"Daily","1990","Not Working","(2b) intermediate general qualification","11","","",""
"Daily","1990","Not Working","(2a) intermediate vocational","9","","",""
"Daily","1990","Not Working","(2c_gen) general maturity certificate","20","","",""
"Daily","1990","Not Working","(2c_voc) vocational maturity certificate","3","","",""
"Daily","1990","Not Working","(3a) lower tertiary education","2","","",""
"Daily","1990","Not Working","(3b) higher tertiary education","10","","",""
"Min 1x per week","1990","Full Time","(0) in school","","","",""
"Min 1x per week","1990","Full Time","(1a) inadequately completed","161","0.610586635399653","0.554753328106068","0.666419942693238"
"Min 1x per week","1990","Full Time","(1b) general elementary school","364","0.402691268578888","0.368095341023346","0.437287196134431"
"Min 1x per week","1990","Full Time","(1c) basic vocational qualification","668","0.363203240145195","0.340281289831193","0.386125190459198"
"Min 1x per week","1990","Full Time","(2b) intermediate general qualification","83","0.567338797178912","0.485561311596824","0.649116282760999"
"Min 1x per week","1990","Full Time","(2a) intermediate vocational","303","0.411918131437658","0.37553544380874","0.448300819066576"
"Min 1x per week","1990","Full Time","(2c_gen) general maturity certificate","48","0.633775944767988","0.530749252372341","0.736802637163635"
"Min 1x per week","1990","Full Time","(2c_voc) vocational maturity certificate","111","0.499208176306091","0.433137886715886","0.565278465896296"
"Min 1x per week","1990","Full Time","(3a) lower tertiary education","58","0.421884402579179","0.341500670111431","0.502268135046928"
"Min 1x per week","1990","Full Time","(3b) higher tertiary education","130","0.452239365678571","0.394757422945173","0.50972130841197"
"Min 1x per week","1990","Part Time","(0) in school","5","","",""
"Min 1x per week","1990","Part Time","(1a) inadequately completed","54","0.514664763631992","0.42126734401007","0.608062183253914"
"Min 1x per week","1990","Part Time","(1b) general elementary school","154","0.301182495080313","0.255767234695622","0.346597755465005"
"Min 1x per week","1990","Part Time","(1c) basic vocational qualification","193","0.370732801511516","0.328731351048566","0.412734251974465"
"Min 1x per week","1990","Part Time","(2b) intermediate general qualification","58","0.52986324727668","0.433003795826577","0.626722698726783"
"Min 1x per week","1990","Part Time","(2a) intermediate vocational","114","0.462514726257385","0.398356822463939","0.52667263005083"
"Min 1x per week","1990","Part Time","(2c_gen) general maturity certificate","65","0.594096885237739","0.502328819440779","0.685864951034698"
"Min 1x per week","1990","Part Time","(2c_voc) vocational maturity certificate","42","0.53191997491431","0.422578154165285","0.641261795663335"
"Min 1x per week","1990","Part Time","(3a) lower tertiary education","21","","",""
"Min 1x per week","1990","Part Time","(3b) higher tertiary education","45","0.48286626204465","0.379049386351356","0.586683137737943"
"Min 1x per week","1990","Not Working","(0) in school","77","0.580483349306733","0.5004370703715","0.660529628241966"
"Min 1x per week","1990","Not Working","(1a) inadequately completed","157","0.416002429572367","0.358778310633523","0.473226548511212"
"Min 1x per week","1990","Not Working","(1b) general elementary school","360","0.32719533435404","0.297804981952482","0.356585686755597"
"Min 1x per week","1990","Not Working","(1c) basic vocational qualification","354","0.3457469373032","0.316602053566103","0.374891821040298"
"Min 1x per week","1990","Not Working","(2b) intermediate general qualification","56","0.439480319369334","0.349160253618704","0.529800385119964"
"Min 1x per week","1990","Not Working","(2a) intermediate vocational","117","0.353102581086362","0.301537075966336","0.404668086206389"
"Min 1x per week","1990","Not Working","(2c_gen) general maturity certificate","92","0.583145502502547","0.503713055013807","0.662577949991286"
"Min 1x per week","1990","Not Working","(2c_voc) vocational maturity certificate","52","0.383928690559154","0.293858754266609","0.473998626851699"
"Min 1x per week","1990","Not Working","(3a) lower tertiary education","17","","",""
"Min 1x per week","1990","Not Working","(3b) higher tertiary education","34","0.44223040519301","0.336648293046614","0.547812517339405"
"Min 1x per month","1990","Full Time","(0) in school","","","",""
"Min 1x per month","1990","Full Time","(1a) inadequately completed","54","0.156025539279186","0.114474989037938","0.197576089520435"
"Min 1x per month","1990","Full Time","(1b) general elementary school","166","0.23874969232802","0.208676842075282","0.268822542580757"
"Min 1x per month","1990","Full Time","(1c) basic vocational qualification","540","0.337297690733692","0.314763487174892","0.359831894292492"
