"pli0080","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","West Germany","393","0.0922104471956396","0.0828179304286328","0.101602963962646"
"Daily","1990","16-34 y.","East Germany","","","",""
"Daily","1990","35-65 y.","West Germany","190","0.0251086069566113","0.0206746923177191","0.0295425215955036"
"Daily","1990","35-65 y.","East Germany","","","",""
"Daily","1990","66 and older","West Germany","44","0.0448316080075167","0.0323624425839932","0.0573007734310402"
"Daily","1990","66 and older","East Germany","","","",""
"Min 1x per week","1990","16-34 y.","West Germany","2005","0.541612157795334","0.525436569964623","0.557787745626044"
"Min 1x per week","1990","16-34 y.","East Germany","","","",""
"Min 1x per week","1990","35-65 y.","West Germany","1762","0.322144846307133","0.308901676562204","0.335388016052063"
"Min 1x per week","1990","35-65 y.","East Germany","","","",""
"Min 1x per week","1990","66 and older","West Germany","334","0.33455830086712","0.306127036865656","0.362989564868585"
"Min 1x per week","1990","66 and older","East Germany","","","",""
"Min 1x per month","1990","16-34 y.","West Germany","760","0.228935470731297","0.215295883412391","0.242575058050203"
"Min 1x per month","1990","16-34 y.","East Germany","","","",""
"Min 1x per month","1990","35-65 y.","West Germany","1610","0.362908987119538","0.349282073542847","0.37653590069623"
"Min 1x per month","1990","35-65 y.","East Germany","","","",""
"Min 1x per month","1990","66 and older","West Germany","303","0.262225322859723","0.235721748765018","0.288728896954429"
"Min 1x per month","1990","66 and older","East Germany","","","",""
"Rarely","1990","16-34 y.","West Germany","438","0.127009645680644","0.116199727681546","0.137819563679741"
"Rarely","1990","16-34 y.","East Germany","","","",""
"Rarely","1990","35-65 y.","West Germany","1099","0.263212688159407","0.250732464167226","0.275692912151587"
"Rarely","1990","35-65 y.","East Germany","","","",""
"Rarely","1990","66 and older","West Germany","292","0.270939154300249","0.244158386122856","0.297719922477641"
"Rarely","1990","66 and older","East Germany","","","",""
"Never","1990","16-34 y.","West Germany","49","0.0102322785970859","0.00696525594252499","0.0134993012516467"
"Never","1990","16-34 y.","East Germany","","","",""
"Never","1990","35-65 y.","West Germany","122","0.0266248714573107","0.0220625930610863","0.0311871498535352"
"Never","1990","35-65 y.","East Germany","","","",""
"Never","1990","66 and older","West Germany","85","0.0874456139653905","0.0704238857756093","0.104467342155172"
"Never","1990","66 and older","East Germany","","","",""
"Daily","1991","16-34 y.","West Germany","","","",""
"Daily","1991","16-34 y.","East Germany","","","",""
"Daily","1991","35-65 y.","West Germany","","","",""
"Daily","1991","35-65 y.","East Germany","","","",""
"Daily","1991","66 and older","West Germany","","","",""
"Daily","1991","66 and older","East Germany","","","",""
"Min 1x per week","1991","16-34 y.","West Germany","","","",""
"Min 1x per week","1991","16-34 y.","East Germany","","","",""
"Min 1x per week","1991","35-65 y.","West Germany","","","",""
"Min 1x per week","1991","35-65 y.","East Germany","","","",""
"Min 1x per week","1991","66 and older","West Germany","","","",""
"Min 1x per week","1991","66 and older","East Germany","","","",""
"Min 1x per month","1991","16-34 y.","West Germany","","","",""
"Min 1x per month","1991","16-34 y.","East Germany","","","",""
"Min 1x per month","1991","35-65 y.","West Germany","","","",""
"Min 1x per month","1991","35-65 y.","East Germany","","","",""
"Min 1x per month","1991","66 and older","West Germany","","","",""
"Min 1x per month","1991","66 and older","East Germany","","","",""
"Rarely","1991","16-34 y.","West Germany","","","",""
"Rarely","1991","16-34 y.","East Germany","","","",""
"Rarely","1991","35-65 y.","West Germany","","","",""
"Rarely","1991","35-65 y.","East Germany","","","",""
"Rarely","1991","66 and older","West Germany","","","",""
"Rarely","1991","66 and older","East Germany","","","",""
"Never","1991","16-34 y.","West Germany","","","",""
"Never","1991","16-34 y.","East Germany","","","",""
"Never","1991","35-65 y.","West Germany","","","",""
"Never","1991","35-65 y.","East Germany","","","",""
"Never","1991","66 and older","West Germany","","","",""
"Never","1991","66 and older","East Germany","","","",""
"Daily","1992","16-34 y.","West Germany","","","",""
"Daily","1992","16-34 y.","East Germany","","","",""
"Daily","1992","35-65 y.","West Germany","","","",""
"Daily","1992","35-65 y.","East Germany","","","",""
"Daily","1992","66 and older","West Germany","","","",""
"Daily","1992","66 and older","East Germany","","","",""
"Min 1x per week","1992","16-34 y.","West Germany","","","",""
"Min 1x per week","1992","16-34 y.","East Germany","","","",""
"Min 1x per week","1992","35-65 y.","West Germany","","","",""
"Min 1x per week","1992","35-65 y.","East Germany","","","",""
"Min 1x per week","1992","66 and older","West Germany","","","",""
"Min 1x per week","1992","66 and older","East Germany","","","",""
"Min 1x per month","1992","16-34 y.","West Germany","","","",""
"Min 1x per month","1992","16-34 y.","East Germany","","","",""
"Min 1x per month","1992","35-65 y.","West Germany","","","",""
"Min 1x per month","1992","35-65 y.","East Germany","","","",""
"Min 1x per month","1992","66 and older","West Germany","","","",""
"Min 1x per month","1992","66 and older","East Germany","","","",""
"Rarely","1992","16-34 y.","West Germany","","","",""
"Rarely","1992","16-34 y.","East Germany","","","",""
"Rarely","1992","35-65 y.","West Germany","","","",""
"Rarely","1992","35-65 y.","East Germany","","","",""
"Rarely","1992","66 and older","West Germany","","","",""
"Rarely","1992","66 and older","East Germany","","","",""
"Never","1992","16-34 y.","West Germany","","","",""
"Never","1992","16-34 y.","East Germany","","","",""
"Never","1992","35-65 y.","West Germany","","","",""
"Never","1992","35-65 y.","East Germany","","","",""
"Never","1992","66 and older","West Germany","","","",""
"Never","1992","66 and older","East Germany","","","",""
"Daily","1993","16-34 y.","West Germany","","","",""
"Daily","1993","16-34 y.","East Germany","","","",""
"Daily","1993","35-65 y.","West Germany","","","",""
"Daily","1993","35-65 y.","East Germany","","","",""
"Daily","1993","66 and older","West Germany","","","",""
"Daily","1993","66 and older","East Germany","","","",""
"Min 1x per week","1993","16-34 y.","West Germany","","","",""
"Min 1x per week","1993","16-34 y.","East Germany","","","",""
"Min 1x per week","1993","35-65 y.","West Germany","","","",""
"Min 1x per week","1993","35-65 y.","East Germany","","","",""
"Min 1x per week","1993","66 and older","West Germany","","","",""
"Min 1x per week","1993","66 and older","East Germany","","","",""
"Min 1x per month","1993","16-34 y.","West Germany","","","",""
"Min 1x per month","1993","16-34 y.","East Germany","","","",""
"Min 1x per month","1993","35-65 y.","West Germany","","","",""
"Min 1x per month","1993","35-65 y.","East Germany","","","",""
"Min 1x per month","1993","66 and older","West Germany","","","",""
"Min 1x per month","1993","66 and older","East Germany","","","",""
"Rarely","1993","16-34 y.","West Germany","","","",""
"Rarely","1993","16-34 y.","East Germany","","","",""
"Rarely","1993","35-65 y.","West Germany","","","",""
"Rarely","1993","35-65 y.","East Germany","","","",""
"Rarely","1993","66 and older","West Germany","","","",""
"Rarely","1993","66 and older","East Germany","","","",""
"Never","1993","16-34 y.","West Germany","","","",""
"Never","1993","16-34 y.","East Germany","","","",""
"Never","1993","35-65 y.","West Germany","","","",""
"Never","1993","35-65 y.","East Germany","","","",""
"Never","1993","66 and older","West Germany","","","",""
"Never","1993","66 and older","East Germany","","","",""
"Daily","1994","16-34 y.","West Germany","","","",""
"Daily","1994","16-34 y.","East Germany","","","",""
"Daily","1994","35-65 y.","West Germany","","","",""
"Daily","1994","35-65 y.","East Germany","","","",""
"Daily","1994","66 and older","West Germany","","","",""
"Daily","1994","66 and older","East Germany","","","",""
"Min 1x per week","1994","16-34 y.","West Germany","","","",""
"Min 1x per week","1994","16-34 y.","East Germany","","","",""
"Min 1x per week","1994","35-65 y.","West Germany","","","",""
"Min 1x per week","1994","35-65 y.","East Germany","","","",""
"Min 1x per week","1994","66 and older","West Germany","","","",""
"Min 1x per week","1994","66 and older","East Germany","","","",""
"Min 1x per month","1994","16-34 y.","West Germany","","","",""
"Min 1x per month","1994","16-34 y.","East Germany","","","",""
"Min 1x per month","1994","35-65 y.","West Germany","","","",""
"Min 1x per month","1994","35-65 y.","East Germany","","","",""
"Min 1x per month","1994","66 and older","West Germany","","","",""
"Min 1x per month","1994","66 and older","East Germany","","","",""
"Rarely","1994","16-34 y.","West Germany","","","",""
"Rarely","1994","16-34 y.","East Germany","","","",""
"Rarely","1994","35-65 y.","West Germany","","","",""
"Rarely","1994","35-65 y.","East Germany","","","",""
"Rarely","1994","66 and older","West Germany","","","",""
"Rarely","1994","66 and older","East Germany","","","",""
"Never","1994","16-34 y.","West Germany","","","",""
"Never","1994","16-34 y.","East Germany","","","",""
"Never","1994","35-65 y.","West Germany","","","",""
"Never","1994","35-65 y.","East Germany","","","",""
"Never","1994","66 and older","West Germany","","","",""
"Never","1994","66 and older","East Germany","","","",""
"Daily","1995","16-34 y.","West Germany","440","0.11791122000244","0.107544840263888","0.128277599740992"
"Daily","1995","16-34 y.","East Germany","125","0.090244795972397","0.0741664439239085","0.106323148020886"
"Daily","1995","35-65 y.","West Germany","183","0.0315562012227478","0.0265952098571619","0.0365171925883337"
"Daily","1995","35-65 y.","East Germany","42","0.0283844850569385","0.0212026471021902","0.0355663230116868"
"Daily","1995","66 and older","West Germany","54","0.0465226921981149","0.0342535986525958","0.058791785743634"
"Daily","1995","66 and older","East Germany","33","0.0935406600374028","0.0653548486260166","0.121726471448789"
"Min 1x per week","1995","16-34 y.","West Germany","2110","0.551266523294195","0.535279469238972","0.567253577349419"
"Min 1x per week","1995","16-34 y.","East Germany","520","0.438170551316366","0.410329090514441","0.466012012118291"
"Min 1x per week","1995","35-65 y.","West Germany","1893","0.365607067726306","0.3519399995515","0.379274135901113"
"Min 1x per week","1995","35-65 y.","East Germany","453","0.236466433310198","0.21809061496376","0.254842251656637"
"Min 1x per week","1995","66 and older","West Germany","385","0.335255307516987","0.307754835516865","0.362755779517108"
"Min 1x per week","1995","66 and older","East Germany","131","0.318081596989814","0.27300079435998","0.363162399619648"
"Min 1x per month","1995","16-34 y.","West Germany","795","0.222535898914072","0.209165831074886","0.235905966753259"
"Min 1x per month","1995","16-34 y.","East Germany","335","0.276616918133786","0.251515877969114","0.301717958298457"
"Min 1x per month","1995","35-65 y.","West Germany","1605","0.349481843210068","0.335950811192883","0.363012875227253"
"Min 1x per month","1995","35-65 y.","East Germany","722","0.331570812805173","0.311211471593699","0.351930154016646"
"Min 1x per month","1995","66 and older","West Germany","344","0.300710962945127","0.273997642850836","0.327424283039418"
"Min 1x per month","1995","66 and older","East Germany","102","0.21525874520953","0.175475536594834","0.255041953824225"
"Rarely","1995","16-34 y.","West Germany","338","0.0979796701595254","0.0884238152342601","0.107535525084791"
"Rarely","1995","16-34 y.","East Germany","220","0.174641790002671","0.153337674866765","0.195945905138577"
"Rarely","1995","35-65 y.","West Germany","956","0.22486979742929","0.213021886093244","0.236717708765336"
"Rarely","1995","35-65 y.","East Germany","763","0.361865543613198","0.341084010428784","0.382647076797613"
"Rarely","1995","66 and older","West Germany","279","0.248228919357711","0.223064096740684","0.273393741974739"
"Rarely","1995","66 and older","East Germany","94","0.222051607364754","0.181820821401188","0.26228239332832"
"Never","1995","16-34 y.","West Germany","35","0.010306687629767","0.00706027833554869","0.0135530969239854"
"Never","1995","16-34 y.","East Germany","20","","",""
"Never","1995","35-65 y.","West Germany","133","0.0284850904115884","0.0237642161035223","0.0332059647196544"
"Never","1995","35-65 y.","East Germany","74","0.0417127252144922","0.0330664309070569","0.0503590195219275"
"Never","1995","66 and older","West Germany","70","0.0692821179820602","0.0544895189798135","0.0840747169843069"
"Never","1995","66 and older","East Germany","50","0.151067390398499","0.116403433635836","0.185731347161163"
"Daily","1996","16-34 y.","West Germany","","","",""
"Daily","1996","16-34 y.","East Germany","","","",""
"Daily","1996","35-65 y.","West Germany","","","",""
"Daily","1996","35-65 y.","East Germany","","","",""
"Daily","1996","66 and older","West Germany","","","",""
"Daily","1996","66 and older","East Germany","","","",""
"Min 1x per week","1996","16-34 y.","West Germany","","","",""
"Min 1x per week","1996","16-34 y.","East Germany","","","",""
"Min 1x per week","1996","35-65 y.","West Germany","","","",""
"Min 1x per week","1996","35-65 y.","East Germany","","","",""
"Min 1x per week","1996","66 and older","West Germany","","","",""
"Min 1x per week","1996","66 and older","East Germany","","","",""
"Min 1x per month","1996","16-34 y.","West Germany","","","",""
"Min 1x per month","1996","16-34 y.","East Germany","","","",""
"Min 1x per month","1996","35-65 y.","West Germany","","","",""
"Min 1x per month","1996","35-65 y.","East Germany","","","",""
"Min 1x per month","1996","66 and older","West Germany","","","",""
"Min 1x per month","1996","66 and older","East Germany","","","",""
"Rarely","1996","16-34 y.","West Germany","","","",""
"Rarely","1996","16-34 y.","East Germany","","","",""
"Rarely","1996","35-65 y.","West Germany","","","",""
"Rarely","1996","35-65 y.","East Germany","","","",""
"Rarely","1996","66 and older","West Germany","","","",""
"Rarely","1996","66 and older","East Germany","","","",""
"Never","1996","16-34 y.","West Germany","","","",""
"Never","1996","16-34 y.","East Germany","","","",""
"Never","1996","35-65 y.","West Germany","","","",""
"Never","1996","35-65 y.","East Germany","","","",""
"Never","1996","66 and older","West Germany","","","",""
"Never","1996","66 and older","East Germany","","","",""
"Daily","1997","16-34 y.","West Germany","","","",""
"Daily","1997","16-34 y.","East Germany","","","",""
"Daily","1997","35-65 y.","West Germany","","","",""
"Daily","1997","35-65 y.","East Germany","","","",""
"Daily","1997","66 and older","West Germany","","","",""
"Daily","1997","66 and older","East Germany","","","",""
"Min 1x per week","1997","16-34 y.","West Germany","","","",""
"Min 1x per week","1997","16-34 y.","East Germany","","","",""
"Min 1x per week","1997","35-65 y.","West Germany","","","",""
"Min 1x per week","1997","35-65 y.","East Germany","","","",""
"Min 1x per week","1997","66 and older","West Germany","","","",""
"Min 1x per week","1997","66 and older","East Germany","","","",""
"Min 1x per month","1997","16-34 y.","West Germany","","","",""
"Min 1x per month","1997","16-34 y.","East Germany","","","",""
"Min 1x per month","1997","35-65 y.","West Germany","","","",""
"Min 1x per month","1997","35-65 y.","East Germany","","","",""
"Min 1x per month","1997","66 and older","West Germany","","","",""
"Min 1x per month","1997","66 and older","East Germany","","","",""
"Rarely","1997","16-34 y.","West Germany","","","",""
"Rarely","1997","16-34 y.","East Germany","","","",""
"Rarely","1997","35-65 y.","West Germany","","","",""
"Rarely","1997","35-65 y.","East Germany","","","",""
"Rarely","1997","66 and older","West Germany","","","",""
"Rarely","1997","66 and older","East Germany","","","",""
"Never","1997","16-34 y.","West Germany","","","",""
"Never","1997","16-34 y.","East Germany","","","",""
"Never","1997","35-65 y.","West Germany","","","",""
"Never","1997","35-65 y.","East Germany","","","",""
"Never","1997","66 and older","West Germany","","","",""
