"pli0080","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","Urban Area","80","0.0788747652159958","0.0608495736495618","0.0968999567824297","1"
"Daily","1990","1-pers.-HH","Rural Area","9","","","","1"
"Daily","1990","(Married) couple without C. ","Urban Area","57","0.0256197659390473","0.0184200719410822","0.0328194599370124","1"
"Daily","1990","(Married) couple without C. ","Rural Area","9","","","","1"
"Daily","1990","Single parent ","Urban Area","37","0.0655484846882036","0.0403647085203167","0.0907322608560904","1"
"Daily","1990","Single parent ","Rural Area","6","","","","1"
"Daily","1990","Couple + C. LE 16 ","Urban Area","89","0.045092244351083","0.0351190656102318","0.0550654230919342","1"
"Daily","1990","Couple + C. LE 16 ","Rural Area","20","","","","1"
"Daily","1990","Couple + C. GT 16 ","Urban Area","143","0.0570242966595442","0.0456654916271472","0.0683831016919413","1"
"Daily","1990","Couple + C. GT 16 ","Rural Area","26","","","","1"
"Daily","1990","Couple + C. LE and GT 16","Urban Area","85","0.0927667399519437","0.071765171373802","0.113768308530085","1"
"Daily","1990","Couple + C. LE and GT 16","Rural Area","17","","","","1"
"Min 1x per month","1990","1-pers.-HH","Rural Area","44","0.24527019859524","0.182064500744612","0.308475896445868","3"
"Min 1x per month","1990","(Married) couple without C. ","Rural Area","159","0.351416032917612","0.307693104458508","0.395138961376715","3"
"Min 1x per month","1990","(Married) couple without C. ","Urban Area","598","0.346971973909707","0.325281185625343","0.368662762194071","3"
"Min 1x per month","1990","1-pers.-HH","Urban Area","187","0.224076147093245","0.196191903071144","0.251960391115346","3"
"Min 1x per month","1990","Single parent ","Rural Area","19","","","","3"
"Min 1x per month","1990","Single parent ","Urban Area","76","0.233072083739459","0.190050782818071","0.276093384660847","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Urban Area","379","0.270629923898803","0.248867147319605","0.292392700478","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Urban Area","542","0.356749378404403","0.333725754295034","0.379773002513772","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Rural Area","140","0.354277005799319","0.308697195214205","0.399856816384432","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Rural Area","156","0.351855184745403","0.307879056230472","0.395831313260334","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","Rural Area","55","0.404434855440599","0.327171926622328","0.481697784258871","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","Urban Area","168","0.251778077451426","0.220357057785366","0.283199097117486","3"
"Min 1x per week","1990","(Married) couple without C. ","Rural Area","167","0.322459999233357","0.279652412383428","0.365267586083287","2"
"Min 1x per week","1990","1-pers.-HH","Rural Area","76","0.410702359624389","0.338430531573676","0.482974187675101","2"
"Min 1x per week","1990","1-pers.-HH","Urban Area","425","0.478031989770119","0.44462772379824","0.511436255741998","2"
"Min 1x per week","1990","(Married) couple without C. ","Urban Area","743","0.358672511231824","0.33681749158941","0.380527530874238","2"
"Min 1x per week","1990","Single parent ","Urban Area","173","0.4706203347721","0.419830113144603","0.521410556399597","2"
"Min 1x per week","1990","Single parent ","Rural Area","43","0.454774245921807","0.352465324317102","0.557083167526511","2"
"Min 1x per week","1990","Couple + C. LE 16 ","Urban Area","736","0.393600421247625","0.37011982130666","0.417081021188589","2"
"Min 1x per week","1990","Couple + C. LE 16 ","Rural Area","168","0.353173907636338","0.307626257303937","0.398721557968739","2"
"Min 1x per week","1990","Couple + C. GT 16 ","Rural Area","158","0.319627954098642","0.276684734849304","0.36257117334798","2"
"Min 1x per week","1990","Couple + C. GT 16 ","Urban Area","698","0.38388628203094","0.360063956173087","0.407708607888794","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","Urban Area","348","0.42645182992331","0.390649108107004","0.462254551739615","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","Rural Area","45","0.281161653050993","0.210387300621542","0.351936005480444","2"
"Never","1990","1-pers.-HH","Urban Area","41","0.0574539752274821","0.0418920675834373","0.0730158828715269","5"
"Never","1990","1-pers.-HH","Rural Area","12","","","","5"
"Never","1990","(Married) couple without C. ","Urban Area","56","0.0314585277347419","0.0235044371157949","0.0394126183536888","5"
"Never","1990","Couple + C. LE 16 ","Rural Area","7","","","","5"
"Never","1990","(Married) couple without C. ","Rural Area","10","","","","5"
"Never","1990","Single parent ","Urban Area","17","","","","5"
"Never","1990","Single parent ","Rural Area","3","","","","5"
