"pli0080","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","Urban Area","208","0.041095939555315","0.0345621406894335","0.0476297384211965"
"Daily","1990","Full Time","Rural Area","40","0.0322723617108093","0.0206094833793044","0.0439352400423143"
"Daily","1990","Part Time","Urban Area","99","0.0621872571569547","0.0493430597458355","0.0750314545680738"
"Daily","1990","Part Time","Rural Area","27","","",""
"Daily","1990","Not Working","Urban Area","221","0.0625395900000893","0.0533587198069298","0.0717204601932488"
"Daily","1990","Not Working","Rural Area","32","0.0418665713369806","0.0266211995098047","0.0571119431641564"
"Min 1x per week","1990","Full Time","Urban Area","1620","0.424149113038089","0.407882653882818","0.440415572193359"
"Min 1x per week","1990","Full Time","Rural Area","358","0.377803639398034","0.345806540747592","0.409800738048477"
"Min 1x per week","1990","Part Time","Urban Area","657","0.449518124255892","0.423060958280115","0.47597529023167"
"Min 1x per week","1990","Part Time","Rural Area","121","0.307286554561773","0.25995505692203","0.354618052201517"
"Min 1x per week","1990","Not Working","Urban Area","1113","0.377143317008513","0.358766210320614","0.395520423696412"
"Min 1x per week","1990","Not Working","Rural Area","232","0.332590422240012","0.296727769292274","0.368453075187751"
"Min 1x per month","1990","Full Time","Urban Area","980","0.303431041702786","0.288299234897946","0.318562848507625"
"Min 1x per month","1990","Full Time","Rural Area","299","0.355889515381611","0.324292098536948","0.387486932226275"
"Min 1x per month","1990","Part Time","Urban Area","350","0.280792929670697","0.256891809018624","0.304694050322769"
"Min 1x per month","1990","Part Time","Rural Area","123","0.362262325396078","0.3129524073181","0.411572243474056"
"Min 1x per month","1990","Not Working","Urban Area","729","0.288059071094056","0.270888188351169","0.305229953836944"
"Min 1x per month","1990","Not Working","Rural Area","192","0.286413165159887","0.252001060927474","0.3208252693923"
"Rarely","1990","Full Time","Urban Area","662","0.214522927374248","0.201012087740189","0.228033767008307"
"Rarely","1990","Full Time","Rural Area","170","0.216856984508233","0.189659981758983","0.244053987257484"
"Rarely","1990","Part Time","Urban Area","226","0.182489405761084","0.161946412235693","0.203032399286475"
"Rarely","1990","Part Time","Rural Area","88","0.251821002527937","0.207291238939248","0.296350766116627"
"Rarely","1990","Not Working","Urban Area","502","0.218775053971077","0.203099719537031","0.234450388405122"
"Rarely","1990","Not Working","Rural Area","181","0.290888739779346","0.256317737339604","0.325459742219088"
"Never","1990","Full Time","Urban Area","76","0.0168009783295631","0.0125707215507264","0.0210312351083998"
"Never","1990","Full Time","Rural Area","15","","",""
"Never","1990","Part Time","Urban Area","26","","",""
"Never","1990","Part Time","Rural Area","6","","",""
"Never","1990","Not Working","Urban Area","107","0.0534829679262647","0.0449519308284979","0.0620140050240316"
"Never","1990","Not Working","Rural Area","26","","",""
"Daily","1991","Full Time","Urban Area","","","",""
"Daily","1991","Full Time","Rural Area","","","",""
"Daily","1991","Part Time","Urban Area","","","",""
"Daily","1991","Part Time","Rural Area","","","",""
"Daily","1991","Not Working","Urban Area","","","",""
"Daily","1991","Not Working","Rural Area","","","",""
"Min 1x per week","1991","Full Time","Urban Area","","","",""
"Min 1x per week","1991","Full Time","Rural Area","","","",""
"Min 1x per week","1991","Part Time","Urban Area","","","",""
"Min 1x per week","1991","Part Time","Rural Area","","","",""
"Min 1x per week","1991","Not Working","Urban Area","","","",""
"Min 1x per week","1991","Not Working","Rural Area","","","",""
"Min 1x per month","1991","Full Time","Urban Area","","","",""
"Min 1x per month","1991","Full Time","Rural Area","","","",""
"Min 1x per month","1991","Part Time","Urban Area","","","",""
"Min 1x per month","1991","Part Time","Rural Area","","","",""
"Min 1x per month","1991","Not Working","Urban Area","","","",""
"Min 1x per month","1991","Not Working","Rural Area","","","",""
"Rarely","1991","Full Time","Urban Area","","","",""
"Rarely","1991","Full Time","Rural Area","","","",""
"Rarely","1991","Part Time","Urban Area","","","",""
"Rarely","1991","Part Time","Rural Area","","","",""
"Rarely","1991","Not Working","Urban Area","","","",""
"Rarely","1991","Not Working","Rural Area","","","",""
"Never","1991","Full Time","Urban Area","","","",""
"Never","1991","Full Time","Rural Area","","","",""
"Never","1991","Part Time","Urban Area","","","",""
"Never","1991","Part Time","Rural Area","","","",""
"Never","1991","Not Working","Urban Area","","","",""
"Never","1991","Not Working","Rural Area","","","",""
"Daily","1992","Full Time","Urban Area","","","",""
"Daily","1992","Full Time","Rural Area","","","",""
"Daily","1992","Part Time","Urban Area","","","",""
"Daily","1992","Part Time","Rural Area","","","",""
"Daily","1992","Not Working","Urban Area","","","",""
"Daily","1992","Not Working","Rural Area","","","",""
"Min 1x per week","1992","Full Time","Urban Area","","","",""
"Min 1x per week","1992","Full Time","Rural Area","","","",""
"Min 1x per week","1992","Part Time","Urban Area","","","",""
"Min 1x per week","1992","Part Time","Rural Area","","","",""
"Min 1x per week","1992","Not Working","Urban Area","","","",""
"Min 1x per week","1992","Not Working","Rural Area","","","",""
"Min 1x per month","1992","Full Time","Urban Area","","","",""
"Min 1x per month","1992","Full Time","Rural Area","","","",""
"Min 1x per month","1992","Part Time","Urban Area","","","",""
"Min 1x per month","1992","Part Time","Rural Area","","","",""
"Min 1x per month","1992","Not Working","Urban Area","","","",""
"Min 1x per month","1992","Not Working","Rural Area","","","",""
"Rarely","1992","Full Time","Urban Area","","","",""
"Rarely","1992","Full Time","Rural Area","","","",""
"Rarely","1992","Part Time","Urban Area","","","",""
"Rarely","1992","Part Time","Rural Area","","","",""
"Rarely","1992","Not Working","Urban Area","","","",""
"Rarely","1992","Not Working","Rural Area","","","",""
"Never","1992","Full Time","Urban Area","","","",""
"Never","1992","Full Time","Rural Area","","","",""
"Never","1992","Part Time","Urban Area","","","",""
"Never","1992","Part Time","Rural Area","","","",""
"Never","1992","Not Working","Urban Area","","","",""
"Never","1992","Not Working","Rural Area","","","",""
"Daily","1993","Full Time","Urban Area","","","",""
"Daily","1993","Full Time","Rural Area","","","",""
"Daily","1993","Part Time","Urban Area","","","",""
"Daily","1993","Part Time","Rural Area","","","",""
"Daily","1993","Not Working","Urban Area","","","",""
"Daily","1993","Not Working","Rural Area","","","",""
"Min 1x per week","1993","Full Time","Urban Area","","","",""
"Min 1x per week","1993","Full Time","Rural Area","","","",""
"Min 1x per week","1993","Part Time","Urban Area","","","",""
"Min 1x per week","1993","Part Time","Rural Area","","","",""
"Min 1x per week","1993","Not Working","Urban Area","","","",""
"Min 1x per week","1993","Not Working","Rural Area","","","",""
"Min 1x per month","1993","Full Time","Urban Area","","","",""
"Min 1x per month","1993","Full Time","Rural Area","","","",""
"Min 1x per month","1993","Part Time","Urban Area","","","",""
"Min 1x per month","1993","Part Time","Rural Area","","","",""
"Min 1x per month","1993","Not Working","Urban Area","","","",""
"Min 1x per month","1993","Not Working","Rural Area","","","",""
"Rarely","1993","Full Time","Urban Area","","","",""
"Rarely","1993","Full Time","Rural Area","","","",""
"Rarely","1993","Part Time","Urban Area","","","",""
"Rarely","1993","Part Time","Rural Area","","","",""
"Rarely","1993","Not Working","Urban Area","","","",""
"Rarely","1993","Not Working","Rural Area","","","",""
"Never","1993","Full Time","Urban Area","","","",""
"Never","1993","Full Time","Rural Area","","","",""
"Never","1993","Part Time","Urban Area","","","",""
"Never","1993","Part Time","Rural Area","","","",""
"Never","1993","Not Working","Urban Area","","","",""
"Never","1993","Not Working","Rural Area","","","",""
"Daily","1994","Full Time","Urban Area","","","",""
"Daily","1994","Full Time","Rural Area","","","",""
"Daily","1994","Part Time","Urban Area","","","",""
"Daily","1994","Part Time","Rural Area","","","",""
"Daily","1994","Not Working","Urban Area","","","",""
"Daily","1994","Not Working","Rural Area","","","",""
"Min 1x per week","1994","Full Time","Urban Area","","","",""
