"pli0080","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","no migration background","200","0.0834198464302578","0.0725083721337162","0.0943313207267994","1"
"Daily","1990","16-34 y.","direct migration background","134","0.143727599904586","0.120971975238724","0.166483224570447","1"
"Daily","1990","16-34 y.","indirect migration background","59","0.19348533583184","0.145923860694964","0.241046810968717","1"
"Daily","1990","35-65 y.","no migration background","61","0.0191478599334759","0.0144084724671313","0.0238872473998205","1"
"Daily","1990","35-65 y.","direct migration background","127","0.0607202869616502","0.048819729298293","0.0726208446250075","1"
"Daily","1990","35-65 y.","indirect migration background","2","","","","1"
"Daily","1990","66 and older","no migration background","42","0.0463305645465039","0.0331093545246037","0.0595517745684042","1"
"Daily","1990","66 and older","direct migration background","2","","","","1"
"Daily","1990","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1990","66 and older","no migration background","278","0.26144768263855","0.233808734750544","0.289086630526555","3"
"Min 1x per month","1990","66 and older","indirect migration background","2","","","","3"
"Min 1x per month","1990","35-65 y.","indirect migration background","4","","","","3"
"Min 1x per month","1990","16-34 y.","no migration background","587","0.238031097703384","0.221225692456266","0.254836502950502","3"
"Min 1x per month","1990","16-34 y.","direct migration background","141","0.175329508084535","0.150664546865929","0.19999446930314","3"
"Min 1x per month","1990","16-34 y.","indirect migration background","32","0.125467160919114","0.085585039576852","0.165349282261375","3"
"Min 1x per month","1990","35-65 y.","no migration background","1213","0.374564430814355","0.357825994749033","0.391302866879676","3"
"Min 1x per month","1990","35-65 y.","direct migration background","393","0.298722566103164","0.275914845619614","0.321530286586713","3"
"Min 1x per month","1990","66 and older","direct migration background","23","","","","3"
"Min 1x per week","1990","16-34 y.","indirect migration background","144","0.505841684497522","0.445645978064906","0.566037390930138","2"
"Min 1x per week","1990","66 and older","no migration background","305","0.335014121276611","0.305326442360999","0.364701800192223","2"
"Min 1x per week","1990","16-34 y.","no migration background","1323","0.542659984840333","0.52300163695308","0.562318332727586","2"
"Min 1x per week","1990","16-34 y.","direct migration background","538","0.540876172236923","0.508552064676706","0.57320027979714","2"
"Min 1x per week","1990","35-65 y.","indirect migration background","12","","","","2"
"Min 1x per week","1990","66 and older","indirect migration background","1","","","","2"
"Min 1x per week","1990","35-65 y.","direct migration background","762","0.403831154035471","0.379380668773326","0.428281639297616","2"
"Min 1x per week","1990","66 and older","direct migration background","28","","","","2"
"Min 1x per week","1990","35-65 y.","no migration background","988","0.30671788719445","0.290770671354292","0.322665103034608","2"
"Never","1990","35-65 y.","direct migration background","44","0.0295764725237928","0.0211342502811882","0.0380186947663974","5"
"Never","1990","35-65 y.","no migration background","76","0.0261529783201876","0.0206339036509347","0.0316720529894405","5"
"Never","1990","16-34 y.","no migration background","24","","","","5"
"Never","1990","16-34 y.","direct migration background","18","","","","5"
"Never","1990","16-34 y.","indirect migration background","7","","","","5"
"Never","1990","35-65 y.","indirect migration background","2","","","","5"
"Never","1990","66 and older","no migration background","70","0.0793680767104068","0.0623659041625796","0.096370249258234","5"
"Never","1990","66 and older","direct migration background","15","","","","5"
"Never","1990","66 and older","indirect migration background","","","","","5"
"Rarely","1990","35-65 y.","indirect migration background","4","","","","4"
"Rarely","1990","16-34 y.","indirect migration background","23","","","","4"
"Rarely","1990","66 and older","direct migration background","14","","","","4"
"Rarely","1990","66 and older","indirect migration background","2","","","","4"
"Rarely","1990","16-34 y.","no migration background","333","0.126781250704858","0.11365161857035","0.139910882839366","4"
"Rarely","1990","16-34 y.","direct migration background","82","0.125420890569293","0.10393777859616","0.146904002542425","4"
"Rarely","1990","35-65 y.","direct migration background","221","0.207149520375922","0.186954674323636","0.227344366428208","4"
"Rarely","1990","66 and older","no migration background","276","0.277839554827929","0.249665304961205","0.306013804694652","4"
"Rarely","1990","35-65 y.","no migration background","874","0.273416843737532","0.258002834376364","0.288830853098701","4"
"Daily","1991","16-34 y.","no migration background","","","","","1"
"Daily","1991","16-34 y.","direct migration background","","","","","1"
"Daily","1991","16-34 y.","indirect migration background","","","","","1"
"Daily","1991","35-65 y.","no migration background","","","","","1"
"Daily","1991","35-65 y.","direct migration background","","","","","1"
"Daily","1991","35-65 y.","indirect migration background","","","","","1"
"Daily","1991","66 and older","no migration background","","","","","1"
"Daily","1991","66 and older","direct migration background","","","","","1"
"Daily","1991","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1991","66 and older","no migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","no migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","direct migration background","","","","","3"
"Min 1x per month","1991","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","indirect migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","no migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","direct migration background","","","","","3"
"Min 1x per month","1991","66 and older","direct migration background","","","","","3"
"Min 1x per week","1991","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1991","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1991","66 and older","no migration background","","","","","2"
"Min 1x per week","1991","16-34 y.","no migration background","","","","","2"
"Min 1x per week","1991","16-34 y.","direct migration background","","","","","2"
"Min 1x per week","1991","35-65 y.","direct migration background","","","","","2"
"Min 1x per week","1991","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1991","35-65 y.","no migration background","","","","","2"
"Min 1x per week","1991","66 and older","direct migration background","","","","","2"
"Never","1991","35-65 y.","direct migration background","","","","","5"
"Never","1991","16-34 y.","no migration background","","","","","5"
"Never","1991","35-65 y.","no migration background","","","","","5"
"Never","1991","16-34 y.","direct migration background","","","","","5"
"Never","1991","16-34 y.","indirect migration background","","","","","5"
"Never","1991","35-65 y.","indirect migration background","","","","","5"
"Never","1991","66 and older","no migration background","","","","","5"
"Never","1991","66 and older","direct migration background","","","","","5"
"Never","1991","66 and older","indirect migration background","","","","","5"
"Rarely","1991","16-34 y.","indirect migration background","","","","","4"
"Rarely","1991","35-65 y.","indirect migration background","","","","","4"
"Rarely","1991","16-34 y.","direct migration background","","","","","4"
"Rarely","1991","66 and older","direct migration background","","","","","4"
"Rarely","1991","66 and older","indirect migration background","","","","","4"
"Rarely","1991","16-34 y.","no migration background","","","","","4"
"Rarely","1991","35-65 y.","no migration background","","","","","4"
"Rarely","1991","35-65 y.","direct migration background","","","","","4"
"Rarely","1991","66 and older","no migration background","","","","","4"
"Daily","1992","16-34 y.","no migration background","","","","","1"
"Daily","1992","16-34 y.","direct migration background","","","","","1"
"Daily","1992","16-34 y.","indirect migration background","","","","","1"
"Daily","1992","35-65 y.","no migration background","","","","","1"
"Daily","1992","35-65 y.","direct migration background","","","","","1"
"Daily","1992","35-65 y.","indirect migration background","","","","","1"
"Daily","1992","66 and older","no migration background","","","","","1"
"Daily","1992","66 and older","direct migration background","","","","","1"
"Daily","1992","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1992","16-34 y.","direct migration background","","","","","3"
"Min 1x per month","1992","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1992","66 and older","no migration background","","","","","3"
"Min 1x per month","1992","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1992","16-34 y.","no migration background","","","","","3"
"Min 1x per month","1992","16-34 y.","indirect migration background","","","","","3"
"Min 1x per month","1992","35-65 y.","no migration background","","","","","3"
"Min 1x per month","1992","35-65 y.","direct migration background","","","","","3"
"Min 1x per month","1992","66 and older","direct migration background","","","","","3"
"Min 1x per week","1992","16-34 y.","no migration background","","","","","2"
"Min 1x per week","1992","16-34 y.","direct migration background","","","","","2"
"Min 1x per week","1992","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1992","35-65 y.","direct migration background","","","","","2"
"Min 1x per week","1992","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1992","66 and older","no migration background","","","","","2"
"Min 1x per week","1992","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1992","35-65 y.","no migration background","","","","","2"
"Min 1x per week","1992","66 and older","direct migration background","","","","","2"
"Never","1992","16-34 y.","no migration background","","","","","5"
"Never","1992","35-65 y.","no migration background","","","","","5"
"Never","1992","35-65 y.","direct migration background","","","","","5"
"Never","1992","16-34 y.","direct migration background","","","","","5"
"Never","1992","16-34 y.","indirect migration background","","","","","5"
"Never","1992","35-65 y.","indirect migration background","","","","","5"
"Never","1992","66 and older","no migration background","","","","","5"
"Never","1992","66 and older","direct migration background","","","","","5"
"Never","1992","66 and older","indirect migration background","","","","","5"
"Rarely","1992","16-34 y.","direct migration background","","","","","4"
"Rarely","1992","16-34 y.","indirect migration background","","","","","4"
"Rarely","1992","35-65 y.","indirect migration background","","","","","4"
"Rarely","1992","66 and older","indirect migration background","","","","","4"
"Rarely","1992","16-34 y.","no migration background","","","","","4"
"Rarely","1992","66 and older","direct migration background","","","","","4"
"Rarely","1992","35-65 y.","no migration background","","","","","4"
"Rarely","1992","35-65 y.","direct migration background","","","","","4"
"Rarely","1992","66 and older","no migration background","","","","","4"
"Daily","1993","16-34 y.","no migration background","","","","","1"
"Daily","1993","16-34 y.","direct migration background","","","","","1"
"Daily","1993","16-34 y.","indirect migration background","","","","","1"
"Daily","1993","35-65 y.","no migration background","","","","","1"
"Daily","1993","35-65 y.","direct migration background","","","","","1"
"Daily","1993","35-65 y.","indirect migration background","","","","","1"
"Daily","1993","66 and older","no migration background","","","","","1"
"Daily","1993","66 and older","direct migration background","","","","","1"
"Daily","1993","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1993","16-34 y.","direct migration background","","","","","3"
"Min 1x per month","1993","16-34 y.","indirect migration background","","","","","3"
"Min 1x per month","1993","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1993","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1993","16-34 y.","no migration background","","","","","3"
"Min 1x per month","1993","35-65 y.","direct migration background","","","","","3"
"Min 1x per month","1993","35-65 y.","no migration background","","","","","3"
"Min 1x per month","1993","66 and older","no migration background","","","","","3"
"Min 1x per month","1993","66 and older","direct migration background","","","","","3"
"Min 1x per week","1993","66 and older","no migration background","","","","","2"
"Min 1x per week","1993","16-34 y.","direct migration background","","","","","2"
"Min 1x per week","1993","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1993","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1993","16-34 y.","no migration background","","","","","2"
"Min 1x per week","1993","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1993","35-65 y.","direct migration background","","","","","2"
"Min 1x per week","1993","35-65 y.","no migration background","","","","","2"
"Min 1x per week","1993","66 and older","direct migration background","","","","","2"
"Never","1993","16-34 y.","no migration background","","","","","5"
"Never","1993","16-34 y.","direct migration background","","","","","5"
"Never","1993","16-34 y.","indirect migration background","","","","","5"
"Never","1993","35-65 y.","no migration background","","","","","5"
"Never","1993","35-65 y.","direct migration background","","","","","5"
"Never","1993","35-65 y.","indirect migration background","","","","","5"
"Never","1993","66 and older","no migration background","","","","","5"
"Never","1993","66 and older","direct migration background","","","","","5"
"Never","1993","66 and older","indirect migration background","","","","","5"
"Rarely","1993","35-65 y.","indirect migration background","","","","","4"
"Rarely","1993","16-34 y.","indirect migration background","","","","","4"
"Rarely","1993","16-34 y.","direct migration background","","","","","4"
"Rarely","1993","16-34 y.","no migration background","","","","","4"
"Rarely","1993","35-65 y.","direct migration background","","","","","4"
"Rarely","1993","35-65 y.","no migration background","","","","","4"
"Rarely","1993","66 and older","direct migration background","","","","","4"
"Rarely","1993","66 and older","indirect migration background","","","","","4"
"Rarely","1993","66 and older","no migration background","","","","","4"
"Daily","1994","16-34 y.","no migration background","","","","","1"
"Daily","1994","16-34 y.","direct migration background","","","","","1"
"Daily","1994","16-34 y.","indirect migration background","","","","","1"
"Daily","1994","35-65 y.","no migration background","","","","","1"
"Daily","1994","35-65 y.","direct migration background","","","","","1"
"Daily","1994","35-65 y.","indirect migration background","","","","","1"
"Daily","1994","66 and older","no migration background","","","","","1"
"Daily","1994","66 and older","direct migration background","","","","","1"
"Daily","1994","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1994","16-34 y.","no migration background","","","","","3"
"Min 1x per month","1994","16-34 y.","direct migration background","","","","","3"
"Min 1x per month","1994","16-34 y.","indirect migration background","","","","","3"
"Min 1x per month","1994","35-65 y.","no migration background","","","","","3"
"Min 1x per month","1994","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1994","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1994","35-65 y.","direct migration background","","","","","3"
"Min 1x per month","1994","66 and older","no migration background","","","","","3"
"Min 1x per month","1994","66 and older","direct migration background","","","","","3"
"Min 1x per week","1994","16-34 y.","direct migration background","","","","","2"
"Min 1x per week","1994","16-34 y.","no migration background","","","","","2"
"Min 1x per week","1994","35-65 y.","no migration background","","","","","2"
"Min 1x per week","1994","35-65 y.","direct migration background","","","","","2"
"Min 1x per week","1994","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1994","66 and older","no migration background","","","","","2"
"Min 1x per week","1994","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1994","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1994","66 and older","direct migration background","","","","","2"
"Never","1994","16-34 y.","no migration background","","","","","5"
"Never","1994","16-34 y.","direct migration background","","","","","5"
"Never","1994","16-34 y.","indirect migration background","","","","","5"
"Never","1994","35-65 y.","no migration background","","","","","5"
"Never","1994","35-65 y.","direct migration background","","","","","5"
"Never","1994","35-65 y.","indirect migration background","","","","","5"
"Never","1994","66 and older","no migration background","","","","","5"
"Never","1994","66 and older","direct migration background","","","","","5"
"Never","1994","66 and older","indirect migration background","","","","","5"
"Rarely","1994","16-34 y.","no migration background","","","","","4"
"Rarely","1994","16-34 y.","direct migration background","","","","","4"
"Rarely","1994","16-34 y.","indirect migration background","","","","","4"
"Rarely","1994","35-65 y.","direct migration background","","","","","4"
"Rarely","1994","35-65 y.","indirect migration background","","","","","4"
"Rarely","1994","35-65 y.","no migration background","","","","","4"
"Rarely","1994","66 and older","direct migration background","","","","","4"
"Rarely","1994","66 and older","indirect migration background","","","","","4"
"Rarely","1994","66 and older","no migration background","","","","","4"
"Daily","1995","16-34 y.","no migration background","330","0.0997857603509199","0.0898832413991896","0.10968827930265","1"
"Daily","1995","16-34 y.","direct migration background","117","0.129165850567562","0.107748575256734","0.15058312587839","1"
"Daily","1995","16-34 y.","indirect migration background","118","0.26571122542841","0.226071804894848","0.305350645961973","1"
"Daily","1995","35-65 y.","no migration background","115","0.0273390285543389","0.0228853716146671","0.0317926854940107","1"
"Daily","1995","35-65 y.","direct migration background","110","0.0508334209938407","0.0402218651602329","0.0614449768274485","1"
"Daily","1995","35-65 y.","indirect migration background","","","","","1"
"Daily","1995","66 and older","no migration background","69","0.0526013107290253","0.0405722188586154","0.0646304025994352","1"
