"pli0080","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1990","(2a) intermediate vocational","higher vocational","62","0.396358282438563","0.321496569703303","0.471219995173823"
"Min 1x per week","1990","(2a) intermediate vocational","higher education","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","in school","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","middle vocational","205","0.598447781669199","0.546493758529258","0.65040180480914"
"Min 1x per week","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","vocational + Abi","148","0.480040961602561","0.422932805195575","0.537149118009548"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","higher vocational","57","0.456190110699469","0.366322422237929","0.54605779916101"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","in school","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","inadequately","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","general elemantary","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","middle vocational","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","higher vocational","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","higher education","96","0.40467789707135","0.342188740368478","0.467167053774222"
"Min 1x per week","1990","(3b) higher tertiary education","in school","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","inadequately","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","general elemantary","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","middle vocational","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","higher vocational","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","higher education","209","0.455888978100887","0.410473863839131","0.501304092362642"
"Min 1x per month","1990","(0) in school","in school","25","","",""
"Min 1x per month","1990","(0) in school","inadequately","","","",""
"Min 1x per month","1990","(0) in school","general elemantary","","","",""
"Min 1x per month","1990","(0) in school","middle vocational","","","",""
"Min 1x per month","1990","(0) in school","vocational + Abi","","","",""
"Min 1x per month","1990","(0) in school","higher vocational","","","",""
"Min 1x per month","1990","(0) in school","higher education","","","",""
"Min 1x per month","1990","(1a) inadequately completed","in school","","","",""
"Min 1x per month","1990","(1a) inadequately completed","inadequately","113","0.168698371717487","0.138956095290302","0.198440648144673"
"Min 1x per month","1990","(1a) inadequately completed","general elemantary","","","",""
"Min 1x per month","1990","(1a) inadequately completed","middle vocational","16","","",""
"Min 1x per month","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Min 1x per month","1990","(1a) inadequately completed","higher vocational","1","","",""
"Min 1x per month","1990","(1a) inadequately completed","higher education","","","",""
"Min 1x per month","1990","(1b) general elementary school","in school","","","",""
"Min 1x per month","1990","(1b) general elementary school","inadequately","10","","",""
"Min 1x per month","1990","(1b) general elementary school","general elemantary","524","0.283584044516027","0.264374528362944","0.302793560669111"
"Min 1x per month","1990","(1b) general elementary school","middle vocational","","","",""
"Min 1x per month","1990","(1b) general elementary school","vocational + Abi","","","",""
"Min 1x per month","1990","(1b) general elementary school","higher vocational","","","",""
"Min 1x per month","1990","(1b) general elementary school","higher education","","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","in school","","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","inadequately","","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","middle vocational","960","0.325769052316211","0.308984532102961","0.342553572529461"
"Min 1x per month","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
