"pli0080","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","37","0.120779096275716","0.0815444226381948","0.160013769913237"
"Daily","1990","16-34 y.","(Married) couple without C. ","21","","",""
"Daily","1990","16-34 y.","Single parent ","31","0.104451986098317","0.0642197295050654","0.144684242691569"
"Daily","1990","16-34 y.","Couple + C. LE 16 ","73","0.060736774564077","0.0462345791298987","0.0752389699982553"
"Daily","1990","16-34 y.","Couple + C. GT 16 ","124","0.117256996655414","0.0955774880244108","0.138936505286417"
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","74","0.20352435815773","0.161701131242968","0.245347585072491"
"Daily","1990","35-65 y.","1-pers.-HH","27","","",""
"Daily","1990","35-65 y.","(Married) couple without C. ","29","","",""
"Daily","1990","35-65 y.","Single parent ","12","","",""
"Daily","1990","35-65 y.","Couple + C. LE 16 ","36","0.0240460745960804","0.0147535312773665","0.0333386179147943"
"Daily","1990","35-65 y.","Couple + C. GT 16 ","45","0.0200057323015191","0.0118812768235826","0.0281301877794555"
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","28","","",""
"Daily","1990","66 and older","1-pers.-HH","25","","",""
"Daily","1990","66 and older","(Married) couple without C. ","16","","",""
"Daily","1990","66 and older","Single parent ","","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","162","0.637836653060012","0.57996949718233","0.695703808937694"
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","397","0.604384897724563","0.566262273806714","0.642507521642412"
"Min 1x per week","1990","16-34 y.","Single parent ","123","0.573609032071011","0.508553595946797","0.638664468195225"
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","510","0.434454423343873","0.404357635411347","0.464551211276399"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","475","0.570143258891491","0.536783970541206","0.603502547241777"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","179","0.498500302515679","0.446561594434645","0.550439010596712"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","182","0.416591095521592","0.368096386730211","0.465085804312973"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","395","0.304394746878731","0.278095432092988","0.330694061664474"
"Min 1x per week","1990","35-65 y.","Single parent ","84","0.380128722640944","0.314939712133927","0.445317733147961"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","394","0.338905128417638","0.310192774001825","0.367617482833452"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","366","0.244387720217291","0.219453576265561","0.269321864169021"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","214","0.329158339390459","0.289190260450364","0.369126418330555"
"Min 1x per week","1990","66 and older","1-pers.-HH","157","0.415795471114453","0.365912214999464","0.465678727229442"
"Min 1x per week","1990","66 and older","(Married) couple without C. ","118","0.244165234177877","0.206510599880137","0.281819868475616"
"Min 1x per week","1990","66 and older","Single parent ","9","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","15","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","16-34 y.","1-pers.-HH","46","0.183576866821386","0.136965506078661","0.230188227564111"
"Min 1x per month","1990","16-34 y.","(Married) couple without C. ","149","0.255537879008389","0.221533214266393","0.289542543750385"
"Min 1x per month","1990","16-34 y.","Single parent ","34","0.176074133671591","0.125971165764055","0.226177101579127"
"Min 1x per month","1990","16-34 y.","Couple + C. LE 16 ","289","0.316806005674871","0.288558314634156","0.345053696715586"
"Min 1x per month","1990","16-34 y.","Couple + C. GT 16 ","129","0.163868994099614","0.138926006680673","0.188811981518555"
"Min 1x per month","1990","16-34 y.","Couple + C. LE and GT 16","59","0.188696701149248","0.148052661453526","0.22934074084497"
"Min 1x per month","1990","35-65 y.","1-pers.-HH","103","0.286989293029362","0.242491987816973","0.33148659824175"
"Min 1x per month","1990","35-65 y.","(Married) couple without C. ","435","0.396233756752033","0.368279073218667","0.424188440285399"
"Min 1x per month","1990","35-65 y.","Single parent ","54","0.29530186863135","0.234039618128637","0.356564119134064"
"Min 1x per month","1990","35-65 y.","Couple + C. LE 16 ","393","0.392338580411486","0.362720344922054","0.421956815900918"
"Min 1x per month","1990","35-65 y.","Couple + C. GT 16 ","384","0.372208590726186","0.344160316207893","0.400256865244478"
"Min 1x per month","1990","35-65 y.","Couple + C. LE and GT 16","164","0.348777473688362","0.308241580058446","0.389313367318277"
"Min 1x per month","1990","66 and older","1-pers.-HH","82","0.205249233077809","0.1643713208787","0.246127145276918"
"Min 1x per month","1990","66 and older","(Married) couple without C. ","173","0.326928842600613","0.285811958326771","0.368045726874456"
"Min 1x per month","1990","66 and older","Single parent ","7","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","66 and older","Couple + C. GT 16 ","22","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1990","16-34 y.","1-pers.-HH","17","","",""
"Rarely","1990","16-34 y.","(Married) couple without C. ","60","0.102637127816382","0.0789765228070761","0.126297732825688"
"Rarely","1990","16-34 y.","Single parent ","25","","",""
"Rarely","1990","16-34 y.","Couple + C. LE 16 ","155","0.176590890298382","0.153437946726283","0.199743833870482"
"Rarely","1990","16-34 y.","Couple + C. GT 16 ","110","0.141242625816898","0.117774357733191","0.164710893900604"
"Rarely","1990","16-34 y.","Couple + C. LE and GT 16","37","0.0940778152412157","0.0637520232895216","0.12440360719291"
"Rarely","1990","35-65 y.","1-pers.-HH","71","0.204232684837771","0.164576721027414","0.243888648648128"
"Rarely","1990","35-65 y.","(Married) couple without C. ","287","0.258436679195047","0.23341619980958","0.283457158580514"
"Rarely","1990","35-65 y.","Single parent ","54","0.253806410519138","0.195363028522397","0.312249792515878"
"Rarely","1990","35-65 y.","Couple + C. LE 16 ","205","0.230362781468498","0.204821244398305","0.25590431853869"
"Rarely","1990","35-65 y.","Couple + C. GT 16 ","314","0.33290314558297","0.305559358441056","0.360246932724884"
"Rarely","1990","35-65 y.","Couple + C. LE and GT 16","112","0.269320364054012","0.231589310785975","0.307051417322049"
"Rarely","1990","66 and older","1-pers.-HH","75","0.209338170209621","0.168161421157806","0.250514919261436"
"Rarely","1990","66 and older","(Married) couple without C. ","162","0.338384945330114","0.296911387340135","0.379858503320093"
"Rarely","1990","66 and older","Single parent ","9","","",""
"Rarely","1990","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","1990","66 and older","Couple + C. GT 16 ","24","","",""
"Rarely","1990","66 and older","Couple + C. LE and GT 16","1","","",""
"Never","1990","16-34 y.","1-pers.-HH","3","","",""
"Never","1990","16-34 y.","(Married) couple without C. ","5","","",""
"Never","1990","16-34 y.","Single parent ","9","","",""
"Never","1990","16-34 y.","Couple + C. LE 16 ","15","","",""
