"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Rarely","1991","Part Time","indirect migration background","","","",""
"Rarely","1991","Not Working","no migration background","","","",""
"Rarely","1991","Not Working","direct migration background","","","",""
"Rarely","1991","Not Working","indirect migration background","","","",""
"Never","1991","Full Time","no migration background","","","",""
"Never","1991","Full Time","direct migration background","","","",""
"Never","1991","Full Time","indirect migration background","","","",""
"Never","1991","Part Time","no migration background","","","",""
"Never","1991","Part Time","direct migration background","","","",""
"Never","1991","Part Time","indirect migration background","","","",""
"Never","1991","Not Working","no migration background","","","",""
"Never","1991","Not Working","direct migration background","","","",""
"Never","1991","Not Working","indirect migration background","","","",""
"Daily","1992","Full Time","no migration background","","","",""
"Daily","1992","Full Time","direct migration background","","","",""
"Daily","1992","Full Time","indirect migration background","","","",""
"Daily","1992","Part Time","no migration background","","","",""
"Daily","1992","Part Time","direct migration background","","","",""
"Daily","1992","Part Time","indirect migration background","","","",""
"Daily","1992","Not Working","no migration background","","","",""
"Daily","1992","Not Working","direct migration background","","","",""
"Daily","1992","Not Working","indirect migration background","","","",""
"Min 1x per week","1992","Full Time","no migration background","","","",""
"Min 1x per week","1992","Full Time","direct migration background","","","",""
"Min 1x per week","1992","Full Time","indirect migration background","","","",""
"Min 1x per week","1992","Part Time","no migration background","","","",""
"Min 1x per week","1992","Part Time","direct migration background","","","",""
"Min 1x per week","1992","Part Time","indirect migration background","","","",""
"Min 1x per week","1992","Not Working","no migration background","","","",""
"Min 1x per week","1992","Not Working","direct migration background","","","",""
"Min 1x per week","1992","Not Working","indirect migration background","","","",""
"Min 1x per month","1992","Full Time","no migration background","","","",""
"Min 1x per month","1992","Full Time","direct migration background","","","",""
"Min 1x per month","1992","Full Time","indirect migration background","","","",""
"Min 1x per month","1992","Part Time","no migration background","","","",""
"Min 1x per month","1992","Part Time","direct migration background","","","",""
"Min 1x per month","1992","Part Time","indirect migration background","","","",""
"Min 1x per month","1992","Not Working","no migration background","","","",""
"Min 1x per month","1992","Not Working","direct migration background","","","",""
"Min 1x per month","1992","Not Working","indirect migration background","","","",""
"Rarely","1992","Full Time","no migration background","","","",""
"Rarely","1992","Full Time","direct migration background","","","",""
"Rarely","1992","Full Time","indirect migration background","","","",""
"Rarely","1992","Part Time","no migration background","","","",""
"Rarely","1992","Part Time","direct migration background","","","",""
"Rarely","1992","Part Time","indirect migration background","","","",""
"Rarely","1992","Not Working","no migration background","","","",""
"Rarely","1992","Not Working","direct migration background","","","",""
"Rarely","1992","Not Working","indirect migration background","","","",""
"Never","1992","Full Time","no migration background","","","",""
"Never","1992","Full Time","direct migration background","","","",""
"Never","1992","Full Time","indirect migration background","","","",""
"Never","1992","Part Time","no migration background","","","",""
"Never","1992","Part Time","direct migration background","","","",""
"Never","1992","Part Time","indirect migration background","","","",""
"Never","1992","Not Working","no migration background","","","",""
"Never","1992","Not Working","direct migration background","","","",""
"Never","1992","Not Working","indirect migration background","","","",""
"Daily","1993","Full Time","no migration background","","","",""
"Daily","1993","Full Time","direct migration background","","","",""
