"pli0080","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","Full Time","","","",""
"Daily","1990","Not Employed","Part Time","","","",""
"Daily","1990","Not Employed","Not Working","253","0.0577956346035318","0.0498757246056569","0.0657155446014067"
"Daily","1990","Employed","Full Time","248","0.0392108697702085","0.0334939570305352","0.0449277825098818"
"Daily","1990","Employed","Part Time","126","0.0616113705286615","0.0502579361141023","0.0729648049432208"
"Daily","1990","Employed","Not Working","","","",""
"Min 1x per week","1990","Not Employed","Full Time","","","",""
"Min 1x per week","1990","Not Employed","Part Time","","","",""
"Min 1x per week","1990","Not Employed","Not Working","1345","0.366919510364036","0.350562081536346","0.383276939191726"
"Min 1x per week","1990","Employed","Full Time","1978","0.414247862822484","0.399739067166345","0.428756658478622"
"Min 1x per week","1990","Employed","Part Time","778","0.417129014701581","0.393846661644054","0.440411367759107"
"Min 1x per week","1990","Employed","Not Working","","","",""
"Min 1x per month","1990","Not Employed","Full Time","","","",""
"Min 1x per month","1990","Not Employed","Part Time","","","",""
"Min 1x per month","1990","Not Employed","Not Working","921","0.287681375680248","0.272317768478998","0.303044982881498"
"Min 1x per month","1990","Employed","Full Time","1279","0.314638273672336","0.300960670982063","0.328315876362609"
"Min 1x per month","1990","Employed","Part Time","473","0.29934521865371","0.277720838870567","0.320969598436854"
"Min 1x per month","1990","Employed","Not Working","","","",""
"Rarely","1990","Not Employed","Full Time","","","",""
"Rarely","1990","Not Employed","Part Time","","","",""
"Rarely","1990","Not Employed","Not Working","683","0.235323392388933","0.220926404989908","0.249720379787958"
"Rarely","1990","Employed","Full Time","832","0.215021575502878","0.202920773224499","0.227122377781258"
"Rarely","1990","Employed","Part Time","314","0.198277663516281","0.179451824512872","0.217103502519689"
"Rarely","1990","Employed","Not Working","","","",""
"Never","1990","Not Employed","Full Time","","","",""
"Never","1990","Not Employed","Part Time","","","",""
"Never","1990","Not Employed","Not Working","133","0.0522800869632508","0.0447255417368985","0.0598346321896032"
"Never","1990","Employed","Full Time","91","0.0168814182320934","0.013086943177727","0.0206758932864598"
"Never","1990","Employed","Part Time","32","0.0236367325997667","0.0164636655666361","0.0308097996328973"
"Never","1990","Employed","Not Working","","","",""
"Daily","1991","Not Employed","Full Time","","","",""
"Daily","1991","Not Employed","Part Time","","","",""
"Daily","1991","Not Employed","Not Working","","","",""
