"pli0080","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","1-pers.-HH","4","","",""
"Daily","1990","Schleswig-Holstein","(Married) couple without C. ","1","","",""
"Daily","1990","Schleswig-Holstein","Single parent ","","","",""
"Daily","1990","Schleswig-Holstein","Couple + C. LE 16 ","2","","",""
"Daily","1990","Schleswig-Holstein","Couple + C. GT 16 ","4","","",""
"Daily","1990","Schleswig-Holstein","Couple + C. LE and GT 16","6","","",""
"Daily","1990","Hamburg","1-pers.-HH","3","","",""
"Daily","1990","Hamburg","(Married) couple without C. ","3","","",""
"Daily","1990","Hamburg","Single parent ","","","",""
"Daily","1990","Hamburg","Couple + C. LE 16 ","","","",""
"Daily","1990","Hamburg","Couple + C. GT 16 ","2","","",""
"Daily","1990","Hamburg","Couple + C. LE and GT 16","","","",""
"Daily","1990","Lower Saxony","1-pers.-HH","9","","",""
"Daily","1990","Lower Saxony","(Married) couple without C. ","6","","",""
"Daily","1990","Lower Saxony","Single parent ","5","","",""
"Daily","1990","Lower Saxony","Couple + C. LE 16 ","7","","",""
"Daily","1990","Lower Saxony","Couple + C. GT 16 ","18","","",""
"Daily","1990","Lower Saxony","Couple + C. LE and GT 16","7","","",""
"Daily","1990","Bremen","1-pers.-HH","3","","",""
"Daily","1990","Bremen","(Married) couple without C. ","2","","",""
"Daily","1990","Bremen","Single parent ","1","","",""
"Daily","1990","Bremen","Couple + C. LE 16 ","1","","",""
"Daily","1990","Bremen","Couple + C. GT 16 ","5","","",""
"Daily","1990","Bremen","Couple + C. LE and GT 16","","","",""
"Daily","1990","North Rhine-Westphalia","1-pers.-HH","26","","",""
"Daily","1990","North Rhine-Westphalia","(Married) couple without C. ","15","","",""
"Daily","1990","North Rhine-Westphalia","Single parent ","10","","",""
"Daily","1990","North Rhine-Westphalia","Couple + C. LE 16 ","30","0.0460303407376616","0.0289024633749482","0.0631582181003749"
"Daily","1990","North Rhine-Westphalia","Couple + C. GT 16 ","42","0.04509561753516","0.0279696288983931","0.0622216061719269"
"Daily","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","27","","",""
"Daily","1990","Hesse","1-pers.-HH","8","","",""
"Daily","1990","Hesse","(Married) couple without C. ","6","","",""
"Daily","1990","Hesse","Single parent ","7","","",""
"Daily","1990","Hesse","Couple + C. LE 16 ","20","","",""
"Daily","1990","Hesse","Couple + C. GT 16 ","22","","",""
"Daily","1990","Hesse","Couple + C. LE and GT 16","15","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","3","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","14","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Single parent ","2","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","10","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","4","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","5","","",""
"Daily","1990","Baden-Württemberg","1-pers.-HH","14","","",""
"Daily","1990","Baden-Württemberg","(Married) couple without C. ","5","","",""
"Daily","1990","Baden-Württemberg","Single parent ","10","","",""
"Daily","1990","Baden-Württemberg","Couple + C. LE 16 ","30","0.054651666812769","0.0334854195464545","0.0758179140790835"
"Daily","1990","Baden-Württemberg","Couple + C. GT 16 ","47","0.0587452090092777","0.0366983259219549","0.0807920920966005"
"Daily","1990","Baden-Württemberg","Couple + C. LE and GT 16","23","","",""
"Daily","1990","Bavaria","1-pers.-HH","15","","",""
"Daily","1990","Bavaria","(Married) couple without C. ","10","","",""
"Daily","1990","Bavaria","Single parent ","8","","",""
"Daily","1990","Bavaria","Couple + C. LE 16 ","6","","",""
"Daily","1990","Bavaria","Couple + C. GT 16 ","17","","",""
"Daily","1990","Bavaria","Couple + C. LE and GT 16","11","","",""
"Daily","1990","Berlin","1-pers.-HH","4","","",""
"Daily","1990","Berlin","(Married) couple without C. ","4","","",""
"Daily","1990","Berlin","Single parent ","","","",""
"Daily","1990","Berlin","Couple + C. LE 16 ","3","","",""
"Daily","1990","Berlin","Couple + C. GT 16 ","8","","",""
"Daily","1990","Berlin","Couple + C. LE and GT 16","8","","",""
"Daily","1990","Brandenburg","1-pers.-HH","","","",""
"Daily","1990","Brandenburg","(Married) couple without C. ","","","",""
"Daily","1990","Brandenburg","Single parent ","","","",""
"Daily","1990","Brandenburg","Couple + C. LE 16 ","","","",""
"Daily","1990","Brandenburg","Couple + C. GT 16 ","","","",""
"Daily","1990","Brandenburg","Couple + C. LE and GT 16","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Daily","1990","Saxony","1-pers.-HH","","","",""
"Daily","1990","Saxony","(Married) couple without C. ","","","",""
"Daily","1990","Saxony","Single parent ","","","",""
"Daily","1990","Saxony","Couple + C. LE 16 ","","","",""
"Daily","1990","Saxony","Couple + C. GT 16 ","","","",""
"Daily","1990","Saxony","Couple + C. LE and GT 16","","","",""
"Daily","1990","Saxony-Anhalt","1-pers.-HH","","","",""
"Daily","1990","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Daily","1990","Saxony-Anhalt","Single parent ","","","",""
"Daily","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Daily","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Daily","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Daily","1990","Thuringia","1-pers.-HH","","","",""
"Daily","1990","Thuringia","(Married) couple without C. ","","","",""
"Daily","1990","Thuringia","Single parent ","","","",""
"Daily","1990","Thuringia","Couple + C. LE 16 ","","","",""
"Daily","1990","Thuringia","Couple + C. GT 16 ","","","",""
"Daily","1990","Thuringia","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Schleswig-Holstein","1-pers.-HH","17","","",""
"Min 1x per week","1990","Schleswig-Holstein","(Married) couple without C. ","20","","",""
"Min 1x per week","1990","Schleswig-Holstein","Single parent ","6","","",""
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE 16 ","19","","",""
