"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","1.53","1","7077","1","1","2","3","4","1.51","1.55","1","4","1","1"
"1991","","","","","","","","","","","","","",""
"1992","1.49","1","10934","1","1","2","2","4","1.48","1.5","1","4","1","1"
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","1.47","1","11174","1","1","2","2","4","1.46","1.48","1","4","1","1"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","1.5","1","21447","1","1","2","2","4","1.49","1.51","1","4","1","1"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","1.52","1","19215","1","1","2","2","4","1.51","1.53","1","4","1","1"
"2009","","","","","","","","","","","","","",""
"2010","1.29","1","7309","1","1","2","2","3","1.28","1.3","1","4","1","1"
"2011","","","","","","","","","","","","","",""
"2012","1.52","1","27427","1","1","2","2","4","1.51","1.53","1","4","1","1"
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","1.54","1","24165","1","1","2","3","4","1.53","1.55","1","4","1","1"
