"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Baden-Württemberg","college entrance qualification","2.69","3","165","2","2","3","4","4","2.58","2.8","1","4","3","3"
"1990","Baden-Württemberg","lower secondary degree","3.16","3","697","2","3","4","4","4","3.1","3.22","1","4","3","3"
"1990","Baden-Württemberg","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Baden-Württemberg","Other degree","","","","","","","","","","","","","",""
"1990","Baden-Württemberg","secondary school degree","2.93","3","247","2","3","3","4","4","2.85","3.01","1","4","3","3"
"1990","Bavaria","college entrance qualification","2.73","3","192","2","2","3","4","4","2.62","2.84","1","4","3","3"
"1990","Bavaria","lower secondary degree","3.17","3","741","2","3","4","4","4","3.12","3.22","1","4","3","3"
"1990","Bavaria","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Bavaria","Other degree","","","","","","","","","","","","","",""
"1990","Bavaria","secondary school degree","2.95","3","278","2","2","3","4","4","2.86","3.04","1","4","3","3"
"1990","Berlin","college entrance qualification","2.53","2.22","50","1","2","3","4","4","2.29","2.77","1","4","2","3"
"1990","Berlin","lower secondary degree","3.07","3","111","2","3","4","4","4","2.93","3.21","1","4","3","3"
"1990","Berlin","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Berlin","Other degree","","","","","","","","","","","","","",""
"1990","Berlin","secondary school degree","2.83","3","57","2","2","3","4","4","2.64","3.02","1","4","3","3"
"1990","Brandenburg","college entrance qualification","","","","","","","","","","","","","",""
"1990","Brandenburg","lower secondary degree","","","","","","","","","","","","","",""
"1990","Brandenburg","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Brandenburg","Other degree","","","","","","","","","","","","","",""
"1990","Brandenburg","secondary school degree","","","","","","","","","","","","","",""
"1990","Bremen","college entrance qualification","","","","","","","","","","","","","",""
"1990","Bremen","lower secondary degree","3.1","3","52","2","3","4","4","4","2.84","3.36","1","4","3","4"
"1990","Bremen","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Bremen","Other degree","","","","","","","","","","","","","",""
"1990","Bremen","secondary school degree","","","","","","","","","","","","","",""
"1990","Hamburg","college entrance qualification","","","","","","","","","","","","","",""
"1990","Hamburg","lower secondary degree","3.07","3","69","2","3","3","4","4","2.91","3.23","1","4","3","3"
"1990","Hamburg","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Hamburg","Other degree","","","","","","","","","","","","","",""
"1990","Hamburg","secondary school degree","2.87","3","32","2","2","3","4","4","2.63","3.11","2","4","2","3"
"1990","Hesse","college entrance qualification","2.76","3","129","2","2","3","4","4","2.62","2.9","1","4","3","3"
"1990","Hesse","lower secondary degree","3.17","3","352","2","3","4","4","4","3.09","3.25","1","4","3","3"
"1990","Hesse","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Hesse","Other degree","","","","","","","","","","","","","",""
"1990","Hesse","secondary school degree","2.92","3","158","2","2","3","4","4","2.81","3.03","1","4","3","3"
