"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","Not Working","secondary school degree","2.79","3","2242","2","2","3","4","4","2.76","2.82","1","4","3","3"
"2012","Part Time","college entrance qualification","2.57","3","2313","2","2","3","3","4","2.54","2.6","1","4","2","3"
"2012","Part Time","lower secondary degree","2.96","3","1621","2","2","3","4","4","2.92","3","1","4","3","3"
"2012","Part Time","no degree/no degree yet","2.81","3","199","2","2","3","4","4","2.69","2.93","1","4","3","3"
"2012","Part Time","Other degree","2.99","3","523","2","2","4","4","4","2.92","3.06","1","4","3","3"
"2012","Part Time","secondary school degree","2.87","3","2571","2","2","3","4","4","2.84","2.9","1","4","3","3"
"2013","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2013","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2013","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Full Time","Other degree","","","","","","","","","","","","","",""
"2013","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2013","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"2013","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"2013","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Not Working","Other degree","","","","","","","","","","","","","",""
"2013","Not Working","secondary school degree","","","","","","","","","","","","","",""
"2013","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"2013","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"2013","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Part Time","Other degree","","","","","","","","","","","","","",""
"2013","Part Time","secondary school degree","","","","","","","","","","","","","",""
"2014","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2014","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2014","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Full Time","Other degree","","","","","","","","","","","","","",""
"2014","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2014","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"2014","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"2014","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Not Working","Other degree","","","","","","","","","","","","","",""
"2014","Not Working","secondary school degree","","","","","","","","","","","","","",""
"2014","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"2014","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"2014","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Part Time","Other degree","","","","","","","","","","","","","",""
"2014","Part Time","secondary school degree","","","","","","","","","","","","","",""
"2015","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2015","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2015","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Full Time","Other degree","","","","","","","","","","","","","",""
"2015","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2015","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"2015","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"2015","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Not Working","Other degree","","","","","","","","","","","","","",""
"2015","Not Working","secondary school degree","","","","","","","","","","","","","",""
"2015","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"2015","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"2015","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Part Time","Other degree","","","","","","","","","","","","","",""
"2015","Part Time","secondary school degree","","","","","","","","","","","","","",""
"2016","Full Time","college entrance qualification","2.62","3","3093","2","2","3","3","4","2.6","2.64","1","4","3","3"
"2016","Full Time","lower secondary degree","2.98","3","1589","2","3","3","4","4","2.94","3.02","1","4","3","3"
"2016","Full Time","no degree/no degree yet","3.04","3","106","2","3","4","4","4","2.89","3.19","1","4","3","3"
"2016","Full Time","Other degree","2.94","3","1257","2","3","3","4","4","2.89","2.99","1","4","3","3"
"2016","Full Time","secondary school degree","2.88","3","2804","2","2","3","4","4","2.85","2.91","1","4","3","3"
"2016","Not Working","college entrance qualification","2.47","2","1556","1","2","3","3","4","2.43","2.51","1","4","2","3"
"2016","Not Working","lower secondary degree","2.99","3","2985","2","2","4","4","4","2.96","3.02","1","4","3","3"
"2016","Not Working","no degree/no degree yet","2.9","3","512","2","2","4","4","4","2.82","2.98","1","4","3","3"
"2016","Not Working","Other degree","3.05","3","994","2","2","4","4","4","3","3.1","1","4","3","3"
"2016","Not Working","secondary school degree","2.82","3","1833","2","2","3","4","4","2.78","2.86","1","4","3","3"
"2016","Part Time","college entrance qualification","2.5","2","2154","2","2","3","3","4","2.47","2.53","1","4","2","3"
"2016","Part Time","lower secondary degree","2.98","3","1260","2","3","3","4","4","2.94","3.02","1","4","3","3"
"2016","Part Time","no degree/no degree yet","2.84","3","203","2","2","3","4","4","2.73","2.95","1","4","3","3"
"2016","Part Time","Other degree","2.94","3","1047","2","2","4","4","4","2.89","2.99","1","4","3","3"
"2016","Part Time","secondary school degree","2.8","3","1989","2","2","3","4","4","2.77","2.83","1","4","3","3"
