"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","3","3","7124","2","3","4","4","4","2.98","3.02","1","4","3","3"
"1991","","","","","","","","","","","","","",""
"1992","3.17","3","10951","2","3","4","4","4","3.16","3.18","1","4","3","3"
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","3.16","3","11205","2","3","4","4","4","3.15","3.17","1","4","3","3"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","2.95","3","21544","2","2","3","4","4","2.94","2.96","1","4","3","3"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","3.12","3","19269","2","3","4","4","4","3.11","3.13","1","4","3","3"
"2009","","","","","","","","","","","","","",""
"2010","2.71","3","7295","2","2","3","4","4","2.69","2.73","1","4","3","3"
"2011","","","","","","","","","","","","","",""
"2012","2.85","3","27616","2","2","3","4","4","2.84","2.86","1","4","3","3"
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","2.81","3","24302","2","2","3","4","4","2.8","2.82","1","4","3","3"
