"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","in school","","","","","","","","","","","","","",""
"2003","inadequately","","","","","","","","","","","","","",""
"2003","middle vocational","","","","","","","","","","","","","",""
"2003","vocational + Abi","","","","","","","","","","","","","",""
"2004","general elemantary","3.23","3","2565","2","3","4","4","4","3.2","3.26","1","4","3","3"
"2004","higher education","2.66","3","4293","2","2","3","4","4","2.64","2.68","1","4","3","3"
"2004","higher vocational","2.82","3","1636","2","2","3","4","4","2.79","2.85","1","4","3","3"
"2004","in school","2.82","3","628","2","2","3","4","4","2.76","2.88","1","4","3","3"
"2004","inadequately","3.39","3.41","246","3","3","4","4","4","3.3","3.48","1","4","3","4"
"2004","middle vocational","2.98","3","10759","2","3","3","4","4","2.97","2.99","1","4","3","3"
"2004","vocational + Abi","2.84","3","1160","2","2","3","4","4","2.8","2.88","1","4","3","3"
"2005","general elemantary","","","","","","","","","","","","","",""
"2005","higher education","","","","","","","","","","","","","",""
"2005","higher vocational","","","","","","","","","","","","","",""
"2005","in school","","","","","","","","","","","","","",""
"2005","inadequately","","","","","","","","","","","","","",""
"2005","middle vocational","","","","","","","","","","","","","",""
"2005","vocational + Abi","","","","","","","","","","","","","",""
"2006","general elemantary","","","","","","","","","","","","","",""
"2006","higher education","","","","","","","","","","","","","",""
"2006","higher vocational","","","","","","","","","","","","","",""
"2006","in school","","","","","","","","","","","","","",""
"2006","inadequately","","","","","","","","","","","","","",""
"2006","middle vocational","","","","","","","","","","","","","",""
"2006","vocational + Abi","","","","","","","","","","","","","",""
"2007","general elemantary","","","","","","","","","","","","","",""
"2007","higher education","","","","","","","","","","","","","",""
"2007","higher vocational","","","","","","","","","","","","","",""
"2007","in school","","","","","","","","","","","","","",""
"2007","inadequately","","","","","","","","","","","","","",""
"2007","middle vocational","","","","","","","","","","","","","",""
"2007","vocational + Abi","","","","","","","","","","","","","",""
"2008","general elemantary","3.34","3","2015","2","3","4","4","4","3.31","3.37","1","4","3","4"
"2008","higher education","2.83","3","4192","2","2","3","4","4","2.81","2.85","1","4","3","3"
"2008","higher vocational","3.03","3","1417","2","3","4","4","4","2.99","3.07","1","4","3","3"
"2008","in school","2.93","3","351","2","2","3","4","4","2.85","3.01","1","4","3","3"
"2008","inadequately","3.51","4","182","2","3","4","4","4","3.41","3.61","1","4","4","4"
"2008","middle vocational","3.19","3","9686","2","3","4","4","4","3.18","3.2","1","4","3","3"
"2008","vocational + Abi","2.99","3","1094","2","3","3","4","4","2.95","3.03","1","4","3","3"
"2009","general elemantary","","","","","","","","","","","","","",""
"2009","higher education","","","","","","","","","","","","","",""
"2009","higher vocational","","","","","","","","","","","","","",""
"2009","in school","","","","","","","","","","","","","",""
"2009","inadequately","","","","","","","","","","","","","",""
"2009","middle vocational","","","","","","","","","","","","","",""
"2009","vocational + Abi","","","","","","","","","","","","","",""
"2010","general elemantary","2.89","3","825","2","2","3","4","4","2.84","2.94","1","4","3","3"
"2010","higher education","2.46","2","1539","2","2","3","3","4","2.42","2.5","1","4","2","2"
"2010","higher vocational","2.54","3","357","2","2","3","3","4","2.46","2.62","1","4","2","3"
"2010","in school","2.48","2","143","2","2","3","3","4","2.35","2.61","1","4","2","3"
"2010","inadequately","3.12","3","201","2","3","4","4","4","3","3.24","1","4","3","3"
"2010","middle vocational","2.78","3","3442","2","2","3","4","4","2.75","2.81","1","4","3","3"
"2010","vocational + Abi","2.66","3","766","2","2","3","4","4","2.61","2.71","1","4","3","3"
"2011","general elemantary","","","","","","","","","","","","","",""
"2011","higher education","","","","","","","","","","","","","",""
"2011","higher vocational","","","","","","","","","","","","","",""
"2011","in school","","","","","","","","","","","","","",""
"2011","inadequately","","","","","","","","","","","","","",""
"2011","middle vocational","","","","","","","","","","","","","",""
"2011","vocational + Abi","","","","","","","","","","","","","",""
"2012","general elemantary","3.1","3","2890","2","3","4","4","4","3.07","3.13","1","4","3","3"
"2012","higher education","2.6","3","6149","2","2","3","3","4","2.58","2.62","1","4","3","3"
"2012","higher vocational","2.81","3","1808","2","2","3","4","4","2.78","2.84","1","4","3","3"
"2012","in school","2.62","3","471","2","2","3","3","4","2.55","2.69","1","4","3","3"
"2012","inadequately","3.29","3","384","2","3","4","4","4","3.21","3.37","1","4","3","3"
"2012","middle vocational","2.9","3","13534","2","2","3","4","4","2.89","2.91","1","4","3","3"
"2012","vocational + Abi","2.77","3","1966","2","2","3","4","4","2.74","2.8","1","4","3","3"
"2013","general elemantary","","","","","","","","","","","","","",""
"2013","higher education","","","","","","","","","","","","","",""
"2013","higher vocational","","","","","","","","","","","","","",""
"2013","in school","","","","","","","","","","","","","",""
"2013","inadequately","","","","","","","","","","","","","",""
"2013","middle vocational","","","","","","","","","","","","","",""
"2013","vocational + Abi","","","","","","","","","","","","","",""
"2014","general elemantary","","","","","","","","","","","","","",""
"2014","higher education","","","","","","","","","","","","","",""
"2014","higher vocational","","","","","","","","","","","","","",""
"2014","in school","","","","","","","","","","","","","",""
"2014","inadequately","","","","","","","","","","","","","",""
"2014","middle vocational","","","","","","","","","","","","","",""
"2014","vocational + Abi","","","","","","","","","","","","","",""
"2015","general elemantary","","","","","","","","","","","","","",""
"2015","higher education","","","","","","","","","","","","","",""
"2015","higher vocational","","","","","","","","","","","","","",""
"2015","in school","","","","","","","","","","","","","",""
"2015","inadequately","","","","","","","","","","","","","",""
"2015","middle vocational","","","","","","","","","","","","","",""
"2015","vocational + Abi","","","","","","","","","","","","","",""
"2016","general elemantary","3.05","3","2588","2","3","4","4","4","3.02","3.08","1","4","3","3"
"2016","higher education","2.55","3","5916","2","2","3","3","4","2.53","2.57","1","4","3","3"
"2016","higher vocational","2.77","3","1410","2","2","3","4","4","2.73","2.81","1","4","3","3"
"2016","in school","2.53","3","336","2","2","3","3","4","2.44","2.62","1","4","2","3"
"2016","inadequately","3.16","3","406","2","3","4","4","4","3.08","3.24","1","4","3","3"
"2016","middle vocational","2.88","3","11024","2","2","3","4","4","2.87","2.89","1","4","3","3"
"2016","vocational + Abi","2.8","3","2023","2","2","3","4","4","2.77","2.83","1","4","3","3"
