"ple0098_v5","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","lower secondary degree","141","0.0890332851841151","0.0755507942825952","0.102515776085635"
"Yes","1999","Full Time","secondary school degree","161","0.107255905317303","0.0930707500164375","0.121441060618169"
"Yes","1999","Full Time","college entrance qualification","135","0.198564916263277","0.171747059812716","0.225382772713838"
"Yes","1999","Full Time","Other degree","9","","",""
"Yes","1999","Full Time","no degree/no degree yet","3","","",""
"Yes","1999","Part Time","lower secondary degree","56","0.0678431348645873","0.0520175532933122","0.0836687164358624"
"Yes","1999","Part Time","secondary school degree","100","0.13802915550639","0.115531569565379","0.1605267414474"
"Yes","1999","Part Time","college entrance qualification","54","0.162401980638613","0.127296199225869","0.197507762051356"
"Yes","1999","Part Time","Other degree","2","","",""
"Yes","1999","Part Time","no degree/no degree yet","8","","",""
"Yes","1999","Not Working","lower secondary degree","111","0.0500551567323533","0.0415278500795901","0.0585824633851165"
"Yes","1999","Not Working","secondary school degree","68","0.118492388153465","0.0954695738315596","0.14151520247537"
"Yes","1999","Not Working","college entrance qualification","43","0.158493552363869","0.122837760032422","0.194149344695315"
"Yes","1999","Not Working","Other degree","3","","",""
"Yes","1999","Not Working","no degree/no degree yet","17","","",""
"No","1999","Full Time","lower secondary degree","1573","0.910966714815885","0.897484223914365","0.924449205717405"
"No","1999","Full Time","secondary school degree","1667","0.892744094682697","0.878558939381831","0.906929249983563"
"No","1999","Full Time","college entrance qualification","715","0.801435083736723","0.774617227286162","0.828252940187284"
"No","1999","Full Time","Other degree","387","0.958812722734698","0.93924010411367","0.978385341355725"
"No","1999","Full Time","no degree/no degree yet","125","0.978881621676881","0.953973643504854","1.00378959984891"
"No","1999","Part Time","lower secondary degree","914","0.932156865135413","0.916331283564138","0.947982446706688"
"No","1999","Part Time","secondary school degree","803","0.86197084449361","0.8394732585526","0.884468430434621"
"No","1999","Part Time","college entrance qualification","370","0.837598019361387","0.802492237948644","0.872703800774131"
"No","1999","Part Time","Other degree","184","0.994941075244296","0.984745319816244","1.00513683067235"
"No","1999","Part Time","no degree/no degree yet","111","0.910308733454551","0.858970130844023","0.961647336065079"
"No","1999","Not Working","lower secondary degree","2401","0.949944843267647","0.941417536614883","0.95847214992041"
"No","1999","Not Working","secondary school degree","689","0.881507611846535","0.85848479752463","0.90453042616844"
"No","1999","Not Working","college entrance qualification","360","0.841506447636131","0.805850655304685","0.877162239967578"
"No","1999","Not Working","Other degree","324","0.972771089870419","0.955131248654527","0.990410931086312"
"No","1999","Not Working","no degree/no degree yet","458","0.950747991585765","0.931287851285935","0.970208131885594"
"Yes","2000","Full Time","lower secondary degree","259","0.0912292858643634","0.0808406676649921","0.101617904063735"
"Yes","2000","Full Time","secondary school degree","328","0.114591068204068","0.10356345797923","0.125618678428905"
"Yes","2000","Full Time","college entrance qualification","280","0.182726360106009","0.164542641634633","0.200910078577385"
"Yes","2000","Full Time","Other degree","13","","",""
"Yes","2000","Full Time","no degree/no degree yet","6","","",""
"Yes","2000","Part Time","lower secondary degree","124","0.0764099979462992","0.0638664568277612","0.0889535390648372"
"Yes","2000","Part Time","secondary school degree","183","0.139482080206466","0.122251435383577","0.156712725029355"
"Yes","2000","Part Time","college entrance qualification","127","0.152933580041823","0.129207165238926","0.176659994844719"
