"ple0098_v5","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2003","Urban Area","Female","903","0.127795816292546","0.11982649900758","0.135765133577512"
"Yes","2003","Rural Area","Male","253","0.0778538296744149","0.0683008086221241","0.0874068507267057"
"Yes","2003","Rural Area","Female","312","0.0882666836361882","0.078838769480999","0.0976945977913773"
"No","2003","Urban Area","Male","5033","0.892640907233774","0.884612122384598","0.900669692082951"
"No","2003","Urban Area","Female","5839","0.872204183707454","0.864234866422488","0.88017350099242"
"No","2003","Rural Area","Male","2769","0.922146170325585","0.912593149273294","0.931699191377876"
"No","2003","Rural Area","Female","3166","0.911733316363812","0.902305402208623","0.921161230519001"
"Yes","2004","Urban Area","Male","723","0.11927896063021","0.110731016437859","0.127826904822561"
"Yes","2004","Urban Area","Female","929","0.132888201343587","0.124676284096311","0.141100118590863"
"Yes","2004","Rural Area","Male","264","0.0893746912058681","0.0790712433675549","0.0996781390441813"
"Yes","2004","Rural Area","Female","331","0.0877957380004986","0.0782986601791404","0.0972928158218569"
"No","2004","Urban Area","Male","4800","0.88072103936979","0.872173095177439","0.889268983562141"
"No","2004","Urban Area","Female","5635","0.867111798656413","0.858899881409137","0.875323715903689"
"No","2004","Rural Area","Male","2681","0.910625308794132","0.900321860955819","0.920928756632445"
"No","2004","Rural Area","Female","3080","0.912204261999501","0.902707184178143","0.92170133982086"
"Yes","2005","Urban Area","Male","713","0.1292950341564","0.12021729684484","0.138372771467959"
"Yes","2005","Urban Area","Female","966","0.14934018197609","0.140531943469235","0.158148420482946"
"Yes","2005","Rural Area","Male","285","0.100621962657367","0.0894813501815028","0.111762575133231"
"Yes","2005","Rural Area","Female","363","0.0978784401851292","0.0876780838870232","0.108078796483235"
"No","2005","Urban Area","Male","4535","0.8707049658436","0.861627228532041","0.879782703155159"
"No","2005","Urban Area","Female","5324","0.85065981802391","0.841851579517054","0.859468056530765"
"No","2005","Rural Area","Male","2516","0.899378037342633","0.888237424866769","0.910518649818497"
"No","2005","Rural Area","Female","2897","0.902121559814871","0.891921203516765","0.912321916112977"
"Yes","2006","Urban Area","Male","891","0.146167736110451","0.136836438766943","0.15549903345396"
"Yes","2006","Urban Area","Female","1182","0.163045221426854","0.154168668163063","0.171921774690646"
"Yes","2006","Rural Area","Male","347","0.113566399914278","0.102208963582226","0.124923836246329"
"Yes","2006","Rural Area","Female","456","0.124216798311702","0.113333205785692","0.135100390837712"
"No","2006","Urban Area","Male","4615","0.853832263889548","0.844500966546039","0.863163561233057"
"No","2006","Urban Area","Female","5471","0.836954778573146","0.828078225309354","0.845831331836937"
"No","2006","Rural Area","Male","2651","0.886433600085722","0.875076163753671","0.897791036417774"
"No","2006","Rural Area","Female","3072","0.875783201688298","0.864899609162288","0.886666794214308"
"Yes","2007","Urban Area","Male","890","0.157203907131925","0.147208245518622","0.167199568745228"
"Yes","2007","Urban Area","Female","1225","0.185675765173071","0.176008495900229","0.195343034445913"
"Yes","2007","Rural Area","Male","342","0.114431768307558","0.10271577009914","0.126147766515976"
"Yes","2007","Rural Area","Female","466","0.14068237310392","0.12877436444222","0.152590381765619"
"No","2007","Urban Area","Male","4204","0.842796092868075","0.832800431254773","0.852791754481378"
"No","2007","Urban Area","Female","4990","0.814324234826929","0.804656965554087","0.823991504099772"
"No","2007","Rural Area","Male","2494","0.885568231692442","0.873852233484024","0.89728422990086"
"No","2007","Rural Area","Female","2809","0.85931762689608","0.847409618234381","0.87122563555778"
"Yes","2008","Urban Area","Male","968","0.187058999037167","0.176090995824868","0.198027002249465"
"Yes","2008","Urban Area","Female","1347","0.219483922701745","0.208918217972835","0.230049627430654"
"Yes","2008","Rural Area","Male","368","0.141478182464385","0.128344549947959","0.154611814980811"
"Yes","2008","Rural Area","Female","515","0.164980149287911","0.151939700348349","0.178020598227474"
"No","2008","Urban Area","Male","3888","0.812941000962834","0.801972997750535","0.823909004175132"
"No","2008","Urban Area","Female","4548","0.780516077298255","0.769950372569346","0.791081782027165"
"No","2008","Rural Area","Male","2337","0.858521817535615","0.845388185019189","0.871655450052041"
"No","2008","Rural Area","Female","2597","0.835019850712089","0.821979401772526","0.848060299651651"
"Yes","2009","Urban Area","Male","","","",""
"Yes","2009","Urban Area","Female","","","",""
"Yes","2009","Rural Area","Male","","","",""
"Yes","2009","Rural Area","Female","","","",""
"No","2009","Urban Area","Male","","","",""
"No","2009","Urban Area","Female","","","",""
"No","2009","Rural Area","Male","","","",""
"No","2009","Rural Area","Female","","","",""
"Yes","2010","Urban Area","Male","1185","0.205781258426875","0.195326503656542","0.216236013197208"
"Yes","2010","Urban Area","Female","1789","0.231810824383523","0.222358911398021","0.241262737369024"
"Yes","2010","Rural Area","Male","521","0.153251676300004","0.140849772304864","0.165653580295144"
"Yes","2010","Rural Area","Female","729","0.169263653836597","0.157820398821257","0.180706908851936"
"No","2010","Urban Area","Male","4559","0.794218741573125","0.783763986802792","0.804673496343458"
"No","2010","Urban Area","Female","5868","0.768189175616477","0.758737262630976","0.777641088601979"
"No","2010","Rural Area","Male","2720","0.846748323699996","0.834346419704856","0.859150227695136"
"No","2010","Rural Area","Female","3396","0.830736346163403","0.819293091148064","0.842179601178743"
"Yes","2011","Urban Area","Male","1150","0.219885697753808","0.208490872253602","0.231280523254014"
"Yes","2011","Urban Area","Female","1572","0.239405590600292","0.228855074338837","0.249956106861747"
"Yes","2011","Rural Area","Male","470","0.14941555452901","0.136485114956134","0.162345994101886"
"Yes","2011","Rural Area","Female","673","0.190382061055272","0.177298502474277","0.203465619636266"
"No","2011","Urban Area","Male","3925","0.780114302246192","0.768719476745986","0.791509127746398"
"No","2011","Urban Area","Female","4712","0.760594409399708","0.750043893138253","0.771144925661163"
"No","2011","Rural Area","Male","2450","0.85058444547099","0.837654005898114","0.863514885043866"
"No","2011","Rural Area","Female","2786","0.809617938944729","0.796534380363734","0.822701497525723"
"Yes","2012","Urban Area","Male","1468","0.219320526498106","0.209223102563731","0.229417950432482"
"Yes","2012","Urban Area","Female","2200","0.251048512500105","0.24189898445102","0.26019804054919"
"Yes","2012","Rural Area","Male","704","0.173025152461451","0.16118518686362","0.184865118059282"
"Yes","2012","Rural Area","Female","987","0.177582658146193","0.166961172479962","0.188204143812423"
"No","2012","Urban Area","Male","4983","0.780679473501894","0.770582049567518","0.790776897436269"
"No","2012","Urban Area","Female","6428","0.748951487499895","0.73980195945081","0.75810101554898"
"No","2012","Rural Area","Male","3217","0.826974847538549","0.815134881940718","0.83881481313638"
"No","2012","Rural Area","Female","3986","0.822417341853807","0.811795856187577","0.833038827520038"
"Yes","2013","Urban Area","Male","1142","0.247870557617248","0.23532329785069","0.260417817383805"
"Yes","2013","Urban Area","Female","1645","0.276281718540256","0.264707808758814","0.287855628321699"
"Yes","2013","Rural Area","Male","501","0.179018710947924","0.164523314418113","0.193514107477734"
"Yes","2013","Rural Area","Female","708","0.214455999279823","0.200215046481477","0.228696952078169"
"No","2013","Urban Area","Male","3407","0.752129442382752","0.739582182616195","0.76467670214931"
"No","2013","Urban Area","Female","4089","0.723718281459744","0.712144371678301","0.735292191241186"
"No","2013","Rural Area","Male","2186","0.820981289052076","0.806485892522266","0.835476685581887"
"No","2013","Rural Area","Female","2483","0.785544000720177","0.771303047921832","0.799784953518523"
"Yes","2014","Urban Area","Male","1474","0.230052352552299","0.220053594576902","0.240051110527696"
"Yes","2014","Urban Area","Female","2173","0.26149985249862","0.252260868107844","0.270738836889397"
"Yes","2014","Rural Area","Male","714","0.190366832249035","0.177771284438522","0.202962380059548"
"Yes","2014","Rural Area","Female","1019","0.23415868109591","0.221927798362152","0.246389563829668"
"No","2014","Urban Area","Male","5332","0.769947647447701","0.759948889472304","0.779946405423098"
"No","2014","Urban Area","Female","6518","0.73850014750138","0.729261163110603","0.747739131892156"
"No","2014","Rural Area","Male","3018","0.809633167750965","0.797037619940452","0.822228715561478"
"No","2014","Rural Area","Female","3586","0.76584131890409","0.753610436170332","0.778072201637848"
"Yes","2015","Urban Area","Male","","","",""
"Yes","2015","Urban Area","Female","","","",""
"Yes","2015","Rural Area","Male","","","",""
"Yes","2015","Rural Area","Female","","","",""
"No","2015","Urban Area","Male","","","",""
"No","2015","Urban Area","Female","","","",""
"No","2015","Rural Area","Male","","","",""
"No","2015","Rural Area","Female","","","",""
"Yes","2016","Urban Area","Male","1177","0.203111238155501","0.192986991530862","0.213235484780141"
"Yes","2016","Urban Area","Female","1796","0.236920705264089","0.227470172148249","0.246371238379929"
"Yes","2016","Rural Area","Male","563","0.180467856266005","0.167448814751354","0.193486897780656"
"Yes","2016","Rural Area","Female","820","0.206784837253734","0.194449519970797","0.219120154536671"
"No","2016","Urban Area","Male","4889","0.796888761844499","0.786764515219859","0.807013008469138"
"No","2016","Urban Area","Female","5980","0.763079294735911","0.753628761620072","0.772529827851751"
"No","2016","Rural Area","Male","2789","0.819532143733995","0.806513102219344","0.832551185248646"
"No","2016","Rural Area","Female","3321","0.793215162746266","0.780879845463329","0.805550480029203"
"Yes","2017","Urban Area","Male","","","",""
"Yes","2017","Urban Area","Female","","","",""
"Yes","2017","Rural Area","Male","","","",""
"Yes","2017","Rural Area","Female","","","",""
"No","2017","Urban Area","Male","","","",""
"No","2017","Urban Area","Female","","","",""
"No","2017","Rural Area","Male","","","",""
"No","2017","Rural Area","Female","","","",""
"Yes","2018","Urban Area","Male","1273","0.218021064874362","0.207911473664691","0.228130656084033"
"Yes","2018","Urban Area","Female","1862","0.232147255328312","0.222948249348897","0.241346261307726"
"Yes","2018","Rural Area","Male","698","0.196003609623342","0.18313757561431","0.208869643632375"
"Yes","2018","Rural Area","Female","965","0.225448927337082","0.213197349311846","0.237700505362317"
"No","2018","Urban Area","Male","5135","0.781978935125638","0.771869343915967","0.792088526335309"
"No","2018","Urban Area","Female","6230","0.767852744671688","0.758653738692274","0.777051750651103"
"No","2018","Rural Area","Male","2959","0.803996390376658","0.791130356367625","0.81686242438569"
"No","2018","Rural Area","Female","3504","0.774551072662918","0.762299494637683","0.786802650688154"
