"ple0098_v5","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Urban Area","Male","295","0.0951464595211088","0.0857314464402767","0.104561472601941"
"Yes","1999","Urban Area","Female","388","0.1105125730471","0.101119624169116","0.119905521925083"
"Yes","1999","Rural Area","Male","127","0.0740412395045985","0.0627315005616949","0.0853509784475021"
"Yes","1999","Rural Area","Female","137","0.0679735657907127","0.0576892850582086","0.0782578465232169"
"No","1999","Urban Area","Male","3436","0.904853540478891","0.895438527398059","0.914268553559723"
"No","1999","Urban Area","Female","3892","0.8894874269529","0.880094478074917","0.898880375830884"
"No","1999","Rural Area","Male","1932","0.925958760495401","0.914649021552498","0.937268499438305"
"No","1999","Rural Area","Female","2164","0.932026434209287","0.921742153476783","0.942310714941792"
"Yes","2000","Urban Area","Male","628","0.106252997083336","0.0987178901698564","0.113788103996816"
"Yes","2000","Urban Area","Female","799","0.111978086656412","0.104846641072386","0.119109532240437"
"Yes","2000","Rural Area","Male","208","0.0633664403460537","0.0553343361960986","0.0713985444960089"
"Yes","2000","Rural Area","Female","245","0.0700323260759255","0.0621355316778684","0.0779291204739827"
"No","2000","Urban Area","Male","5797","0.893747002916664","0.886211896003185","0.901282109830144"
"No","2000","Urban Area","Female","6712","0.888021913343588","0.880890467759563","0.895153358927614"
"No","2000","Rural Area","Male","3326","0.936633559653946","0.928601455503991","0.944665663803901"
"No","2000","Rural Area","Female","3767","0.929967673924075","0.922070879526017","0.937864468322132"
"Yes","2001","Urban Area","Male","539","0.106222308359493","0.0982905575122501","0.114154059206736"
"Yes","2001","Urban Area","Female","731","0.114113856341017","0.106586643672876","0.121641069009158"
"Yes","2001","Rural Area","Male","217","0.0720797173464368","0.0631470322006016","0.081012402492272"
"Yes","2001","Rural Area","Female","240","0.069886628963318","0.0616075219636819","0.0781657359629541"
"No","2001","Urban Area","Male","5258","0.893777691640507","0.885845940793264","0.90170944248775"
"No","2001","Urban Area","Female","6123","0.885886143658983","0.878358930990842","0.893413356327124"
"No","2001","Rural Area","Male","3003","0.927920282653563","0.918987597507728","0.936852967799398"
"No","2001","Rural Area","Female","3403","0.930113371036682","0.921834264037046","0.938392478036318"
"Yes","2002","Urban Area","Male","701","0.110236241836814","0.102252978892856","0.118219504780773"
"Yes","2002","Urban Area","Female","928","0.123296633403436","0.115585860331699","0.131007406475173"
"Yes","2002","Rural Area","Male","265","0.0786030174504505","0.069239132762096","0.0879669021388049"
"Yes","2002","Rural Area","Female","302","0.076386078945072","0.0677227123825626","0.0850494455075814"
"No","2002","Urban Area","Male","5211","0.889763758163186","0.881780495219227","0.897747021107145"
"No","2002","Urban Area","Female","6056","0.876703366596564","0.868992593524827","0.884414139668301"
"No","2002","Rural Area","Male","2908","0.921396982549549","0.912033097861195","0.930760867237904"
"No","2002","Rural Area","Female","3309","0.923613921054928","0.914950554492419","0.932277287617437"
"Yes","2003","Urban Area","Male","678","0.107359092766226","0.0993303079170493","0.115387877615402"
