"ple0098_v5","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","66 and older","higher education","140","0.828695196815216","0.769570629870579","0.887819763759853","2"
"No","1999","66 and older","middle vocational","765","0.921149580398007","0.902748150612973","0.939551010183041","2"
"No","1999","66 and older","higher vocational","72","0.935785885595161","0.881033099594915","0.990538671595406","2"
"No","1999","66 and older","vocational + Abi","21","","","","2"
"No","1999","66 and older","general elemantary","517","0.961387224906011","0.945091427029099","0.977683022782923","2"
"No","1999","66 and older","inadequately","58","1","1","1","2"
"No","1999","16-34 y.","in school","246","0.907314310128566","0.872660006618856","0.941968613638276","2"
"No","1999","16-34 y.","general elemantary","820","0.952447960169796","0.938183010706074","0.966712909633518","2"
"No","1999","16-34 y.","higher vocational","174","0.939346580514688","0.905495543169162","0.973197617860215","2"
"No","1999","35-65 y.","in school","2","","","","2"
"No","1999","35-65 y.","middle vocational","3211","0.898222760839651","0.888205904857994","0.908239616821307","2"
"No","1999","35-65 y.","higher vocational","379","0.878071173667064","0.847108568012744","0.909033779321383","2"
"No","1999","35-65 y.","higher education","921","0.847960372128181","0.826117205857976","0.869803538398387","2"
"No","1999","66 and older","in school","","","","","2"
"No","1999","16-34 y.","inadequately","80","0.95941491965666","0.916705113164022","1.0021247261493","2"
"No","1999","16-34 y.","middle vocational","1907","0.911229672729022","0.898941897939387","0.923517447518658","2"
"No","1999","16-34 y.","higher education","291","0.852039373925675","0.813730972158482","0.890347775692867","2"
"No","1999","35-65 y.","inadequately","279","0.994268209994818","0.985441642563412","1.00309477742622","2"
"No","1999","35-65 y.","vocational + Abi","160","0.830187086027004","0.775183004198428","0.885191167855579","2"
"No","1999","16-34 y.","vocational + Abi","225","0.873795518433404","0.833036821049443","0.914554215817366","2"
"No","1999","35-65 y.","general elemantary","928","0.94964445818334","0.935875839952194","0.963413076414485","2"
"Yes","1999","16-34 y.","in school","23","","","","1"
"Yes","1999","16-34 y.","inadequately","2","","","","1"
"Yes","1999","16-34 y.","general elemantary","35","0.0475520398302043","0.0332870903664825","0.0618169892939261","1"
"Yes","1999","16-34 y.","middle vocational","151","0.0887703272709779","0.0764825524813424","0.101058102060613","1"
"Yes","1999","16-34 y.","vocational + Abi","30","0.126204481566596","0.0854457841826341","0.166963178950557","1"
"Yes","1999","16-34 y.","higher vocational","17","","","","1"
"Yes","1999","16-34 y.","higher education","39","0.147960626074325","0.109652224307132","0.186269027841517","1"
"Yes","1999","35-65 y.","in school","","","","","1"
"Yes","1999","35-65 y.","inadequately","2","","","","1"
"Yes","1999","35-65 y.","general elemantary","41","0.0503555418166603","0.0365869235855148","0.0641241600478058","1"
"Yes","1999","35-65 y.","middle vocational","289","0.101777239160349","0.0917603831786926","0.111794095142006","1"
"Yes","1999","35-65 y.","vocational + Abi","19","","","","1"
"Yes","1999","35-65 y.","higher vocational","50","0.121928826332936","0.0909662206786166","0.152891431987256","1"
"Yes","1999","35-65 y.","higher education","117","0.152039627871819","0.130196461601613","0.173882794142024","1"
"Yes","1999","66 and older","in school","","","","","1"
"Yes","1999","66 and older","inadequately","","","","","1"
"Yes","1999","66 and older","general elemantary","20","","","","1"
"Yes","1999","66 and older","middle vocational","59","0.0788504196019929","0.0604489898169589","0.097251849387027","1"
"Yes","1999","66 and older","vocational + Abi","6","","","","1"
"Yes","1999","66 and older","higher vocational","5","","","","1"
"Yes","1999","66 and older","higher education","16","","","","1"
"No","2000","66 and older","higher education","247","0.806209677392186","0.761630231518683","0.850789123265688","2"
"No","2000","66 and older","general elemantary","861","0.96438530698663","0.95220963379025","0.976560980183009","2"
"No","2000","66 and older","higher vocational","206","0.91835301730582","0.882493950743798","0.954212083867842","2"
"No","2000","66 and older","inadequately","61","1","1","1","2"
"No","2000","66 and older","middle vocational","1662","0.931717165202374","0.919956615112306","0.943477715292443","2"
"No","2000","66 and older","vocational + Abi","65","0.801822506859194","0.715543040294564","0.888101973423823","2"
"No","2000","16-34 y.","in school","379","0.931309175189425","0.906676199069109","0.955942151309741","2"
"No","2000","16-34 y.","general elemantary","1177","0.957735761159996","0.946469250690218","0.969002271629774","2"
